date,open,high,low,close,volume
1667005200000,0.1273,0.1275,0.1265,0.1266,426087
1667008800000,0.1266,0.127,0.126,0.1266,384225
1667012400000,0.1266,0.1289,0.1263,0.1281,1296895
1667016000000,0.128,0.1282,0.1272,0.1273,121845
1667019600000,0.1274,0.1277,0.1268,0.1272,895483
1667023200000,0.1272,0.128,0.1272,0.1277,271191
1667026800000,0.1278,0.1283,0.1274,0.1281,204881
1667030400000,0.1283,0.1294,0.128,0.129,261665
1667034000000,0.129,0.1293,0.1285,0.129,235945
1667037600000,0.1289,0.1294,0.1262,0.1265,929820
1667041200000,0.1265,0.127,0.126,0.1265,165842
1667044800000,0.1263,0.1274,0.1261,0.1272,148954
1667048400000,0.1274,0.1275,0.1263,0.1275,194016
1667052000000,0.1274,0.1284,0.1269,0.1271,210379
1667055600000,0.1272,0.1292,0.127,0.1284,597921
1667059200000,0.1284,0.131,0.1281,0.1301,553513
1667062800000,0.1302,0.1308,0.1274,0.1279,459796
1667066400000,0.1278,0.1289,0.127,0.1283,731691
1667070000000,0.1283,0.1285,0.1271,0.1281,283576
1667073600000,0.1282,0.1287,0.1276,0.128,260380
1667077200000,0.128,0.1286,0.1279,0.1282,67820
1667080800000,0.1281,0.1281,0.1265,0.1268,243935
1667084400000,0.1267,0.1276,0.1262,0.1276,176022
1667088000000,0.1277,0.128,0.1268,0.1269,116899
1667091600000,0.127,0.1275,0.1265,0.1273,378148
1667095200000,0.1273,0.1275,0.1267,0.1271,175430
1667098800000,0.1271,0.1278,0.1271,0.1278,154583
1667102400000,0.1278,0.1278,0.1268,0.1269,208643
1667106000000,0.1269,0.1277,0.1269,0.1271,150560
1667109600000,0.1272,0.128,0.1264,0.1276,417659
1667113200000,0.1276,0.129,0.1274,0.1289,832785
1667116800000,0.1289,0.129,0.1265,0.1279,399788
1667120400000,0.1279,0.129,0.126,0.1269,569926
1667124000000,0.1268,0.1276,0.1265,0.1271,352163
1667127600000,0.1271,0.1279,0.1268,0.1277,233553
1667131200000,0.1276,0.1277,0.1263,0.1275,176074
1667134800000,0.1275,0.1275,0.1256,0.1257,429456
