date,open,high,low,close,volume
1667005200000,0.4584,0.4599,0.4519,0.4543,171600.6
1667008800000,0.454,0.4543,0.447,0.4478,231071.7
1667012400000,0.4483,0.4483,0.4424,0.4466,291871.9
1667016000000,0.4467,0.452,0.4464,0.4505,211149.3
1667019600000,0.4505,0.4524,0.4472,0.4472,168035.6
1667023200000,0.4478,0.45,0.4452,0.4454,257906.1
1667026800000,0.4457,0.4458,0.4421,0.4458,241136.2
1667030400000,0.4458,0.4459,0.4365,0.4367,449190.5
1667034000000,0.4367,0.4374,0.4359,0.437,193175.2
1667037600000,0.4367,0.4386,0.4337,0.4343,294274.5
1667041200000,0.434,0.4359,0.4242,0.4294,426104.2
1667044800000,0.4288,0.4332,0.4288,0.4299,115949.8
1667048400000,0.4299,0.4299,0.4264,0.4296,200414.1
1667052000000,0.4299,0.43,0.4225,0.4238,221709
1667055600000,0.4238,0.4253,0.4126,0.414,378414.9
1667059200000,0.414,0.4198,0.4089,0.4174,486818.1
1667062800000,0.417,0.4192,0.4113,0.4114,219262
1667066400000,0.4117,0.4129,0.409,0.4099,254602.6
1667070000000,0.4099,0.4217,0.4099,0.4208,425114.5
1667073600000,0.421,0.421,0.415,0.4184,197213.4
1667077200000,0.4184,0.4236,0.4178,0.4181,160404.3
1667080800000,0.4181,0.421,0.4173,0.4173,80922
1667084400000,0.4175,0.4181,0.4098,0.4148,307150.7
1667088000000,0.415,0.4162,0.4146,0.4154,60922.3
1667091600000,0.4158,0.4239,0.415,0.4202,173491.4
1667095200000,0.4202,0.4246,0.4187,0.4226,52532
1667098800000,0.4226,0.4239,0.421,0.4236,54649.5
1667102400000,0.4237,0.4239,0.4191,0.4192,118180.7
1667106000000,0.4192,0.4214,0.419,0.4194,44562
1667109600000,0.4197,0.4204,0.416,0.4161,128821.6
1667113200000,0.4167,0.4174,0.4128,0.415,268662.6
1667116800000,0.4152,0.4175,0.409,0.4091,262851.7
1667120400000,0.4089,0.415,0.4082,0.4101,261349.8
1667124000000,0.4101,0.4112,0.409,0.4108,157801.6
1667127600000,0.4106,0.4121,0.4092,0.4102,87829.3
1667131200000,0.4103,0.4116,0.4092,0.4106,125020.9
1667134800000,0.4106,0.4129,0.4103,0.4107,144629.3
1667138400000,0.4107,0.4108,0.4091,0.4105,138102.1
1667142000000,0.4105,0.4259,0.4103,0.4192,530538.4
1667145600000,0.4192,0.4702,0.4186,0.4321,5012204
1667149200000,0.4321,0.4652,0.4221,0.4589,2927168.1
1667152800000,0.4596,0.53,0.4591,0.473,9742509.1
1667156400000,0.4732,0.4792,0.4491,0.4536,1779120.4
1667160000000,0.453,0.4697,0.4466,0.4682,1528999.1
1667163600000,0.4677,0.468,0.4482,0.4506,558496.4
1667167200000,0.4506,0.4616,0.4501,0.4551,480329.6
1667170800000,0.4554,0.4625,0.4505,0.4515,291275.5
