date,open,high,low,close,volume
1667005200000,5.663,5.689,5.658,5.659,1527.04
1667008800000,5.666,5.722,5.657,5.714,8023.732
1667012400000,5.713,5.8,5.713,5.794,4621.805
1667016000000,5.796,5.809,5.7,5.701,14676.027
1667019600000,5.701,5.794,5.69,5.74,67384.14
1667023200000,5.738,5.786,5.732,5.748,11649.704
1667026800000,5.748,5.767,5.747,5.753,530.004
1667030400000,5.749,5.869,5.742,5.861,19807.481
1667034000000,5.866,5.866,5.811,5.823,3190.878
1667037600000,5.831,5.859,5.722,5.739,9755.497
1667041200000,5.73,5.732,5.682,5.693,2747.509
1667044800000,5.686,5.698,5.663,5.69,8550.573
1667048400000,5.697,5.697,5.624,5.669,3763.405
1667052000000,5.669,5.752,5.649,5.672,10037.447
1667055600000,5.672,5.712,5.645,5.682,4136.664
1667059200000,5.685,5.81,5.68,5.792,14541.971
1667062800000,5.793,5.848,5.657,5.707,41250.123
1667066400000,5.705,5.737,5.634,5.71,16953.92
1667070000000,5.705,5.705,5.636,5.67,5501.064
1667073600000,5.672,5.695,5.651,5.666,5817.172
1667077200000,5.665,5.695,5.658,5.678,1615.985
1667080800000,5.678,5.678,5.559,5.58,4713.433
1667084400000,5.58,5.634,5.56,5.634,9482.229
1667088000000,5.631,5.652,5.548,5.575,12542.219
1667091600000,5.578,5.633,5.547,5.627,12246.852
1667095200000,5.639,5.646,5.608,5.621,1707.682
1667098800000,5.621,5.654,5.608,5.609,2261.08
1667102400000,5.609,5.67,5.608,5.618,4418.962
1667106000000,5.62,5.664,5.614,5.639,952.091
1667109600000,5.643,5.69,5.611,5.658,12598.11
1667113200000,5.659,5.69,5.649,5.677,4099.107
1667116800000,5.677,5.685,5.57,5.615,8830.583
1667120400000,5.614,5.659,5.55,5.562,14217.24
1667124000000,5.552,5.575,5.534,5.554,9168.315
1667127600000,5.547,5.573,5.486,5.513,15381.923
1667131200000,5.502,5.553,5.502,5.553,7605.991
1667134800000,5.536,5.552,5.465,5.465,6575.1
1667138400000,5.472,5.545,5.461,5.519,9096.464
1667142000000,5.521,5.521,5.447,5.478,5286.276
1667145600000,5.461,5.462,5.373,5.394,20070.695
1667149200000,5.4,5.482,5.399,5.465,13422.092
1667152800000,5.462,5.462,5.412,5.421,4539.581
1667156400000,5.431,5.444,5.411,5.418,7707.461
1667160000000,5.422,5.448,5.39,5.423,14288.365
1667163600000,5.423,5.442,5.423,5.423,2326.757
1667167200000,5.429,5.433,5.294,5.373,25850.926
1667170800000,5.367,5.386,5.352,5.386,1271.362
1667174400000,5.382,5.383,5.327,5.342,11031.824
1667178000000,5.34,5.369,5.292,5.313,2340.663
1667181600000,5.311,5.314,5.275,5.312,1367.607
