date,open,high,low,close,volume
1667005200000,0.2088,0.20883,0.20811,0.20835,63246
1667008800000,0.20836,0.21229,0.20808,0.20929,729308
1667012400000,0.20939,0.21184,0.20801,0.2111,1575260
1667016000000,0.21103,0.21223,0.21019,0.21066,503744
1667019600000,0.2108,0.21153,0.20923,0.21139,885993
1667023200000,0.21146,0.21315,0.21109,0.21229,750653
1667026800000,0.21232,0.21387,0.21141,0.21245,607771
1667030400000,0.21242,0.21345,0.2108,0.21204,989212
1667034000000,0.21212,0.21347,0.21148,0.21174,676090
1667037600000,0.21161,0.2125,0.20762,0.2082,1521725
1667041200000,0.20832,0.2095,0.20654,0.20654,772668
1667044800000,0.20657,0.21059,0.2064,0.20979,1314724
1667048400000,0.20982,0.20997,0.20668,0.20816,1363536
1667052000000,0.20804,0.21074,0.20781,0.20832,742334
1667055600000,0.20827,0.21083,0.20827,0.20934,793993
1667059200000,0.20942,0.21231,0.20915,0.21096,1106084
1667062800000,0.21094,0.21391,0.20707,0.20873,1151224
1667066400000,0.20873,0.21102,0.20698,0.20993,1323153
1667070000000,0.20986,0.21022,0.20716,0.20945,1324340
1667073600000,0.20966,0.21061,0.20866,0.20944,690010
1667077200000,0.20934,0.21046,0.20885,0.20885,421044
1667080800000,0.2089,0.20928,0.20565,0.20671,571021
1667084400000,0.20662,0.20768,0.20576,0.20759,327982
1667088000000,0.20759,0.21369,0.20758,0.20939,1138014
1667091600000,0.20944,0.21141,0.20853,0.2111,369987
1667095200000,0.21117,0.21212,0.21043,0.21114,199902
1667098800000,0.21114,0.213,0.21114,0.21284,296559
1667102400000,0.21275,0.21282,0.21138,0.21147,188748
1667106000000,0.21147,0.21301,0.21147,0.21217,473414
1667109600000,0.21216,0.21484,0.21091,0.21331,816463
1667113200000,0.21323,0.22858,0.21231,0.2232,5856367
1667116800000,0.22292,0.22496,0.21676,0.21784,3102968
1667120400000,0.21785,0.21986,0.21075,0.21235,2785583
1667124000000,0.21235,0.21601,0.2121,0.21416,1336311
1667127600000,0.21426,0.2163,0.21261,0.21574,1376911
1667131200000,0.21572,0.21605,0.21198,0.21473,1212387
1667134800000,0.2148,0.21571,0.21079,0.21262,2199004
1667138400000,0.21259,0.21448,0.21164,0.21389,1028502
1667142000000,0.21395,0.21409,0.20932,0.21,930920
1667145600000,0.20989,0.21341,0.20931,0.21183,572397
1667149200000,0.21195,0.21243,0.21108,0.21184,520559
1667152800000,0.21188,0.21395,0.21113,0.21267,1132479
1667156400000,0.21273,0.2131,0.21098,0.21122,572167
1667160000000,0.21118,0.21337,0.21089,0.21256,589920
1667163600000,0.21262,0.21373,0.21168,0.21267,571906
1667167200000,0.21262,0.2127,0.2071,0.21103,1092129
1667170800000,0.21103,0.21185,0.20939,0.21062,960024
1667174400000,0.21054,0.21261,0.20949,0.21072,1279780
1667178000000,0.2107,0.21238,0.20946,0.21115,856000
1667181600000,0.211,0.21108,0.20868,0.21038,318132
1667185200000,0.21043,0.2125,0.20984,0.2122,323533
