date,open,high,low,close,volume
1667005200000,42.7,42.73,42.42,42.56,2343.215
1667008800000,42.56,42.7,42.43,42.67,2806.624
1667012400000,42.68,43.15,42.62,43.05,7196.155
1667016000000,43.05,43.19,42.68,42.83,3549.394
1667019600000,42.84,43.06,42.78,42.89,3456.056
1667023200000,42.89,43.25,42.89,43.13,1603.76
1667026800000,43.14,43.66,43.07,43.61,4360.352
1667030400000,43.61,43.98,43.48,43.86,5539.706
1667034000000,43.85,43.92,43.62,43.78,2371.183
1667037600000,43.76,43.89,43.05,43.12,4528.162
1667041200000,43.14,43.21,42.85,42.99,2743.813
1667044800000,42.98,43.36,42.91,43.35,2393.905
1667048400000,43.34,43.35,42.92,43.25,1428.14
1667052000000,43.23,43.5,43.07,43.12,2566.728
1667055600000,43.11,43.57,43.09,43.41,2581.326
1667059200000,43.41,43.98,43.2,43.83,3199.591
1667062800000,43.84,44.02,42.96,43.17,4385.238
1667066400000,43.17,43.42,42.87,43.22,4053.715
1667070000000,43.27,43.3,42.7,43.01,3458.498
1667073600000,43.05,43.34,42.94,43.08,2094.492
1667077200000,43.08,43.25,43.03,43.05,1026.169
1667080800000,43.03,43.09,42.45,42.62,5021.677
1667084400000,42.6,42.95,42.45,42.94,1982.642
1667088000000,42.91,43.03,42.6,42.66,2945.28
1667091600000,42.65,43.13,42.6,43.13,2212.553
1667095200000,43.13,43.16,42.73,42.86,5327.411
1667098800000,42.88,43.13,42.88,42.97,2694.788
1667102400000,42.98,43.05,42.78,42.89,1273.414
1667106000000,42.9,43.24,42.87,42.96,2751.952
1667109600000,42.96,43.17,42.71,43.03,3019.013
1667113200000,43.02,43.63,42.87,43.58,7020.879
1667116800000,43.58,43.65,42.76,43.16,4303.355
1667120400000,43.14,43.36,42.54,42.66,3855.063
1667124000000,42.66,42.92,42.61,42.74,1816.061
1667127600000,42.74,42.86,42.46,42.73,1994.135
1667131200000,42.73,42.81,42.35,42.65,2376.639
1667134800000,42.65,42.71,42.19,42.27,2664.111
1667138400000,42.25,42.53,42.19,42.49,2156.202
1667142000000,42.5,42.56,41.93,42.01,4031.859
1667145600000,42.01,42.31,41.86,41.97,2390.565
1667149200000,41.98,42.11,41.81,42.1,1365.627
1667152800000,42.1,42.3,42.07,42.25,1312.058
1667156400000,42.26,42.4,42.18,42.21,1379.732
1667160000000,42.2,42.42,42.16,42.35,983.813
1667163600000,42.34,42.48,42.25,42.45,3251.294
1667167200000,42.43,42.46,41.39,41.88,4275.131
1667170800000,41.89,42.05,41.75,41.94,1177.295
1667174400000,41.93,42.18,41.62,41.73,3086.679
1667178000000,41.73,41.9,41.42,41.63,2554.836
1667181600000,41.62,41.66,41.31,41.53,2021.831
1667185200000,41.52,42.02,41.5,42,952.04
1667188800000,41.99,42.15,41.93,42.06,2340.866
1667192400000,42.02,42.2,41.83,41.86,1609.339
1667196000000,41.87,41.95,41.57,41.75,1608.244
1667199600000,41.76,41.86,41.56,41.86,663.32
1667203200000,41.86,41.86,41.36,41.43,1913.58
1667206800000,41.41,42.42,41.34,42.36,4038.297
1667210400000,42.34,42.53,42.13,42.47,3173.562
1667214000000,42.48,42.71,42.44,42.52,2599.1
1667217600000,42.52,42.73,42.31,42.46,3057.086
1667221200000,42.43,42.73,41.35,41.41,9460.352
1667224800000,41.39,41.81,41.27,41.54,5177.403
1667228400000,41.55,41.88,41.43,41.65,1714.704
1667232000000,41.65,41.94,41.38,41.6,2875.643
1667235600000,41.57,41.82,41.51,41.65,2724.616
1667239200000,41.65,41.85,41.61,41.77,1654.627
1667242800000,41.78,41.78,41.53,41.6,1196.236
1667246400000,41.6,41.82,41.54,41.6,1142.555
1667250000000,41.59,41.66,41.52,41.52,1035.599
1667253600000,41.56,41.95,41.5,41.86,2320.329
1667257200000,41.91,42.04,41.8,41.86,484.104
1667260800000,41.85,42.31,41.82,42.08,7632.561
1667264400000,42.09,42.33,42.04,42.22,1111.57
1667268000000,42.18,42.38,42.12,42.29,836.1
1667271600000,42.29,42.39,42.1,42.16,955.425
1667275200000,42.14,42.2,41.94,42.06,951.721
1667278800000,42.04,42.06,41.87,41.94,1121.701
1667282400000,41.93,42.26,41.9,42.2,1513.565
1667286000000,42.2,42.29,42.04,42.14,1324.992
1667289600000,42.12,42.24,41.99,42.03,4200.371
