date,open,high,low,close,volume
1667005200000,0.0527,0.0528,0.0517,0.0517,1009015
1667008800000,0.0518,0.0522,0.0517,0.052,633551
1667012400000,0.052,0.0528,0.0519,0.0524,1848376
1667016000000,0.0525,0.0529,0.0524,0.0527,1112172
1667019600000,0.0528,0.0531,0.0522,0.0524,1904791
1667023200000,0.0523,0.0527,0.0519,0.0522,1942690
1667026800000,0.0521,0.0522,0.0517,0.0518,1985258
1667030400000,0.0518,0.052,0.0511,0.0516,3279687
1667034000000,0.0516,0.0522,0.0515,0.0518,1817182
1667037600000,0.0516,0.0518,0.0509,0.0512,1874467
1667041200000,0.0512,0.0516,0.0509,0.0514,2025847
1667044800000,0.0514,0.0517,0.0509,0.0515,1365980
1667048400000,0.0514,0.0516,0.0508,0.0508,1026912
1667052000000,0.0509,0.0517,0.0509,0.0516,2203353
1667055600000,0.0516,0.0518,0.05,0.0501,3688985
1667059200000,0.0501,0.0511,0.0496,0.0506,4503865
1667062800000,0.0504,0.0508,0.0497,0.0499,1833248
1667066400000,0.0497,0.0504,0.0495,0.0498,1748975
1667070000000,0.0497,0.05,0.0494,0.0496,1333085
1667073600000,0.0496,0.05,0.0494,0.0499,777431
1667077200000,0.0499,0.0499,0.0494,0.0495,698696
1667080800000,0.0495,0.0502,0.0494,0.0499,865230
1667084400000,0.05,0.05,0.0494,0.0497,658772
1667088000000,0.0497,0.05,0.0493,0.0496,589905
1667091600000,0.0496,0.05,0.049,0.05,1022333
1667095200000,0.0501,0.0501,0.0497,0.0499,533103
1667098800000,0.0498,0.0501,0.0498,0.05,326348
1667102400000,0.05,0.0501,0.0497,0.0498,296161
1667106000000,0.0498,0.0501,0.0491,0.0491,881710
1667109600000,0.0491,0.05,0.049,0.0495,1433848
1667113200000,0.0494,0.0496,0.0491,0.0494,1204554
1667116800000,0.0495,0.0495,0.048,0.0484,2660029
1667120400000,0.0484,0.0485,0.0477,0.0477,1667591
1667124000000,0.0477,0.0483,0.0477,0.0479,1195865
1667127600000,0.048,0.0485,0.0479,0.0484,1136576
1667131200000,0.0484,0.0485,0.0481,0.0482,861360
1667134800000,0.0484,0.0484,0.047,0.0473,2154798
1667138400000,0.0472,0.0474,0.0464,0.0465,4199222
1667142000000,0.0465,0.0468,0.0463,0.0464,2204494
1667145600000,0.0463,0.0484,0.046,0.0467,8247639
1667149200000,0.0465,0.048,0.0465,0.0476,2417021
1667152800000,0.0476,0.0496,0.0473,0.0475,8349396
1667156400000,0.0475,0.0477,0.0468,0.047,1907537
1667160000000,0.047,0.0481,0.0468,0.0473,2326995
1667163600000,0.047,0.0473,0.0468,0.0469,367880
1667167200000,0.0468,0.047,0.0464,0.0467,658731
1667170800000,0.0467,0.0471,0.0463,0.047,516089
1667174400000,0.0471,0.0472,0.0465,0.0466,841423
1667178000000,0.0465,0.0469,0.0463,0.0463,393009
1667181600000,0.0463,0.0466,0.0461,0.0463,785494
1667185200000,0.0462,0.0471,0.0462,0.047,908296
1667188800000,0.047,0.047,0.0466,0.0469,627253
