date,open,high,low,close,volume
1667005200000,0.398,0.399,0.397,0.398,23873.6
1667008800000,0.397,0.401,0.397,0.4,12577.9
1667012400000,0.4,0.413,0.4,0.406,331811.1
1667016000000,0.406,0.407,0.404,0.405,19303.9
1667019600000,0.404,0.406,0.399,0.403,128715
1667023200000,0.402,0.404,0.402,0.403,24834.8
1667026800000,0.402,0.406,0.401,0.405,84038.1
1667030400000,0.405,0.409,0.405,0.408,108199.2
1667034000000,0.407,0.412,0.407,0.407,136843.1
1667037600000,0.408,0.409,0.403,0.403,59671.7
1667041200000,0.404,0.406,0.401,0.406,88310.5
1667044800000,0.406,0.407,0.404,0.405,15926.6
1667048400000,0.405,0.406,0.401,0.403,69315.1
1667052000000,0.403,0.406,0.402,0.405,48668.2
1667055600000,0.405,0.408,0.404,0.405,38769.7
1667059200000,0.406,0.411,0.403,0.41,64857
1667062800000,0.409,0.413,0.409,0.409,93194.8
1667066400000,0.41,0.41,0.404,0.406,37525.9
1667070000000,0.406,0.407,0.403,0.406,16444.3
1667073600000,0.405,0.409,0.404,0.406,27468
1667077200000,0.405,0.408,0.405,0.407,16373.3
1667080800000,0.406,0.407,0.401,0.401,79739.6
1667084400000,0.401,0.402,0.4,0.402,26645.9
1667088000000,0.401,0.403,0.401,0.402,4182
1667091600000,0.403,0.403,0.397,0.401,154624.5
1667095200000,0.401,0.402,0.4,0.401,16184
1667098800000,0.402,0.402,0.401,0.402,5128.6
1667102400000,0.402,0.402,0.4,0.401,22053.4
1667106000000,0.401,0.404,0.4,0.403,21794.3
1667109600000,0.403,0.406,0.403,0.405,40294.8
1667113200000,0.405,0.408,0.4,0.403,172077.8
1667116800000,0.404,0.406,0.4,0.401,65739.8
1667120400000,0.4,0.409,0.4,0.405,251751.4
1667124000000,0.404,0.406,0.404,0.405,23167.4
1667127600000,0.405,0.407,0.403,0.404,30635.1
1667131200000,0.405,0.405,0.402,0.405,17690.4
1667134800000,0.403,0.406,0.4,0.4,37932.7
1667138400000,0.4,0.402,0.399,0.401,85816.6
1667142000000,0.401,0.401,0.398,0.399,26330.4
1667145600000,0.398,0.398,0.391,0.393,287449.1
1667149200000,0.393,0.394,0.387,0.392,75958.6
1667152800000,0.392,0.393,0.39,0.393,29824.1
1667156400000,0.393,0.393,0.391,0.392,55541.5
1667160000000,0.393,0.393,0.39,0.392,46260.6
1667163600000,0.392,0.395,0.391,0.394,84362.1
1667167200000,0.394,0.394,0.387,0.393,124220.8
1667170800000,0.393,0.394,0.393,0.393,60680
1667174400000,0.393,0.394,0.39,0.39,19260.4
1667178000000,0.391,0.391,0.39,0.39,7286.9
1667181600000,0.39,0.391,0.389,0.389,7327.2
1667185200000,0.389,0.391,0.389,0.391,15621
1667188800000,0.391,0.391,0.39,0.39,6314.5
1667192400000,0.39,0.393,0.39,0.392,49488.6
1667196000000,0.391,0.392,0.388,0.389,45482.1
1667199600000,0.39,0.39,0.387,0.39,20629.6
1667203200000,0.389,0.39,0.388,0.389,30719.8
1667206800000,0.389,0.396,0.388,0.396,82897.3
1667210400000,0.396,0.399,0.394,0.398,127532.3
1667214000000,0.398,0.4,0.395,0.396,50201.6
1667217600000,0.396,0.399,0.395,0.399,17887
1667221200000,0.398,0.401,0.392,0.392,115910.6
1667224800000,0.392,0.394,0.39,0.393,61180.6
1667228400000,0.394,0.397,0.392,0.394,44851.7
1667232000000,0.394,0.397,0.39,0.391,41041.3
1667235600000,0.39,0.391,0.389,0.39,56095.9
1667239200000,0.39,0.391,0.389,0.391,19269.4
1667242800000,0.391,0.394,0.389,0.392,32366.8
1667246400000,0.393,0.394,0.392,0.393,24460.7
1667250000000,0.392,0.392,0.39,0.391,17738.8
1667253600000,0.391,0.392,0.39,0.391,13262.7
1667257200000,0.392,0.393,0.391,0.393,2293.2
1667260800000,0.392,0.392,0.39,0.391,12795.8
1667264400000,0.392,0.394,0.391,0.392,16827.1
1667268000000,0.392,0.395,0.392,0.394,22779.6
1667271600000,0.394,0.396,0.393,0.394,17252.9
1667275200000,0.394,0.396,0.391,0.392,12003.7
1667278800000,0.391,0.394,0.391,0.391,25477.7
1667282400000,0.392,0.396,0.391,0.395,20001
1667286000000,0.395,0.397,0.394,0.396,18241.5
1667289600000,0.395,0.397,0.394,0.395,39199.2
1667293200000,0.395,0.396,0.393,0.393,34672.2
1667296800000,0.394,0.396,0.393,0.394,33544.3
1667300400000,0.394,0.395,0.392,0.395,14929.3
1667304000000,0.396,0.397,0.394,0.395,30161.8
1667307600000,0.396,0.396,0.391,0.393,36845.4
1667311200000,0.392,0.394,0.39,0.392,44359.3
1667314800000,0.391,0.395,0.391,0.392,20167.2
1667318400000,0.392,0.394,0.391,0.392,21626.7
1667322000000,0.392,0.394,0.391,0.392,17132
1667325600000,0.392,0.394,0.392,0.393,14756.1
1667329200000,0.393,0.394,0.392,0.392,13289.5
1667332800000,0.392,0.393,0.391,0.393,21459.9
1667336400000,0.392,0.393,0.392,0.392,7794
1667340000000,0.393,0.394,0.392,0.393,13011.3
1667343600000,0.394,0.394,0.393,0.393,3692.9
1667347200000,0.394,0.394,0.391,0.392,36712.8
1667350800000,0.392,0.393,0.391,0.391,15814.1
1667354400000,0.391,0.396,0.391,0.394,51194
1667358000000,0.395,0.395,0.393,0.394,18861.8
1667361600000,0.393,0.397,0.393,0.396,36163.9
1667365200000,0.395,0.399,0.395,0.397,52201
1667368800000,0.397,0.406,0.397,0.404,263648.6
1667372400000,0.405,0.406,0.395,0.4,79981.7
1667376000000,0.398,0.403,0.398,0.401,56205.9
1667379600000,0.402,0.409,0.4,0.407,200278.3
1667383200000,0.408,0.42,0.398,0.404,1648472.2
1667386800000,0.405,0.406,0.396,0.397,266150.1
1667390400000,0.398,0.4,0.395,0.398,105111.3
1667394000000,0.399,0.405,0.396,0.403,168267.1
1667397600000,0.403,0.405,0.398,0.4,63201.9
1667401200000,0.4,0.401,0.398,0.398,45757.3
1667404800000,0.399,0.404,0.398,0.402,94239.3
1667408400000,0.402,0.402,0.396,0.398,167070.8
1667412000000,0.397,0.409,0.396,0.402,397261
1667415600000,0.4,0.404,0.396,0.399,100487.8
1667419200000,0.398,0.399,0.392,0.395,75179.1
1667422800000,0.394,0.396,0.394,0.396,28407.2
