date,open,high,low,close,volume
1667005200000,0.133,0.1331,0.1315,0.132,309111.9
1667008800000,0.1319,0.1338,0.1319,0.1337,229180
1667012400000,0.1338,0.1343,0.1328,0.1336,345501
1667016000000,0.1338,0.1346,0.1334,0.1335,181259.9
1667019600000,0.1335,0.1339,0.1331,0.1337,167857.5
1667023200000,0.1338,0.1366,0.1338,0.1349,456736.5
1667026800000,0.135,0.1367,0.1343,0.1362,611104.2
1667030400000,0.1362,0.1362,0.1347,0.1351,613517
1667034000000,0.135,0.1379,0.135,0.137,506018.2
1667037600000,0.137,0.1371,0.1338,0.1345,830325.2
1667041200000,0.1346,0.1346,0.1334,0.1343,260965.7
1667044800000,0.1342,0.1365,0.1341,0.136,397294.4
1667048400000,0.136,0.1361,0.1344,0.1351,297708.6
1667052000000,0.135,0.135,0.1328,0.1329,394584.4
1667055600000,0.1329,0.1336,0.132,0.1322,372777.6
1667059200000,0.1322,0.1345,0.1321,0.1344,601862.8
1667062800000,0.1344,0.1363,0.1336,0.1339,495995.7
1667066400000,0.1337,0.1344,0.1332,0.134,348482.2
1667070000000,0.1338,0.1346,0.1336,0.1345,406587.8
1667073600000,0.1345,0.1349,0.1341,0.1348,151206.8
1667077200000,0.1348,0.1359,0.1347,0.1348,300692.7
1667080800000,0.1347,0.1355,0.1336,0.1339,181110.6
1667084400000,0.1338,0.1362,0.1334,0.136,300578.1
1667088000000,0.136,0.1365,0.1326,0.1331,537534.4
1667091600000,0.1332,0.1348,0.1329,0.1348,476117.2
1667095200000,0.1348,0.1358,0.1348,0.1358,252215.1
1667098800000,0.1358,0.1362,0.1345,0.135,288513
1667102400000,0.1351,0.1377,0.1351,0.1365,518472.8
1667106000000,0.1366,0.1385,0.1359,0.1383,474185.3
1667109600000,0.1382,0.1399,0.137,0.1389,912865.1
1667113200000,0.1386,0.139,0.1369,0.1389,440061.3
1667116800000,0.1389,0.1389,0.1359,0.1367,421798.1
1667120400000,0.1366,0.137,0.1343,0.1361,520589.4
