date,open,high,low,close,volume
1667005200000,0.08412,0.0875,0.08366,0.08589,253080658
1667008800000,0.08589,0.08689,0.08546,0.0862,141065236
1667012400000,0.08619,0.0882,0.08536,0.08621,235538961
1667016000000,0.08621,0.08752,0.08547,0.0859,150244503
1667019600000,0.0859,0.0862,0.08467,0.08509,109738179
1667023200000,0.08511,0.0866,0.08411,0.08567,171966127
1667026800000,0.08567,0.093,0.0856,0.09265,671449341
1667030400000,0.09266,0.10684,0.09266,0.10257,1222441922
1667034000000,0.10257,0.10954,0.10145,0.10759,681536276
1667037600000,0.1076,0.1085,0.10199,0.10319,637826369
1667041200000,0.10319,0.10503,0.10099,0.1022,363509688
1667044800000,0.10219,0.10858,0.1014,0.108,450344945
1667048400000,0.10799,0.10989,0.1045,0.10729,473959768
1667052000000,0.10729,0.11677,0.10658,0.1148,1038240571
1667055600000,0.11481,0.14582,0.11346,0.13218,1817454615
1667059200000,0.13219,0.13831,0.12587,0.13446,1291077960
1667062800000,0.13445,0.1515,0.1323,0.13685,1603206495
1667066400000,0.13689,0.1377,0.12476,0.1321,1237827157
1667070000000,0.13214,0.13455,0.1224,0.12786,671796237
1667073600000,0.12786,0.13191,0.12541,0.12874,446986198
1667077200000,0.12873,0.132,0.12656,0.12953,352216419
1667080800000,0.12952,0.1307,0.117,0.11941,580504025
1667084400000,0.11939,0.123,0.116,0.12176,582978064
1667088000000,0.12176,0.12323,0.11383,0.1187,475001199
1667091600000,0.11869,0.12749,0.11859,0.12711,469602089
1667095200000,0.12712,0.13,0.12351,0.1283,397752085
1667098800000,0.12829,0.13071,0.12652,0.12822,324943836
1667102400000,0.1282,0.1356,0.1282,0.13252,451530002
1667106000000,0.13253,0.1435,0.13243,0.1398,659266216
1667109600000,0.13983,0.14151,0.13212,0.13542,528598313
1667113200000,0.13543,0.13645,0.12715,0.13027,498483362
1667116800000,0.13027,0.13095,0.124,0.12786,587490360
1667120400000,0.12786,0.1305,0.12089,0.12273,435238524
1667124000000,0.12273,0.12819,0.12261,0.12531,301565076
1667127600000,0.12532,0.12988,0.12491,0.1291,260775358
1667131200000,0.12911,0.132,0.12505,0.12723,348262873
1667134800000,0.12724,0.12751,0.1175,0.11874,566254654
1667138400000,0.11873,0.12245,0.11686,0.1202,444742843
1667142000000,0.12019,0.12055,0.11221,0.11262,591004957
1667145600000,0.1126,0.11818,0.11122,0.11321,415833383
1667149200000,0.11323,0.11734,0.11261,0.1161,284338492
1667152800000,0.1161,0.11864,0.11389,0.11733,225260104
1667156400000,0.1174,0.11864,0.11445,0.11504,197472759
1667160000000,0.11506,0.11899,0.11343,0.11823,207856192
1667163600000,0.11824,0.11983,0.11552,0.11658,145984855
1667167200000,0.11657,0.1174,0.1135,0.11654,181516079
1667170800000,0.11653,0.11866,0.1133,0.11773,157183346
1667174400000,0.11774,0.12615,0.11657,0.12478,627017741
1667178000000,0.12474,0.12502,0.11805,0.11943,270961892
1667181600000,0.11942,0.12154,0.11671,0.12088,216079206
1667185200000,0.12089,0.12285,0.11985,0.12192,128395834
1667188800000,0.12191,0.12367,0.12002,0.12194,146920525
1667192400000,0.12193,0.125,0.12036,0.12095,240336610
1667196000000,0.12094,0.1223,0.11399,0.11673,477045751
1667199600000,0.11674,0.11864,0.11562,0.11764,145587386
1667203200000,0.11764,0.11818,0.11373,0.11773,226820702
1667206800000,0.1177,0.1238,0.1167,0.1226,373589048
1667210400000,0.12261,0.12532,0.12045,0.12311,375168826
