date,open,high,low,close,volume
1667005200000,6.54,6.54,6.51,6.52,53532.54
1667008800000,6.53,6.57,6.51,6.56,71427.41
1667012400000,6.56,6.67,6.54,6.66,403709.12
1667016000000,6.67,6.69,6.57,6.59,266189.93
1667019600000,6.58,6.63,6.55,6.57,125096.61
1667023200000,6.57,6.6,6.56,6.57,120686.21
1667026800000,6.56,6.6,6.56,6.6,93501.58
1667030400000,6.6,6.7,6.58,6.68,450518.39
1667034000000,6.68,6.68,6.64,6.67,211777.8
1667037600000,6.67,6.69,6.59,6.6,383649
1667041200000,6.61,6.62,6.54,6.56,201448.75
1667044800000,6.56,6.6,6.55,6.57,176919.16
1667048400000,6.57,6.58,6.49,6.55,244672.89
1667052000000,6.55,6.59,6.52,6.54,217833.82
1667055600000,6.53,6.57,6.52,6.53,242183.28
1667059200000,6.54,6.78,6.51,6.69,744663.57
1667062800000,6.7,6.77,6.61,6.64,490265.27
1667066400000,6.63,6.7,6.6,6.67,419475.27
1667070000000,6.67,6.69,6.63,6.67,247278.9
1667073600000,6.68,6.7,6.65,6.67,199451.25
1667077200000,6.67,6.7,6.66,6.66,118666.92
1667080800000,6.66,6.68,6.56,6.6,303484.92
1667084400000,6.59,6.64,6.58,6.63,126131.31
1667088000000,6.63,6.64,6.58,6.58,153700.71
1667091600000,6.58,6.65,6.57,6.65,111176.76
1667095200000,6.65,6.65,6.6,6.62,120654.76
1667098800000,6.61,6.65,6.61,6.62,86332.07
1667102400000,6.63,6.64,6.6,6.6,69610.13
1667106000000,6.61,6.64,6.59,6.6,191752.08
1667109600000,6.6,6.65,6.58,6.65,178907.06
1667113200000,6.65,6.74,6.63,6.73,291392.05
1667116800000,6.74,6.75,6.6,6.66,388368.29
1667120400000,6.66,6.69,6.54,6.57,318176.7
1667124000000,6.57,6.61,6.56,6.58,209225.72
1667127600000,6.59,6.63,6.56,6.62,137105.04
1667131200000,6.62,6.62,6.57,6.61,216126.97
1667134800000,6.6,6.61,6.55,6.57,295567.77
1667138400000,6.56,6.64,6.55,6.62,180476.49
1667142000000,6.62,6.63,6.52,6.54,244235.31
1667145600000,6.53,6.59,6.51,6.56,190851.11
1667149200000,6.56,6.59,6.53,6.58,129068.44
1667152800000,6.58,6.62,6.56,6.6,130485.87
1667156400000,6.6,6.63,6.59,6.61,99984.9
1667160000000,6.62,6.65,6.61,6.63,106574
1667163600000,6.64,6.66,6.63,6.65,84552.23
1667167200000,6.65,6.66,6.54,6.61,217511.24
1667170800000,6.62,6.66,6.59,6.66,159077.06
1667174400000,6.65,6.7,6.63,6.63,227391.48
1667178000000,6.64,6.66,6.57,6.61,249773.65
1667181600000,6.62,6.63,6.57,6.62,223069.95
1667185200000,6.63,6.8,6.62,6.76,511813.52
1667188800000,6.75,6.77,6.69,6.71,262643.53
1667192400000,6.71,6.74,6.68,6.69,121940.22
1667196000000,6.69,6.71,6.63,6.69,166057.25
1667199600000,6.69,6.74,6.65,6.73,361550.38
1667203200000,6.74,6.74,6.65,6.68,189726.47
1667206800000,6.67,6.83,6.66,6.8,479089.67
1667210400000,6.8,6.84,6.76,6.79,292467.61
1667214000000,6.79,6.83,6.78,6.79,239657.99
1667217600000,6.79,6.81,6.74,6.74,388373.58
1667221200000,6.74,6.81,6.6,6.6,638953.03
1667224800000,6.6,6.7,6.58,6.64,648910.97
1667228400000,6.65,6.68,6.61,6.65,350009.05
1667232000000,6.64,6.7,6.6,6.64,321057.25
1667235600000,6.64,6.7,6.61,6.67,266920.86
1667239200000,6.66,6.7,6.65,6.67,275865.7
1667242800000,6.68,6.68,6.63,6.63,175189.53
1667246400000,6.63,6.67,6.62,6.63,136067.78
1667250000000,6.62,6.64,6.6,6.6,143367.28
1667253600000,6.6,6.65,6.57,6.64,308275.36
1667257200000,6.64,6.65,6.62,6.62,141874.24
1667260800000,6.62,6.66,6.59,6.62,217992.57
1667264400000,6.62,6.67,6.62,6.65,114918.74
1667268000000,6.66,6.7,6.64,6.68,83833.4
1667271600000,6.69,6.7,6.61,6.62,174931.98
1667275200000,6.62,6.63,6.6,6.61,128372.54
1667278800000,6.62,6.66,6.61,6.65,101253.31
1667282400000,6.65,6.71,6.63,6.7,201184.54
1667286000000,6.7,6.72,6.67,6.69,150952.55
1667289600000,6.69,6.72,6.67,6.68,133447.19
1667293200000,6.69,6.7,6.66,6.66,191691.99
1667296800000,6.66,6.7,6.65,6.67,169725.98
1667300400000,6.68,6.69,6.6,6.63,202103.44
1667304000000,6.63,6.64,6.6,6.62,143273.9
1667307600000,6.61,6.62,6.49,6.55,376320.54
1667311200000,6.54,6.55,6.49,6.5,316515
1667314800000,6.5,6.54,6.47,6.52,286904.36
1667318400000,6.51,6.53,6.46,6.47,198410.48
1667322000000,6.48,6.52,6.46,6.51,109233.14
1667325600000,6.52,6.52,6.49,6.52,78193.06
1667329200000,6.52,6.52,6.49,6.5,65498.08
1667332800000,6.49,6.5,6.47,6.48,71704.19
1667336400000,6.49,6.49,6.47,6.47,66728.63
1667340000000,6.47,6.49,6.47,6.49,51543.93
1667343600000,6.48,6.49,6.45,6.46,76121.28
1667347200000,6.45,6.47,6.4,6.46,264013.97
1667350800000,6.47,6.47,6.44,6.44,79175.32
1667354400000,6.45,6.45,6.4,6.43,78916.29
1667358000000,6.43,6.47,6.42,6.44,94999.55
