date,open,high,low,close,volume
1667005200000,0.3999,0.4005,0.3985,0.3997,23486
1667008800000,0.3996,0.4002,0.3962,0.399,36577
1667012400000,0.399,0.3999,0.3979,0.399,35648
1667016000000,0.399,0.399,0.3938,0.3942,115447
1667019600000,0.3941,0.3944,0.3926,0.3936,39213
1667023200000,0.3934,0.399,0.3934,0.3983,74594
1667026800000,0.3983,0.4007,0.3983,0.4007,85364
1667030400000,0.4007,0.4011,0.3969,0.3983,73945
1667034000000,0.3986,0.4013,0.3975,0.4013,76410
1667037600000,0.4014,0.4032,0.3971,0.3971,147161
1667041200000,0.3972,0.3985,0.3938,0.3949,29641
1667044800000,0.3948,0.396,0.3939,0.3957,59728
1667048400000,0.396,0.3972,0.3924,0.395,50745
1667052000000,0.3946,0.3989,0.3942,0.3966,59437
1667055600000,0.3966,0.3966,0.3899,0.3921,163986
1667059200000,0.3922,0.3949,0.3907,0.3939,138650
1667062800000,0.3943,0.3948,0.3915,0.3926,75512
1667066400000,0.3923,0.3945,0.39,0.3901,65841
1667070000000,0.3908,0.3909,0.3856,0.3876,89469
1667073600000,0.3876,0.3893,0.3864,0.3887,18503
1667077200000,0.3887,0.3913,0.3886,0.39,17590
1667080800000,0.3901,0.3912,0.3891,0.3909,49181
1667084400000,0.391,0.3936,0.3899,0.3936,16935
1667088000000,0.3936,0.3938,0.38,0.3861,200286
1667091600000,0.3857,0.3873,0.3856,0.3866,36575
1667095200000,0.3871,0.3873,0.3867,0.3868,8412
1667098800000,0.3868,0.3876,0.3865,0.3866,7404
1667102400000,0.3864,0.3865,0.3862,0.3862,47421
1667106000000,0.3863,0.3869,0.3809,0.3845,88447
1667109600000,0.3845,0.385,0.3822,0.3835,61378
1667113200000,0.3835,0.3894,0.383,0.3876,69138
1667116800000,0.388,0.3891,0.3833,0.3846,61050
1667120400000,0.3845,0.3861,0.3818,0.3823,74188
1667124000000,0.3822,0.3829,0.38,0.3818,67534
1667127600000,0.3815,0.3841,0.3813,0.3828,34178
1667131200000,0.3825,0.3848,0.3803,0.3838,79309
1667134800000,0.384,0.3847,0.3793,0.3803,75178
1667138400000,0.3808,0.3837,0.38,0.3835,33063
1667142000000,0.3835,0.3842,0.3827,0.383,24865
1667145600000,0.383,0.383,0.38,0.38,27309
1667149200000,0.3804,0.3851,0.38,0.3824,43028
1667152800000,0.3827,0.3827,0.381,0.3813,12511
1667156400000,0.3818,0.3835,0.3813,0.3823,10304
1667160000000,0.3824,0.3922,0.3823,0.3846,111376
1667163600000,0.3847,0.3909,0.3841,0.3851,26666
1667167200000,0.3853,0.3853,0.3827,0.3839,20485
1667170800000,0.3839,0.3839,0.3824,0.3839,15145
1667174400000,0.3841,0.3877,0.3836,0.3868,18862
1667178000000,0.387,0.3896,0.3865,0.3877,15023
1667181600000,0.3877,0.3877,0.3849,0.3849,4128
1667185200000,0.3842,0.3855,0.3835,0.385,20254
1667188800000,0.385,0.3861,0.3847,0.3855,4929
1667192400000,0.3854,0.3896,0.3854,0.3883,15272
1667196000000,0.3883,0.3966,0.3881,0.3938,196279
1667199600000,0.3938,0.395,0.3871,0.3871,98158
1667203200000,0.3874,0.3874,0.3827,0.3842,51337
1667206800000,0.384,0.3892,0.3829,0.3881,29856
1667210400000,0.3888,0.39,0.3872,0.3893,54658
1667214000000,0.3891,0.3896,0.3844,0.3851,51356
1667217600000,0.385,0.3881,0.3821,0.3864,84205
1667221200000,0.3865,0.388,0.381,0.3822,70312
1667224800000,0.382,0.385,0.3799,0.3843,96342
1667228400000,0.3842,0.3866,0.3832,0.3865,25687
1667232000000,0.3865,0.3903,0.3842,0.3856,61763
1667235600000,0.386,0.3884,0.385,0.3871,14956
1667239200000,0.3871,0.3899,0.3855,0.3876,38514
1667242800000,0.3863,0.3867,0.384,0.3854,15067
1667246400000,0.3848,0.3849,0.3824,0.3827,42657
1667250000000,0.3841,0.3841,0.3818,0.3821,23714
1667253600000,0.3826,0.3836,0.382,0.3827,42521
1667257200000,0.3826,0.3835,0.3823,0.3835,17419
1667260800000,0.3837,0.3847,0.3834,0.3836,10934
1667264400000,0.3836,0.3859,0.3835,0.3848,7812
1667268000000,0.3849,0.3854,0.384,0.3852,3751
1667271600000,0.3852,0.3855,0.3829,0.3833,5258
1667275200000,0.3833,0.3849,0.3813,0.3821,50402
1667278800000,0.3825,0.3829,0.3819,0.3829,23612
1667282400000,0.3827,0.386,0.3816,0.3853,27700
1667286000000,0.3853,0.3873,0.3839,0.3847,37991
1667289600000,0.3847,0.3868,0.3841,0.3851,21236
1667293200000,0.3848,0.3869,0.3836,0.3849,31345
1667296800000,0.3853,0.3865,0.3848,0.386,15265
1667300400000,0.386,0.3865,0.3839,0.384,16202
1667304000000,0.3839,0.3861,0.3839,0.3847,9529
1667307600000,0.3847,0.3853,0.3843,0.385,20995
1667311200000,0.385,0.3856,0.3843,0.3851,37681
1667314800000,0.3856,0.3864,0.3845,0.385,8087
1667318400000,0.3859,0.3864,0.384,0.3853,20449
1667322000000,0.3845,0.389,0.3841,0.3879,75711
1667325600000,0.3877,0.3879,0.3863,0.3866,15441
1667329200000,0.3862,0.388,0.3855,0.3875,14221
1667332800000,0.3866,0.395,0.3863,0.3928,190253
1667336400000,0.3923,0.3988,0.389,0.3925,137333
1667340000000,0.3918,0.3956,0.3892,0.39,42117
1667343600000,0.39,0.3936,0.3887,0.3896,28016
1667347200000,0.3896,0.3929,0.3863,0.392,72693
1667350800000,0.392,0.3938,0.3891,0.3915,24590
1667354400000,0.3919,0.393,0.39,0.3923,19191
1667358000000,0.3927,0.4,0.3913,0.3957,223523
1667361600000,0.3958,0.3992,0.3921,0.3965,106693
1667365200000,0.396,0.4005,0.3949,0.3989,85400
1667368800000,0.3992,0.4002,0.393,0.393,76956
1667372400000,0.3929,0.3942,0.385,0.3861,144762
1667376000000,0.3861,0.3868,0.3825,0.3868,53128
1667379600000,0.387,0.387,0.3829,0.3839,49815
1667383200000,0.3839,0.3839,0.3803,0.3825,64384
1667386800000,0.3825,0.3835,0.3808,0.3808,31785
1667390400000,0.3806,0.3814,0.3702,0.3772,283405
1667394000000,0.3769,0.3781,0.375,0.3756,28958
1667397600000,0.3766,0.378,0.3757,0.3768,15088
1667401200000,0.3774,0.3776,0.3766,0.3767,22609
1667404800000,0.3767,0.3791,0.3738,0.3789,31362
1667408400000,0.3789,0.3795,0.3741,0.3749,29432
1667412000000,0.3745,0.385,0.3745,0.3777,118672
1667415600000,0.3779,0.3823,0.372,0.3744,62185
1667419200000,0.3748,0.3748,0.3703,0.3714,30494
1667422800000,0.3714,0.3747,0.3703,0.3724,58177
1667426400000,0.3726,0.3751,0.3714,0.373,13988
1667430000000,0.3724,0.3749,0.3724,0.3741,1958
1667433600000,0.3746,0.3795,0.3716,0.3774,56855
1667437200000,0.3774,0.3808,0.3774,0.38,26177
1667440800000,0.3806,0.3819,0.3764,0.3819,52090
1667444400000,0.3816,0.3846,0.3816,0.3836,21362
1667448000000,0.3835,0.3861,0.3827,0.3845,21544
1667451600000,0.3842,0.386,0.3819,0.386,67811
1667455200000,0.386,0.386,0.3806,0.3832,56516
1667458800000,0.384,0.388,0.384,0.386,65331
1667462400000,0.3859,0.3875,0.3855,0.386,27248
1667466000000,0.3867,0.3902,0.3859,0.3902,44397
1667469600000,0.3901,0.394,0.3873,0.3881,125616
1667473200000,0.388,0.3885,0.3805,0.3829,61581
1667476800000,0.3826,0.386,0.3797,0.3812,61555
1667480400000,0.3813,0.3837,0.3797,0.3804,54458
1667484000000,0.3804,0.3855,0.3804,0.3849,41390
1667487600000,0.3849,0.385,0.3839,0.3848,10389
1667491200000,0.3848,0.3853,0.3797,0.3829,175668
1667494800000,0.3829,0.3851,0.3792,0.3848,266134
1667498400000,0.385,0.3871,0.3814,0.3861,73101
1667502000000,0.387,0.3878,0.386,0.3863,43716
1667505600000,0.3864,0.3869,0.3852,0.3863,23940
1667509200000,0.3864,0.3884,0.385,0.3865,21248
1667512800000,0.3865,0.3865,0.3818,0.383,40115
1667516400000,0.3831,0.3831,0.3805,0.3815,27578
1667520000000,0.3815,0.3832,0.3803,0.382,21495
1667523600000,0.3819,0.3836,0.38,0.3814,51504
1667527200000,0.3814,0.3856,0.3813,0.382,50402
1667530800000,0.3824,0.387,0.3811,0.3855,49513
1667534400000,0.3858,0.3869,0.3845,0.3863,45495
1667538000000,0.3862,0.3876,0.3834,0.3856,72797
1667541600000,0.3864,0.391,0.384,0.39,119573
1667545200000,0.3896,0.3896,0.3875,0.3895,30741
1667548800000,0.3896,0.392,0.3896,0.3903,46874
1667552400000,0.3905,0.3935,0.3903,0.3931,29557
1667556000000,0.3932,0.3972,0.3914,0.3944,147153
1667559600000,0.3944,0.399,0.3934,0.3948,170344
1667563200000,0.3936,0.398,0.392,0.3972,117263
1667566800000,0.3979,0.4,0.3961,0.398,121245
1667570400000,0.3978,0.4016,0.3967,0.3986,167222
1667574000000,0.3986,0.3986,0.393,0.3935,145418
1667577600000,0.3931,0.399,0.393,0.3978,67607
1667581200000,0.3956,0.3976,0.3932,0.3932,42352
1667584800000,0.3933,0.3978,0.392,0.3967,47044
1667588400000,0.3967,0.3975,0.3952,0.3964,35182
1667592000000,0.3967,0.405,0.3961,0.4032,236471
1667595600000,0.4042,0.412,0.4019,0.4052,448520
1667599200000,0.4052,0.4057,0.4007,0.4031,123196
1667602800000,0.4042,0.4042,0.3929,0.3972,354284
1667606400000,0.3965,0.4,0.3965,0.4,22181
1667610000000,0.3999,0.402,0.3998,0.402,41676
1667613600000,0.402,0.4023,0.3989,0.4002,80082
1667617200000,0.4003,0.4027,0.3992,0.4014,52605
1667620800000,0.4015,0.4021,0.399,0.399,78111
1667624400000,0.399,0.3996,0.3975,0.3991,75061
1667628000000,0.3991,0.4016,0.399,0.401,34444
1667631600000,0.4009,0.4019,0.3974,0.4006,52069
1667635200000,0.4008,0.4018,0.395,0.4003,114831
1667638800000,0.4002,0.4069,0.4001,0.4028,179717
1667642400000,0.4027,0.409,0.4024,0.4057,132564
1667646000000,0.4058,0.4074,0.4042,0.4061,68661
1667649600000,0.4062,0.4063,0.4024,0.4029,58077
1667653200000,0.4029,0.4032,0.4014,0.4017,17301
1667656800000,0.4017,0.4039,0.4003,0.4017,61422
1667660400000,0.4015,0.4052,0.4006,0.4052,35586
1667664000000,0.4036,0.4076,0.4025,0.4049,17026
1667667600000,0.405,0.405,0.402,0.4031,29810
1667671200000,0.4022,0.4052,0.4022,0.4045,31991
1667674800000,0.4038,0.4064,0.4,0.4004,92488
1667678400000,0.4004,0.4042,0.4004,0.4011,32285
1667682000000,0.4018,0.4022,0.4005,0.4017,12693
1667685600000,0.4018,0.4028,0.4004,0.4028,15196
1667689200000,0.4028,0.4034,0.3994,0.3994,43631
1667692800000,0.3998,0.401,0.397,0.3992,39994
1667696400000,0.3993,0.3998,0.3967,0.3967,12425
1667700000000,0.3964,0.3972,0.3956,0.3958,35568
1667703600000,0.3958,0.4005,0.3957,0.3999,21411
1667707200000,0.4001,0.4014,0.3977,0.401,15916
1667710800000,0.4002,0.4016,0.3995,0.3999,12299
1667714400000,0.3998,0.3998,0.3963,0.397,23108
1667718000000,0.3971,0.3973,0.3951,0.3954,26981
1667721600000,0.3956,0.3969,0.3947,0.3965,52600
1667725200000,0.396,0.3971,0.395,0.397,26913
1667728800000,0.397,0.3977,0.3967,0.3976,26311
1667732400000,0.3975,0.4034,0.3975,0.4025,106540
1667736000000,0.4031,0.4046,0.3996,0.4013,73642
1667739600000,0.4013,0.4039,0.4013,0.4026,16837
1667743200000,0.4027,0.4033,0.4,0.4014,51383
1667746800000,0.4013,0.4058,0.4007,0.4043,40523
1667750400000,0.4037,0.4059,0.4003,0.4008,66505
1667754000000,0.401,0.4021,0.3985,0.3997,79583
1667757600000,0.3997,0.403,0.3997,0.4014,60383
1667761200000,0.4013,0.4139,0.4013,0.4079,399214
1667764800000,0.4079,0.4106,0.4043,0.405,83134
1667768400000,0.4049,0.4049,0.4005,0.4007,42197
1667772000000,0.4005,0.4015,0.3965,0.3976,70534
1667775600000,0.3977,0.3983,0.3873,0.3879,65121
1667779200000,0.388,0.392,0.3873,0.3896,21343
1667782800000,0.3899,0.3918,0.3887,0.3918,10216
1667786400000,0.3921,0.3938,0.3917,0.393,40869
1667790000000,0.393,0.3936,0.3918,0.3925,7460
1667793600000,0.393,0.3934,0.3918,0.3928,5887
1667797200000,0.3928,0.3954,0.3927,0.3947,41452
1667800800000,0.3939,0.3948,0.3919,0.3943,26147
1667804400000,0.3934,0.3935,0.38,0.3805,180601
1667808000000,0.3804,0.3863,0.3801,0.3854,30415
1667811600000,0.3857,0.3871,0.3846,0.3849,35770
1667815200000,0.3847,0.3875,0.3847,0.386,14129
