date,open,high,low,close,volume
1667005200000,0.1289,0.1294,0.1285,0.129,318390
1667008800000,0.1289,0.1295,0.1279,0.1287,347241
1667012400000,0.1285,0.131,0.1283,0.1302,1100400
1667016000000,0.1304,0.1305,0.1291,0.1291,346018
1667019600000,0.1291,0.1297,0.1288,0.1294,1009893
1667023200000,0.1294,0.1314,0.1294,0.1309,711213
1667026800000,0.1307,0.1318,0.1304,0.1317,583506
1667030400000,0.1317,0.132,0.1306,0.1319,754136
1667034000000,0.1319,0.1325,0.1316,0.1323,450067
1667037600000,0.1323,0.1325,0.1299,0.1301,823947
1667041200000,0.1301,0.1314,0.1296,0.1299,525389
1667044800000,0.1299,0.131,0.1298,0.131,375233
1667048400000,0.131,0.131,0.1295,0.1306,261028
1667052000000,0.1305,0.131,0.1297,0.1299,445201
1667055600000,0.1299,0.1312,0.1299,0.1311,325553
1667059200000,0.1311,0.1356,0.1309,0.134,1928254
1667062800000,0.1339,0.1344,0.1302,0.1304,967806
1667066400000,0.1302,0.1321,0.1289,0.131,2036759
1667070000000,0.1311,0.1314,0.1296,0.1306,870788
1667073600000,0.1307,0.1312,0.1302,0.1309,390272
1667077200000,0.1308,0.1316,0.1307,0.1308,351951
1667080800000,0.1307,0.1312,0.1292,0.1295,482791
1667084400000,0.1294,0.1315,0.129,0.1314,215330
1667088000000,0.1314,0.1318,0.1306,0.1307,310657
1667091600000,0.1306,0.1323,0.1305,0.1323,251775
1667095200000,0.1323,0.1334,0.1323,0.1332,422866
1667098800000,0.1332,0.134,0.1332,0.1338,227652
1667102400000,0.1338,0.134,0.1331,0.1333,129175
1667106000000,0.1335,0.1349,0.1335,0.1344,427557
1667109600000,0.1343,0.1348,0.1329,0.1341,519140
1667113200000,0.1342,0.1386,0.1338,0.1368,1850310
1667116800000,0.1368,0.1368,0.1332,0.1347,1058052
1667120400000,0.1347,0.1354,0.1322,0.1336,564240
1667124000000,0.1336,0.1346,0.1334,0.1334,358511
1667127600000,0.1333,0.1341,0.1325,0.1334,374665
1667131200000,0.1333,0.134,0.1323,0.1337,350820
1667134800000,0.1337,0.1337,0.1314,0.1318,521495
1667138400000,0.1317,0.1329,0.1312,0.1325,474057
1667142000000,0.1327,0.133,0.1302,0.1304,410602
1667145600000,0.1303,0.1326,0.1302,0.1309,406249
1667149200000,0.1308,0.1322,0.1306,0.1321,141182
1667152800000,0.1322,0.1331,0.1321,0.1323,407105
1667156400000,0.1325,0.1326,0.1319,0.1319,193900
1667160000000,0.1319,0.1325,0.1317,0.1325,236679
1667163600000,0.1323,0.1328,0.1317,0.1321,439384
1667167200000,0.1321,0.1321,0.1287,0.1305,1611333
1667170800000,0.1304,0.131,0.1302,0.1308,203526
1667174400000,0.1308,0.1325,0.1306,0.1313,482316
1667178000000,0.1314,0.1321,0.1299,0.1309,361517
1667181600000,0.1309,0.1309,0.1291,0.13,369992
1667185200000,0.1301,0.1318,0.1298,0.1316,260038
1667188800000,0.1316,0.1323,0.1312,0.1314,332975
1667192400000,0.1313,0.1315,0.1307,0.1309,103076
1667196000000,0.1308,0.1308,0.1292,0.1302,357696
1667199600000,0.1301,0.1302,0.1291,0.1297,514709
1667203200000,0.1296,0.1297,0.128,0.1284,596610
1667206800000,0.1283,0.1303,0.1274,0.13,1679092
1667210400000,0.13,0.1305,0.1294,0.1301,313247
1667214000000,0.1301,0.1309,0.13,0.1302,186972
1667217600000,0.1303,0.1306,0.1295,0.13,203248
1667221200000,0.13,0.1307,0.1271,0.1272,818060
1667224800000,0.1271,0.1284,0.1266,0.1279,727744
1667228400000,0.1277,0.1292,0.1274,0.1282,331750
1667232000000,0.1283,0.1296,0.1276,0.1283,377069
1667235600000,0.1283,0.1289,0.1279,0.1283,195347
1667239200000,0.1283,0.13,0.1283,0.1295,337695
1667242800000,0.1295,0.1298,0.1291,0.1291,357607
1667246400000,0.1291,0.1299,0.1286,0.1293,133587
1667250000000,0.1291,0.1302,0.1291,0.1299,203562
1667253600000,0.1299,0.1317,0.1292,0.1314,872939
1667257200000,0.1314,0.1328,0.1313,0.1321,737914
1667260800000,0.1322,0.1344,0.132,0.1339,983320
1667264400000,0.1338,0.135,0.1336,0.1339,632150
1667268000000,0.134,0.1343,0.1335,0.1335,200059
1667271600000,0.1335,0.1338,0.1331,0.1332,182930
1667275200000,0.1332,0.1342,0.1328,0.1341,347656
1667278800000,0.1341,0.1347,0.1337,0.1339,229337
1667282400000,0.1338,0.1357,0.1337,0.1351,503682
1667286000000,0.135,0.135,0.1331,0.1333,282580
1667289600000,0.1334,0.134,0.1332,0.1339,224287
1667293200000,0.1339,0.1348,0.1335,0.1344,547994
1667296800000,0.1343,0.1354,0.1338,0.1349,497734
1667300400000,0.1351,0.1351,0.1327,0.133,617826
1667304000000,0.1331,0.1333,0.1323,0.1332,426471
1667307600000,0.133,0.133,0.1304,0.1307,551642
1667311200000,0.1307,0.1314,0.1301,0.1305,354136
1667314800000,0.1306,0.1307,0.1298,0.13,276228
1667318400000,0.13,0.1304,0.129,0.1291,282030
1667322000000,0.129,0.1295,0.1287,0.1292,383599
1667325600000,0.1293,0.1296,0.1285,0.129,362525
1667329200000,0.129,0.1296,0.1289,0.1289,494191
1667332800000,0.1288,0.1289,0.1283,0.1289,146479
1667336400000,0.1288,0.1289,0.1283,0.1283,83626
1667340000000,0.1283,0.1284,0.1279,0.1284,167204
1667343600000,0.1284,0.129,0.1282,0.129,122084
1667347200000,0.1289,0.1289,0.127,0.1286,697843
1667350800000,0.1285,0.1288,0.128,0.1283,120627
1667354400000,0.1282,0.1282,0.127,0.1272,141782
1667358000000,0.1272,0.1281,0.1271,0.1272,175496
1667361600000,0.1273,0.1276,0.1272,0.1274,73086
1667365200000,0.1275,0.1289,0.1275,0.1284,399872
1667368800000,0.1284,0.1287,0.1275,0.1278,274991
1667372400000,0.1278,0.1278,0.1249,0.1263,694474
1667376000000,0.1262,0.1272,0.1257,0.127,267949
1667379600000,0.127,0.1274,0.1241,0.1243,408558
1667383200000,0.1242,0.1247,0.1232,0.1247,424457
1667386800000,0.1248,0.125,0.1244,0.1246,98778
1667390400000,0.1244,0.1246,0.1237,0.1243,324767
1667394000000,0.1243,0.1249,0.1241,0.1245,393742
1667397600000,0.1246,0.1259,0.1244,0.125,260785
1667401200000,0.1249,0.1249,0.1245,0.1249,77057
1667404800000,0.1248,0.1258,0.124,0.1258,622508
1667408400000,0.1258,0.1259,0.1242,0.1246,213506
1667412000000,0.1246,0.1304,0.1244,0.1269,3770005
1667415600000,0.1268,0.1285,0.1244,0.1251,1065915
1667419200000,0.1249,0.1253,0.1227,0.1236,1753417
1667422800000,0.1236,0.1247,0.1234,0.1246,315933
1667426400000,0.1246,0.1246,0.1235,0.124,282198
1667430000000,0.1238,0.1247,0.1237,0.1246,121628
1667433600000,0.1246,0.1268,0.1245,0.1265,356790
1667437200000,0.1265,0.1275,0.1262,0.1272,277936
1667440800000,0.1272,0.1282,0.127,0.1279,265634
1667444400000,0.128,0.1301,0.1278,0.1297,1047672
1667448000000,0.1298,0.1344,0.1296,0.1342,2491388
1667451600000,0.1343,0.1382,0.1341,0.1371,2058467
1667455200000,0.1371,0.1413,0.1357,0.1361,3769183
1667458800000,0.1362,0.1376,0.1359,0.1374,1090913
1667462400000,0.1374,0.1395,0.1368,0.139,1045525
1667466000000,0.1392,0.1394,0.1371,0.1373,1554838
1667469600000,0.1375,0.1383,0.1366,0.1367,907303
1667473200000,0.1367,0.1368,0.134,0.1353,1120430
1667476800000,0.1354,0.1409,0.1352,0.1374,3149010
1667480400000,0.1374,0.1398,0.1367,0.137,2011084
1667484000000,0.1371,0.1392,0.1369,0.1387,1321992
1667487600000,0.1386,0.1387,0.1379,0.1384,610466
1667491200000,0.1384,0.1433,0.1381,0.142,1979965
1667494800000,0.142,0.142,0.1396,0.1397,1079630
1667498400000,0.1398,0.142,0.1394,0.1419,440064
1667502000000,0.1418,0.1435,0.1406,0.1412,1063416
1667505600000,0.1414,0.142,0.1398,0.1398,708741
1667509200000,0.14,0.1411,0.1394,0.1403,428499
1667512800000,0.1402,0.1411,0.1376,0.1397,974109
1667516400000,0.1397,0.1422,0.1386,0.1412,884097
1667520000000,0.1411,0.1412,0.1356,0.139,2492296
1667523600000,0.1391,0.1398,0.1372,0.1377,596954
1667527200000,0.1376,0.1392,0.1376,0.1385,399250
1667530800000,0.1385,0.1409,0.1382,0.1408,666255
1667534400000,0.1408,0.1408,0.1391,0.1398,586207
1667538000000,0.1399,0.1402,0.1376,0.1381,611343
1667541600000,0.1382,0.1409,0.1382,0.1404,516937
1667545200000,0.1404,0.1445,0.1397,0.1442,1998647
1667548800000,0.1442,0.1444,0.1416,0.1431,1054954
1667552400000,0.1431,0.1433,0.1415,0.1424,966902
1667556000000,0.1425,0.1449,0.1417,0.1433,1249691
1667559600000,0.1432,0.1443,0.1412,0.1418,842337
1667563200000,0.1419,0.1511,0.1396,0.1493,5182646
