date,open,high,low,close,volume
1667005200000,1.743,1.744,1.721,1.729,165534.07
1667008800000,1.729,1.74,1.718,1.733,178151.7
1667012400000,1.734,1.764,1.73,1.762,374774.62
1667016000000,1.761,1.762,1.729,1.73,219975.23
1667019600000,1.73,1.743,1.727,1.734,177808.93
1667023200000,1.735,1.758,1.735,1.739,218601.92
1667026800000,1.74,1.755,1.735,1.754,221316.72
1667030400000,1.755,1.78,1.744,1.77,399198.96
1667034000000,1.77,1.771,1.748,1.758,282531.55
1667037600000,1.759,1.759,1.706,1.717,413249.06
1667041200000,1.717,1.727,1.696,1.707,297167.46
1667044800000,1.707,1.726,1.703,1.721,239769.31
1667048400000,1.72,1.721,1.688,1.712,325453.9
1667052000000,1.711,1.72,1.694,1.695,418560.79
1667055600000,1.696,1.732,1.692,1.719,378978.39
1667059200000,1.72,1.92,1.717,1.866,1407614.03
1667062800000,1.867,1.878,1.765,1.776,1301491.33
1667066400000,1.776,1.804,1.767,1.78,430918.4
1667070000000,1.78,1.782,1.732,1.734,259678.23
1667073600000,1.735,1.745,1.731,1.734,154102.93
1667077200000,1.733,1.739,1.728,1.736,91271.76
1667080800000,1.735,1.743,1.711,1.723,202536.59
1667084400000,1.721,1.764,1.711,1.762,194290.29
1667088000000,1.763,1.763,1.734,1.745,215194.39
1667091600000,1.745,1.785,1.742,1.785,206709.8
1667095200000,1.785,1.792,1.767,1.78,202837.86
1667098800000,1.781,1.8,1.777,1.79,188450.16
1667102400000,1.791,1.794,1.774,1.78,152241.02
1667106000000,1.781,1.8,1.767,1.77,583650.14
1667109600000,1.769,1.794,1.753,1.78,328661.59
1667113200000,1.779,1.826,1.766,1.805,468570.13
1667116800000,1.805,1.809,1.745,1.782,365691.32
1667120400000,1.781,1.791,1.724,1.751,365413.67
1667124000000,1.751,1.766,1.739,1.741,273514.36
1667127600000,1.741,1.757,1.726,1.752,214790.2
1667131200000,1.752,1.752,1.724,1.746,270629.46
1667134800000,1.747,1.751,1.718,1.726,393034.45
1667138400000,1.725,1.741,1.722,1.736,185417.32
1667142000000,1.737,1.737,1.693,1.693,417399.64
1667145600000,1.693,1.718,1.678,1.689,338706.17
1667149200000,1.689,1.699,1.681,1.696,196943.97
1667152800000,1.696,1.696,1.685,1.691,89867.8
1667156400000,1.691,1.7,1.686,1.691,94833.86
1667160000000,1.691,1.707,1.685,1.701,179080.65
1667163600000,1.701,1.709,1.698,1.701,106656.95
1667167200000,1.702,1.702,1.658,1.689,399109.38
1667170800000,1.689,1.696,1.678,1.686,172895.32
1667174400000,1.686,1.7,1.667,1.673,298476.53
1667178000000,1.672,1.689,1.656,1.672,289652.65
1667181600000,1.673,1.676,1.647,1.674,287867.57
1667185200000,1.674,1.707,1.67,1.7,301062.45
1667188800000,1.7,1.712,1.694,1.704,346679.18
1667192400000,1.703,1.706,1.691,1.702,196348.13
1667196000000,1.701,1.704,1.679,1.686,412139.24
1667199600000,1.685,1.696,1.678,1.695,157870.37
1667203200000,1.695,1.695,1.668,1.674,116060.85
1667206800000,1.674,1.73,1.669,1.729,292053.65
1667210400000,1.728,1.737,1.708,1.72,371517.92
1667214000000,1.721,1.739,1.719,1.727,217029.37
1667217600000,1.727,1.755,1.713,1.739,311011.55
1667221200000,1.738,1.749,1.651,1.652,636433.98
1667224800000,1.651,1.69,1.648,1.677,420828.82
1667228400000,1.676,1.69,1.667,1.672,250397.78
1667232000000,1.672,1.684,1.638,1.655,285157.2
1667235600000,1.655,1.668,1.648,1.652,148372.31
1667239200000,1.651,1.652,1.634,1.636,128043.11
1667242800000,1.636,1.636,1.618,1.622,251248.17
1667246400000,1.623,1.637,1.619,1.621,100516.61
1667250000000,1.621,1.626,1.619,1.622,102897.3
1667253600000,1.622,1.643,1.614,1.643,216449.04
1667257200000,1.643,1.645,1.632,1.637,86669.31
1667260800000,1.637,1.65,1.628,1.641,199581.12
1667264400000,1.642,1.657,1.641,1.651,130749.56
1667268000000,1.65,1.663,1.648,1.658,153448.98
1667271600000,1.659,1.664,1.65,1.656,110754.7
1667275200000,1.655,1.661,1.646,1.65,115929.56
1667278800000,1.651,1.658,1.648,1.651,104145.07
1667282400000,1.651,1.668,1.644,1.662,159980.38
1667286000000,1.662,1.664,1.647,1.655,119304.29
1667289600000,1.655,1.66,1.641,1.647,206635.33
1667293200000,1.647,1.677,1.647,1.666,332491.11
1667296800000,1.666,1.678,1.659,1.674,137666.41
1667300400000,1.674,1.674,1.642,1.656,219133.31
1667304000000,1.656,1.678,1.642,1.67,241835.47
1667307600000,1.67,1.671,1.626,1.648,309834.58
1667311200000,1.648,1.671,1.636,1.651,314589.15
1667314800000,1.652,1.659,1.638,1.645,90048.23
1667318400000,1.644,1.653,1.605,1.61,296717.35
