date,open,high,low,close,volume
1667005200000,57.17,57.25,56.96,57.02,1262.35
1667008800000,57.02,57.43,57.02,57.35,1681.05
1667012400000,57.32,57.79,57.23,57.77,6155.29
1667016000000,57.75,57.85,57.33,57.48,1672.44
1667019600000,57.46,57.74,57.33,57.52,3404.53
1667023200000,57.53,57.78,57.51,57.58,1590.58
1667026800000,57.57,57.65,57.44,57.49,3066.55
1667030400000,57.47,57.91,57.42,57.9,5383.29
1667034000000,57.92,58,57.62,57.86,5673.31
1667037600000,57.86,57.95,56.91,56.93,7921.07
1667041200000,56.97,57.14,56.6,56.6,5503.7
1667044800000,56.6,57.05,56.44,56.97,5684.77
1667048400000,56.97,57,56.53,56.9,3728.01
1667052000000,56.92,57.15,56.74,56.82,2369.48
1667055600000,56.87,57.2,56.78,57.06,8593.77
1667059200000,57.05,57.61,56.98,57.44,10288.86
1667062800000,57.47,57.73,56.6,56.79,11657.86
1667066400000,56.79,57.14,56.52,56.69,13529.4
1667070000000,56.71,56.78,56.11,56.43,6757.33
1667073600000,56.42,56.6,56.24,56.42,5368.04
1667077200000,56.43,56.75,56.34,56.55,1711
1667080800000,56.54,56.66,56.21,56.35,2747.7
1667084400000,56.34,56.65,56.16,56.61,1676.92
1667088000000,56.6,56.67,55.96,56.04,3732.56
1667091600000,56.02,56.49,55.98,56.44,1533.2
1667095200000,56.45,56.69,56.12,56.68,3279.06
1667098800000,56.66,56.95,56.66,56.95,2960.86
1667102400000,56.95,57.01,56.65,56.68,2553.93
1667106000000,56.7,57.41,56.69,57.1,6192.25
1667109600000,57.11,57.61,57.04,57.47,8279.1
1667113200000,57.48,57.77,57.36,57.65,7918.22
1667116800000,57.64,57.85,56.94,57.35,8442.32
1667120400000,57.36,57.59,56.75,57.13,7498.62
1667124000000,57.14,57.39,56.94,57.27,6212.02
1667127600000,57.28,57.6,57.24,57.46,5266.65
1667131200000,57.46,57.83,57.12,57.65,8871.51
1667134800000,57.65,57.92,57.2,57.72,15009.46
1667138400000,57.71,58.37,57.6,58.09,9631.15
1667142000000,58.1,58.18,57.26,57.36,8727.45
1667145600000,57.33,58.01,57.24,57.81,4291.88
1667149200000,57.78,58.11,57.72,58.1,3776.02
1667152800000,58.1,58.49,57.92,57.95,11118.26
1667156400000,57.98,58.36,57.74,58.23,4047.9
1667160000000,58.23,58.64,58.2,58.48,9949.04
1667163600000,58.5,58.9,58.4,58.63,11538.81
1667167200000,58.63,58.68,57.38,58.16,11443.76
1667170800000,58.15,58.5,58.09,58.37,4535.56
1667174400000,58.38,59.67,58.35,59.48,20077.02
1667178000000,59.46,59.47,58.55,59.13,6837.88
1667181600000,59.12,59.47,58.57,59.24,6660.53
1667185200000,59.24,59.87,59.05,59.86,5364.82
1667188800000,59.84,60.4,59.59,59.6,13824.45
1667192400000,59.6,59.65,59.02,59.06,9254.54
1667196000000,59.07,59.26,58.2,58.8,12904.75
1667199600000,58.86,58.95,58.39,58.89,6881.2
1667203200000,58.89,59.14,58.4,58.81,14094.74
1667206800000,58.8,59.6,58.75,59.35,11901.18
1667210400000,59.37,59.69,58.98,59.05,11295.11
1667214000000,59.05,59.52,59.05,59.46,3536.49
1667217600000,59.46,60,59.02,59.14,10769.2
1667221200000,59.1,59.53,57.66,57.66,17728.43
1667224800000,57.69,58.54,57.6,58.12,13187.63
1667228400000,58.1,58.5,58,58.16,10410.05
1667232000000,58.11,58.51,57.7,58.08,9048.26
1667235600000,58.08,58.24,57.88,57.98,4101.42
1667239200000,57.98,58.14,57.8,58,4267.07
1667242800000,58.01,58.02,57.6,57.67,3752.08
1667246400000,57.68,58,57.43,57.81,3297.64
1667250000000,57.75,58.17,57.75,58.06,2151.81
1667253600000,58.08,58.45,57.91,58.31,2950.6
1667257200000,58.32,58.49,58.24,58.24,1517.95
1667260800000,58.24,59.21,58.2,59.07,11273.61
1667264400000,59.07,59.28,58.73,58.97,5747.41
1667268000000,58.96,59.25,58.88,59.07,2459.49
1667271600000,59.03,59.25,58.76,58.81,2684.08
1667275200000,58.78,59.03,58.58,58.7,3478.82
1667278800000,58.71,58.82,58.55,58.59,2505.72
1667282400000,58.58,59.15,58.58,59.13,4002.18
1667286000000,59.11,59.22,58.85,59.11,3142.74
1667289600000,59.11,59.48,59.05,59.17,8272.88
1667293200000,59.17,59.53,59.16,59.35,7277.44
1667296800000,59.36,59.89,59.16,59.81,10905.13
1667300400000,59.82,59.99,59.38,59.5,8245.78
1667304000000,59.51,59.81,59.34,59.54,4831.78
1667307600000,59.54,59.64,58.72,58.84,7689.7
1667311200000,58.86,59.11,58.63,59.08,7240.58
1667314800000,59.1,59.98,59.03,59.39,15375.08
1667318400000,59.39,60.07,59.28,59.98,13878.48
1667322000000,59.97,60.27,59.62,60,11876.43
1667325600000,59.99,60.14,59.75,60.06,8084.58
1667329200000,60.06,60.16,59.81,60.02,8549.92
1667332800000,60.02,60.18,59.84,60.16,6601.96
1667336400000,60.16,60.27,59.69,59.73,5714.75
1667340000000,59.73,59.98,59.53,59.79,6031.93
1667343600000,59.8,59.97,59.68,59.71,5128.38
1667347200000,59.71,60.2,59.25,60.2,8186.03
1667350800000,60.2,60.21,59.83,59.87,2387.39
1667354400000,59.88,59.96,59.43,59.76,4601.9
1667358000000,59.78,60.6,59.58,60.58,8952.94
1667361600000,60.59,60.72,60.38,60.66,5517.34
1667365200000,60.67,61.1,60.5,60.59,14078.99
1667368800000,60.61,60.7,59.82,60.07,10016.03
1667372400000,60.08,60.31,59.58,59.89,10139.5
1667376000000,59.89,60.6,59.87,60.55,8594.54
1667379600000,60.56,60.83,59.68,59.7,18415.71
1667383200000,59.72,60.13,59.09,59.93,14874.84
1667386800000,59.93,59.98,59.68,59.7,5123.37
1667390400000,59.7,59.74,59.23,59.33,7087.56
1667394000000,59.32,59.67,59.23,59.37,4972.04
1667397600000,59.36,59.59,58.9,58.93,13638.24
1667401200000,58.93,59.02,58.37,58.5,17084.1
1667404800000,58.5,58.5,57.6,58.23,17957.54
1667408400000,58.25,58.26,57.75,57.97,10175.45
1667412000000,58.04,59.8,57.82,58.8,40525.55
1667415600000,58.74,59.44,57.83,58.43,18173.56
1667419200000,58.41,58.55,57.58,58.34,10904.62
1667422800000,58.33,59.01,58.02,58.92,10748.42
1667426400000,58.91,59.4,58.64,58.99,9381.44
1667430000000,58.99,59.69,58.92,59.59,7445.59
1667433600000,59.57,60.29,59.46,60.11,8925.45
1667437200000,60.17,60.55,60.08,60.46,4969.12
1667440800000,60.47,60.83,60.47,60.54,6912.61
1667444400000,60.58,61.06,60.51,60.99,15423.19
1667448000000,61.01,61.94,60.57,60.94,19095.82
1667451600000,60.94,62.25,60.89,62.25,15685.13
1667455200000,62.24,62.32,61.56,62.02,9776.98
1667458800000,62.03,62.33,61.7,61.97,8489.16
1667462400000,61.99,63.99,61.92,63.18,52554.51
1667466000000,63.17,63.95,62.5,63.58,38282.08
1667469600000,63.58,63.62,62.25,62.25,22227.08
1667473200000,62.26,62.46,60.49,61.22,33141.81
1667476800000,61.22,61.74,60.38,61.07,18578.06
1667480400000,61.09,61.82,60.54,60.61,22537.4
1667484000000,60.63,61.65,60.56,60.79,14348.33
1667487600000,60.78,60.81,59.72,59.9,22782.32
1667491200000,59.89,60,59.34,59.97,16187.21
1667494800000,59.98,59.99,59.54,59.61,9786.84
1667498400000,59.6,59.62,58.81,59.32,17021.45
1667502000000,59.37,59.74,59.28,59.6,6889.17
1667505600000,59.59,59.6,58.89,58.97,8549.32
1667509200000,58.97,60.09,58.97,59.93,13615.94
1667512800000,59.92,59.94,59.18,59.23,7326.19
1667516400000,59.22,59.64,59.01,59.49,3877.79
1667520000000,59.48,59.6,58.67,58.76,10768.72
1667523600000,58.76,59.32,58.44,58.55,6424.47
