date,open,high,low,close,volume
1667005200000,0.1329,0.1329,0.1327,0.1328,11183.1
1667008800000,0.1328,0.1333,0.1328,0.1332,158786.6
1667012400000,0.1331,0.1337,0.1331,0.1336,275081.6
1667016000000,0.1335,0.1335,0.1329,0.1329,95558.3
1667019600000,0.133,0.1335,0.1326,0.1328,702634.4
1667023200000,0.1328,0.1331,0.1328,0.1329,87412
1667026800000,0.1328,0.1333,0.1328,0.1333,100034.7
1667030400000,0.1331,0.1341,0.1331,0.1337,579465.1
1667034000000,0.1336,0.1339,0.1335,0.1337,76432.1
1667037600000,0.1336,0.1341,0.133,0.133,482920.9
1667041200000,0.133,0.133,0.1326,0.1327,278622.6
1667044800000,0.1326,0.1329,0.1325,0.1326,53129
1667048400000,0.1328,0.1329,0.1325,0.1326,219420.2
1667052000000,0.1326,0.1334,0.1326,0.1328,522037.9
1667055600000,0.1327,0.1333,0.1326,0.1331,206914.7
1667059200000,0.1331,0.1337,0.1326,0.1335,504025.7
1667062800000,0.1334,0.1344,0.1333,0.1334,696069.7
1667066400000,0.1333,0.1337,0.1333,0.1333,213857.2
1667070000000,0.1335,0.1336,0.1333,0.1333,58108.3
1667073600000,0.1334,0.1335,0.1331,0.1334,49056.3
1667077200000,0.1334,0.1334,0.133,0.1332,46026.7
1667080800000,0.1332,0.1333,0.133,0.133,105476.6
1667084400000,0.133,0.1335,0.1329,0.1333,24613.7
1667088000000,0.1333,0.1336,0.1327,0.1328,315586.5
1667091600000,0.1328,0.1329,0.1325,0.1328,43078.7
1667095200000,0.1329,0.1333,0.1325,0.1327,119186.1
1667098800000,0.1325,0.1328,0.1323,0.1325,46027.5
1667102400000,0.1325,0.1325,0.1323,0.1323,13686.3
1667106000000,0.1324,0.1327,0.1323,0.1325,12683.5
1667109600000,0.1325,0.1328,0.1321,0.1326,174191.2
1667113200000,0.1323,0.1331,0.1323,0.1328,318866.5
1667116800000,0.1328,0.1333,0.1321,0.1324,543933.1
1667120400000,0.1325,0.1327,0.132,0.132,171935.3
1667124000000,0.1321,0.1323,0.1317,0.1322,137179.4
1667127600000,0.1322,0.1324,0.132,0.1324,53953.3
1667131200000,0.1324,0.1324,0.1317,0.132,80116
1667134800000,0.1319,0.1321,0.1317,0.1317,154394.5
1667138400000,0.1317,0.1321,0.1315,0.1319,126447.7
1667142000000,0.1319,0.1321,0.1313,0.1314,141458.5
1667145600000,0.1314,0.1318,0.1313,0.1314,161103.2
1667149200000,0.1313,0.1317,0.1313,0.1316,27304
1667152800000,0.1316,0.1318,0.1315,0.1317,32384.2
1667156400000,0.1317,0.1318,0.1315,0.1315,20355.8
1667160000000,0.1317,0.132,0.1315,0.132,23902.2
1667163600000,0.132,0.1321,0.1318,0.1321,24301.4
1667167200000,0.132,0.132,0.1313,0.1316,62465.1
1667170800000,0.1316,0.1318,0.1314,0.1318,5306
1667174400000,0.1318,0.1319,0.1309,0.1309,305018.7
1667178000000,0.1309,0.131,0.1305,0.1306,266189.9
1667181600000,0.1305,0.1307,0.1298,0.13,291441
1667185200000,0.13,0.1305,0.13,0.1304,41552.8
1667188800000,0.1305,0.1305,0.1304,0.1305,109911.2
1667192400000,0.1305,0.1307,0.1302,0.1303,124373.1
1667196000000,0.1304,0.1305,0.1301,0.1304,81406.5
1667199600000,0.1304,0.1309,0.1303,0.1309,121295.5
1667203200000,0.1308,0.131,0.1305,0.1308,179576.9
1667206800000,0.1308,0.1317,0.1306,0.1317,446848.5
1667210400000,0.1316,0.132,0.1315,0.1319,190077.4
1667214000000,0.132,0.1322,0.1317,0.1317,217927.2
1667217600000,0.1319,0.132,0.1315,0.1318,269835.4
1667221200000,0.1318,0.132,0.1308,0.1308,617574.3
1667224800000,0.1307,0.131,0.1301,0.1308,520605.8
1667228400000,0.1308,0.131,0.1304,0.1307,268933.7
1667232000000,0.1307,0.1313,0.1303,0.1305,439569.8
1667235600000,0.1305,0.1308,0.1293,0.13,733332.6
1667239200000,0.13,0.1303,0.1289,0.1303,1150333.1
1667242800000,0.1301,0.1301,0.1298,0.13,32692.7
1667246400000,0.13,0.1302,0.1297,0.1302,91044.2
1667250000000,0.13,0.1301,0.1299,0.1299,4174.7
1667253600000,0.1301,0.1309,0.1297,0.1305,467447.1
1667257200000,0.1305,0.131,0.1303,0.131,302306.6
1667260800000,0.1308,0.1313,0.1307,0.1312,152502.8
1667264400000,0.1312,0.1317,0.1312,0.1314,116372.1
1667268000000,0.1313,0.1319,0.1313,0.1317,328652
1667271600000,0.1319,0.132,0.1313,0.1317,69413.3
1667275200000,0.1315,0.1319,0.1315,0.1317,118652.4
1667278800000,0.1316,0.132,0.1316,0.1318,76946.5
1667282400000,0.1318,0.1321,0.1317,0.132,213950.1
1667286000000,0.132,0.1321,0.1316,0.1317,80431.2
1667289600000,0.1317,0.1325,0.1315,0.1321,371715.6
1667293200000,0.1323,0.1326,0.1319,0.1324,713086.2
1667296800000,0.1322,0.1332,0.1321,0.1327,472679.6
1667300400000,0.1327,0.1327,0.132,0.132,515111.4
1667304000000,0.132,0.1323,0.1317,0.1318,146783.5
1667307600000,0.1318,0.1321,0.131,0.1312,482496.5
1667311200000,0.131,0.1313,0.1309,0.1309,64765.1
1667314800000,0.131,0.1312,0.1309,0.131,29043.2
1667318400000,0.131,0.1312,0.1309,0.1309,213547
1667322000000,0.1309,0.1311,0.1309,0.1311,67496.7
1667325600000,0.1311,0.1312,0.1309,0.1311,33389.4
1667329200000,0.1311,0.1313,0.1309,0.131,27962.8
1667332800000,0.131,0.1312,0.1309,0.1309,23492.1
1667336400000,0.1309,0.1317,0.1309,0.1314,198685.5
1667340000000,0.1314,0.1315,0.131,0.1312,27587.1
1667343600000,0.1312,0.1313,0.1307,0.1312,123095
1667347200000,0.1312,0.1315,0.1309,0.1315,183838.5
1667350800000,0.1316,0.1317,0.1314,0.1316,107455.4
1667354400000,0.1316,0.1318,0.1315,0.1317,13408.5
1667358000000,0.1318,0.132,0.1317,0.1318,6792.1
1667361600000,0.1319,0.1319,0.1314,0.1314,30285
1667365200000,0.1316,0.1319,0.1313,0.1313,165829.1
1667368800000,0.1316,0.1316,0.1309,0.1312,136090.4
1667372400000,0.1311,0.1312,0.1305,0.1307,261574.4
1667376000000,0.1306,0.1313,0.1306,0.1313,240881.8
1667379600000,0.1313,0.1316,0.1305,0.1308,431337.3
1667383200000,0.1307,0.1308,0.13,0.1302,553133.3
1667386800000,0.1302,0.1308,0.1302,0.1303,289578.9
1667390400000,0.1302,0.1304,0.1298,0.13,292480.4
1667394000000,0.13,0.1302,0.1296,0.1298,235727.2
1667397600000,0.1298,0.1301,0.1298,0.1299,63468.1
1667401200000,0.1299,0.13,0.1298,0.1299,8761.6
1667404800000,0.1298,0.1301,0.1293,0.1301,372209.7
1667408400000,0.1301,0.1301,0.1293,0.1294,82950.8
1667412000000,0.1293,0.1311,0.1289,0.1293,2861068.7
1667415600000,0.1293,0.1301,0.1283,0.1287,1329050.8
1667419200000,0.1286,0.1288,0.1277,0.1281,400335.5
1667422800000,0.128,0.1282,0.1277,0.1281,57399.9
1667426400000,0.1281,0.1282,0.1277,0.1279,47911.1
1667430000000,0.1278,0.1281,0.1278,0.1281,45416.9
1667433600000,0.1279,0.1286,0.1277,0.1285,400822.1
1667437200000,0.1284,0.1289,0.1284,0.1289,75193.4
1667440800000,0.1288,0.129,0.1288,0.129,209656.3
1667444400000,0.1289,0.1293,0.1289,0.1293,191119.9
1667448000000,0.1293,0.1297,0.1292,0.1297,492446.1
1667451600000,0.1297,0.1303,0.1297,0.1303,261984.8
1667455200000,0.1303,0.1303,0.13,0.1302,50420.2
1667458800000,0.1302,0.1304,0.1297,0.1297,177108.6
1667462400000,0.1297,0.1302,0.1297,0.1301,267883
1667466000000,0.13,0.1305,0.1297,0.1303,253884.7
1667469600000,0.1304,0.1307,0.1303,0.1304,208929
1667473200000,0.1306,0.1306,0.1293,0.1293,533099.5
1667476800000,0.1294,0.1299,0.1289,0.1292,175863.8
1667480400000,0.1292,0.1304,0.1292,0.1297,921334.9
1667484000000,0.1299,0.1311,0.1297,0.1311,665110
1667487600000,0.1311,0.1313,0.1305,0.1306,368671.7
1667491200000,0.1306,0.1311,0.1305,0.1311,246385.8
1667494800000,0.131,0.1313,0.1305,0.1306,210291.7
1667498400000,0.1307,0.1311,0.1305,0.1309,206795.4
1667502000000,0.131,0.1313,0.1305,0.1307,156519
1667505600000,0.1307,0.1308,0.1306,0.1307,46676.5
1667509200000,0.1306,0.1308,0.1306,0.1307,76419.2
1667512800000,0.1307,0.1307,0.1301,0.1301,212643.9
1667516400000,0.1301,0.1304,0.1301,0.1302,200039.1
1667520000000,0.1302,0.1303,0.1297,0.1299,291341.1
1667523600000,0.1299,0.1303,0.1295,0.1297,276954.3
1667527200000,0.1295,0.13,0.1295,0.1298,106390.8
1667530800000,0.1298,0.1309,0.1297,0.1306,623878.2
1667534400000,0.1306,0.1309,0.1301,0.1304,286072.1
1667538000000,0.1304,0.1311,0.1304,0.1311,280915.8
1667541600000,0.1311,0.1321,0.1311,0.1319,438399.3
1667545200000,0.1319,0.1321,0.1316,0.1318,162875.9
1667548800000,0.132,0.1321,0.1318,0.1319,142906.5
1667552400000,0.1318,0.1321,0.1314,0.1319,185026.3
1667556000000,0.132,0.1324,0.1318,0.1324,118416.2
1667559600000,0.1323,0.1325,0.1317,0.1319,566991.5
1667563200000,0.132,0.1329,0.1313,0.1329,1050596.8
1667566800000,0.1329,0.1336,0.1329,0.1331,355983.3
1667570400000,0.1331,0.1355,0.1331,0.1352,1780541.2
1667574000000,0.1353,0.1353,0.1337,0.1338,830243.6
1667577600000,0.1337,0.1341,0.1337,0.1338,295343.8
1667581200000,0.1339,0.1345,0.1337,0.1344,61570.2
1667584800000,0.1342,0.1348,0.1338,0.1346,317659.2
1667588400000,0.1345,0.1349,0.1344,0.1348,166489.7
1667592000000,0.1349,0.1349,0.1344,0.1349,164143
1667595600000,0.1348,0.1353,0.1346,0.1352,230975.2
1667599200000,0.1351,0.1353,0.1345,0.1353,287175.4
1667602800000,0.1353,0.1356,0.1347,0.1355,138243.7
1667606400000,0.1355,0.136,0.1349,0.1359,799788.6
1667610000000,0.1359,0.1364,0.1354,0.1363,668666.2
1667613600000,0.1362,0.1369,0.1362,0.1366,452005.4
1667617200000,0.1367,0.1381,0.1367,0.1375,954014.7
1667620800000,0.1375,0.1381,0.1373,0.1377,426065.2
1667624400000,0.1378,0.1379,0.1373,0.1374,192049.4
1667628000000,0.1374,0.1377,0.1373,0.1375,141356.8
1667631600000,0.1374,0.1377,0.1369,0.1372,155331.6
1667635200000,0.1371,0.1373,0.1365,0.1365,448390.3
1667638800000,0.1365,0.1368,0.1363,0.1364,78193.4
1667642400000,0.1364,0.1367,0.1362,0.1366,64799
1667646000000,0.1365,0.1369,0.1364,0.1366,117986.1
1667649600000,0.1367,0.1367,0.1361,0.1363,43448.2
1667653200000,0.1362,0.1363,0.1361,0.1362,165822.5
1667656800000,0.1362,0.1362,0.1357,0.136,152078.3
1667660400000,0.136,0.1363,0.1357,0.1361,50180
1667664000000,0.1363,0.1364,0.136,0.1362,46504.7
1667667600000,0.1361,0.1363,0.1359,0.1362,40903.1
1667671200000,0.1362,0.1362,0.1357,0.1357,83399.8
1667674800000,0.1357,0.136,0.1357,0.1358,29949.6
1667678400000,0.1358,0.1359,0.1357,0.1359,9823.5
1667682000000,0.1359,0.1362,0.1357,0.1358,124537.3
1667685600000,0.1357,0.1359,0.1357,0.1358,12932.9
1667689200000,0.1358,0.1358,0.1353,0.1355,209042.5
1667692800000,0.1355,0.1357,0.1353,0.1353,29492.1
1667696400000,0.1356,0.1357,0.1353,0.1353,284138.1
1667700000000,0.1353,0.1355,0.135,0.1351,103374.7
1667703600000,0.1351,0.1353,0.135,0.1352,7514.1
1667707200000,0.1353,0.1353,0.135,0.135,9454.4
1667710800000,0.135,0.1351,0.1348,0.1348,326652.4
1667714400000,0.1349,0.1349,0.1345,0.1346,225457.8
1667718000000,0.1345,0.1348,0.1341,0.1346,110656
1667721600000,0.1346,0.1352,0.1346,0.1352,241482
1667725200000,0.1352,0.1352,0.135,0.135,17353.6
1667728800000,0.1352,0.1353,0.135,0.1351,20986
1667732400000,0.1352,0.1353,0.1345,0.1347,267150
1667736000000,0.1347,0.1349,0.1347,0.1347,52330.4
1667739600000,0.1347,0.1348,0.1346,0.1346,42353
1667743200000,0.1346,0.135,0.1346,0.1348,65433.2
1667746800000,0.1348,0.1353,0.1347,0.1347,137259.5
1667750400000,0.1348,0.1353,0.1345,0.1348,288291.9
1667754000000,0.135,0.135,0.1344,0.1344,17227.6
1667757600000,0.1345,0.1346,0.1342,0.1343,51198.3
1667761200000,0.1343,0.1345,0.1343,0.1344,130112
1667764800000,0.1343,0.1346,0.1343,0.1344,31907.9
1667768400000,0.1344,0.1346,0.1341,0.1341,47793
1667772000000,0.1341,0.1343,0.1337,0.134,337690.8
1667775600000,0.1339,0.1339,0.1325,0.1326,631488.1
1667779200000,0.1326,0.1326,0.1318,0.1319,630805.7
1667782800000,0.1321,0.1324,0.1317,0.1321,412771.4
1667786400000,0.1323,0.1327,0.1323,0.1325,283261.3
1667790000000,0.1324,0.1325,0.1317,0.1319,417118.5
1667793600000,0.1319,0.1319,0.1313,0.1317,187077.4
1667797200000,0.1316,0.1321,0.1315,0.1319,242653.4
1667800800000,0.132,0.132,0.1312,0.1312,204582.5
1667804400000,0.1312,0.1312,0.1301,0.1301,579283.5
1667808000000,0.1301,0.1309,0.1301,0.1309,291683.4
1667811600000,0.1309,0.1311,0.1307,0.1309,226908.1
1667815200000,0.1307,0.1313,0.1307,0.1313,197424.2
1667818800000,0.1313,0.1313,0.1309,0.1309,14635.9
1667822400000,0.131,0.1313,0.1308,0.1312,80154
1667826000000,0.1312,0.1317,0.1309,0.131,103817
1667829600000,0.131,0.1312,0.1308,0.1308,242168.4
1667833200000,0.1308,0.1313,0.1305,0.1312,152712.7
1667836800000,0.1312,0.1313,0.1306,0.1307,44797.6
1667840400000,0.1307,0.1309,0.1306,0.1308,32599.8
1667844000000,0.1308,0.1311,0.1307,0.131,27163
1667847600000,0.1311,0.1316,0.1309,0.1314,194053.4
1667851200000,0.1315,0.1316,0.1312,0.1313,18313.6
1667854800000,0.1314,0.1314,0.1309,0.131,297022.5
1667858400000,0.1311,0.1311,0.1298,0.1301,464378.5
1667862000000,0.1301,0.1305,0.1298,0.1304,198958
