date,open,high,low,close,volume
1667005200000,0.4529,0.4529,0.4504,0.4508,168664.1
1667008800000,0.4508,0.4526,0.4481,0.4517,197110.8
1667012400000,0.4517,0.4562,0.4502,0.455,699376.3
1667016000000,0.4552,0.4577,0.4527,0.4529,235770.8
1667019600000,0.453,0.4553,0.4521,0.4534,441734.8
1667023200000,0.4536,0.4554,0.4534,0.4541,260010.6
1667026800000,0.4542,0.4561,0.4535,0.4559,181124.4
1667030400000,0.4559,0.4591,0.4543,0.4576,562899.3
1667034000000,0.4574,0.4586,0.4563,0.4577,241337.9
1667037600000,0.4577,0.4589,0.4489,0.4501,475299.2
1667041200000,0.45,0.4519,0.4477,0.449,298890.8
1667044800000,0.4488,0.4528,0.4483,0.4527,211982.3
1667048400000,0.4524,0.4528,0.4475,0.4507,151083.6
1667052000000,0.4507,0.4537,0.4492,0.4502,317768.7
1667055600000,0.4499,0.4586,0.4497,0.4557,1245186.2
1667059200000,0.4559,0.4641,0.455,0.4619,770401.7
1667062800000,0.4624,0.4648,0.4519,0.452,683686.3
1667066400000,0.452,0.4578,0.4495,0.4548,701569.9
1667070000000,0.4555,0.4572,0.4514,0.4556,292997.2
1667073600000,0.4554,0.457,0.4527,0.4555,273127.7
1667077200000,0.4556,0.4575,0.4548,0.455,120738.2
1667080800000,0.4548,0.4566,0.4484,0.451,232328.8
1667084400000,0.4506,0.4561,0.4488,0.4558,257193.3
1667088000000,0.4556,0.4563,0.4501,0.4514,211271.7
1667091600000,0.4513,0.4557,0.4499,0.4557,262547.7
1667095200000,0.4559,0.4569,0.4543,0.4561,148982.4
1667098800000,0.4562,0.458,0.4562,0.4575,99043.9
1667102400000,0.4577,0.4582,0.4541,0.4545,154211.4
1667106000000,0.4543,0.4585,0.4543,0.4563,178090.3
1667109600000,0.4563,0.46,0.4545,0.4588,366704.3
1667113200000,0.4588,0.4768,0.4577,0.4754,1743972.5
1667116800000,0.4753,0.4858,0.4623,0.4696,2795304
1667120400000,0.4695,0.4779,0.4649,0.4682,837161.9
1667124000000,0.4681,0.4733,0.4668,0.4707,645835.2
1667127600000,0.4707,0.4741,0.4666,0.4699,289383.7
1667131200000,0.4698,0.47,0.4631,0.4677,407362.4
1667134800000,0.4681,0.4703,0.4622,0.4635,422807.8
1667138400000,0.463,0.4673,0.4605,0.4656,324038.8
1667142000000,0.4661,0.4661,0.4571,0.4581,491994.7
1667145600000,0.458,0.4619,0.4532,0.4563,495782.4
1667149200000,0.4566,0.4599,0.4552,0.4594,346366.2
1667152800000,0.4593,0.4619,0.4572,0.4603,423730.8
1667156400000,0.4603,0.4687,0.46,0.4669,984230.7
1667160000000,0.4671,0.4675,0.4631,0.4653,187857.3
1667163600000,0.4655,0.4667,0.4628,0.4648,132234.8
1667167200000,0.4649,0.4651,0.4514,0.4579,418744.9
1667170800000,0.4578,0.4599,0.4561,0.459,174442.3
1667174400000,0.4592,0.4639,0.457,0.4576,527007.1
1667178000000,0.4577,0.4611,0.4542,0.4594,395111.3
1667181600000,0.4591,0.4594,0.4525,0.4556,233376.9
1667185200000,0.4559,0.4625,0.4547,0.4623,150025
1667188800000,0.4622,0.4635,0.4598,0.4609,200844.8
1667192400000,0.461,0.4617,0.457,0.4579,133993.5
1667196000000,0.458,0.4586,0.452,0.4551,249578.2
1667199600000,0.4554,0.4563,0.4538,0.4563,292967.7
1667203200000,0.4558,0.4558,0.4488,0.4508,391375
1667206800000,0.4507,0.459,0.4491,0.4576,395906.7
1667210400000,0.4576,0.4592,0.456,0.4589,358475.8
