date,open,high,low,close,volume
1667005200000,17.1,17.25,17.08,17.13,31467.06
1667008800000,17.14,17.38,17.13,17.36,31655.24
1667012400000,17.37,17.72,17.32,17.58,87902.08
1667016000000,17.59,17.61,17.39,17.41,37470.33
1667019600000,17.41,17.75,17.41,17.6,37783.84
1667023200000,17.59,17.83,17.56,17.58,37094.7
1667026800000,17.58,17.7,17.55,17.69,18448.39
1667030400000,17.69,17.96,17.54,17.96,71374.24
1667034000000,17.96,19.34,17.96,18.54,302052.3
1667037600000,18.54,18.66,18.26,18.31,82763.36
1667041200000,18.32,18.43,18.14,18.23,59742.03
1667044800000,18.24,18.48,18.21,18.43,61028.27
1667048400000,18.42,18.43,18.03,18.25,41398.2
1667052000000,18.26,18.31,17.95,18.02,50194.87
1667055600000,18.02,18.17,17.93,18.02,36845.6
1667059200000,18.03,18.47,17.95,18.26,79139.98
1667062800000,18.26,18.34,17.77,17.86,70210
1667066400000,17.86,18.03,17.58,17.92,98506.42
1667070000000,17.93,17.93,17.64,17.77,16661.56
1667073600000,17.77,17.9,17.71,17.82,12404.87
1667077200000,17.82,17.86,17.79,17.8,6455.99
1667080800000,17.8,17.82,17.26,17.58,59546.07
1667084400000,17.57,17.74,17.48,17.72,22120.67
1667088000000,17.72,17.74,17.35,17.42,81004.37
1667091600000,17.42,17.66,17.38,17.66,38077.83
1667095200000,17.65,17.69,17.55,17.67,18884.82
1667098800000,17.68,17.94,17.67,17.91,24103.72
1667102400000,17.91,17.97,17.69,17.81,31411.18
1667106000000,17.81,17.84,17.72,17.75,11194.45
1667109600000,17.75,18.15,17.69,18.02,58969.83
1667113200000,18.02,18.38,17.92,18.21,68520.45
1667116800000,18.22,18.23,17.63,17.89,74486.11
1667120400000,17.89,18.06,17.56,17.69,44356.32
1667124000000,17.68,17.85,17.61,17.78,26136.39
1667127600000,17.78,17.86,17.61,17.8,26106.97
1667131200000,17.8,17.81,17.5,17.64,42320.77
1667134800000,17.64,17.66,17.3,17.35,47955.83
1667138400000,17.35,17.5,17.29,17.49,30295.35
1667142000000,17.48,17.5,17.05,17.13,60619.12
1667145600000,17.13,17.32,17.01,17.14,27881.41
1667149200000,17.13,17.27,17.02,17.25,19900.32
1667152800000,17.23,17.28,17.16,17.21,11053.54
1667156400000,17.22,17.27,17.15,17.17,7007.59
1667160000000,17.17,17.29,17.16,17.22,10161.81
1667163600000,17.21,17.29,17.18,17.25,7855.06
1667167200000,17.25,17.26,16.88,17.18,33593.04
1667170800000,17.17,17.33,17.11,17.29,26619.71
1667174400000,17.29,17.38,17.15,17.18,26518.46
1667178000000,17.18,17.34,16.99,17.09,38986.44
1667181600000,17.08,17.13,16.83,16.95,41735.33
1667185200000,16.95,17.28,16.94,17.22,18802.61
1667188800000,17.22,17.29,17.17,17.21,13315.93
1667192400000,17.21,17.3,17.16,17.25,42436.95
1667196000000,17.25,17.27,17.04,17.14,20675.85
1667199600000,17.16,17.21,17.02,17.2,11775.87
1667203200000,17.2,17.2,16.89,16.93,46746.79
1667206800000,16.93,17.37,16.85,17.3,48386.44
1667210400000,17.3,17.39,17.19,17.32,33823.55
1667214000000,17.32,17.45,17.27,17.29,39890.55
1667217600000,17.29,17.35,17.12,17.18,46398.73
1667221200000,17.16,17.32,16.8,16.81,51189.97
1667224800000,16.8,17.05,16.76,16.93,67853.02
1667228400000,16.92,17.05,16.81,16.99,38819.58
1667232000000,16.99,17.11,16.67,16.89,59349.39
1667235600000,16.87,17.01,16.85,16.92,19185.79
1667239200000,16.92,16.93,16.83,16.87,13164.66
1667242800000,16.87,16.88,16.7,16.73,11101.4
1667246400000,16.74,16.91,16.69,16.82,24656.42
1667250000000,16.81,16.89,16.77,16.82,8077.47
1667253600000,16.83,16.99,16.77,16.94,11418.11
1667257200000,16.95,17.05,16.93,16.97,10361.18
1667260800000,16.98,17.09,16.87,16.88,20388.21
1667264400000,16.88,17.04,16.84,17.02,29924.59
1667268000000,17.01,17.13,16.98,17.08,11874.44
1667271600000,17.09,17.18,17,17.04,12606.7
1667275200000,17.03,17.1,16.86,17,36792.71
1667278800000,17,17.09,16.97,17.03,13448.68
1667282400000,17.05,17.17,16.98,17.09,14991.47
1667286000000,17.09,17.1,16.91,16.96,16257.96
1667289600000,16.95,17,16.91,16.94,10470.47
1667293200000,16.94,17.05,16.86,16.94,41072.5
1667296800000,16.95,17.07,16.9,17.06,17652.72
1667300400000,17.07,17.07,16.77,16.87,24201.99
1667304000000,16.87,16.89,16.74,16.85,27864.23
1667307600000,16.85,16.86,16.5,16.55,71417.4
1667311200000,16.55,16.59,16.35,16.49,57375.14
1667314800000,16.49,16.56,16.32,16.43,42308.32
1667318400000,16.43,16.5,16.21,16.26,69315.44
1667322000000,16.26,16.33,16.22,16.29,100235.95
1667325600000,16.28,16.31,16.22,16.28,118905.28
1667329200000,16.29,16.29,16.14,16.18,133502.03
1667332800000,16.19,16.23,16.13,16.21,113507.57
1667336400000,16.21,16.21,16.12,16.15,42727.69
1667340000000,16.16,16.16,16.03,16.06,27603.15
1667343600000,16.06,16.28,16.06,16.22,67743.66
1667347200000,16.23,16.34,15.94,16.28,44531.67
1667350800000,16.29,16.32,16.21,16.23,22731.77
1667354400000,16.22,16.24,16.1,16.19,15598.81
1667358000000,16.19,16.48,16.19,16.34,57540.02
1667361600000,16.35,16.38,16.23,16.23,22416.59
1667365200000,16.24,16.34,16.15,16.17,41864.03
1667368800000,16.17,16.18,16.07,16.11,14681.47
1667372400000,16.11,16.11,15.52,15.86,134914.97
1667376000000,15.86,15.97,15.72,15.93,61387.43
1667379600000,15.93,16,15.51,15.51,73671.15
1667383200000,15.53,15.72,15.47,15.68,39051.28
1667386800000,15.68,15.76,15.67,15.71,11989.37
1667390400000,15.71,15.75,15.58,15.71,36417.01
1667394000000,15.71,15.94,15.64,15.79,28292.58
1667397600000,15.79,15.99,15.73,15.9,28607.56
1667401200000,15.9,15.99,15.89,15.95,17025.23
