date,open,high,low,close,volume
1667005200000,1.141,1.148,1.138,1.14,208197.8
1667008800000,1.14,1.143,1.136,1.142,185954.5
1667012400000,1.141,1.148,1.139,1.146,401273.5
1667016000000,1.146,1.15,1.141,1.142,186155
1667019600000,1.143,1.151,1.139,1.141,616920.8
1667023200000,1.14,1.144,1.137,1.138,419296.4
1667026800000,1.138,1.144,1.138,1.144,355010.5
1667030400000,1.144,1.16,1.141,1.159,994634.8
1667034000000,1.159,1.163,1.154,1.159,524530.8
1667037600000,1.159,1.163,1.14,1.144,718248.2
1667041200000,1.144,1.149,1.141,1.145,296263.1
1667044800000,1.145,1.149,1.144,1.147,324241.2
1667048400000,1.146,1.147,1.134,1.142,442406.4
1667052000000,1.142,1.147,1.134,1.136,1033396.3
1667055600000,1.137,1.145,1.136,1.139,669755.3
1667059200000,1.139,1.156,1.139,1.15,697631.2
1667062800000,1.151,1.164,1.142,1.146,837117.4
1667066400000,1.145,1.161,1.137,1.147,1127442.1
1667070000000,1.148,1.148,1.139,1.145,321483.9
1667073600000,1.145,1.148,1.142,1.146,243285
1667077200000,1.146,1.15,1.143,1.145,162648.3
1667080800000,1.144,1.144,1.123,1.129,558002.1
1667084400000,1.129,1.137,1.125,1.137,328540.5
1667088000000,1.137,1.139,1.128,1.129,374835.6
1667091600000,1.129,1.134,1.127,1.133,243037.3
1667095200000,1.134,1.137,1.13,1.134,202131.5
1667098800000,1.134,1.141,1.134,1.138,372544.1
1667102400000,1.137,1.14,1.133,1.137,206802.4
1667106000000,1.137,1.145,1.135,1.141,514582.2
1667109600000,1.142,1.147,1.139,1.146,237449
1667113200000,1.147,1.154,1.144,1.153,523459.3
1667116800000,1.154,1.155,1.138,1.144,680309
1667120400000,1.143,1.147,1.132,1.135,648453.8
1667124000000,1.135,1.137,1.132,1.135,252911.2
1667127600000,1.136,1.136,1.129,1.134,243818.4
1667131200000,1.134,1.135,1.124,1.133,378458.6
1667134800000,1.133,1.133,1.118,1.119,725769
1667138400000,1.119,1.129,1.114,1.128,438541.4
1667142000000,1.128,1.129,1.115,1.124,695424.6
1667145600000,1.123,1.127,1.12,1.123,386076.6
1667149200000,1.123,1.124,1.119,1.124,194723.7
1667152800000,1.123,1.125,1.121,1.125,173403.6
1667156400000,1.125,1.127,1.122,1.123,123610.1
1667160000000,1.123,1.124,1.117,1.123,231526.5
1667163600000,1.123,1.126,1.119,1.121,127451.3
1667167200000,1.12,1.121,1.08,1.105,1406471.9
1667170800000,1.106,1.113,1.104,1.109,437487.1
1667174400000,1.11,1.118,1.107,1.108,558335.7
1667178000000,1.108,1.113,1.101,1.105,332861.6
1667181600000,1.105,1.114,1.105,1.111,481206
1667185200000,1.111,1.122,1.111,1.121,176587.3
1667188800000,1.121,1.126,1.12,1.122,164687.6
1667192400000,1.122,1.126,1.117,1.118,177795.1
1667196000000,1.117,1.122,1.111,1.116,268703.1
1667199600000,1.116,1.119,1.112,1.119,157751.7
1667203200000,1.118,1.119,1.108,1.113,291561.8
1667206800000,1.112,1.129,1.109,1.128,380519.1
1667210400000,1.129,1.134,1.123,1.133,754682.5
1667214000000,1.132,1.135,1.13,1.132,360056.4
1667217600000,1.132,1.138,1.127,1.13,448975
1667221200000,1.13,1.138,1.103,1.103,973396.5
1667224800000,1.103,1.119,1.096,1.113,1167794
1667228400000,1.113,1.121,1.111,1.118,336204
1667232000000,1.117,1.125,1.114,1.121,305799.9
1667235600000,1.12,1.129,1.119,1.128,375194.1
1667239200000,1.128,1.135,1.127,1.13,340349
1667242800000,1.131,1.151,1.129,1.141,2197682.9
1667246400000,1.141,1.142,1.136,1.136,324483.5
1667250000000,1.136,1.138,1.133,1.138,216938.1
1667253600000,1.138,1.149,1.137,1.146,561080.4
1667257200000,1.147,1.156,1.145,1.148,559232.1
1667260800000,1.149,1.178,1.148,1.176,1136940.8
1667264400000,1.176,1.182,1.162,1.168,841895
1667268000000,1.167,1.169,1.16,1.165,368167.2
1667271600000,1.165,1.165,1.156,1.161,403291.4
1667275200000,1.161,1.164,1.152,1.152,348997.3
1667278800000,1.153,1.16,1.151,1.159,195567.1
1667282400000,1.16,1.166,1.158,1.163,209756.4
1667286000000,1.164,1.164,1.154,1.158,359137.3
1667289600000,1.158,1.161,1.153,1.155,149837
1667293200000,1.156,1.164,1.154,1.157,586034
1667296800000,1.157,1.159,1.147,1.156,445489.4
1667300400000,1.157,1.165,1.147,1.159,644425.1
1667304000000,1.159,1.163,1.152,1.161,291091.3
1667307600000,1.161,1.162,1.141,1.148,431359.1
1667311200000,1.147,1.154,1.139,1.147,799840.2
1667314800000,1.147,1.155,1.144,1.154,425710.4
1667318400000,1.154,1.161,1.149,1.159,439934.6
1667322000000,1.158,1.159,1.152,1.155,212572.4
1667325600000,1.156,1.157,1.151,1.156,156705.2
1667329200000,1.156,1.156,1.145,1.147,255170.4
1667332800000,1.147,1.147,1.144,1.146,236511.5
1667336400000,1.145,1.147,1.143,1.143,87893.9
1667340000000,1.143,1.145,1.139,1.14,144498.3
1667343600000,1.14,1.143,1.138,1.142,172516.8
1667347200000,1.142,1.142,1.131,1.137,398040.1
1667350800000,1.137,1.139,1.136,1.137,128660.1
1667354400000,1.137,1.141,1.131,1.138,387395.5
1667358000000,1.139,1.142,1.136,1.139,138325.1
1667361600000,1.138,1.143,1.137,1.141,217429.4
1667365200000,1.142,1.145,1.14,1.141,96017.6
1667368800000,1.141,1.142,1.134,1.134,186176.4
1667372400000,1.134,1.14,1.132,1.139,373371.3
1667376000000,1.138,1.18,1.132,1.17,1391069
1667379600000,1.17,1.18,1.14,1.14,2267153.5
1667383200000,1.141,1.141,1.128,1.141,679499.8
1667386800000,1.141,1.144,1.132,1.132,210315.7
1667390400000,1.133,1.137,1.129,1.137,295544
1667394000000,1.137,1.158,1.137,1.152,1304815.4
1667397600000,1.153,1.157,1.148,1.151,318073.4
1667401200000,1.151,1.152,1.139,1.148,511541
1667404800000,1.149,1.155,1.139,1.153,391151.4
1667408400000,1.152,1.153,1.141,1.146,237546.2
1667412000000,1.146,1.165,1.137,1.144,1259863.4
1667415600000,1.144,1.155,1.127,1.134,680750
1667419200000,1.133,1.136,1.099,1.102,918812.1
1667422800000,1.102,1.112,1.101,1.112,361462.7
1667426400000,1.111,1.114,1.105,1.109,274690.1
1667430000000,1.109,1.119,1.108,1.119,284680.9
1667433600000,1.118,1.131,1.115,1.129,434703.5
1667437200000,1.128,1.134,1.127,1.131,415731.8
1667440800000,1.131,1.138,1.131,1.137,344127.4
1667444400000,1.136,1.145,1.134,1.145,431270.5
1667448000000,1.145,1.154,1.138,1.139,530305
1667451600000,1.14,1.152,1.14,1.152,328723.2
1667455200000,1.152,1.162,1.146,1.161,483034.4
1667458800000,1.161,1.166,1.153,1.154,757822.7
1667462400000,1.154,1.156,1.147,1.15,432549.4
1667466000000,1.151,1.155,1.151,1.154,182386.8
1667469600000,1.154,1.16,1.148,1.151,409400.1
1667473200000,1.151,1.153,1.132,1.141,708630.3
1667476800000,1.14,1.147,1.132,1.137,999897.9
1667480400000,1.137,1.146,1.135,1.136,564719.3
1667484000000,1.136,1.154,1.133,1.15,674009.1
1667487600000,1.15,1.152,1.146,1.148,291042.5
1667491200000,1.147,1.162,1.147,1.159,469756.3
1667494800000,1.159,1.161,1.149,1.151,368482.4
1667498400000,1.152,1.157,1.149,1.156,275156.3
1667502000000,1.155,1.158,1.153,1.156,156724.2
1667505600000,1.155,1.157,1.151,1.152,179687.8
1667509200000,1.153,1.155,1.148,1.154,262315.3
1667512800000,1.155,1.157,1.145,1.152,365967.3
1667516400000,1.151,1.156,1.144,1.149,345474.2
1667520000000,1.149,1.151,1.137,1.149,725317.2
1667523600000,1.149,1.154,1.148,1.15,261044.4
1667527200000,1.151,1.162,1.15,1.158,427746.5
1667530800000,1.159,1.172,1.157,1.171,452433.8
1667534400000,1.171,1.176,1.163,1.167,637326.2
