date,open,high,low,close,volume
1667005200000,2.524,2.537,2.521,2.526,8845.2
1667008800000,2.526,2.54,2.514,2.537,16925.2
1667012400000,2.54,2.557,2.527,2.543,16291.2
1667016000000,2.542,2.549,2.509,2.513,28887.2
1667019600000,2.513,2.513,2.472,2.494,79409.4
1667023200000,2.489,2.494,2.47,2.489,32672
1667026800000,2.486,2.497,2.475,2.484,12192.5
1667030400000,2.484,2.508,2.472,2.489,38388.4
1667034000000,2.492,2.492,2.472,2.486,20611.4
1667037600000,2.483,2.506,2.439,2.484,91694.9
1667041200000,2.48,2.485,2.464,2.469,18271.3
1667044800000,2.465,2.472,2.45,2.453,15261.1
1667048400000,2.457,2.477,2.437,2.442,35642.1
1667052000000,2.443,2.455,2.433,2.441,32954.3
1667055600000,2.441,2.444,2.401,2.407,58998.3
1667059200000,2.401,2.454,2.4,2.434,106954.2
1667062800000,2.434,2.442,2.401,2.405,50620.6
1667066400000,2.401,2.424,2.379,2.4,65161.2
1667070000000,2.403,2.408,2.376,2.384,53381.7
1667073600000,2.385,2.407,2.384,2.393,23821
1667077200000,2.391,2.408,2.385,2.389,22270.9
1667080800000,2.39,2.407,2.378,2.379,22748.6
1667084400000,2.381,2.382,2.368,2.375,20241
1667088000000,2.376,2.377,2.36,2.362,21348.3
1667091600000,2.362,2.393,2.359,2.388,16117.8
1667095200000,2.388,2.405,2.386,2.399,17852.1
1667098800000,2.397,2.417,2.397,2.41,13138.4
1667102400000,2.411,2.416,2.376,2.386,22923.4
1667106000000,2.387,2.465,2.386,2.452,104267.8
1667109600000,2.453,2.466,2.441,2.453,34134
1667113200000,2.451,2.532,2.45,2.5,81336.9
1667116800000,2.503,2.585,2.46,2.467,192933.8
1667120400000,2.468,2.481,2.416,2.422,65081.9
1667124000000,2.422,2.425,2.407,2.409,25193.2
1667127600000,2.406,2.416,2.396,2.415,34668
1667131200000,2.416,2.42,2.398,2.404,27013
1667134800000,2.403,2.403,2.377,2.385,19223.3
1667138400000,2.386,2.437,2.381,2.427,43232.3
1667142000000,2.428,2.444,2.365,2.369,44723
1667145600000,2.366,2.405,2.365,2.386,36446.2
1667149200000,2.387,2.39,2.375,2.38,14178.9
1667152800000,2.38,2.444,2.38,2.42,57055.1
1667156400000,2.428,3.083,2.403,2.916,1538895.6
1667160000000,2.916,3.148,2.675,2.693,1869218.6
1667163600000,2.696,2.759,2.627,2.691,338470.3
1667167200000,2.697,2.701,2.619,2.635,187683.6
1667170800000,2.64,2.708,2.627,2.642,139997.3
1667174400000,2.642,2.668,2.587,2.597,304569.7
1667178000000,2.59,2.673,2.578,2.627,102313.6
1667181600000,2.621,2.772,2.621,2.638,349025.5
1667185200000,2.642,2.745,2.617,2.744,108089.9
1667188800000,2.744,2.75,2.657,2.723,69769.5
1667192400000,2.731,2.886,2.713,2.851,428092.8
1667196000000,2.85,3.071,2.776,2.78,1021010.5
1667199600000,2.78,2.847,2.739,2.818,206001.8
1667203200000,2.818,2.839,2.69,2.691,458134.8
1667206800000,2.694,2.727,2.661,2.718,146438.5
1667210400000,2.718,2.745,2.649,2.677,141347.8
1667214000000,2.677,2.855,2.674,2.844,427052.1
1667217600000,2.838,2.887,2.673,2.678,368541
1667221200000,2.678,2.715,2.649,2.649,126920.2
1667224800000,2.65,2.67,2.627,2.638,70380.6
1667228400000,2.641,2.652,2.615,2.622,64860.6
