date,open,high,low,close,volume
1667005200000,25.37,25.41,25.32,25.38,23564.64
1667008800000,25.36,25.74,25.34,25.67,35585.7
1667012400000,25.67,26.38,25.62,26.27,188718.9
1667016000000,26.26,26.86,26.1,26.18,213304.45
1667019600000,26.18,26.29,25.94,26.01,87610.89
1667023200000,26.02,26.1,25.96,25.98,46332.03
1667026800000,25.97,26.1,25.88,26.09,51390.23
1667030400000,26.09,26.65,26.08,26.46,174320.18
1667034000000,26.46,26.46,26.3,26.37,54176.36
1667037600000,26.36,26.54,26.07,26.16,106463.72
1667041200000,26.16,26.32,25.9,26.01,85358.51
1667044800000,26.01,26.19,25.98,26.16,33361.56
1667048400000,26.16,26.19,25.68,26.04,111649.73
1667052000000,26.03,26.32,25.85,25.89,78006.91
1667055600000,25.89,26.38,25.89,26.11,112587.12
1667059200000,26.11,26.53,26.02,26.3,122184.95
1667062800000,26.29,26.8,25.81,25.94,188122.07
1667066400000,25.94,26.29,25.75,26.14,88177.29
1667070000000,26.14,26.19,25.78,25.97,44686.19
1667073600000,25.98,26.09,25.87,26.03,48254.98
1667077200000,26.02,26.12,26,26.05,21333.84
1667080800000,26.05,26.08,25.51,25.68,72864.56
1667084400000,25.68,25.9,25.54,25.88,37935.45
1667088000000,25.87,25.93,25.58,25.6,46715.03
1667091600000,25.6,25.8,25.42,25.79,83563.62
1667095200000,25.79,25.83,25.61,25.66,21922.4
1667098800000,25.66,25.79,25.62,25.66,34952.18
1667102400000,25.66,25.68,25.5,25.52,34603.49
1667106000000,25.52,25.62,25.47,25.53,49747.84
1667109600000,25.54,25.67,25.42,25.67,48053.64
1667113200000,25.67,25.82,25.53,25.74,61630.89
1667116800000,25.73,25.75,25.11,25.36,106443.57
1667120400000,25.36,25.47,24.9,25.08,91169.92
1667124000000,25.07,25.17,25,25.05,46133.19
1667127600000,25.05,25.18,24.94,25.12,40590.15
1667131200000,25.11,25.15,24.86,25.1,59975.47
1667134800000,25.1,25.15,24.8,24.87,60487.21
1667138400000,24.87,25.07,24.82,25.04,30704.95
1667142000000,25.04,25.06,24.55,24.63,67813.61
1667145600000,24.64,24.88,24.54,24.63,65014.76
1667149200000,24.64,24.76,24.56,24.74,24941.19
1667152800000,24.73,24.77,24.6,24.69,20185.44
1667156400000,24.7,24.76,24.62,24.66,15097.59
1667160000000,24.66,24.83,24.62,24.79,21544.14
1667163600000,24.79,24.91,24.77,24.85,28375.09
1667167200000,24.86,24.86,24.24,24.53,64624.12
1667170800000,24.53,24.56,24.41,24.51,25897.61
1667174400000,24.51,24.71,24.31,24.32,40452.88
1667178000000,24.32,24.41,23.84,24.04,114412.09
1667181600000,24.04,24.09,23.78,24.01,46532.92
1667185200000,24,24.38,23.99,24.34,44589.72
1667188800000,24.34,24.36,24.25,24.26,24970.03
1667192400000,24.26,24.44,24.22,24.24,24757.82
1667196000000,24.25,24.28,23.93,24.16,71638.99
1667199600000,24.16,24.25,24.03,24.25,24742.75
1667203200000,24.25,24.25,23.93,24.09,38931.58
1667206800000,24.09,24.89,24,24.85,89770.03
1667210400000,24.86,24.99,24.6,24.73,59545.35
1667214000000,24.73,24.92,24.68,24.76,54556.53
1667217600000,24.76,24.79,24.56,24.63,49289.81
1667221200000,24.62,24.77,23.82,23.83,99106.12
1667224800000,23.82,24.18,23.8,24.03,91877.2
1667228400000,24.03,24.31,23.94,24.17,42918.36
1667232000000,24.17,24.33,23.92,24.13,40941.08
1667235600000,24.13,24.21,24.05,24.14,26770.34
1667239200000,24.13,24.24,24.08,24.17,25900.1
1667242800000,24.18,24.19,23.98,24.09,23387.78
1667246400000,24.1,24.3,24.03,24.23,20809.83
1667250000000,24.23,24.26,24.03,24.09,25392.95
1667253600000,24.09,24.36,23.98,24.26,42182.33
1667257200000,24.27,24.34,24.18,24.25,16376.46
1667260800000,24.24,24.76,24.14,24.36,77729.62
1667264400000,24.36,24.57,24.36,24.43,33249.81
1667268000000,24.43,24.51,24.35,24.43,27260.28
1667271600000,24.44,24.52,24.29,24.39,19101.15
1667275200000,24.39,24.43,24.27,24.31,23505.58
1667278800000,24.31,24.47,24.3,24.4,20642.04
1667282400000,24.4,24.58,24.35,24.48,24924.17
1667286000000,24.48,24.53,24.35,24.43,18217.9
1667289600000,24.43,24.47,24.36,24.37,14025.83
1667293200000,24.37,24.67,24.36,24.44,70020.58
1667296800000,24.44,24.57,24.37,24.5,23875.46
1667300400000,24.5,24.52,24.14,24.33,49325.02
1667304000000,24.35,24.43,24.18,24.4,26063.2
1667307600000,24.4,24.4,23.93,24.18,54662.96
1667311200000,24.18,24.28,23.97,24.08,47409.11
1667314800000,24.08,24.22,24.05,24.17,31232.47
1667318400000,24.15,24.22,23.85,24.03,38532.2
1667322000000,24.02,24.22,23.98,24.2,22294.05
1667325600000,24.19,24.23,24.1,24.22,12499.47
1667329200000,24.21,24.25,24.1,24.12,17019.48
1667332800000,24.12,24.16,24.06,24.14,14439.18
1667336400000,24.15,24.16,23.89,23.98,28905.14
1667340000000,23.98,24.04,23.93,24.01,22907.26
1667343600000,24.01,24.1,23.99,24.03,19075.36
1667347200000,24.02,24.23,23.65,24.09,98069.58
1667350800000,24.09,24.13,23.97,23.97,23175.67
1667354400000,23.98,24.05,23.8,24.03,27814.17
1667358000000,24.02,24.19,23.99,24.05,34466.28
1667361600000,24.07,24.18,24,24.03,28975.34
1667365200000,24.03,24.14,23.98,23.99,23879.82
1667368800000,24,24.01,23.87,23.9,23653.31
1667372400000,23.9,23.93,23.41,23.7,124085.86
1667376000000,23.7,24.6,23.62,24.28,103371.72
1667379600000,24.29,24.52,23.58,23.61,190808.85
1667383200000,23.61,23.76,23.4,23.72,98970.36
1667386800000,23.71,23.77,23.65,23.66,29599.56
1667390400000,23.65,23.74,23.5,23.56,33191.98
1667394000000,23.56,23.67,23.44,23.59,28118.31
1667397600000,23.59,23.85,23.55,23.74,33901.29
1667401200000,23.74,23.74,23.57,23.65,16046.14
1667404800000,23.64,23.94,23.49,23.89,47414.17
1667408400000,23.88,23.92,23.57,23.72,41153.11
1667412000000,23.73,24.5,23.47,23.89,405359.25
1667415600000,23.88,24.29,22.25,22.61,432856.61
1667419200000,22.61,23.3,22.46,22.74,316301.56
1667422800000,22.72,22.99,22.66,22.95,47331.11
1667426400000,22.95,22.98,22.68,22.81,38382.51
1667430000000,22.81,22.98,22.79,22.95,27624.47
1667433600000,22.95,23.31,22.87,23.27,64737.32
1667437200000,23.27,23.38,23.22,23.36,59281.45
1667440800000,23.37,23.85,23.37,23.68,102381.72
1667444400000,23.68,23.88,23.67,23.72,56445.61
1667448000000,23.72,24.22,23.72,23.85,114053.19
1667451600000,23.85,24.04,23.81,23.99,43233.63
1667455200000,23.99,24.09,23.9,24.06,41911.74
1667458800000,24.06,24.89,24.06,24.15,202537.93
1667462400000,24.15,24.32,24.07,24.1,48421.19
1667466000000,24.11,24.22,24.06,24.17,45979.93
1667469600000,24.18,24.31,24.08,24.1,34828.96
1667473200000,24.1,24.14,23.71,23.88,69966.42
1667476800000,23.89,24.06,23.7,23.92,40028.05
1667480400000,23.91,24.28,23.88,23.92,74120.79
1667484000000,23.92,24.36,23.89,24.23,82176.89
1667487600000,24.23,24.26,24.11,24.13,33318.84
1667491200000,24.12,24.31,24.09,24.24,56369.65
1667494800000,24.24,24.25,24.06,24.07,27862.04
1667498400000,24.08,24.15,24.01,24.12,19100.86
1667502000000,24.12,24.21,24.06,24.17,11701.25
1667505600000,24.16,24.7,24.07,24.39,63110.76
1667509200000,24.4,24.4,24.2,24.24,24483.49
1667512800000,24.25,24.29,24.02,24.06,51789.68
1667516400000,24.06,24.17,23.72,24.02,50700.49
1667520000000,24.02,24.25,23.91,24.16,62068.45
1667523600000,24.17,25.35,24.16,24.78,242848.47
1667527200000,24.79,25.35,24.73,25.07,191576.94
1667530800000,25.07,25.25,24.87,25.04,75760.26
1667534400000,25.03,25.31,24.99,25.23,68836.55
1667538000000,25.23,25.37,24.81,24.97,94545.04
1667541600000,24.98,25.5,24.96,25.32,85591.89
1667545200000,25.32,25.34,25.07,25.14,69406.34
1667548800000,25.14,25.5,25.14,25.37,66126.45
1667552400000,25.37,25.5,25.26,25.28,93439.42
1667556000000,25.27,25.34,25.04,25.18,55647.44
1667559600000,25.17,25.17,24.91,24.95,52100.47
1667563200000,24.96,25.43,24.82,25.38,156229.08
1667566800000,25.38,25.61,25.22,25.32,101586.95
1667570400000,25.33,26.04,25.27,25.84,144088.66
1667574000000,25.86,25.9,25.08,25.11,79361.92
1667577600000,25.12,25.32,24.99,25.19,61622.4
1667581200000,25.19,25.32,25.12,25.24,22783.1
1667584800000,25.24,25.5,25.14,25.45,33110.12
1667588400000,25.46,25.61,25.44,25.58,34904.08
1667592000000,25.58,25.73,25.47,25.71,44712.34
1667595600000,25.71,25.92,25.71,25.84,50014.21
1667599200000,25.85,26,25.67,25.9,65313.32
1667602800000,25.91,25.93,25.6,25.78,114754.65
1667606400000,25.78,26.27,25.59,26.13,144145.13
1667610000000,26.13,26.14,25.89,25.99,72290.14
1667613600000,25.99,26.1,25.92,26.1,39859.62
1667617200000,26.1,26.32,25.89,26.11,69083.39
1667620800000,26.11,26.29,25.9,25.97,53461.7
1667624400000,25.96,26.09,25.93,26.03,48111.67
1667628000000,26.02,26.18,26,26.12,29220.82
1667631600000,26.11,26.27,26.1,26.14,36670.04
1667635200000,26.14,26.17,25.72,25.92,63354.71
1667638800000,25.92,25.98,25.66,25.83,53337.9
1667642400000,25.82,25.9,25.76,25.87,35207.05
1667646000000,25.87,27,25.86,26.42,299411.15
1667649600000,26.42,26.72,26.28,26.34,139349.82
1667653200000,26.33,26.45,26.03,26.09,82130.94
1667656800000,26.09,26.21,25.85,26.06,56239.83
1667660400000,26.05,26.49,26.03,26.33,73391.29
1667664000000,26.32,26.54,26.28,26.48,57297.82
1667667600000,26.47,26.56,26.31,26.46,36969.76
1667671200000,26.47,26.51,26.1,26.16,45338.72
1667674800000,26.16,26.21,26.05,26.16,35411.87
1667678400000,26.16,26.29,26.14,26.27,19243.13
1667682000000,26.28,26.42,26.22,26.41,20003.6
1667685600000,26.42,26.88,26.3,26.73,118845.54
1667689200000,26.73,26.76,25.9,26.52,222980.09
1667692800000,26.52,27.23,26,26.36,261700.16
1667696400000,26.35,26.61,26.03,26.08,92647.61
1667700000000,26.08,26.4,25.86,26.07,76072.97
1667703600000,26.06,26.34,26.06,26.33,40644.98
1667707200000,26.33,26.36,26.17,26.26,22674.24
1667710800000,26.26,26.33,25.98,26.02,39547.44
1667714400000,26.02,26.15,25.99,26.07,45902.41
1667718000000,26.07,26.16,25.95,26.16,31182.42
1667721600000,26.16,26.38,26.06,26.26,47331.16
1667725200000,26.26,26.44,26.25,26.27,39485.32
1667728800000,26.27,26.4,26.27,26.34,26536.45
1667732400000,26.34,26.37,26.07,26.21,42376.82
1667736000000,26.21,26.26,26.08,26.13,33930.82
1667739600000,26.13,26.28,26.04,26.22,22368.94
1667743200000,26.22,26.37,26.13,26.3,45149.38
1667746800000,26.3,26.46,26.22,26.23,53239.57
1667750400000,26.23,26.33,25.86,26.2,119572.3
1667754000000,26.19,26.22,26.03,26.13,33372.17
1667757600000,26.12,26.16,25.99,26.12,27870.92
1667761200000,26.12,26.14,25.82,25.98,36500.82
1667764800000,25.98,26,25.83,25.98,38292.35
1667768400000,25.98,26.04,25.85,25.87,36559.88
1667772000000,25.86,25.95,25.57,25.65,53309.87
1667775600000,25.65,25.67,24.7,24.82,188293.57
1667779200000,24.82,25.11,24.78,24.96,100209.04
1667782800000,24.96,25.35,24.87,25.27,58678.65
1667786400000,25.27,25.57,25.24,25.36,69383.42
1667790000000,25.36,25.36,25.21,25.28,29951.5
1667793600000,25.27,25.28,25.11,25.28,23644.16
1667797200000,25.27,25.4,25.22,25.22,29739.49
1667800800000,25.22,25.28,25.03,25.17,54783.73
1667804400000,25.17,25.17,24.47,24.51,128346.15
1667808000000,24.51,25.16,24.39,25.04,87284.76
1667811600000,25.05,25.19,24.99,25.01,52035.34
1667815200000,25.01,25.3,25,25.18,28045.34
1667818800000,25.19,25.26,25.13,25.18,18355.19
1667822400000,25.18,25.35,25.09,25.33,40773.16
1667826000000,25.33,25.44,25.18,25.23,51131.52
