date,open,high,low,close,volume
1667005200000,39.4,39.9,39.2,39.2,639.04
1667008800000,39.1,39.4,39.1,39.4,43.186
1667012400000,39.3,40,39.1,40,1202.198
1667016000000,40,40,39.4,39.5,465.437
1667019600000,39.4,39.5,39.1,39.2,539.175
1667023200000,39.1,39.3,39.1,39.2,328.724
1667026800000,39.2,39.4,39,39.3,590.194
1667030400000,39.3,39.6,39,39.6,561.937
1667034000000,39.6,39.6,39.2,39.3,370.143
1667037600000,39.4,39.4,38.9,38.9,589.843
1667041200000,39,39.1,38.6,38.9,510.591
1667044800000,38.8,39,38.8,39,120.587
1667048400000,39,39.1,38.9,39,145.384
1667052000000,39.1,39.2,39,39,258.395
1667055600000,39,39.1,38.8,39.1,220.193
1667059200000,39,39.3,38.9,39.2,629.995
1667062800000,39.2,39.3,39,39.1,536.401
1667066400000,39,39.1,39,39.1,195.087
1667070000000,39.1,39.3,39,39.1,390.421
1667073600000,39,39.1,39,39.1,255.614
1667077200000,39.2,39.2,39,39,89.525
1667080800000,39.1,39.1,39,39,114.69
1667084400000,39.1,39.1,39,39.1,157.89
1667088000000,39.1,39.1,39,39,35.323
1667091600000,39,39,38.9,39,121.748
1667095200000,39.1,39.1,39,39.1,110.681
1667098800000,39.1,39.2,39.1,39.1,85.273
1667102400000,39.1,39.1,38.9,39,111.41
1667106000000,39,39.1,38.9,39,74.068
1667109600000,39.1,39.2,39,39.1,283.455
1667113200000,39,39.6,39,39.4,561.722
1667116800000,39.5,39.5,38.8,39.1,402.197
1667120400000,39.1,39.2,38.8,38.8,575.413
1667124000000,38.8,38.9,38.6,38.7,114.857
1667127600000,38.7,38.9,38.6,38.8,274.911
1667131200000,38.8,38.9,38.6,38.9,88.655
1667134800000,38.9,38.9,38.4,38.5,338.756
1667138400000,38.5,38.6,38.3,38.5,210.665
1667142000000,38.5,38.6,38.3,38.4,289.877
1667145600000,38.3,38.5,38.3,38.4,173.872
1667149200000,38.3,38.8,38.3,38.7,377.668
1667152800000,38.7,38.8,38.6,38.6,104.407
1667156400000,38.8,38.8,38.5,38.8,89.26
1667160000000,38.6,38.8,38.5,38.6,97.603
1667163600000,38.5,38.9,38.5,38.8,146.65
1667167200000,38.6,38.9,38.3,38.6,253.9
1667170800000,38.5,38.7,38.5,38.6,66.71
1667174400000,38.7,39.1,38.7,38.9,685.969
1667178000000,39,39,38.8,38.9,12.62
1667181600000,38.9,39,38.6,38.6,504.013
1667185200000,38.6,39,38.5,39,394.516
1667188800000,39,39,38.7,39,262.146
1667192400000,38.8,38.9,38.6,38.7,333.511
1667196000000,38.8,39.4,38.5,38.8,1735.331
1667199600000,38.8,38.8,38.4,38.6,767.243
1667203200000,38.6,38.6,38.3,38.4,388.202
1667206800000,38.4,39,38.3,39,387.02
1667210400000,39,39.2,38.9,39.1,336.619
1667214000000,38.9,39.7,38.9,39.6,978.248
1667217600000,39.6,41.3,38.8,39.7,9538.427
1667221200000,39.7,39.9,38.1,38.6,3636.006
1667224800000,38.7,39.3,38.3,38.8,3241.498
1667228400000,38.8,39.1,38.4,38.8,972.338
1667232000000,38.9,39,38.5,38.6,738.378
1667235600000,38.7,38.9,38.3,38.4,726.885
1667239200000,38.4,38.9,38.4,38.7,948.089
1667242800000,38.5,38.6,38.3,38.4,103.436
1667246400000,38.3,38.6,38.3,38.5,383.49
1667250000000,38.5,38.6,38.2,38.4,40.015
1667253600000,38.4,38.6,38.3,38.6,35.435
1667257200000,38.5,38.6,38.4,38.6,22.24
1667260800000,38.5,38.8,38.5,38.7,125.651
1667264400000,38.7,38.8,38.6,38.7,67.616
1667268000000,38.7,38.9,38.7,38.9,32.797
1667271600000,38.8,38.9,38.5,38.7,250.229
1667275200000,38.6,38.7,38.4,38.4,240.488
1667278800000,38.5,38.6,38.4,38.5,91.054
1667282400000,38.6,38.7,38.5,38.6,61.675
1667286000000,38.7,38.8,38.5,38.6,422.669
1667289600000,38.8,38.8,38.6,38.6,138.373
1667293200000,38.7,39.1,38.7,39,323.656
1667296800000,39.1,39.1,38.8,38.8,289.935
1667300400000,38.9,39,38.7,39,598.706
1667304000000,39,39,38.8,38.8,791.396
1667307600000,38.8,38.9,38.4,38.5,317.395
1667311200000,38.5,38.7,38.4,38.6,102.022
1667314800000,38.4,38.6,38.4,38.5,166.662
1667318400000,38.5,38.5,38.2,38.3,369.743
1667322000000,38.3,38.4,38,38.2,1138.697
1667325600000,38.1,38.3,38,38.2,171.532
1667329200000,38.2,38.2,38.1,38.2,105.673
1667332800000,38.1,38.2,38,38.2,247.585
1667336400000,38.2,38.3,38.1,38.2,175.289
1667340000000,38.2,38.3,38.1,38.2,132.173
1667343600000,38.2,38.4,38.1,38.3,112.621
1667347200000,38.2,38.2,38.1,38.2,43.335
1667350800000,38.2,38.6,38.1,38.3,450.977
1667354400000,38.3,38.4,38.3,38.4,22.012
1667358000000,38.3,38.4,38.2,38.3,83.671
1667361600000,38.2,38.4,38.2,38.3,83.219
1667365200000,38.3,38.4,38.2,38.3,185.712
1667368800000,38.4,38.4,37.8,37.8,1844.91
1667372400000,37.9,38,37.7,37.8,205.599
1667376000000,37.8,37.8,37.6,37.8,118.495
1667379600000,37.8,37.8,37.4,37.4,125.548
1667383200000,37.4,37.5,37.2,37.4,356.235
1667386800000,37.5,37.5,37.4,37.4,85.264
1667390400000,37.5,37.5,37.4,37.4,86.17
1667394000000,37.4,37.7,37.3,37.5,301.062
1667397600000,37.4,38.1,37.4,37.9,322.14
1667401200000,37.9,38,37.8,37.9,173.924
1667404800000,37.9,37.9,37.8,37.9,130.919
1667408400000,37.8,37.9,37.6,37.7,132.536
1667412000000,37.7,38.8,37.7,37.8,1330.004
1667415600000,37.8,38.1,37,37.4,1000.725
1667419200000,37.4,37.6,36.9,37.1,241.955
1667422800000,37,37.3,36.9,37.3,49.24
1667426400000,37.2,37.4,37.1,37.3,50.346
1667430000000,37.3,37.5,37.3,37.3,24.486
1667433600000,37.4,37.8,37.4,37.7,99.736
1667437200000,37.8,37.9,37.7,37.9,39.09
1667440800000,37.9,38.8,37.8,38.4,1970.397
1667444400000,38.4,38.5,38.4,38.5,113.82
1667448000000,38.4,38.6,38.4,38.4,235.964
1667451600000,38.5,38.8,38.4,38.8,200.655
1667455200000,38.8,38.9,38.7,38.8,538.432
1667458800000,38.9,38.9,38.7,38.7,274.698
1667462400000,38.7,40.4,38.6,39.2,4971.166
1667466000000,39.2,39.8,39,39.6,1451.365
1667469600000,39.5,39.9,39.2,39.5,2073.636
1667473200000,39.5,39.6,38.9,39.1,629.069
1667476800000,38.9,39.3,38.7,38.9,402.908
1667480400000,38.9,39.1,38.7,38.7,524.984
1667484000000,38.8,39.5,38.8,39.1,1104.556
1667487600000,39,39.1,38.8,38.9,218.89
1667491200000,38.9,39.2,38.8,39,871.301
1667494800000,39,39.1,39,39,316.818
1667498400000,39.1,39.4,39,39.3,296.016
1667502000000,39.3,39.4,39.2,39.3,259.07
1667505600000,39.2,39.4,39.1,39.1,903.539
1667509200000,39.2,39.2,38.9,39,226.15
1667512800000,39,39,38.7,38.9,30.165
1667516400000,38.7,38.8,38.7,38.8,79.826
1667520000000,38.8,39.7,38.7,39.5,946.585
1667523600000,39.6,39.8,39.3,39.4,690.581
1667527200000,39.4,39.7,39.3,39.6,265.344
1667530800000,39.7,39.9,39.7,39.8,173.37
1667534400000,39.8,40.2,39.6,39.6,960.755
1667538000000,39.7,39.9,39.6,39.7,201.67
1667541600000,39.8,40.2,39.8,40.1,728.464
1667545200000,40.2,40.2,39.7,39.8,357.971
1667548800000,39.8,40.2,39.6,39.7,842.661
1667552400000,39.7,40,39.7,39.8,208.112
1667556000000,39.8,40.4,39.7,40.2,1115.313
1667559600000,40.1,40.2,39.8,39.8,588.483
1667563200000,39.8,40.2,39.6,40.1,855.302
1667566800000,40.1,40.3,39.8,39.9,948.19
1667570400000,39.9,40.7,39.8,40.7,1154.023
1667574000000,40.6,40.8,39.9,39.9,1541.023
1667577600000,39.9,40.1,39.8,40,248.456
1667581200000,40,40,39.6,39.8,1036.576
1667584800000,39.7,40,39.7,39.9,309.873
1667588400000,40,40.5,39.9,40.4,1044.021
1667592000000,40.4,40.4,40.2,40.2,152.685
1667595600000,40.2,40.7,40.2,40.6,744.641
1667599200000,40.6,40.6,40.5,40.5,92.128
1667602800000,40.5,41,40.5,40.7,331.861
1667606400000,40.8,41.5,40.6,41.2,1269.088
1667610000000,41.1,41.7,40.9,41.6,1115.185
1667613600000,41.5,41.9,41.3,41.5,1415.599
1667617200000,41.6,41.8,41.4,41.5,1022.636
1667620800000,41.4,41.5,41.3,41.3,214.377
1667624400000,41.3,41.3,40.8,41,913.571
1667628000000,40.9,41.1,40.9,41.1,222.608
1667631600000,41.1,41.1,40.8,41,461.511
1667635200000,41,41,40.4,40.5,910.731
1667638800000,40.4,40.6,40.2,40.4,1312.089
1667642400000,40.3,40.7,40.3,40.5,276.801
1667646000000,40.5,40.6,40.4,40.6,291.303
1667649600000,40.6,40.8,40.6,40.6,293.647
1667653200000,40.6,40.6,40.3,40.3,293.426
1667656800000,40.5,40.9,40.5,40.6,719.028
1667660400000,40.7,40.7,40.5,40.6,298.608
1667664000000,40.6,41,40.6,40.7,373.345
1667667600000,40.7,40.8,40.6,40.7,113.151
1667671200000,40.8,40.8,40.5,40.5,231.242
1667674800000,40.5,40.8,40.5,40.6,221.366
1667678400000,40.5,40.6,40.4,40.4,313.019
1667682000000,40.5,40.5,40.1,40.4,624.626
1667685600000,40.4,40.5,40.2,40.4,209.723
1667689200000,40.3,40.4,39.7,39.8,1528.597
1667692800000,39.9,40.4,39.9,40.2,395.431
1667696400000,40.2,40.3,39.8,39.9,216.592
1667700000000,39.9,40.1,39.9,40,161.547
1667703600000,40,40.1,39.9,40.1,105.099
1667707200000,40.1,40.4,40,40.2,170.975
1667710800000,40.2,40.2,40.1,40.2,138.285
1667714400000,40.2,40.5,40,40.2,610.778
1667718000000,40.2,40.4,39.8,40.2,469.593
1667721600000,40.1,40.2,39.9,40.2,328.178
1667725200000,40.1,40.5,40.1,40.3,398.774
1667728800000,40.4,40.4,40.1,40.3,192.246
1667732400000,40.3,40.7,40.1,40.5,558.613
1667736000000,40.5,41.7,40.4,41.3,4644.838
1667739600000,41.4,42,40.5,40.7,3431.98
1667743200000,40.8,41,40.2,40.9,1032.588
1667746800000,40.9,41.4,40.8,41.1,1015.215
1667750400000,41,41,40.3,40.6,1117.352
1667754000000,40.7,41.1,40.7,40.8,556.893
1667757600000,40.9,40.9,40.4,40.6,494.819
1667761200000,40.5,40.8,40.5,40.8,267.553
1667764800000,40.9,41.2,40.7,40.8,579.348
1667768400000,40.9,40.9,40.7,40.7,202.412
1667772000000,40.7,41,40.7,40.8,732.652
1667775600000,40.8,40.9,40,40,543.954
1667779200000,40,40.4,39.4,39.6,2018.541
1667782800000,39.6,39.9,39.4,39.8,513.93
1667786400000,39.8,40.1,39.8,40,350.323
1667790000000,40,40,39.8,39.9,220.031
1667793600000,39.8,39.8,39.6,39.7,371.441
1667797200000,39.7,40,39.7,39.8,742.952
1667800800000,39.7,39.8,39.6,39.6,216.717
1667804400000,39.7,39.7,38.4,38.5,1281.416
1667808000000,38.5,39,38.5,38.9,702.156
1667811600000,39,39.1,38.9,39.1,269.742
1667815200000,39.1,39.5,39.1,39.3,472.275
1667818800000,39.3,39.8,39.2,39.2,1046.125
1667822400000,39.2,39.4,39,39.2,369.065
1667826000000,39.1,39.2,39,39.1,151.459
1667829600000,39,39.1,38.8,38.8,298.942
1667833200000,38.8,39.2,38.8,39.2,441.559
1667836800000,39.1,39.2,38.9,38.9,115.462
1667840400000,38.8,40.7,38.8,40.1,3965.077
1667844000000,40.1,41.3,39.8,40.5,4390.268
1667847600000,40.5,40.6,40,40.3,1086.986
1667851200000,40.3,40.5,39.8,39.8,737.163
1667854800000,39.9,40,39.4,39.5,431.345
1667858400000,39.5,39.5,38.8,39.1,486.56
1667862000000,39.1,39.3,39,39.3,339.095
1667865600000,39.2,39.3,39,39,146.246
1667869200000,38.9,39.3,38.9,39.2,301.619
1667872800000,39.2,39.2,38.3,38.4,606.831
1667876400000,38.4,38.5,37.2,37.2,1102.697
1667880000000,37.2,37.6,36.8,37,2199.478
1667883600000,36.9,37.2,36.8,36.9,499.549
1667887200000,36.9,37.4,36.5,37.2,1097.926
1667890800000,37.3,37.4,37,37.3,177.083
1667894400000,37.2,37.2,37,37.1,189.925
1667898000000,37.1,37.2,36.9,37.1,262.562
1667901600000,37.1,37.2,36.8,36.9,551.268
1667905200000,36.8,37.1,36.8,36.9,312.583
1667908800000,36.9,37,36.7,36.9,268.805
1667912400000,36.9,37,36.8,36.8,131.868
1667916000000,36.8,37,36.5,36.7,597.869
1667919600000,36.6,36.7,36.4,36.7,278.063
1667923200000,36.7,38.4,36.7,37.7,11217.71
1667926800000,37.7,37.9,36.1,36.2,1275.835
1667930400000,36.2,36.3,33.9,34.8,6137.606
1667934000000,34.7,34.8,30.1,33.3,29921.556
1667937600000,33.4,33.6,32.5,33.4,900.327
1667941200000,33.3,33.9,33.2,33.8,512.531
1667944800000,33.9,33.9,33.3,33.6,285.169
1667948400000,33.4,34.5,33.4,33.9,523.223
1667952000000,33.7,33.9,33.4,33.4,445.183
1667955600000,33.4,33.6,33.3,33.5,249.515
1667959200000,33.5,33.6,32.6,32.6,448.662
1667962800000,32.7,33,32.2,32.8,1120.14
1667966400000,32.8,32.9,32.6,32.7,290.643
1667970000000,32.6,33,32.2,32.5,1356.201
1667973600000,32.4,33.2,32.4,32.7,924.224
1667977200000,32.7,32.8,32.2,32.4,555.549
1667980800000,32.2,32.3,31.6,31.9,439.559
1667984400000,31.8,31.8,30.6,30.7,941.904
1667988000000,30.9,30.9,30,30.7,1003.428
1667991600000,30.7,31.4,30.6,31.4,177.395
1667995200000,31.3,31.7,31.1,31.4,941.644
1667998800000,31.4,31.5,31,31.2,465.861
1668002400000,31.3,31.6,30.8,31.4,277.024
1668006000000,31.5,32.2,29.4,30.5,14007.165
1668009600000,30.6,30.8,30,30.4,497.891
1668013200000,30.3,30.4,29.7,29.8,1339.244
1668016800000,29.9,30,28.2,28.7,1258.457
1668020400000,28.8,29.6,28.7,29.2,513.577
1668024000000,29.2,29.4,26.6,27.5,4032.15
1668027600000,27.4,27.7,24.1,25.2,3040.378
1668031200000,25.1,26,25.1,25.8,1132.455
1668034800000,25.6,26.1,25.1,26.1,1887.241
1668038400000,26,26.9,25.8,26.9,1301.574
1668042000000,27,27.2,26.7,26.8,570.34
1668045600000,26.7,26.8,26.4,26.8,336.193
1668049200000,26.8,27.5,26.8,27.4,207.175
1668052800000,27.3,27.5,27.2,27.4,165.247
1668056400000,27.5,28.2,27.5,28.1,322.425
1668060000000,28.2,28.3,27.8,28.2,671.545
1668063600000,28.2,29.3,28.1,28.5,2677.837
1668067200000,28.4,28.5,27.5,28.2,1611.239
1668070800000,28.2,28.4,28.1,28.2,628.992
1668074400000,28.1,28.2,27.8,27.8,265.726
1668078000000,27.8,28.4,27.6,28.4,965.128
1668081600000,28.4,28.8,28.3,28.5,496.053
1668085200000,28.5,30.1,28.4,30.1,1286.268
1668088800000,30.1,30.4,29.7,30.4,865.056
1668092400000,30.4,30.9,30.3,30.4,868.616
