date,open,high,low,close,volume
1667005200000,0.4009,0.4017,0.4004,0.4006,17547.8
1667008800000,0.4005,0.4016,0.4001,0.4005,23363.1
1667012400000,0.4004,0.4031,0.4003,0.4031,21304.9
1667016000000,0.4024,0.4036,0.4019,0.4032,41355.5
1667019600000,0.4024,0.4029,0.4,0.4002,69359.5
1667023200000,0.4004,0.4035,0.4003,0.4031,53319.1
1667026800000,0.4031,0.4072,0.4024,0.404,130110
1667030400000,0.404,0.4065,0.403,0.4065,49789.9
1667034000000,0.4066,0.4079,0.4045,0.4053,58493.6
1667037600000,0.4051,0.4062,0.404,0.4048,52096.5
1667041200000,0.4048,0.4056,0.4023,0.4035,20435.5
1667044800000,0.4035,0.4048,0.4027,0.4035,18576.5
1667048400000,0.4042,0.4043,0.4023,0.404,37670.3
1667052000000,0.4031,0.4052,0.4026,0.4026,101185.5
1667055600000,0.4028,0.4036,0.4017,0.4026,117975.3
1667059200000,0.4029,0.4053,0.4027,0.4048,136693
1667062800000,0.4048,0.4051,0.4024,0.4029,78616.1
1667066400000,0.4029,0.4032,0.4011,0.4022,111497.8
1667070000000,0.402,0.4045,0.4018,0.4041,73572.5
1667073600000,0.4041,0.407,0.403,0.4046,67872.2
1667077200000,0.4048,0.4086,0.404,0.4051,57863.1
1667080800000,0.4042,0.406,0.404,0.4047,20423.8
1667084400000,0.4047,0.4062,0.4037,0.4041,12013.5
1667088000000,0.4041,0.4041,0.4029,0.4029,17227.8
1667091600000,0.4029,0.4064,0.4026,0.4058,10476.3
1667095200000,0.4058,0.4066,0.4033,0.4041,36363.9
1667098800000,0.4042,0.4048,0.4029,0.4037,27460.4
1667102400000,0.4038,0.4041,0.4031,0.4034,6828.7
1667106000000,0.4037,0.4044,0.4031,0.4044,10135
1667109600000,0.4044,0.405,0.403,0.4041,58179.6
1667113200000,0.4044,0.4168,0.4039,0.4157,275123
1667116800000,0.4165,0.42,0.407,0.4124,281280.7
1667120400000,0.4122,0.4123,0.4084,0.4102,79833.7
1667124000000,0.4092,0.4181,0.4088,0.4137,162182.5
1667127600000,0.4147,0.416,0.4118,0.4134,52223.2
1667131200000,0.4132,0.4141,0.41,0.4122,65409.2
1667134800000,0.4111,0.4119,0.4088,0.409,79770.9
1667138400000,0.409,0.4111,0.407,0.4111,84845.5
1667142000000,0.4111,0.4128,0.4079,0.4081,79169.7
1667145600000,0.4078,0.4078,0.4037,0.4051,52912.8
1667149200000,0.4046,0.4093,0.4041,0.4073,69471.1
1667152800000,0.4074,0.4079,0.4049,0.4067,33978.2
1667156400000,0.4075,0.4106,0.4057,0.4079,43462.7
1667160000000,0.4079,0.4099,0.4079,0.4087,31154.5
1667163600000,0.409,0.409,0.4068,0.4086,34704.5
1667167200000,0.4083,0.4092,0.404,0.4077,60524.1
1667170800000,0.4074,0.4082,0.4041,0.4079,13501.8
1667174400000,0.4078,0.4091,0.4068,0.4069,30586.5
1667178000000,0.407,0.4083,0.4046,0.4055,21181
1667181600000,0.4048,0.4054,0.4012,0.4026,37368.4
1667185200000,0.4029,0.4035,0.4021,0.4035,16923.9
1667188800000,0.4035,0.4036,0.4021,0.4035,15935
1667192400000,0.4025,0.4034,0.402,0.4022,6498.7
1667196000000,0.4021,0.4022,0.3987,0.4002,130576.6
1667199600000,0.4008,0.4016,0.3998,0.4016,17688.3
1667203200000,0.4016,0.4016,0.3995,0.4002,30525.8
1667206800000,0.4003,0.4042,0.3995,0.4037,70057.5
1667210400000,0.4038,0.4044,0.4025,0.4044,62846.9
1667214000000,0.4045,0.4054,0.404,0.4041,17529.3
1667217600000,0.4044,0.4044,0.4025,0.4034,36550.8
1667221200000,0.403,0.4052,0.4001,0.4001,65734.7
1667224800000,0.4001,0.4011,0.3988,0.4001,88299.8
1667228400000,0.4001,0.4027,0.3999,0.4021,34039.3
1667232000000,0.4028,0.404,0.4001,0.401,29265.1
1667235600000,0.4012,0.403,0.4001,0.4021,42631
1667239200000,0.4012,0.4047,0.4012,0.4025,80896
1667242800000,0.4035,0.4042,0.4016,0.4028,17568.7
1667246400000,0.4024,0.4035,0.4016,0.4016,9327.9
1667250000000,0.4017,0.4026,0.4012,0.4022,2538.7
1667253600000,0.4021,0.4032,0.4,0.4027,68403.1
1667257200000,0.4023,0.4034,0.402,0.4032,4263.2
1667260800000,0.4026,0.404,0.4026,0.4036,22935.9
1667264400000,0.4036,0.4054,0.4034,0.4054,36421.9
1667268000000,0.4056,0.4077,0.4044,0.4067,29487.2
1667271600000,0.4064,0.407,0.4048,0.4055,8369.1
1667275200000,0.4054,0.4054,0.4022,0.4022,44394.6
1667278800000,0.4022,0.4036,0.4022,0.4025,7346.3
1667282400000,0.4034,0.405,0.4027,0.4041,28356.7
1667286000000,0.4048,0.4053,0.4039,0.4042,22651
1667289600000,0.4043,0.4053,0.4039,0.4039,53558.9
1667293200000,0.404,0.411,0.4039,0.4095,202762.5
1667296800000,0.4095,0.416,0.4067,0.4088,247610.4
1667300400000,0.4088,0.4088,0.4056,0.4059,59528.7
1667304000000,0.4059,0.4083,0.4051,0.4076,44639
1667307600000,0.4071,0.4103,0.4039,0.405,77754.5
1667311200000,0.405,0.4062,0.4029,0.4043,42089
1667314800000,0.4042,0.4044,0.402,0.4031,74060.4
1667318400000,0.4032,0.404,0.4016,0.402,43044.6
1667322000000,0.402,0.405,0.4013,0.4029,35030.2
1667325600000,0.4027,0.4056,0.4021,0.403,17739.6
