date,open,high,low,close,volume
1667005200000,5.4,5.41,5.37,5.38,61401.6
1667008800000,5.38,5.43,5.37,5.42,123103.25
1667012400000,5.42,5.47,5.41,5.44,327346.51
1667016000000,5.44,5.46,5.39,5.4,151419.66
1667019600000,5.4,5.44,5.4,5.4,131464.49
1667023200000,5.4,5.44,5.4,5.41,104932.61
1667026800000,5.42,5.46,5.4,5.45,155813.16
1667030400000,5.45,5.5,5.43,5.49,367087.77
1667034000000,5.48,5.55,5.45,5.52,252469.92
1667037600000,5.52,5.52,5.41,5.43,331601.96
1667041200000,5.44,5.49,5.41,5.41,276428.29
1667044800000,5.42,5.45,5.4,5.44,183841.64
1667048400000,5.44,5.45,5.34,5.39,261702.66
1667052000000,5.38,5.44,5.37,5.38,274658.96
1667055600000,5.39,5.45,5.38,5.43,262973.85
1667059200000,5.43,5.87,5.39,5.86,1205598
1667062800000,5.87,5.9,5.6,5.63,1249815.47
1667066400000,5.62,5.66,5.55,5.62,515589.1
1667070000000,5.63,5.65,5.57,5.6,182977.15
1667073600000,5.61,5.65,5.59,5.62,127078
1667077200000,5.62,5.69,5.62,5.67,109540.26
1667080800000,5.67,5.69,5.57,5.61,241381.06
1667084400000,5.61,5.73,5.57,5.72,286761.41
1667088000000,5.72,5.75,5.61,5.61,293951.1
1667091600000,5.61,5.68,5.59,5.65,174469.73
1667095200000,5.65,5.68,5.63,5.65,105264.69
1667098800000,5.65,5.76,5.65,5.74,265008.95
1667102400000,5.74,5.75,5.66,5.68,314435.88
1667106000000,5.68,5.72,5.63,5.65,224912.55
1667109600000,5.66,5.69,5.62,5.64,225533.43
1667113200000,5.64,5.71,5.62,5.69,277770.41
1667116800000,5.69,5.76,5.6,5.72,598026.82
1667120400000,5.72,5.74,5.58,5.61,365396.41
1667124000000,5.61,5.65,5.58,5.6,171111.39
1667127600000,5.6,5.63,5.54,5.6,219150.99
1667131200000,5.6,5.63,5.54,5.59,157507.69
1667134800000,5.59,5.6,5.48,5.5,361904.2
1667138400000,5.5,5.55,5.45,5.52,223956.48
1667142000000,5.53,5.53,5.39,5.4,296513.67
1667145600000,5.41,5.46,5.37,5.4,291352.22
1667149200000,5.4,5.43,5.38,5.42,96218.9
1667152800000,5.42,5.45,5.41,5.43,58844.07
1667156400000,5.44,5.45,5.41,5.42,37789.7
1667160000000,5.42,5.45,5.41,5.44,62946.23
1667163600000,5.44,5.46,5.41,5.43,53046.37
1667167200000,5.44,5.44,5.28,5.37,275752.94
1667170800000,5.38,5.4,5.35,5.38,67155.15
1667174400000,5.38,5.44,5.37,5.38,164732.95
1667178000000,5.37,5.4,5.33,5.35,119712.53
1667181600000,5.35,5.36,5.29,5.34,143644.62
1667185200000,5.34,5.41,5.34,5.4,93019.38
1667188800000,5.4,5.42,5.38,5.41,95301.99
1667192400000,5.4,5.42,5.38,5.4,82607.42
