date,open,high,low,close,volume
1667005200000,0.0431,0.0431,0.043,0.0431,11743
1667008800000,0.0431,0.0432,0.0431,0.0432,32482
1667012400000,0.0431,0.0433,0.0431,0.0432,48512
1667016000000,0.0433,0.0433,0.0431,0.0432,43183
1667019600000,0.0432,0.0433,0.0431,0.0433,49754
1667023200000,0.0432,0.0435,0.0431,0.0433,77705
1667026800000,0.0434,0.0441,0.0431,0.0438,901877
1667030400000,0.0438,0.0441,0.0436,0.0438,178765
1667034000000,0.0437,0.0438,0.0436,0.0438,211936
1667037600000,0.0439,0.044,0.0435,0.0435,279758
1667041200000,0.0435,0.0436,0.0432,0.0433,116307
1667044800000,0.0433,0.0435,0.043,0.0433,100162
1667048400000,0.0433,0.0433,0.043,0.0433,88029
1667052000000,0.0431,0.0435,0.0431,0.0435,197188
1667055600000,0.0435,0.0436,0.0433,0.0434,172833
1667059200000,0.0434,0.0437,0.0434,0.0437,290159
1667062800000,0.0436,0.0438,0.0435,0.0435,265257
1667066400000,0.0435,0.0435,0.043,0.0432,158018
1667070000000,0.0432,0.0433,0.043,0.0431,356671
1667073600000,0.043,0.0431,0.0429,0.0431,172724
1667077200000,0.0431,0.0431,0.043,0.0431,113434
1667080800000,0.0431,0.0431,0.0429,0.043,19172
1667084400000,0.043,0.0431,0.0429,0.0431,41426
1667088000000,0.0429,0.0432,0.0429,0.043,90702
1667091600000,0.043,0.0432,0.043,0.0431,29067
1667095200000,0.0432,0.0432,0.0431,0.0431,24508
1667098800000,0.0432,0.0433,0.0431,0.0433,17623
1667102400000,0.0432,0.0434,0.0432,0.0433,150723
1667106000000,0.0434,0.044,0.0433,0.0434,451929
1667109600000,0.0435,0.0438,0.0434,0.0436,125626
1667113200000,0.0438,0.0444,0.0435,0.0442,673146
1667116800000,0.0442,0.0443,0.0437,0.0438,432271
1667120400000,0.0438,0.0442,0.0433,0.0436,240513
1667124000000,0.0435,0.0438,0.0435,0.0438,65099
1667127600000,0.0436,0.0439,0.0435,0.0439,78892
1667131200000,0.0438,0.0438,0.0434,0.0436,331602
1667134800000,0.0435,0.0435,0.0431,0.0432,247283
1667138400000,0.0432,0.0435,0.0431,0.0434,82019
1667142000000,0.0435,0.0438,0.0434,0.0436,335107
1667145600000,0.0436,0.044,0.0435,0.0435,159131
1667149200000,0.0435,0.0436,0.0434,0.0436,54804
1667152800000,0.0434,0.0441,0.0434,0.0435,378905
1667156400000,0.0437,0.0437,0.0435,0.0435,38162
1667160000000,0.0436,0.0437,0.0434,0.0436,58263
1667163600000,0.0438,0.0439,0.0436,0.0437,44395
1667167200000,0.0436,0.0437,0.0432,0.0435,127950
1667170800000,0.0434,0.0436,0.0434,0.0436,19794
1667174400000,0.0436,0.0438,0.0434,0.0435,307539
1667178000000,0.0437,0.0437,0.0434,0.0436,86692
1667181600000,0.0436,0.0437,0.0432,0.0433,95968
1667185200000,0.0432,0.044,0.0432,0.044,178802
1667188800000,0.0439,0.044,0.0434,0.0437,216638
1667192400000,0.0437,0.0437,0.0433,0.0434,275882
1667196000000,0.0434,0.0434,0.0431,0.0433,195960
1667199600000,0.0433,0.0436,0.0433,0.0434,104334
1667203200000,0.0435,0.0436,0.0429,0.0431,459499
1667206800000,0.0429,0.0436,0.0427,0.0434,349273
1667210400000,0.0434,0.0436,0.0429,0.0433,291502
1667214000000,0.0432,0.0433,0.0431,0.0431,89044
1667217600000,0.0432,0.0435,0.043,0.0434,377429
1667221200000,0.0434,0.0435,0.0426,0.0426,747861
1667224800000,0.0426,0.0428,0.0424,0.0427,444577
1667228400000,0.0427,0.043,0.0427,0.0428,154702
1667232000000,0.0428,0.043,0.0426,0.0429,289443
1667235600000,0.0427,0.043,0.0427,0.0429,188643
1667239200000,0.0428,0.043,0.0427,0.043,181261
1667242800000,0.0429,0.043,0.0427,0.0428,110037
1667246400000,0.0428,0.0431,0.0428,0.0429,14961
1667250000000,0.0429,0.0431,0.0429,0.0429,4889
1667253600000,0.0429,0.0431,0.0429,0.0431,38520
1667257200000,0.043,0.0431,0.043,0.0431,18849
1667260800000,0.0431,0.0434,0.0429,0.0432,113210
1667264400000,0.0432,0.0435,0.0432,0.0433,29983
1667268000000,0.0434,0.0435,0.0433,0.0435,5243
1667271600000,0.0435,0.0435,0.0433,0.0434,42010
1667275200000,0.0435,0.0435,0.0432,0.0433,67534
1667278800000,0.0434,0.0435,0.0433,0.0434,66511
1667282400000,0.0434,0.0435,0.0432,0.0432,236975
1667286000000,0.0432,0.0434,0.0431,0.0431,89816
1667289600000,0.0431,0.0433,0.0431,0.0432,71526
1667293200000,0.0432,0.0434,0.0431,0.0433,132894
1667296800000,0.0432,0.0434,0.0431,0.0433,112795
1667300400000,0.0432,0.0433,0.043,0.043,63873
1667304000000,0.0431,0.0432,0.0429,0.043,92427
1667307600000,0.0431,0.0431,0.0427,0.0429,170284
1667311200000,0.0427,0.0429,0.0425,0.0428,79456
1667314800000,0.0427,0.0428,0.0426,0.0427,23474
1667318400000,0.0428,0.0429,0.0427,0.0427,42253
1667322000000,0.0428,0.0428,0.0423,0.0424,307220
1667325600000,0.0424,0.0426,0.0423,0.0426,83072
1667329200000,0.0426,0.0427,0.0425,0.0425,64565
1667332800000,0.0425,0.0426,0.0425,0.0426,29825
1667336400000,0.0425,0.0426,0.042,0.0424,395553
1667340000000,0.0424,0.0424,0.0422,0.0424,127708
1667343600000,0.0424,0.0424,0.0423,0.0424,46323
1667347200000,0.0422,0.0424,0.0421,0.0423,148642
1667350800000,0.0424,0.0425,0.0423,0.0423,26622
1667354400000,0.0423,0.0423,0.0421,0.0422,102443
1667358000000,0.0422,0.0424,0.0421,0.0423,111010
1667361600000,0.0422,0.0423,0.0421,0.0421,41767
1667365200000,0.0422,0.0424,0.0422,0.0423,200220
1667368800000,0.0423,0.0424,0.0422,0.0423,50165
1667372400000,0.0423,0.0423,0.0419,0.042,176600
1667376000000,0.0419,0.042,0.0415,0.042,478277
1667379600000,0.042,0.0423,0.0419,0.042,293781
1667383200000,0.042,0.042,0.0414,0.0416,168098
1667386800000,0.0416,0.0417,0.0415,0.0416,140985
1667390400000,0.0417,0.0419,0.0414,0.0416,228861
1667394000000,0.0416,0.0418,0.0412,0.0415,301080
1667397600000,0.0416,0.0422,0.0415,0.0419,312608
1667401200000,0.0419,0.042,0.0417,0.0418,187883
1667404800000,0.0417,0.0421,0.0416,0.042,200717
1667408400000,0.0421,0.0421,0.0418,0.0418,73734
1667412000000,0.0418,0.0427,0.0417,0.0419,618667
1667415600000,0.0418,0.0421,0.0413,0.0414,296791
1667419200000,0.0413,0.0414,0.041,0.0411,87627
1667422800000,0.0411,0.0414,0.0411,0.0414,156761
1667426400000,0.0412,0.0414,0.0412,0.0412,44128
1667430000000,0.0413,0.0415,0.0412,0.0414,87181
1667433600000,0.0413,0.0419,0.0412,0.0418,400296
1667437200000,0.0419,0.0421,0.0417,0.0421,62793
1667440800000,0.0421,0.0422,0.0417,0.0421,502585
1667444400000,0.042,0.0423,0.042,0.0422,62074
1667448000000,0.0423,0.0426,0.0423,0.0424,264674
1667451600000,0.0423,0.0429,0.0423,0.0427,582321
1667455200000,0.0427,0.0429,0.0426,0.0427,312042
1667458800000,0.0428,0.043,0.0424,0.0425,285447
1667462400000,0.0424,0.0428,0.0424,0.0428,195209
1667466000000,0.0428,0.0433,0.0427,0.043,388183
1667469600000,0.043,0.0437,0.043,0.043,446637
1667473200000,0.043,0.0431,0.0426,0.0427,186158
1667476800000,0.0428,0.043,0.0424,0.0426,225169
1667480400000,0.0425,0.0429,0.0425,0.0426,139755
1667484000000,0.0426,0.0431,0.0426,0.043,207234
1667487600000,0.043,0.0431,0.0426,0.0429,333281
1667491200000,0.043,0.0433,0.0429,0.0432,173400
1667494800000,0.0432,0.0432,0.0427,0.043,498445
1667498400000,0.043,0.0431,0.0428,0.0431,379533
1667502000000,0.043,0.0434,0.043,0.0431,465660
1667505600000,0.0431,0.0432,0.043,0.0431,115865
1667509200000,0.0431,0.0432,0.0428,0.0429,399837
1667512800000,0.0428,0.0429,0.0425,0.0426,430121
1667516400000,0.0425,0.0426,0.0425,0.0426,81862
1667520000000,0.0426,0.0427,0.0425,0.0427,45118
1667523600000,0.0427,0.0431,0.0426,0.0431,461631
1667527200000,0.0431,0.0438,0.0431,0.0436,383503
1667530800000,0.0436,0.0436,0.0433,0.0436,132253
1667534400000,0.0435,0.044,0.0435,0.0438,585116
1667538000000,0.0437,0.0441,0.0436,0.0439,610242
1667541600000,0.0439,0.0442,0.0439,0.044,385592
1667545200000,0.044,0.0441,0.0438,0.0439,183058
