date,open,high,low,close,volume
1667005200000,2.27,2.275,2.267,2.267,1964.7
1667008800000,2.267,2.271,2.264,2.27,4030.7
1667012400000,2.27,2.288,2.267,2.287,2510.4
1667016000000,2.286,2.292,2.286,2.287,2524
1667019600000,2.287,2.3,2.287,2.29,6965.1
1667023200000,2.288,2.305,2.287,2.3,5143.4
1667026800000,2.3,2.309,2.292,2.307,16189.2
1667030400000,2.307,2.315,2.293,2.308,10819
1667034000000,2.312,2.33,2.308,2.311,12328.6
1667037600000,2.311,2.314,2.286,2.293,7457.9
1667041200000,2.292,2.297,2.286,2.289,3912.2
1667044800000,2.289,2.298,2.282,2.298,4047.1
1667048400000,2.298,2.31,2.286,2.29,8096
1667052000000,2.29,2.298,2.286,2.287,6629.4
1667055600000,2.288,2.291,2.271,2.28,20406.4
1667059200000,2.279,2.294,2.275,2.294,12632.7
1667062800000,2.29,2.296,2.277,2.277,12509.5
1667066400000,2.279,2.337,2.272,2.301,45550.7
1667070000000,2.301,2.328,2.301,2.318,10241.1
1667073600000,2.318,2.324,2.302,2.302,9093.4
1667077200000,2.305,2.308,2.298,2.308,8091
1667080800000,2.304,2.309,2.296,2.298,4638
1667084400000,2.303,2.305,2.292,2.296,5649.4
1667088000000,2.301,2.303,2.285,2.292,1788.8
1667091600000,2.291,2.307,2.285,2.302,946
1667095200000,2.299,2.3,2.288,2.293,3044.6
1667098800000,2.293,2.294,2.286,2.293,3084.8
1667102400000,2.293,2.293,2.281,2.287,2106.2
1667106000000,2.287,2.292,2.285,2.29,3593.5
1667109600000,2.29,2.292,2.286,2.291,2073
1667113200000,2.295,2.318,2.29,2.309,7635.2
1667116800000,2.308,2.33,2.293,2.321,18863
1667120400000,2.323,2.33,2.3,2.306,10181
1667124000000,2.31,2.31,2.293,2.308,7170.2
1667127600000,2.308,2.32,2.302,2.315,2397
1667131200000,2.317,2.317,2.3,2.308,5011.7
1667134800000,2.305,2.32,2.287,2.288,11437
1667138400000,2.288,2.316,2.285,2.309,11151.6
1667142000000,2.31,2.315,2.299,2.31,8033.7
1667145600000,2.308,2.317,2.3,2.307,11821.3
1667149200000,2.303,2.33,2.3,2.315,15695.2
1667152800000,2.314,2.324,2.302,2.309,12851.9
1667156400000,2.311,2.319,2.308,2.319,4665.5
1667160000000,2.319,2.336,2.31,2.324,13663.1
1667163600000,2.329,2.332,2.322,2.325,3026.1
1667167200000,2.323,2.323,2.288,2.302,10261.3
1667170800000,2.304,2.305,2.294,2.303,1780.7
1667174400000,2.305,2.311,2.3,2.301,2949.8
1667178000000,2.304,2.309,2.287,2.291,7466.5
1667181600000,2.291,2.293,2.285,2.29,2269
1667185200000,2.293,2.3,2.289,2.294,2085.2
1667188800000,2.295,2.306,2.295,2.301,4631.2
1667192400000,2.301,2.305,2.297,2.304,4741.8
1667196000000,2.301,2.305,2.296,2.299,7568.2
1667199600000,2.304,2.305,2.296,2.301,2128.1
1667203200000,2.297,2.305,2.285,2.303,7621.1
1667206800000,2.3,2.331,2.29,2.331,14413.9
1667210400000,2.323,2.328,2.302,2.31,13456.5
1667214000000,2.311,2.314,2.306,2.309,1356.3
1667217600000,2.31,2.319,2.299,2.314,9835.9
1667221200000,2.314,2.316,2.274,2.287,34643.5
1667224800000,2.29,2.319,2.221,2.257,76074.8
1667228400000,2.26,2.286,2.256,2.279,7294
1667232000000,2.28,2.286,2.258,2.261,6430.3
1667235600000,2.264,2.275,2.255,2.256,6439.6
1667239200000,2.256,2.271,2.255,2.27,3287.9
1667242800000,2.266,2.268,2.258,2.259,2006.6
1667246400000,2.258,2.265,2.252,2.261,5085.4
1667250000000,2.258,2.262,2.256,2.256,2080.4
1667253600000,2.255,2.266,2.251,2.264,5259.7
1667257200000,2.259,2.263,2.254,2.256,3594.8
