date,open,high,low,close,volume
1667005200000,0.3714,0.3719,0.3708,0.3719,13386
1667008800000,0.3719,0.3732,0.3719,0.3731,10992
1667012400000,0.3731,0.3735,0.3699,0.3735,89395
1667016000000,0.3733,0.3742,0.3719,0.373,7015
1667019600000,0.373,0.374,0.373,0.3733,9085
1667023200000,0.3739,0.3739,0.3691,0.3708,94385
1667026800000,0.3709,0.3727,0.37,0.3726,24432
1667030400000,0.3716,0.3768,0.3714,0.3768,46658
1667034000000,0.376,0.3775,0.3745,0.3757,56401
1667037600000,0.3757,0.3775,0.3734,0.3734,44913
1667041200000,0.3734,0.3746,0.373,0.3731,3217
1667044800000,0.3731,0.374,0.3729,0.3729,13111
1667048400000,0.373,0.373,0.3711,0.3725,19705
1667052000000,0.3719,0.3723,0.3718,0.3718,15668
1667055600000,0.3718,0.3724,0.3714,0.3714,20115
1667059200000,0.372,0.3745,0.371,0.3745,70097
1667062800000,0.374,0.3794,0.3738,0.3744,171791
1667066400000,0.3744,0.3746,0.3724,0.3746,39729
1667070000000,0.374,0.3741,0.3714,0.3714,9245
1667073600000,0.3725,0.3738,0.3722,0.3734,4778
1667077200000,0.3723,0.3741,0.3721,0.3721,28909
1667080800000,0.3731,0.3744,0.3722,0.3742,17488
1667084400000,0.3729,0.377,0.3729,0.3758,11824
1667088000000,0.3758,0.3758,0.3714,0.372,81813
1667091600000,0.3729,0.3743,0.3723,0.3743,7398
1667095200000,0.373,0.3747,0.373,0.3733,946
1667098800000,0.375,0.375,0.3733,0.3739,651
1667102400000,0.3739,0.3746,0.3725,0.3725,15180
1667106000000,0.3721,0.3735,0.3717,0.3718,34127
1667109600000,0.3726,0.3738,0.3716,0.3726,25811
1667113200000,0.3731,0.3756,0.3728,0.3756,16127
1667116800000,0.3756,0.3775,0.3726,0.374,50242
1667120400000,0.374,0.3751,0.3698,0.3698,49422
1667124000000,0.3706,0.371,0.368,0.368,128672
1667127600000,0.3691,0.3693,0.3667,0.3689,75126
1667131200000,0.3685,0.3704,0.3665,0.3704,46892
1667134800000,0.3691,0.371,0.3658,0.3669,67955
1667138400000,0.367,0.3687,0.3668,0.3687,22338
1667142000000,0.3686,0.3688,0.3651,0.3651,31627
1667145600000,0.3654,0.3684,0.3651,0.366,74999
1667149200000,0.366,0.3676,0.366,0.3673,11943
1667152800000,0.3665,0.368,0.3664,0.3674,26178
1667156400000,0.3673,0.3701,0.3668,0.3671,134072
1667160000000,0.368,0.3689,0.3661,0.3671,36478
1667163600000,0.3682,0.3685,0.3668,0.3674,5320
1667167200000,0.3673,0.3674,0.3641,0.3648,24397
1667170800000,0.3649,0.366,0.3637,0.365,10172
1667174400000,0.365,0.3663,0.3625,0.3631,29585
1667178000000,0.3633,0.3641,0.361,0.3612,25861
1667181600000,0.3616,0.3616,0.3589,0.3601,61332
1667185200000,0.3598,0.3641,0.3596,0.3641,17151
1667188800000,0.3633,0.3641,0.3625,0.3639,6562
1667192400000,0.3639,0.3648,0.3624,0.3627,19526
1667196000000,0.3626,0.3637,0.3609,0.3635,10752
1667199600000,0.3633,0.3649,0.3617,0.3643,15016
1667203200000,0.364,0.364,0.3609,0.3622,4536
1667206800000,0.3626,0.3675,0.361,0.3674,13193
1667210400000,0.3674,0.3687,0.3662,0.3674,43192
1667214000000,0.3668,0.375,0.3659,0.3731,116052
1667217600000,0.3731,0.39,0.3716,0.3829,740029
1667221200000,0.3835,0.3854,0.361,0.3688,531051
1667224800000,0.3688,0.3724,0.3626,0.3642,682797
1667228400000,0.3649,0.3686,0.3638,0.3662,102665
1667232000000,0.3655,0.3676,0.3623,0.3636,87561
1667235600000,0.3645,0.367,0.364,0.3649,41992
1667239200000,0.365,0.3674,0.365,0.3674,22409
1667242800000,0.3675,0.3682,0.3652,0.3663,20803
1667246400000,0.3662,0.3699,0.3653,0.3681,29249
1667250000000,0.3676,0.3687,0.3657,0.3673,48048
1667253600000,0.3673,0.372,0.3666,0.3713,47677
1667257200000,0.371,0.3715,0.3696,0.3714,16004
1667260800000,0.3702,0.3728,0.3687,0.3704,27782
1667264400000,0.3705,0.3719,0.3685,0.3698,28980
1667268000000,0.3695,0.3721,0.3691,0.3715,9476
1667271600000,0.3716,0.3716,0.3681,0.3694,8149
1667275200000,0.3685,0.369,0.3671,0.3671,8912
1667278800000,0.3673,0.3683,0.3662,0.3669,11963
1667282400000,0.3676,0.3692,0.3668,0.3685,5945
1667286000000,0.3686,0.3731,0.3686,0.369,136167
1667289600000,0.3702,0.3721,0.3689,0.3719,9729
1667293200000,0.372,0.3728,0.3702,0.3704,18545
1667296800000,0.37,0.3705,0.3693,0.3705,5189
1667300400000,0.3704,0.3704,0.3667,0.3674,18453
1667304000000,0.3674,0.3686,0.3671,0.368,25240
1667307600000,0.3674,0.3683,0.3651,0.3654,36418
1667311200000,0.3651,0.3667,0.363,0.363,141778
1667314800000,0.363,0.3635,0.3624,0.3631,32558
1667318400000,0.3628,0.3664,0.3628,0.3664,57441
1667322000000,0.3656,0.3665,0.3656,0.3659,3736
1667325600000,0.366,0.3683,0.366,0.3678,17316
1667329200000,0.3676,0.3679,0.366,0.3663,40713
1667332800000,0.3663,0.3668,0.366,0.3665,6733
1667336400000,0.3665,0.3672,0.3661,0.3665,29000
1667340000000,0.3664,0.3667,0.366,0.3665,7053
1667343600000,0.3665,0.3673,0.3661,0.3664,29570
1667347200000,0.3662,0.3671,0.3657,0.3666,55264
1667350800000,0.3666,0.3673,0.3642,0.3645,72965
1667354400000,0.3643,0.3647,0.3632,0.3638,21231
1667358000000,0.3638,0.3655,0.3637,0.3648,10683
1667361600000,0.3648,0.3675,0.3646,0.3652,41884
1667365200000,0.3655,0.3676,0.3649,0.3668,28767
1667368800000,0.3668,0.3669,0.3641,0.3647,28192
1667372400000,0.3647,0.3659,0.3621,0.3639,24020
1667376000000,0.3635,0.3675,0.3634,0.365,16878
1667379600000,0.3651,0.3653,0.3622,0.3628,32965
1667383200000,0.3622,0.3623,0.3579,0.3587,58968
1667386800000,0.3582,0.3601,0.3582,0.3587,17723
1667390400000,0.3593,0.3593,0.357,0.3576,19359
1667394000000,0.3574,0.36,0.3562,0.3569,34596
1667397600000,0.3569,0.3587,0.3565,0.3571,24824
1667401200000,0.3573,0.3573,0.356,0.3563,7631
1667404800000,0.3566,0.3567,0.354,0.3567,54059
1667408400000,0.3568,0.357,0.3535,0.3537,48486
