date,open,high,low,close,volume
1667005200000,0.1134,0.1136,0.1131,0.1131,74547
1667008800000,0.1132,0.1137,0.1127,0.1131,169460
1667012400000,0.1132,0.1151,0.1132,0.1146,591621
1667016000000,0.1145,0.1153,0.1139,0.114,210959
1667019600000,0.114,0.1147,0.1135,0.114,177131
1667023200000,0.1141,0.1149,0.1141,0.1144,342393
1667026800000,0.1145,0.1148,0.1143,0.1147,131036
1667030400000,0.1147,0.1156,0.1143,0.1148,538331
1667034000000,0.115,0.1159,0.115,0.1159,408121
1667037600000,0.1158,0.1158,0.1127,0.113,567056
1667041200000,0.1132,0.1136,0.1127,0.1131,174250
1667044800000,0.1131,0.1151,0.113,0.115,815120
1667048400000,0.115,0.115,0.1133,0.114,271729
1667052000000,0.114,0.1143,0.1132,0.1136,128060
1667055600000,0.1136,0.1148,0.1134,0.1138,445080
1667059200000,0.1138,0.1171,0.1137,0.1165,1404836
1667062800000,0.1165,0.1175,0.1141,0.1149,661705
1667066400000,0.1149,0.1157,0.114,0.1149,848376
1667070000000,0.1151,0.1152,0.1138,0.1149,626952
1667073600000,0.1149,0.1153,0.1144,0.1149,231493
1667077200000,0.115,0.1158,0.1149,0.115,120210
1667080800000,0.1149,0.1154,0.1135,0.1139,294988
1667084400000,0.1141,0.115,0.1136,0.1149,36351
1667088000000,0.1148,0.1156,0.1142,0.1143,249870
1667091600000,0.1143,0.1157,0.1141,0.1157,278613
1667095200000,0.1156,0.1158,0.1149,0.1154,192161
1667098800000,0.1156,0.1162,0.1156,0.116,123894
1667102400000,0.1162,0.1163,0.115,0.115,138951
1667106000000,0.1151,0.1165,0.1151,0.1159,454206
1667109600000,0.1159,0.1167,0.1154,0.1161,373166
1667113200000,0.1163,0.1177,0.116,0.1175,788608
1667116800000,0.1176,0.118,0.1152,0.1161,743521
1667120400000,0.1162,0.1172,0.1145,0.1153,638751
1667124000000,0.1152,0.1161,0.1151,0.1154,1014795
1667127600000,0.1153,0.1161,0.1152,0.1155,298013
1667131200000,0.1154,0.1155,0.114,0.1148,709280
1667134800000,0.1149,0.1152,0.1133,0.1138,466151
1667138400000,0.1137,0.1155,0.1134,0.1151,914533
1667142000000,0.1151,0.1151,0.1128,0.1131,401527
1667145600000,0.113,0.1142,0.1125,0.1128,468426
1667149200000,0.1129,0.1138,0.1127,0.1138,294151
1667152800000,0.1136,0.1144,0.1133,0.1142,299284
1667156400000,0.1142,0.1147,0.1141,0.1142,136505
1667160000000,0.1143,0.1145,0.1136,0.1142,167838
1667163600000,0.1144,0.1153,0.1141,0.1147,192117
1667167200000,0.1143,0.1143,0.112,0.1134,592037
1667170800000,0.1134,0.1141,0.1134,0.114,72460
1667174400000,0.114,0.1156,0.1137,0.1144,516446
1667178000000,0.1144,0.1151,0.1136,0.1142,235737
1667181600000,0.1143,0.1143,0.1127,0.1134,489734
1667185200000,0.1135,0.1151,0.1135,0.1151,295270
1667188800000,0.115,0.116,0.115,0.1151,432489
1667192400000,0.1151,0.1152,0.1145,0.115,375831
1667196000000,0.1151,0.1158,0.1143,0.1151,798373
1667199600000,0.1151,0.1161,0.1151,0.116,392644
1667203200000,0.1159,0.1164,0.1144,0.1151,812075
1667206800000,0.1148,0.1178,0.1148,0.1174,703370
1667210400000,0.1173,0.1202,0.1173,0.1186,3204870
1667214000000,0.1187,0.1192,0.118,0.1185,1014274
1667217600000,0.1184,0.1234,0.1177,0.1204,5142358
1667221200000,0.1202,0.1215,0.1172,0.1173,3735756
1667224800000,0.1172,0.12,0.117,0.1189,2024065
1667228400000,0.1186,0.1191,0.1176,0.1179,1144451
1667232000000,0.1178,0.119,0.1168,0.1176,1223019
1667235600000,0.1175,0.1182,0.117,0.1176,506667
1667239200000,0.1176,0.1184,0.1173,0.1179,456054
1667242800000,0.1181,0.1181,0.1171,0.1171,506346
1667246400000,0.1171,0.1185,0.117,0.1173,502030
1667250000000,0.1173,0.1176,0.1165,0.1171,396288
1667253600000,0.117,0.1183,0.1167,0.1181,438871
1667257200000,0.1182,0.1187,0.1177,0.1177,503542
1667260800000,0.1177,0.1197,0.1176,0.1189,786923
1667264400000,0.1188,0.1196,0.1185,0.1185,546354
1667268000000,0.1185,0.1188,0.1181,0.1183,370376
1667271600000,0.1182,0.1185,0.1171,0.1175,297023
1667275200000,0.1173,0.1174,0.1162,0.1163,672968
1667278800000,0.1163,0.1167,0.1159,0.1163,306504
1667282400000,0.1164,0.1168,0.1159,0.1162,533186
1667286000000,0.1162,0.1166,0.1155,0.1157,763801
1667289600000,0.1156,0.1161,0.1151,0.1154,792906
1667293200000,0.1154,0.1166,0.1151,0.116,671473
1667296800000,0.1162,0.1165,0.1152,0.1163,345232
1667300400000,0.1163,0.1163,0.1148,0.1158,374188
1667304000000,0.1159,0.1161,0.1153,0.1161,451725
1667307600000,0.116,0.1165,0.1142,0.1149,777930
1667311200000,0.1147,0.1157,0.1145,0.1153,366856
1667314800000,0.1156,0.1157,0.115,0.1156,254728
1667318400000,0.1155,0.1158,0.1146,0.1149,592292
1667322000000,0.1148,0.1148,0.1139,0.1142,340931
1667325600000,0.1143,0.1145,0.1138,0.1145,319779
1667329200000,0.1144,0.1147,0.1136,0.1138,308828
1667332800000,0.1139,0.1143,0.1136,0.1141,136304
1667336400000,0.1141,0.1141,0.1135,0.1135,262271
1667340000000,0.1135,0.1138,0.1134,0.1137,122111
1667343600000,0.1136,0.1141,0.1136,0.1137,263945
1667347200000,0.1136,0.1136,0.1126,0.1133,696371
1667350800000,0.1134,0.1136,0.1126,0.1127,168352
1667354400000,0.1127,0.1127,0.1117,0.1124,475834
1667358000000,0.1125,0.1132,0.1125,0.1129,146011
1667361600000,0.113,0.113,0.1125,0.1127,78842
1667365200000,0.1129,0.1133,0.1123,0.1123,214617
1667368800000,0.1123,0.1124,0.1117,0.112,307733
1667372400000,0.112,0.1121,0.1095,0.1107,1229309
1667376000000,0.1106,0.1115,0.1102,0.1113,531872
1667379600000,0.1113,0.1115,0.1073,0.1082,2427156
1667383200000,0.1083,0.1089,0.1075,0.1087,1004244
1667386800000,0.1088,0.1094,0.1087,0.1087,158492
1667390400000,0.1087,0.1089,0.1079,0.1085,201658
1667394000000,0.1083,0.109,0.1079,0.1085,412989
1667397600000,0.1086,0.1093,0.1082,0.1089,180066
1667401200000,0.1087,0.109,0.1086,0.1088,83337
1667404800000,0.1087,0.1099,0.1083,0.1096,331656
1667408400000,0.1097,0.1097,0.1076,0.1085,189804
1667412000000,0.1084,0.1121,0.108,0.1093,2912983
1667415600000,0.1093,0.111,0.1076,0.1083,775582
1667419200000,0.1082,0.1086,0.1051,0.1072,827241
1667422800000,0.1071,0.1078,0.107,0.1075,323667
1667426400000,0.1075,0.1077,0.1065,0.1068,298332
