date,open,high,low,close,volume
1667005200000,1.707,1.711,1.695,1.7,138314.86
1667008800000,1.7,1.709,1.69,1.698,57792.16
1667012400000,1.697,1.782,1.696,1.761,707578.67
1667016000000,1.761,1.764,1.74,1.743,311046.18
1667019600000,1.742,1.769,1.733,1.754,615316.4
1667023200000,1.755,1.764,1.742,1.754,228477.85
1667026800000,1.754,1.776,1.752,1.766,345385.28
1667030400000,1.765,1.786,1.755,1.767,551218.4
1667034000000,1.768,1.787,1.764,1.768,216670.77
1667037600000,1.767,1.774,1.735,1.74,249644.55
1667041200000,1.74,1.746,1.726,1.732,138452.28
1667044800000,1.732,1.759,1.729,1.752,222876.78
1667048400000,1.752,1.756,1.733,1.755,197840.11
1667052000000,1.756,1.763,1.74,1.745,286457.9
1667055600000,1.745,1.808,1.745,1.794,540768.58
1667059200000,1.791,1.864,1.79,1.819,820215.67
1667062800000,1.818,1.83,1.785,1.792,350693.15
1667066400000,1.792,1.809,1.782,1.796,164891.36
1667070000000,1.798,1.811,1.782,1.799,120364.74
1667073600000,1.798,1.821,1.796,1.811,197129.49
1667077200000,1.81,1.819,1.807,1.808,56104.27
1667080800000,1.808,1.808,1.773,1.778,154475.13
1667084400000,1.777,1.798,1.767,1.792,104893.44
1667088000000,1.792,1.8,1.752,1.754,149480.99
1667091600000,1.754,1.781,1.753,1.764,430255.18
1667095200000,1.764,1.784,1.755,1.759,600389.74
1667098800000,1.759,1.777,1.756,1.761,165759.36
1667102400000,1.761,1.761,1.748,1.75,79751.88
1667106000000,1.75,1.768,1.749,1.761,117410.16
1667109600000,1.762,1.772,1.742,1.769,296446.16
1667113200000,1.769,1.801,1.764,1.796,223147.16
1667116800000,1.797,1.815,1.758,1.777,424560.8
1667120400000,1.777,1.785,1.743,1.754,287800.63
1667124000000,1.754,1.769,1.749,1.762,259482.74
1667127600000,1.762,1.776,1.749,1.758,119827.9
1667131200000,1.758,1.764,1.741,1.757,236916.44
1667134800000,1.758,1.761,1.719,1.72,432686.41
1667138400000,1.72,1.743,1.719,1.738,157189.46
1667142000000,1.737,1.745,1.703,1.715,320838.93
1667145600000,1.713,1.733,1.703,1.709,276541.83
1667149200000,1.71,1.724,1.705,1.723,68299.75
1667152800000,1.724,1.733,1.721,1.73,72472.32
1667156400000,1.73,1.737,1.723,1.724,47173.44
1667160000000,1.724,1.737,1.724,1.728,66544.97
1667163600000,1.73,1.737,1.721,1.724,39629.7
1667167200000,1.724,1.726,1.686,1.703,238876
1667170800000,1.703,1.722,1.701,1.72,68569.99
1667174400000,1.721,1.736,1.695,1.703,389498.79
1667178000000,1.703,1.71,1.683,1.693,203162.46
1667181600000,1.693,1.697,1.667,1.67,159549.04
1667185200000,1.67,1.695,1.67,1.694,82350.3
1667188800000,1.693,1.707,1.686,1.689,233070.52
1667192400000,1.688,1.692,1.68,1.682,114963.85
1667196000000,1.683,1.687,1.67,1.686,114436.75
1667199600000,1.688,1.694,1.677,1.694,133881.08
1667203200000,1.694,1.696,1.662,1.67,151498.03
1667206800000,1.669,1.711,1.664,1.709,238608.09
1667210400000,1.709,1.718,1.699,1.71,232218.98
1667214000000,1.711,1.725,1.71,1.714,151398.76
1667217600000,1.714,1.724,1.695,1.71,289806.6
1667221200000,1.71,1.723,1.65,1.656,262290.99
1667224800000,1.656,1.679,1.65,1.663,299673.89
1667228400000,1.664,1.682,1.662,1.675,124464.13
1667232000000,1.671,1.688,1.655,1.668,187972.22
1667235600000,1.667,1.681,1.661,1.666,111665.84
1667239200000,1.667,1.679,1.656,1.658,296630.92
1667242800000,1.658,1.66,1.638,1.64,231503.46
1667246400000,1.64,1.665,1.639,1.655,299751.94
1667250000000,1.655,1.666,1.651,1.663,62962.56
1667253600000,1.663,1.675,1.652,1.673,93984.69
1667257200000,1.673,1.678,1.67,1.674,52563.61
1667260800000,1.675,1.689,1.666,1.675,188559.28
1667264400000,1.676,1.689,1.675,1.68,168067.01
1667268000000,1.679,1.692,1.676,1.686,60973.67
1667271600000,1.686,1.694,1.673,1.676,157138.13
1667275200000,1.676,1.686,1.669,1.678,85951.68
1667278800000,1.677,1.687,1.675,1.684,126854.07
1667282400000,1.684,1.692,1.68,1.689,103101.15
1667286000000,1.689,1.693,1.678,1.683,56271.26
1667289600000,1.683,1.689,1.68,1.682,85150.14
1667293200000,1.681,1.697,1.678,1.682,120201.21
1667296800000,1.683,1.69,1.677,1.689,61846.3
1667300400000,1.688,1.688,1.664,1.675,118990.35
1667304000000,1.673,1.678,1.663,1.676,90028.54
1667307600000,1.675,1.675,1.644,1.652,119465.97
1667311200000,1.653,1.657,1.634,1.642,361260.11
1667314800000,1.642,1.65,1.641,1.649,93985.4
1667318400000,1.649,1.654,1.628,1.631,174190.43
1667322000000,1.631,1.638,1.626,1.631,95884.05
1667325600000,1.63,1.633,1.621,1.628,107076.88
1667329200000,1.628,1.634,1.621,1.622,73888.04
1667332800000,1.622,1.634,1.619,1.634,83634.71
1667336400000,1.634,1.638,1.629,1.634,88275.2
1667340000000,1.635,1.64,1.634,1.639,15797.04
1667343600000,1.639,1.648,1.638,1.643,52060.6
1667347200000,1.642,1.655,1.624,1.643,460589.3
1667350800000,1.643,1.661,1.643,1.645,380818.29
1667354400000,1.645,1.647,1.635,1.645,41248.55
1667358000000,1.644,1.657,1.64,1.657,71479.49
1667361600000,1.657,1.688,1.651,1.651,746864.37
1667365200000,1.652,1.661,1.645,1.646,161400.03
1667368800000,1.646,1.65,1.638,1.645,74668.07
1667372400000,1.645,1.647,1.615,1.632,268076.73
1667376000000,1.631,1.664,1.624,1.657,216159
1667379600000,1.657,1.658,1.62,1.62,160354.34
1667383200000,1.62,1.62,1.598,1.613,237129.87
1667386800000,1.613,1.625,1.61,1.612,84597.21
1667390400000,1.611,1.612,1.587,1.588,155344.58
1667394000000,1.588,1.599,1.583,1.59,83134.43
1667397600000,1.59,1.602,1.581,1.59,246795.3
1667401200000,1.59,1.591,1.581,1.581,142802.81
1667404800000,1.58,1.598,1.571,1.596,168919.57
1667408400000,1.596,1.596,1.572,1.58,72317.3
1667412000000,1.579,1.653,1.571,1.614,522459.57
1667415600000,1.613,1.67,1.597,1.61,622635.36
1667419200000,1.608,1.616,1.566,1.592,219068.27
1667422800000,1.591,1.629,1.587,1.628,257212.28
1667426400000,1.63,1.662,1.594,1.6,792529.83
1667430000000,1.6,1.62,1.591,1.608,211274.25
1667433600000,1.607,1.637,1.603,1.627,237275.77
1667437200000,1.628,1.635,1.615,1.627,498648.74
1667440800000,1.628,1.65,1.628,1.648,424241.38
1667444400000,1.648,1.769,1.648,1.759,1232471.52
1667448000000,1.76,1.775,1.713,1.732,778620.61
1667451600000,1.734,2.065,1.732,2.01,4826542.55
1667455200000,2.012,2.012,1.874,1.888,2532804.04
1667458800000,1.888,1.898,1.853,1.886,958953.25
1667462400000,1.887,1.944,1.87,1.919,962717.87
1667466000000,1.919,1.956,1.897,1.928,743541.4
1667469600000,1.927,1.933,1.841,1.858,929904.41
1667473200000,1.859,1.872,1.812,1.837,581688.83
1667476800000,1.835,1.853,1.791,1.809,420130.6
1667480400000,1.81,1.829,1.785,1.787,464357.16
1667484000000,1.787,1.836,1.787,1.832,329382.39
1667487600000,1.831,1.85,1.811,1.838,439332.81
1667491200000,1.839,1.84,1.793,1.795,667867.12
1667494800000,1.795,1.809,1.78,1.785,471888.13
1667498400000,1.785,1.814,1.779,1.808,504385.13
1667502000000,1.808,1.81,1.784,1.792,436195.96
1667505600000,1.792,1.809,1.768,1.769,759375.14
1667509200000,1.77,1.81,1.77,1.802,193658.78
1667512800000,1.801,1.802,1.771,1.775,312665.35
1667516400000,1.773,1.782,1.752,1.767,342716.19
1667520000000,1.768,1.781,1.722,1.755,906858.12
1667523600000,1.754,1.77,1.721,1.729,315168.07
1667527200000,1.73,1.746,1.714,1.732,338804.07
1667530800000,1.731,1.764,1.726,1.762,296074.8
1667534400000,1.763,1.773,1.741,1.771,308565.62
1667538000000,1.771,1.827,1.769,1.802,1267610.42
1667541600000,1.804,1.844,1.794,1.816,562025.95
1667545200000,1.816,1.82,1.795,1.815,359667.36
1667548800000,1.815,1.824,1.782,1.784,476296.41
1667552400000,1.785,1.798,1.771,1.777,411398.25
1667556000000,1.778,1.793,1.763,1.788,378664.87
1667559600000,1.786,1.791,1.772,1.789,339216.57
1667563200000,1.789,1.82,1.764,1.82,487335.63
1667566800000,1.82,1.831,1.8,1.807,326991.7
1667570400000,1.809,1.875,1.806,1.848,689087.1
1667574000000,1.849,1.85,1.78,1.791,710673.91
1667577600000,1.791,1.812,1.781,1.798,287304.62
1667581200000,1.798,1.816,1.788,1.8,216032.22
