date,open,high,low,close,volume
1667005200000,0.737,0.739,0.736,0.739,9802.04
1667008800000,0.739,0.74,0.736,0.739,33831.53
1667012400000,0.74,0.748,0.739,0.746,22769.83
1667016000000,0.748,0.755,0.746,0.752,70933.06
1667019600000,0.753,0.755,0.745,0.752,29247.32
1667023200000,0.751,0.753,0.741,0.747,75204.72
1667026800000,0.749,0.754,0.749,0.752,19879.59
1667030400000,0.752,0.756,0.749,0.75,116026.87
1667034000000,0.749,0.754,0.744,0.748,78859.13
1667037600000,0.748,0.758,0.741,0.742,95476.3
1667041200000,0.743,0.743,0.734,0.737,42902.97
1667044800000,0.737,0.74,0.732,0.735,87342.2
1667048400000,0.733,0.737,0.731,0.736,39431.1
1667052000000,0.736,0.75,0.735,0.742,136309.4
1667055600000,0.742,0.754,0.74,0.752,79565.48
1667059200000,0.753,0.798,0.752,0.784,333773.66
1667062800000,0.783,0.797,0.765,0.769,191701.17
1667066400000,0.768,0.78,0.767,0.775,63339.96
1667070000000,0.773,0.78,0.771,0.778,40431.48
1667073600000,0.778,0.795,0.778,0.786,83505.16
1667077200000,0.786,0.812,0.786,0.789,242513.41
1667080800000,0.789,0.816,0.785,0.797,137463.13
1667084400000,0.796,0.799,0.779,0.783,98957.87
1667088000000,0.783,0.799,0.782,0.796,60597.62
1667091600000,0.796,0.796,0.786,0.788,56549.76
1667095200000,0.788,0.816,0.788,0.791,209242.1
1667098800000,0.792,0.793,0.778,0.779,99090.8
1667102400000,0.78,0.781,0.778,0.778,33348.65
1667106000000,0.779,0.78,0.778,0.78,14318.29
1667109600000,0.78,0.781,0.776,0.777,59799.24
1667113200000,0.777,0.786,0.777,0.785,21498.09
1667116800000,0.784,0.79,0.776,0.78,64422.14
1667120400000,0.78,0.787,0.777,0.777,44084.25
1667124000000,0.778,0.778,0.759,0.765,141352.94
1667127600000,0.764,0.785,0.763,0.775,111310.59
1667131200000,0.775,0.788,0.775,0.786,58176.07
1667134800000,0.786,0.792,0.765,0.768,112109.69
1667138400000,0.768,0.775,0.766,0.774,42085.13
1667142000000,0.775,0.778,0.762,0.764,32386.68
1667145600000,0.763,0.77,0.761,0.765,34115.27
1667149200000,0.764,0.771,0.76,0.769,37481.52
1667152800000,0.768,0.783,0.761,0.764,161806.46
1667156400000,0.764,0.771,0.759,0.762,106004.73
1667160000000,0.762,0.767,0.757,0.766,54535.8
1667163600000,0.767,0.771,0.766,0.77,74441.29
1667167200000,0.769,0.77,0.755,0.764,69737.13
1667170800000,0.765,0.775,0.761,0.771,68821.64
1667174400000,0.772,0.775,0.761,0.765,68582.6
1667178000000,0.765,0.769,0.761,0.762,64897.02
1667181600000,0.763,0.773,0.758,0.762,79004.46
1667185200000,0.76,0.773,0.756,0.768,138391.41
1667188800000,0.768,0.768,0.762,0.765,9829.42
1667192400000,0.765,0.769,0.763,0.769,16066.48
1667196000000,0.768,0.782,0.765,0.779,59585.82
1667199600000,0.779,0.809,0.779,0.799,415187.01
1667203200000,0.798,0.8,0.779,0.783,136305.33
1667206800000,0.783,0.798,0.783,0.795,153427.42
1667210400000,0.798,0.82,0.789,0.819,287845.59
1667214000000,0.819,0.829,0.808,0.813,230081.94
1667217600000,0.81,0.81,0.77,0.78,433665.48
1667221200000,0.78,0.78,0.736,0.739,446712.04
1667224800000,0.739,0.755,0.733,0.74,248806.93
1667228400000,0.74,0.751,0.73,0.741,226018.12
1667232000000,0.741,0.741,0.731,0.732,83482.65
1667235600000,0.731,0.741,0.725,0.739,100533.71
1667239200000,0.738,0.742,0.736,0.738,44254.84
1667242800000,0.738,0.743,0.733,0.737,76602.66
1667246400000,0.736,0.736,0.729,0.73,30760.86
1667250000000,0.729,0.736,0.728,0.733,36227.09
1667253600000,0.733,0.736,0.731,0.735,16473.33
1667257200000,0.734,0.748,0.733,0.744,110104.22
1667260800000,0.742,0.746,0.737,0.74,41424.95
1667264400000,0.739,0.744,0.737,0.742,11764.38
1667268000000,0.742,0.744,0.738,0.744,33393.97
1667271600000,0.743,0.75,0.742,0.742,49186.85
1667275200000,0.743,0.745,0.737,0.737,19489.8
1667278800000,0.738,0.74,0.736,0.736,15886.37
1667282400000,0.736,0.744,0.73,0.737,173475.56
1667286000000,0.737,0.742,0.736,0.742,33301.64
1667289600000,0.74,0.743,0.735,0.74,44865.78
1667293200000,0.74,0.747,0.74,0.742,54098.65
1667296800000,0.742,0.744,0.731,0.742,122230.32
1667300400000,0.743,0.743,0.731,0.735,72388.61
1667304000000,0.735,0.738,0.731,0.737,33392.68
1667307600000,0.736,0.737,0.728,0.729,82225.01
1667311200000,0.728,0.729,0.72,0.723,76277.29
1667314800000,0.723,0.725,0.716,0.718,50706.95
1667318400000,0.719,0.72,0.713,0.714,70943.61
1667322000000,0.716,0.716,0.71,0.715,52174.08
1667325600000,0.716,0.721,0.714,0.719,38741.09
1667329200000,0.72,0.723,0.72,0.722,20501.27
1667332800000,0.722,0.732,0.713,0.727,103959.08
1667336400000,0.728,0.728,0.716,0.72,18022.35
1667340000000,0.717,0.718,0.711,0.714,30250.94
1667343600000,0.714,0.72,0.713,0.719,70395.94
1667347200000,0.72,0.72,0.714,0.716,18574.09
1667350800000,0.717,0.721,0.715,0.719,17087.91
1667354400000,0.719,0.72,0.715,0.717,8380.38
1667358000000,0.717,0.722,0.716,0.721,7687.98
1667361600000,0.721,0.724,0.721,0.722,9814.11
1667365200000,0.722,0.724,0.717,0.72,34652.3
1667368800000,0.719,0.719,0.706,0.71,79017.05
1667372400000,0.708,0.71,0.702,0.705,73636.86
1667376000000,0.705,0.711,0.703,0.711,20599.78
1667379600000,0.71,0.711,0.693,0.697,124966.89
1667383200000,0.696,0.697,0.69,0.693,44105.9
1667386800000,0.693,0.697,0.691,0.693,35631.28
1667390400000,0.693,0.696,0.69,0.695,45065.56
1667394000000,0.694,0.71,0.693,0.7,64411.65
1667397600000,0.702,0.706,0.7,0.706,14711.25
1667401200000,0.706,0.707,0.703,0.705,22274.96
1667404800000,0.705,0.709,0.694,0.707,32671.76
1667408400000,0.708,0.715,0.701,0.705,51514.58
1667412000000,0.703,0.726,0.701,0.707,181258.32
1667415600000,0.706,0.711,0.686,0.694,113205.57
1667419200000,0.692,0.696,0.682,0.692,63809.45
1667422800000,0.693,0.695,0.688,0.692,23682.77
1667426400000,0.693,0.693,0.688,0.688,11910.63
1667430000000,0.69,0.695,0.689,0.693,6377.85
1667433600000,0.694,0.709,0.693,0.704,54728.65
1667437200000,0.704,0.705,0.698,0.699,67389.8
1667440800000,0.7,0.714,0.699,0.71,40775.77
1667444400000,0.711,0.728,0.711,0.721,145456.75
1667448000000,0.722,0.73,0.721,0.725,38567.27
1667451600000,0.725,0.738,0.723,0.728,165847.04
