date,open,high,low,close,volume
1667005200000,0.2376,0.2385,0.2376,0.2384,18705
1667008800000,0.2386,0.2399,0.2385,0.2397,15240
1667012400000,0.2394,0.2399,0.2388,0.2398,63150
1667016000000,0.24,0.2407,0.2393,0.2398,36277
1667019600000,0.2399,0.2414,0.2389,0.2396,44301
1667023200000,0.2401,0.242,0.2396,0.2413,53691
1667026800000,0.2417,0.2425,0.2405,0.2425,70265
1667030400000,0.2422,0.2449,0.2421,0.2434,272084
1667034000000,0.2434,0.2434,0.2416,0.2425,136744
1667037600000,0.242,0.2424,0.2392,0.2397,213609
1667041200000,0.2396,0.2404,0.2387,0.2394,39302
1667044800000,0.239,0.24,0.2387,0.2397,21589
1667048400000,0.2392,0.2397,0.238,0.2393,101791
1667052000000,0.2393,0.2402,0.2381,0.2401,101534
1667055600000,0.2397,0.2401,0.2381,0.2388,132032
1667059200000,0.2394,0.2416,0.2388,0.2409,134987
1667062800000,0.2416,0.242,0.2398,0.2412,302788
1667066400000,0.2412,0.2412,0.2383,0.2397,81214
1667070000000,0.239,0.2395,0.2381,0.2389,48614
1667073600000,0.2389,0.2407,0.2384,0.2407,68955
1667077200000,0.2404,0.2409,0.239,0.24,81700
1667080800000,0.2401,0.2401,0.2379,0.2379,67854
1667084400000,0.2378,0.239,0.2368,0.239,67571
1667088000000,0.2386,0.2391,0.2371,0.2375,18180
1667091600000,0.2375,0.2382,0.2375,0.238,12162
1667095200000,0.2379,0.2381,0.2375,0.238,20862
1667098800000,0.2382,0.2387,0.2375,0.2376,40386
1667102400000,0.2382,0.2383,0.2375,0.238,21827
1667106000000,0.2379,0.2389,0.2378,0.2383,32455
1667109600000,0.2385,0.239,0.231,0.2373,1111527
1667113200000,0.2373,0.2385,0.2372,0.2383,94676
1667116800000,0.2388,0.2411,0.2378,0.2384,213222
1667120400000,0.2383,0.2404,0.236,0.236,308797
1667124000000,0.2373,0.2373,0.233,0.2366,264694
1667127600000,0.2361,0.2369,0.2356,0.2365,43232
1667131200000,0.2364,0.2368,0.2351,0.2366,67503
1667134800000,0.2361,0.2361,0.233,0.2333,144465
1667138400000,0.2334,0.2407,0.2299,0.2356,1722575
1667142000000,0.2356,0.2356,0.231,0.2337,371813
1667145600000,0.2337,0.2348,0.2329,0.2338,87580
1667149200000,0.2338,0.2377,0.231,0.2334,687724
1667152800000,0.2333,0.2352,0.2329,0.2345,125665
1667156400000,0.2345,0.2365,0.2338,0.2354,42826
1667160000000,0.2357,0.2378,0.2349,0.2359,105859
1667163600000,0.2357,0.2363,0.2348,0.2353,81524
1667167200000,0.2355,0.2361,0.2335,0.2355,22359
1667170800000,0.2352,0.2358,0.2332,0.234,78468
1667174400000,0.2341,0.2356,0.2337,0.2337,26553
