date,open,high,low,close,volume
1667005200000,6.518,6.555,6.455,6.505,6138.7
1667008800000,6.505,6.587,6.504,6.555,7158.8
1667012400000,6.557,6.608,6.512,6.596,7431
1667016000000,6.592,6.657,6.569,6.602,8522
1667019600000,6.625,6.662,6.6,6.621,12662
1667023200000,6.619,6.688,6.6,6.616,16900.3
1667026800000,6.617,6.657,6.609,6.641,4619.6
1667030400000,6.645,6.711,6.636,6.673,7688
1667034000000,6.669,6.736,6.662,6.707,10746.4
1667037600000,6.703,6.75,6.565,6.633,20763.3
1667041200000,6.633,6.712,6.615,6.695,9813.7
1667044800000,6.696,6.831,6.683,6.769,23949
1667048400000,6.769,6.877,6.76,6.822,28614.2
1667052000000,6.815,7.042,6.791,6.935,87713.8
1667055600000,6.936,7.163,6.888,7.084,84702.9
1667059200000,7.073,7.095,6.948,6.994,30003.4
1667062800000,6.971,6.987,6.902,6.92,11460.7
1667066400000,6.94,6.94,6.88,6.885,9360.9
1667070000000,6.883,6.952,6.859,6.937,7926.4
1667073600000,6.936,7.003,6.936,6.973,12954.7
1667077200000,6.973,7.024,6.905,6.95,6981.1
1667080800000,6.951,7,6.932,6.946,4470.7
1667084400000,6.942,6.96,6.924,6.953,4414.7
1667088000000,6.958,6.96,6.84,6.86,16125.8
1667091600000,6.858,6.93,6.833,6.924,7502.1
1667095200000,6.924,6.964,6.92,6.923,5610.2
1667098800000,6.92,6.972,6.92,6.972,3313.3
1667102400000,6.964,6.985,6.915,6.968,4531.2
1667106000000,6.981,7.007,6.931,6.931,5652.4
1667109600000,6.935,7.076,6.922,7.033,20026.2
1667113200000,7.045,7.086,7.015,7.061,8281.3
1667116800000,7.07,7.089,7.01,7.054,4862.9
1667120400000,7.057,7.134,6.951,6.973,13896.5
1667124000000,6.958,7.008,6.866,6.921,31260.7
1667127600000,6.923,6.974,6.912,6.971,3131.7
1667131200000,6.971,7.029,6.968,7.011,7432.2
1667134800000,7.01,7.014,6.93,6.93,7289.2
1667138400000,6.927,6.953,6.91,6.914,3117.8
1667142000000,6.922,6.922,6.747,6.763,6907.5
1667145600000,6.766,6.778,6.749,6.752,3376.1
1667149200000,6.753,6.76,6.733,6.734,1298.7
1667152800000,6.75,6.75,6.728,6.737,1146
1667156400000,6.743,6.754,6.728,6.74,523.6
1667160000000,6.748,6.754,6.705,6.717,2195.2
1667163600000,6.719,6.735,6.693,6.701,6121.5
1667167200000,6.701,6.701,6.63,6.649,4187.5
1667170800000,6.658,6.658,6.607,6.635,3762
1667174400000,6.643,6.66,6.63,6.633,765
1667178000000,6.641,6.641,6.581,6.634,6993.1
1667181600000,6.628,6.629,6.598,6.607,2037.4
1667185200000,6.606,6.635,6.602,6.623,545.3
1667188800000,6.626,6.638,6.618,6.63,1436.2
1667192400000,6.622,6.64,6.619,6.624,862
1667196000000,6.625,6.629,6.606,6.628,895.5
1667199600000,6.617,6.633,6.583,6.602,2891.8
1667203200000,6.612,6.614,6.585,6.591,1428
1667206800000,6.599,6.681,6.597,6.664,5411.3
1667210400000,6.68,6.771,6.673,6.757,5238.4
1667214000000,6.766,6.815,6.707,6.73,10952.8
1667217600000,6.73,6.783,6.72,6.758,4230.3
1667221200000,6.772,6.82,6.58,6.607,16311.1
1667224800000,6.606,6.732,6.578,6.603,11763.2
1667228400000,6.592,6.659,6.581,6.622,4762.8
1667232000000,6.636,6.687,6.63,6.671,4245.8
1667235600000,6.676,6.698,6.676,6.683,898.6
1667239200000,6.681,6.693,6.67,6.687,369.2
1667242800000,6.688,6.69,6.645,6.679,459.5
1667246400000,6.685,6.697,6.668,6.683,101.6
1667250000000,6.671,6.671,6.576,6.627,6585.6
1667253600000,6.628,6.686,6.598,6.647,4738.8
1667257200000,6.656,6.928,6.642,6.855,25191.8
1667260800000,6.85,6.89,6.781,6.829,3323.7
1667264400000,6.82,6.968,6.759,6.826,11756.5
1667268000000,6.837,6.862,6.822,6.861,5205.7
1667271600000,6.85,6.872,6.823,6.826,1294.9
1667275200000,6.825,6.833,6.791,6.801,9793.2
1667278800000,6.822,6.847,6.789,6.789,1066
1667282400000,6.786,6.836,6.783,6.825,1273.7
1667286000000,6.813,6.824,6.766,6.766,3238.7
1667289600000,6.765,6.781,6.741,6.761,3341.9
1667293200000,6.761,6.785,6.744,6.753,1154.5
1667296800000,6.753,6.753,6.732,6.737,259.8
1667300400000,6.747,6.752,6.683,6.69,1227.2
1667304000000,6.691,6.717,6.686,6.695,1800.4
1667307600000,6.702,6.702,6.642,6.681,3816.5
1667311200000,6.678,6.694,6.655,6.657,4992
1667314800000,6.659,6.696,6.645,6.696,1500.9
1667318400000,6.703,6.703,6.617,6.636,4891.5
1667322000000,6.619,6.638,6.599,6.612,1710.6
1667325600000,6.613,6.613,6.588,6.596,852.9
1667329200000,6.589,6.589,6.528,6.557,8363.8
1667332800000,6.551,6.558,6.541,6.545,400.2
1667336400000,6.549,6.578,6.541,6.574,1579.7
1667340000000,6.57,6.57,6.565,6.565,106.7
1667343600000,6.573,6.584,6.569,6.578,162.3
1667347200000,6.564,6.578,6.544,6.563,1521.6
1667350800000,6.56,6.578,6.559,6.568,280.7
1667354400000,6.566,6.595,6.557,6.595,1577.8
1667358000000,6.583,6.587,6.573,6.578,396.9
1667361600000,6.576,6.586,6.566,6.576,1480.7
1667365200000,6.596,6.596,6.531,6.559,6297.6
1667368800000,6.557,6.558,6.534,6.537,410.2
1667372400000,6.538,6.538,6.47,6.5,5862.1
1667376000000,6.507,6.53,6.491,6.512,1157
1667379600000,6.511,6.523,6.45,6.47,2771.8
1667383200000,6.455,6.469,6.419,6.467,9976.8
1667386800000,6.468,6.471,6.41,6.425,8521.7
1667390400000,6.427,6.436,6.339,6.417,10596.3
1667394000000,6.419,6.429,6.418,6.429,846.9
1667397600000,6.423,6.449,6.419,6.44,436.8
1667401200000,6.436,6.436,6.395,6.399,1643.9
1667404800000,6.397,6.443,6.387,6.44,1757.7
1667408400000,6.435,6.452,6.409,6.431,1163
1667412000000,6.424,6.567,6.415,6.464,16094.9
1667415600000,6.45,6.491,6.354,6.378,13397.6
1667419200000,6.363,6.378,6.303,6.343,5822.9
1667422800000,6.346,6.354,6.303,6.326,4689.1
1667426400000,6.326,6.329,6.303,6.313,319.4
1667430000000,6.32,6.356,6.32,6.349,966.4
1667433600000,6.343,6.388,6.321,6.386,940.1
1667437200000,6.377,6.408,6.336,6.391,15341.6
1667440800000,6.392,6.413,6.382,6.407,888.7
1667444400000,6.411,6.436,6.39,6.404,4099.3
1667448000000,6.405,6.435,6.401,6.411,1332.2
1667451600000,6.412,6.477,6.399,6.455,8318.4
1667455200000,6.458,6.477,6.45,6.472,3006.9
1667458800000,6.472,6.483,6.423,6.434,1011.7
1667462400000,6.436,6.454,6.431,6.432,604.2
1667466000000,6.444,6.491,6.424,6.486,4961.3
1667469600000,6.493,6.522,6.489,6.49,1235.7
1667473200000,6.491,6.496,6.419,6.456,12608
1667476800000,6.454,6.482,6.438,6.459,1287.2
1667480400000,6.444,6.472,6.431,6.452,5631.8
1667484000000,6.442,6.478,6.415,6.474,3488.4
1667487600000,6.474,6.614,6.471,6.614,12080.5
1667491200000,6.613,6.63,6.582,6.589,3138.3
1667494800000,6.606,6.615,6.581,6.584,2053.2
1667498400000,6.593,6.618,6.526,6.594,4898.3
1667502000000,6.594,6.632,6.589,6.613,5147.5
1667505600000,6.607,6.607,6.577,6.581,2181
1667509200000,6.576,6.606,6.555,6.576,2204.5
1667512800000,6.576,6.605,6.529,6.532,4245.6
1667516400000,6.544,6.548,6.51,6.515,1779.3
1667520000000,6.509,6.53,6.485,6.527,2369.5
1667523600000,6.525,6.649,6.509,6.633,8626.7
1667527200000,6.621,6.671,6.608,6.652,9737.4
1667530800000,6.657,6.702,6.617,6.685,7485
1667534400000,6.686,6.705,6.67,6.69,2395.3
1667538000000,6.69,6.706,6.68,6.699,1172.7
