date,open,high,low,close,volume
1667005200000,0.03559,0.03566,0.03542,0.03551,4287450
1667008800000,0.03549,0.0356,0.03526,0.03554,9241342
1667012400000,0.03552,0.03614,0.03548,0.03608,30647750
1667016000000,0.0361,0.03616,0.03569,0.03581,10133403
1667019600000,0.03581,0.03602,0.03567,0.03582,8941082
1667023200000,0.03582,0.0361,0.03582,0.03606,12464794
1667026800000,0.03606,0.03652,0.03602,0.03635,22135240
1667030400000,0.03633,0.03647,0.03617,0.03645,25453536
1667034000000,0.03647,0.03651,0.03624,0.03643,12047062
1667037600000,0.03641,0.03664,0.03574,0.0358,21014232
1667041200000,0.03583,0.03601,0.03538,0.03564,16386754
1667044800000,0.03564,0.03626,0.03559,0.03623,12223982
1667048400000,0.03621,0.03625,0.03562,0.036,21943226
1667052000000,0.036,0.03614,0.03564,0.03571,23054662
1667055600000,0.0357,0.03614,0.03566,0.03595,21339063
1667059200000,0.03595,0.0372,0.03585,0.0369,53320564
1667062800000,0.03688,0.03785,0.03629,0.03659,71962869
1667066400000,0.0366,0.03696,0.03622,0.03657,41568146
1667070000000,0.03658,0.03673,0.03586,0.03643,34730324
1667073600000,0.03643,0.03666,0.03629,0.03645,15795185
1667077200000,0.03644,0.03685,0.03641,0.03664,12605432
1667080800000,0.03665,0.03667,0.03587,0.03616,15756821
1667084400000,0.03615,0.03663,0.03584,0.03661,15449796
1667088000000,0.03661,0.03718,0.0363,0.03718,22136666
1667091600000,0.03717,0.03799,0.03653,0.03726,44225804
1667095200000,0.03726,0.03764,0.03712,0.03729,20068563
1667098800000,0.03729,0.03736,0.03702,0.03723,13040005
1667102400000,0.03723,0.03734,0.03686,0.03703,16840622
1667106000000,0.03703,0.03782,0.03703,0.0375,18998580
1667109600000,0.0375,0.03851,0.03721,0.03847,50336000
1667113200000,0.03847,0.0452,0.03808,0.04476,546823302
1667116800000,0.04478,0.04675,0.04266,0.04536,407574184
1667120400000,0.04535,0.0478,0.04387,0.04463,377285155
1667124000000,0.04463,0.04605,0.04373,0.04517,198665157
1667127600000,0.04515,0.04622,0.0449,0.04583,119677346
1667131200000,0.04584,0.0474,0.04422,0.0471,167754308
1667134800000,0.04711,0.04907,0.04558,0.04617,431865010
1667138400000,0.04616,0.04655,0.04473,0.04488,162263630
1667142000000,0.04489,0.04529,0.04322,0.04331,132261821
1667145600000,0.04332,0.0438,0.04239,0.04269,108671502
1667149200000,0.04271,0.04388,0.04233,0.04375,56993242
1667152800000,0.04375,0.04429,0.04336,0.04372,68430028
1667156400000,0.0437,0.04449,0.04363,0.04379,47280918
1667160000000,0.04378,0.04501,0.04349,0.04464,58400107
1667163600000,0.04465,0.04476,0.044,0.04417,33532653
1667167200000,0.04416,0.04438,0.04247,0.04359,68725584
1667170800000,0.04359,0.04444,0.04309,0.04388,54873967
1667174400000,0.04389,0.04436,0.04138,0.04162,128124751
1667178000000,0.04163,0.04225,0.0415,0.04165,55642994
1667181600000,0.04167,0.04203,0.04116,0.04158,33356882
1667185200000,0.04158,0.04264,0.04157,0.0425,40483552
1667188800000,0.04251,0.04267,0.04209,0.04212,28089540
1667192400000,0.04211,0.04245,0.04154,0.0422,38209708
1667196000000,0.04221,0.04235,0.04137,0.04193,45842851
1667199600000,0.04194,0.04213,0.04141,0.04198,25947136
1667203200000,0.04197,0.04197,0.0412,0.04148,33688740
1667206800000,0.04147,0.0431,0.04133,0.04279,55053239
1667210400000,0.04279,0.04369,0.0422,0.04351,58142326
1667214000000,0.04351,0.04373,0.04282,0.04312,34790187
1667217600000,0.04312,0.0432,0.04253,0.04278,27517460
1667221200000,0.04276,0.04344,0.04053,0.04105,59137311
1667224800000,0.04096,0.04176,0.04091,0.04137,91174120
1667228400000,0.04136,0.04204,0.04118,0.04159,33232009
1667232000000,0.04159,0.0422,0.04115,0.04187,32919253
1667235600000,0.04188,0.0422,0.04162,0.04171,22707398
1667239200000,0.04171,0.04219,0.04171,0.04186,15704563
1667242800000,0.04186,0.04192,0.04152,0.04163,15648401
1667246400000,0.04164,0.04228,0.04157,0.04187,13685135
1667250000000,0.04185,0.04224,0.04183,0.04214,12489403
1667253600000,0.04214,0.04259,0.04195,0.04214,21152572
1667257200000,0.04214,0.04244,0.04169,0.04199,20903644
1667260800000,0.04198,0.044,0.0419,0.04256,100218827
1667264400000,0.04257,0.04326,0.04228,0.04252,40762962
1667268000000,0.04252,0.04253,0.04165,0.04173,30369885
1667271600000,0.04176,0.04228,0.04172,0.04191,23930888
1667275200000,0.04192,0.04194,0.04108,0.04144,50222658
1667278800000,0.04143,0.04182,0.04135,0.04142,23905834
1667282400000,0.04142,0.042,0.04121,0.04196,28439357
1667286000000,0.04195,0.04222,0.04163,0.04212,18005057
1667289600000,0.04212,0.04303,0.04188,0.04247,42034137
1667293200000,0.04247,0.04288,0.04214,0.04262,34774096
1667296800000,0.04262,0.04266,0.04205,0.04243,29775353
1667300400000,0.04244,0.0426,0.04158,0.04185,32782190
1667304000000,0.04185,0.04225,0.04168,0.04201,31665522
1667307600000,0.04201,0.04208,0.0407,0.04101,39339551
1667311200000,0.04101,0.04131,0.04062,0.04107,30715366
1667314800000,0.04106,0.04157,0.04106,0.04141,16531982
1667318400000,0.04141,0.04154,0.04065,0.04093,24512104
1667322000000,0.04092,0.04118,0.04083,0.04107,17501062
1667325600000,0.04108,0.04109,0.04073,0.04088,12295808
1667329200000,0.04087,0.04103,0.0396,0.03997,45869769
1667332800000,0.03997,0.04036,0.0399,0.04019,16323838
1667336400000,0.04019,0.04039,0.03995,0.04015,14752037
1667340000000,0.04013,0.04013,0.03975,0.04007,15512525
1667343600000,0.04007,0.0403,0.03984,0.03988,22888628
1667347200000,0.03987,0.04032,0.03934,0.04025,44422054
1667350800000,0.04026,0.04054,0.04011,0.04019,13695718
1667354400000,0.04018,0.0405,0.03985,0.04049,17851307
1667358000000,0.0405,0.04105,0.04022,0.04046,55772115
1667361600000,0.04046,0.04074,0.04014,0.04022,20162250
1667365200000,0.04022,0.04084,0.04017,0.04028,31418018
1667368800000,0.04029,0.04039,0.03958,0.03967,22603278
1667372400000,0.03968,0.03981,0.0387,0.03935,47078357
1667376000000,0.03936,0.03972,0.03916,0.03969,23251672
1667379600000,0.03969,0.03978,0.03832,0.03841,39571303
1667383200000,0.03842,0.03918,0.03821,0.03916,28729134
1667386800000,0.03914,0.03917,0.03893,0.03896,13422910
1667390400000,0.03895,0.03905,0.03863,0.03885,18204576
1667394000000,0.03885,0.03932,0.03871,0.03906,22573495
1667397600000,0.03907,0.03938,0.0389,0.03914,15505132
1667401200000,0.03914,0.03914,0.03868,0.03879,15394594
1667404800000,0.03879,0.03934,0.0384,0.0393,22331679
1667408400000,0.0393,0.0393,0.03841,0.03873,18738017
1667412000000,0.03871,0.04078,0.03852,0.03953,117919860
1667415600000,0.0395,0.0403,0.03861,0.03883,47765819
1667419200000,0.03883,0.03905,0.03742,0.03801,42550438
1667422800000,0.038,0.03856,0.03795,0.03851,13548118
1667426400000,0.03852,0.03853,0.03786,0.03802,22365152
1667430000000,0.03802,0.03849,0.03795,0.03832,15730206
1667433600000,0.03831,0.03935,0.03823,0.03923,30602267
1667437200000,0.03925,0.03962,0.03903,0.03936,19698088
1667440800000,0.03939,0.03996,0.03934,0.03975,28845946
1667444400000,0.03976,0.0401,0.03955,0.03988,31387704
1667448000000,0.03989,0.0405,0.03967,0.03969,23407164
1667451600000,0.03969,0.0407,0.03945,0.04064,27181837
1667455200000,0.04064,0.04074,0.03976,0.03999,33548556
1667458800000,0.03997,0.04033,0.03933,0.03955,30898466
1667462400000,0.03955,0.04003,0.03937,0.03966,22752338
1667466000000,0.03966,0.03992,0.03954,0.03981,19207466
1667469600000,0.03981,0.04,0.0395,0.03956,25600788
1667473200000,0.03957,0.03973,0.03843,0.03885,56856936
1667476800000,0.03884,0.03926,0.03844,0.03891,28186056
1667480400000,0.03891,0.03937,0.03872,0.03877,22605363
1667484000000,0.03878,0.03997,0.03868,0.03981,32998984
1667487600000,0.03981,0.03982,0.03925,0.03937,23239735
1667491200000,0.03937,0.03999,0.03937,0.03995,22654309
1667494800000,0.03995,0.04,0.03953,0.03957,15992073
1667498400000,0.03957,0.03973,0.03925,0.0396,17549493
1667502000000,0.03963,0.03998,0.03949,0.03966,13666703
1667505600000,0.03965,0.03967,0.03502,0.03586,252507161
1667509200000,0.03585,0.03717,0.03411,0.03532,397429994
1667512800000,0.03532,0.03536,0.02694,0.0304,1725117679
1667516400000,0.0304,0.034,0.03007,0.03316,647754879
1667520000000,0.03323,0.03402,0.03155,0.03369,354944272
1667523600000,0.03371,0.03487,0.0328,0.03397,281217983
1667527200000,0.03397,0.03405,0.033,0.03323,153308547
1667530800000,0.03324,0.03519,0.0331,0.03443,168212829
1667534400000,0.03444,0.03797,0.03383,0.03549,421273906
1667538000000,0.03549,0.03586,0.0341,0.03493,269114364
1667541600000,0.03493,0.03601,0.03446,0.03518,194453762
1667545200000,0.03517,0.03545,0.03493,0.0351,130618732
1667548800000,0.03513,0.03535,0.03426,0.03515,157744368
1667552400000,0.03514,0.0352,0.03405,0.03452,113342529
1667556000000,0.03452,0.03547,0.03452,0.03521,100237275
1667559600000,0.03521,0.03528,0.0346,0.03477,70537531
1667563200000,0.03478,0.03607,0.03451,0.036,154443848
1667566800000,0.03601,0.03621,0.03537,0.03568,114747620
1667570400000,0.03568,0.03786,0.0356,0.03722,175053260
1667574000000,0.03722,0.03722,0.03584,0.03588,123096746
1667577600000,0.03587,0.03659,0.03565,0.03634,99100050
1667581200000,0.03633,0.03678,0.03617,0.03644,75963831
1667584800000,0.03645,0.03712,0.03638,0.03689,66491613
1667588400000,0.0369,0.03796,0.03676,0.03785,84536368
1667592000000,0.03786,0.03786,0.03712,0.0376,91520558
1667595600000,0.0376,0.03843,0.03749,0.03833,70852383
1667599200000,0.03831,0.03998,0.03782,0.03867,228888978
1667602800000,0.03867,0.03899,0.03814,0.03859,91810985
1667606400000,0.03859,0.03947,0.03823,0.03913,145762069
1667610000000,0.03914,0.04,0.03881,0.03944,132150476
1667613600000,0.03944,0.03953,0.03884,0.03941,64779973
1667617200000,0.03941,0.03978,0.03858,0.03882,88197141
1667620800000,0.03883,0.03924,0.03821,0.03837,54480299
1667624400000,0.03837,0.03886,0.03807,0.03863,55237408
1667628000000,0.03863,0.03949,0.0386,0.0391,65246045
1667631600000,0.03911,0.03939,0.03884,0.03891,52629055
1667635200000,0.03891,0.0391,0.03832,0.03871,74454232
1667638800000,0.03872,0.039,0.03829,0.0389,49080111
1667642400000,0.0389,0.03989,0.03879,0.03986,88091650
1667646000000,0.03987,0.0439,0.03968,0.0434,389365177
1667649600000,0.04339,0.04371,0.04088,0.04109,203372666
1667653200000,0.04109,0.04162,0.04054,0.04132,103358460
1667656800000,0.04131,0.0416,0.04008,0.04034,77269068
1667660400000,0.04031,0.04118,0.04031,0.04118,75889820
1667664000000,0.04116,0.04119,0.04043,0.04075,56390607
1667667600000,0.04075,0.04179,0.04066,0.04129,70686302
1667671200000,0.0413,0.04131,0.04019,0.04052,46966169
1667674800000,0.04052,0.04059,0.03746,0.03909,161729922
1667678400000,0.03908,0.03967,0.03893,0.03948,40519491
1667682000000,0.03949,0.03964,0.0391,0.0392,22916961
1667685600000,0.03921,0.03933,0.03875,0.03903,37785718
1667689200000,0.03904,0.03909,0.0374,0.03863,83844749
1667692800000,0.03863,0.03926,0.03851,0.03871,70905024
1667696400000,0.0387,0.03903,0.03815,0.03829,31846457
1667700000000,0.03827,0.03892,0.03823,0.03864,21655778
1667703600000,0.03863,0.03963,0.03863,0.03946,26339085
1667707200000,0.03946,0.03977,0.03923,0.0395,35952019
1667710800000,0.0395,0.03995,0.03897,0.03934,33247386
1667714400000,0.03933,0.03955,0.03884,0.03893,30927006
1667718000000,0.03895,0.03925,0.03895,0.03915,15434830
1667721600000,0.03914,0.03952,0.03871,0.03929,32467760
1667725200000,0.03929,0.03929,0.03898,0.03906,19991059
1667728800000,0.03907,0.03924,0.03882,0.03889,19332652
1667732400000,0.03889,0.03896,0.03844,0.03889,23432737
1667736000000,0.03889,0.03898,0.03845,0.03857,25512525
1667739600000,0.03857,0.0387,0.03819,0.03837,32966740
1667743200000,0.03836,0.03865,0.03785,0.03856,36838608
1667746800000,0.03858,0.03883,0.03846,0.03849,25272755
1667750400000,0.03849,0.03849,0.03768,0.03794,72761013
1667754000000,0.03793,0.03805,0.03753,0.03779,51788534
1667757600000,0.03779,0.03802,0.0374,0.03771,32806678
1667761200000,0.03773,0.03782,0.03723,0.0375,26798374
1667764800000,0.03749,0.03754,0.03714,0.03751,25735630
1667768400000,0.03751,0.03759,0.03716,0.03718,22320698
1667772000000,0.03717,0.0374,0.03661,0.0368,35133567
1667775600000,0.03679,0.03687,0.0354,0.0359,90331623
1667779200000,0.03589,0.03671,0.03585,0.03624,41850437
1667782800000,0.03624,0.03708,0.03616,0.03696,32116434
1667786400000,0.03696,0.0372,0.0368,0.03703,23226691
1667790000000,0.03704,0.03706,0.03673,0.03682,14165737
1667793600000,0.03683,0.03687,0.0365,0.03684,20922788
1667797200000,0.03684,0.03767,0.03671,0.03693,47106960
1667800800000,0.03692,0.03706,0.03668,0.03682,15504242
1667804400000,0.03681,0.03681,0.03558,0.03565,48925467
1667808000000,0.03565,0.03654,0.03519,0.03636,67407172
1667811600000,0.03636,0.03657,0.03608,0.03615,13563259
1667815200000,0.03614,0.03686,0.03613,0.03658,17785357
1667818800000,0.03659,0.03697,0.03654,0.03674,15477209
1667822400000,0.03674,0.03697,0.03657,0.03693,19813147
1667826000000,0.03695,0.03712,0.0362,0.03634,50113570
1667829600000,0.03634,0.03657,0.0358,0.03607,32402629
1667833200000,0.03607,0.03704,0.03607,0.03699,26434970
1667836800000,0.037,0.03701,0.03636,0.03636,23001214
1667840400000,0.03637,0.03663,0.03633,0.03656,16868297
1667844000000,0.03656,0.03689,0.03654,0.03662,14255090
1667847600000,0.03663,0.03702,0.03657,0.03694,25989352
1667851200000,0.03694,0.037,0.03665,0.03673,12142523
1667854800000,0.03673,0.03679,0.03606,0.03624,20260335
1667858400000,0.03623,0.03625,0.0352,0.03582,33082342
1667862000000,0.03582,0.03635,0.03579,0.03611,29159705
1667865600000,0.03611,0.03661,0.03606,0.03628,34217802
