date,open,high,low,close,volume
1667005200000,1.162,1.162,1.161,1.161,11190.2
1667008800000,1.161,1.162,1.161,1.161,115679.4
1667012400000,1.161,1.162,1.161,1.161,93412.7
1667016000000,1.162,1.162,1.161,1.161,32159.3
1667019600000,1.161,1.162,1.161,1.162,39090.9
1667023200000,1.161,1.162,1.16,1.161,88519.2
1667026800000,1.16,1.161,1.16,1.16,107804.4
1667030400000,1.16,1.162,1.16,1.161,393596.6
1667034000000,1.162,1.162,1.161,1.161,234377.9
1667037600000,1.161,1.162,1.161,1.162,221092.9
1667041200000,1.162,1.162,1.16,1.16,291193.8
1667044800000,1.16,1.161,1.16,1.161,142871
1667048400000,1.161,1.161,1.16,1.161,146051.4
1667052000000,1.161,1.161,1.16,1.161,326673.8
1667055600000,1.161,1.161,1.16,1.161,593374
1667059200000,1.16,1.162,1.16,1.161,427838.1
1667062800000,1.161,1.162,1.16,1.161,479366.1
1667066400000,1.16,1.161,1.16,1.16,409391.8
1667070000000,1.161,1.161,1.16,1.16,264212.7
1667073600000,1.16,1.161,1.16,1.16,137541.4
1667077200000,1.161,1.161,1.16,1.161,117671.3
1667080800000,1.161,1.162,1.16,1.161,408095.4
1667084400000,1.161,1.162,1.161,1.162,180645.6
1667088000000,1.162,1.162,1.161,1.161,169737.1
1667091600000,1.161,1.162,1.16,1.161,85463.3
1667095200000,1.161,1.161,1.16,1.16,87044.7
1667098800000,1.16,1.161,1.16,1.161,63493.6
1667102400000,1.161,1.161,1.16,1.161,23565
1667106000000,1.161,1.161,1.16,1.16,40473.1
1667109600000,1.16,1.161,1.16,1.16,203281.8
1667113200000,1.16,1.161,1.16,1.16,514376.4
1667116800000,1.161,1.161,1.16,1.16,280183.8
1667120400000,1.161,1.161,1.16,1.16,219039.7
1667124000000,1.16,1.161,1.16,1.161,153901
1667127600000,1.161,1.161,1.158,1.159,479305
1667131200000,1.159,1.16,1.158,1.158,270277.2
1667134800000,1.158,1.16,1.157,1.159,349449.7
1667138400000,1.159,1.16,1.159,1.159,170275.6
1667142000000,1.16,1.16,1.159,1.159,224460.6
1667145600000,1.159,1.16,1.159,1.16,180027.8
1667149200000,1.16,1.16,1.159,1.159,165755.9
1667152800000,1.159,1.16,1.158,1.158,272277.1
1667156400000,1.158,1.159,1.156,1.156,221882.5
1667160000000,1.157,1.157,1.155,1.156,232553.4
1667163600000,1.157,1.159,1.156,1.158,169176
1667167200000,1.159,1.16,1.157,1.16,208250
1667170800000,1.159,1.16,1.158,1.159,118745.2
1667174400000,1.159,1.16,1.158,1.159,238460.7
1667178000000,1.16,1.16,1.158,1.158,80240.9
1667181600000,1.159,1.16,1.157,1.159,84077.7
1667185200000,1.159,1.16,1.158,1.159,47785.8
1667188800000,1.159,1.16,1.158,1.158,74113.1
1667192400000,1.159,1.16,1.158,1.159,41274.2
1667196000000,1.16,1.16,1.157,1.159,162607.4
1667199600000,1.159,1.16,1.156,1.157,113557.6
1667203200000,1.156,1.157,1.153,1.153,133791.4
1667206800000,1.153,1.157,1.153,1.157,427172.7
1667210400000,1.157,1.157,1.153,1.155,518187.4
1667214000000,1.154,1.156,1.151,1.153,398967.9
1667217600000,1.154,1.154,1.15,1.151,391173.9
1667221200000,1.151,1.152,1.146,1.147,390215
1667224800000,1.147,1.151,1.147,1.15,440036.8
1667228400000,1.149,1.152,1.147,1.151,366430.3
1667232000000,1.151,1.152,1.148,1.149,741502
1667235600000,1.148,1.149,1.145,1.146,282612
1667239200000,1.146,1.148,1.146,1.148,216585.2
1667242800000,1.147,1.148,1.146,1.147,225273.3
1667246400000,1.146,1.147,1.145,1.147,418494.4
1667250000000,1.147,1.148,1.146,1.146,335181.8
1667253600000,1.146,1.147,1.146,1.146,160113.6
1667257200000,1.147,1.148,1.146,1.146,114595.5
1667260800000,1.146,1.148,1.146,1.147,162059.9
1667264400000,1.148,1.15,1.147,1.149,164065.4
1667268000000,1.149,1.152,1.148,1.15,124897.2
1667271600000,1.151,1.152,1.149,1.15,85460.9
1667275200000,1.15,1.151,1.15,1.151,74788.6
1667278800000,1.15,1.154,1.15,1.152,109001.5
1667282400000,1.153,1.155,1.152,1.155,257488
1667286000000,1.154,1.154,1.15,1.151,176713.7
1667289600000,1.151,1.155,1.151,1.152,311505.5
1667293200000,1.153,1.153,1.151,1.153,289049.1
1667296800000,1.152,1.155,1.152,1.153,417406.6
1667300400000,1.154,1.155,1.153,1.155,275741.1
1667304000000,1.155,1.157,1.154,1.155,543251.5
1667307600000,1.154,1.156,1.153,1.154,330814.3
1667311200000,1.154,1.154,1.147,1.147,935337.9
1667314800000,1.147,1.148,1.144,1.145,344077.6
1667318400000,1.145,1.15,1.144,1.144,466824.6
1667322000000,1.144,1.149,1.144,1.149,181388.3
1667325600000,1.148,1.149,1.147,1.147,192483.8
1667329200000,1.147,1.149,1.147,1.148,176830.5
1667332800000,1.148,1.149,1.147,1.149,197189.3
1667336400000,1.149,1.149,1.147,1.147,234080.1
1667340000000,1.148,1.149,1.147,1.147,220843.3
1667343600000,1.147,1.149,1.147,1.148,122866.7
1667347200000,1.148,1.151,1.148,1.15,210235.1
1667350800000,1.15,1.151,1.149,1.15,41169.1
1667354400000,1.151,1.151,1.149,1.151,75943.6
1667358000000,1.151,1.153,1.15,1.151,91950.8
1667361600000,1.152,1.152,1.15,1.15,52711.2
1667365200000,1.151,1.152,1.15,1.151,81461
1667368800000,1.151,1.151,1.149,1.15,115830.1
1667372400000,1.149,1.15,1.148,1.149,199709
1667376000000,1.149,1.152,1.149,1.151,215182.8
1667379600000,1.151,1.152,1.148,1.149,287151
1667383200000,1.149,1.151,1.148,1.15,473464.4
1667386800000,1.15,1.152,1.15,1.151,215052.1
1667390400000,1.15,1.151,1.148,1.151,526439.5
1667394000000,1.15,1.151,1.148,1.149,512674.3
1667397600000,1.149,1.149,1.146,1.148,407788.5
1667401200000,1.148,1.148,1.146,1.146,405610.1
