date,open,high,low,close,volume
1667005200000,1.139,1.142,1.137,1.139,3287.1
1667008800000,1.139,1.141,1.139,1.141,1188.2
1667012400000,1.139,1.142,1.139,1.142,1324.6
1667016000000,1.142,1.142,1.136,1.139,15165.8
1667019600000,1.136,1.141,1.136,1.141,6010.8
1667023200000,1.141,1.142,1.138,1.142,1123.6
1667026800000,1.14,1.143,1.138,1.14,6900.4
1667030400000,1.14,1.143,1.138,1.14,3966.8
1667034000000,1.139,1.143,1.139,1.142,4792.9
1667037600000,1.142,1.143,1.136,1.138,6927.6
1667041200000,1.137,1.138,1.136,1.136,10780.4
1667044800000,1.137,1.139,1.136,1.139,3534.5
1667048400000,1.139,1.141,1.136,1.138,4878.8
1667052000000,1.14,1.14,1.136,1.137,3960.1
1667055600000,1.137,1.139,1.136,1.138,10216.5
1667059200000,1.138,1.14,1.136,1.14,6920.9
1667062800000,1.14,1.142,1.136,1.138,7570.7
1667066400000,1.138,1.141,1.13,1.137,44154.5
1667070000000,1.137,1.137,1.13,1.135,3883.6
1667073600000,1.135,1.136,1.133,1.136,775.9
1667077200000,1.136,1.14,1.133,1.135,3678.1
1667080800000,1.136,1.137,1.133,1.135,1851.1
1667084400000,1.135,1.135,1.128,1.133,10930.4
1667088000000,1.133,1.133,1.128,1.13,1976.2
1667091600000,1.13,1.13,1.129,1.13,336.4
1667095200000,1.13,1.132,1.128,1.131,2850.2
1667098800000,1.131,1.131,1.129,1.131,521.4
1667102400000,1.129,1.131,1.127,1.13,4161.9
1667106000000,1.13,1.13,1.127,1.129,1469.8
1667109600000,1.127,1.132,1.127,1.131,3550.8
1667113200000,1.133,1.135,1.131,1.135,4966.8
1667116800000,1.135,1.135,1.128,1.131,8161.8
1667120400000,1.128,1.131,1.127,1.127,6470.1
1667124000000,1.128,1.131,1.127,1.127,7843.8
1667127600000,1.127,1.13,1.127,1.129,4557.1
1667131200000,1.13,1.132,1.128,1.13,6736.5
1667134800000,1.129,1.132,1.127,1.128,11721.5
1667138400000,1.128,1.13,1.127,1.129,4414.3
1667142000000,1.129,1.129,1.123,1.125,5287.5
1667145600000,1.124,1.125,1.12,1.124,3881.8
1667149200000,1.125,1.125,1.121,1.122,2269.7
1667152800000,1.124,1.128,1.122,1.127,2344.1
1667156400000,1.129,1.129,1.126,1.126,2071.2
1667160000000,1.126,1.129,1.126,1.129,998.3
1667163600000,1.127,1.129,1.126,1.129,1143.1
1667167200000,1.126,1.126,1.121,1.122,4086.2
1667170800000,1.123,1.124,1.121,1.124,2453.9
1667174400000,1.124,1.127,1.124,1.124,5018.8
1667178000000,1.125,1.127,1.125,1.126,3332.8
1667181600000,1.126,1.127,1.126,1.126,2183.4
1667185200000,1.126,1.128,1.126,1.128,2076.9
1667188800000,1.128,1.128,1.127,1.128,429.1
1667192400000,1.128,1.128,1.127,1.128,4246
1667196000000,1.127,1.129,1.127,1.127,3915.2
1667199600000,1.129,1.13,1.128,1.129,2204.2
1667203200000,1.129,1.13,1.127,1.128,2949.5
1667206800000,1.128,1.131,1.124,1.13,20584.1
1667210400000,1.128,1.131,1.128,1.131,2995.7
1667214000000,1.131,1.133,1.131,1.132,1166.1
1667217600000,1.131,1.132,1.131,1.132,776.8
1667221200000,1.132,1.132,1.122,1.122,10703.1
1667224800000,1.122,1.125,1.121,1.123,10176.9
1667228400000,1.124,1.124,1.122,1.123,1110.5
1667232000000,1.123,1.129,1.121,1.121,4931.9
1667235600000,1.122,1.126,1.121,1.122,3034.9
1667239200000,1.122,1.125,1.122,1.124,738.9
1667242800000,1.124,1.132,1.12,1.125,22153.1
1667246400000,1.125,1.125,1.123,1.125,148.4
1667250000000,1.123,1.126,1.122,1.123,1609.8
1667253600000,1.123,1.127,1.123,1.125,3101.8
1667257200000,1.126,1.126,1.124,1.126,295.2
1667260800000,1.126,1.127,1.123,1.126,1530
1667264400000,1.126,1.127,1.126,1.127,1916.4
1667268000000,1.126,1.132,1.123,1.129,14186.3
1667271600000,1.129,1.129,1.127,1.128,500.9
1667275200000,1.127,1.128,1.124,1.125,609.3
1667278800000,1.126,1.126,1.125,1.125,1277.2
1667282400000,1.125,1.127,1.123,1.127,7546.5
1667286000000,1.127,1.127,1.123,1.123,5538.9
1667289600000,1.124,1.131,1.123,1.125,5048.2
1667293200000,1.124,1.128,1.123,1.125,6344
1667296800000,1.123,1.125,1.101,1.104,201789.7
1667300400000,1.108,1.113,1.096,1.102,29165.2
1667304000000,1.102,1.105,1.101,1.105,8879.4
1667307600000,1.105,1.105,1.099,1.099,11541.7
1667311200000,1.1,1.102,1.099,1.101,24681.4
1667314800000,1.102,1.107,1.102,1.103,8819
1667318400000,1.103,1.106,1.102,1.104,7593
1667322000000,1.104,1.106,1.103,1.104,737.5
1667325600000,1.105,1.107,1.105,1.105,1010.2
1667329200000,1.105,1.106,1.101,1.103,934.4
1667332800000,1.103,1.112,1.1,1.104,5772.2
1667336400000,1.104,1.106,1.102,1.104,3987.6
1667340000000,1.103,1.105,1.103,1.104,3812.4
1667343600000,1.103,1.105,1.102,1.102,1522.9
1667347200000,1.104,1.104,1.094,1.1,4443.4
1667350800000,1.099,1.1,1.097,1.098,1842.4
1667354400000,1.097,1.101,1.096,1.097,3180.5
1667358000000,1.099,1.1,1.098,1.1,939.2
1667361600000,1.099,1.1,1.098,1.099,445
1667365200000,1.099,1.1,1.099,1.1,869.5
1667368800000,1.099,1.102,1.099,1.101,3241.6
1667372400000,1.103,1.103,1.096,1.102,9294.2
1667376000000,1.1,1.104,1.097,1.101,17697.9
1667379600000,1.101,1.104,1.101,1.103,18999.7
1667383200000,1.103,1.105,1.099,1.104,30755.3
1667386800000,1.104,1.106,1.102,1.102,6692.2
1667390400000,1.103,1.106,1.102,1.104,10638.5
1667394000000,1.103,1.105,1.103,1.104,2012.6
1667397600000,1.104,1.108,1.103,1.106,10534
1667401200000,1.107,1.107,1.104,1.105,5727.1
1667404800000,1.106,1.109,1.103,1.109,3055
1667408400000,1.109,1.113,1.102,1.104,12660.6
1667412000000,1.103,1.12,1.103,1.105,59131.2
1667415600000,1.106,1.111,1.103,1.103,23101.9
1667419200000,1.103,1.106,1.1,1.104,10169.1
1667422800000,1.105,1.106,1.103,1.106,6358.8
1667426400000,1.106,1.115,1.104,1.108,9010.2
1667430000000,1.109,1.109,1.101,1.105,10040.4
1667433600000,1.104,1.104,1.101,1.104,6385.5
1667437200000,1.103,1.11,1.103,1.106,34206
1667440800000,1.107,1.109,1.106,1.108,4499.4
1667444400000,1.109,1.114,1.108,1.114,2206.2
1667448000000,1.114,1.114,1.113,1.114,1165.2
1667451600000,1.114,1.119,1.113,1.118,4689.9
1667455200000,1.118,1.118,1.113,1.114,5653.7
1667458800000,1.114,1.115,1.107,1.107,7072.3
1667462400000,1.108,1.113,1.104,1.108,10995.1
1667466000000,1.108,1.111,1.108,1.11,5928.5
1667469600000,1.11,1.112,1.107,1.109,4987.8
1667473200000,1.109,1.111,1.104,1.105,11551.6
1667476800000,1.106,1.11,1.104,1.107,9341.6
1667480400000,1.107,1.109,1.104,1.104,5296
1667484000000,1.105,1.109,1.102,1.108,10093.1
1667487600000,1.108,1.108,1.103,1.104,7298.2
1667491200000,1.105,1.109,1.102,1.109,6451.5
1667494800000,1.107,1.109,1.107,1.107,1369.2
1667498400000,1.107,1.108,1.105,1.107,4189.3
1667502000000,1.107,1.11,1.107,1.109,2599.2
1667505600000,1.109,1.109,1.107,1.108,2804.7
1667509200000,1.108,1.109,1.107,1.107,2992.8
1667512800000,1.107,1.107,1.102,1.102,4893.5
1667516400000,1.102,1.103,1.102,1.103,2836.6
1667520000000,1.103,1.107,1.101,1.107,8395.8
1667523600000,1.107,1.107,1.102,1.104,3558.3
1667527200000,1.104,1.107,1.104,1.105,3445.8
1667530800000,1.106,1.109,1.105,1.109,3232.2
1667534400000,1.108,1.112,1.106,1.112,7656.4
1667538000000,1.112,1.113,1.109,1.111,4123.5
1667541600000,1.111,1.116,1.1,1.115,22844.1
1667545200000,1.115,1.116,1.112,1.114,12508.3
1667548800000,1.116,1.117,1.111,1.115,7508.6
1667552400000,1.114,1.115,1.11,1.11,8567.1
1667556000000,1.112,1.114,1.11,1.114,3088
1667559600000,1.114,1.114,1.111,1.112,13372.6
1667563200000,1.111,1.115,1.108,1.114,13777.6
1667566800000,1.115,1.118,1.114,1.117,16482.5
1667570400000,1.117,1.124,1.115,1.117,49332.5
1667574000000,1.116,1.128,1.114,1.114,47026.3
1667577600000,1.114,1.118,1.113,1.113,13699
1667581200000,1.116,1.119,1.113,1.117,5263.7
1667584800000,1.118,1.12,1.112,1.12,3353
1667588400000,1.12,1.123,1.12,1.122,3520.8
1667592000000,1.122,1.125,1.117,1.122,6664.3
1667595600000,1.12,1.123,1.118,1.121,4354.6
1667599200000,1.122,1.127,1.121,1.126,7828.1
1667602800000,1.125,1.126,1.119,1.122,11385.8
1667606400000,1.122,1.127,1.118,1.123,49554.9
1667610000000,1.123,1.125,1.114,1.119,29914.7
1667613600000,1.119,1.125,1.118,1.125,10356.9
1667617200000,1.125,1.127,1.119,1.121,12360.9
1667620800000,1.12,1.127,1.119,1.121,10193.4
1667624400000,1.123,1.123,1.12,1.12,2421.3
1667628000000,1.122,1.123,1.114,1.12,18110.5
1667631600000,1.121,1.122,1.116,1.12,13081.6
1667635200000,1.12,1.12,1.114,1.114,16963.1
1667638800000,1.115,1.115,1.106,1.107,45387.3
1667642400000,1.107,1.119,1.106,1.112,26403.9
1667646000000,1.111,1.117,1.109,1.115,10200.9
1667649600000,1.115,1.116,1.114,1.115,7717
1667653200000,1.115,1.115,1.107,1.111,12178
1667656800000,1.111,1.112,1.106,1.108,12591.4
