date,open,high,low,close,volume
1667005200000,0.475,0.4756,0.473,0.4744,103022.6
1667008800000,0.4744,0.4757,0.4732,0.4747,114557.7
1667012400000,0.4749,0.4781,0.4739,0.4781,74623.6
1667016000000,0.4781,0.4792,0.4761,0.4766,84863.2
1667019600000,0.477,0.477,0.4703,0.4721,245459.3
1667023200000,0.4717,0.4784,0.4717,0.4771,165969.5
1667026800000,0.4771,0.4796,0.4763,0.4792,75515.2
1667030400000,0.4793,0.4819,0.4775,0.4806,181165.3
1667034000000,0.4806,0.4816,0.4789,0.4804,67959.1
1667037600000,0.4804,0.4816,0.476,0.476,111237.9
1667041200000,0.4779,0.4784,0.4747,0.4756,74074.1
1667044800000,0.4758,0.4776,0.4746,0.4752,46688.8
1667048400000,0.4753,0.4758,0.4718,0.4739,81746.4
1667052000000,0.4738,0.4751,0.4707,0.4713,180251
1667055600000,0.4713,0.475,0.4702,0.4734,225045.1
1667059200000,0.4735,0.4808,0.4733,0.4796,197380.3
1667062800000,0.4793,0.483,0.4764,0.4767,222609.2
1667066400000,0.4777,0.4797,0.4743,0.4775,151251.4
1667070000000,0.4768,0.4899,0.4765,0.4888,458606.8
1667073600000,0.4894,0.4954,0.4833,0.4933,387883.9
1667077200000,0.4933,0.498,0.4933,0.4974,226408.7
1667080800000,0.4966,0.5,0.4833,0.4843,234849.9
1667084400000,0.4846,0.4882,0.4827,0.486,111832.7
1667088000000,0.4864,0.4877,0.4804,0.4806,194448.9
1667091600000,0.4807,0.4912,0.4802,0.4912,159568.6
1667095200000,0.491,0.4963,0.4883,0.4904,135986.4
1667098800000,0.4909,0.4953,0.4901,0.492,92895.6
1667102400000,0.4922,0.4944,0.4882,0.4889,131430
1667106000000,0.4889,0.491,0.4882,0.4902,66926.8
1667109600000,0.4905,0.492,0.4878,0.4911,67556
1667113200000,0.4912,0.4992,0.491,0.4977,193237.6
1667116800000,0.4971,0.4981,0.4884,0.489,264398.1
1667120400000,0.4896,0.4916,0.4813,0.4867,200867.8
1667124000000,0.4866,0.4922,0.4842,0.4895,219019.5
1667127600000,0.4895,0.4898,0.483,0.4863,216115.1
1667131200000,0.4863,0.4864,0.4805,0.4822,188814.5
1667134800000,0.4823,0.4826,0.4776,0.4789,120007.3
1667138400000,0.4795,0.4862,0.478,0.4832,163323.8
1667142000000,0.4821,0.4837,0.4783,0.4783,96781.7
1667145600000,0.4789,0.4793,0.4756,0.4769,172241.3
1667149200000,0.476,0.478,0.4716,0.473,238011.5
1667152800000,0.4732,0.48,0.4725,0.4794,136063.7
1667156400000,0.4797,0.4891,0.4772,0.4837,347983.8
1667160000000,0.4836,0.4869,0.4788,0.4855,131872.5
1667163600000,0.4854,0.4854,0.4816,0.4827,24777.5
1667167200000,0.4827,0.4828,0.4773,0.4805,66770.6
1667170800000,0.4802,0.4833,0.4778,0.4812,104525
1667174400000,0.4814,0.4876,0.4805,0.4846,140246
1667178000000,0.4853,0.4854,0.475,0.4758,187340.7
1667181600000,0.4758,0.4807,0.4722,0.4737,164789.3
1667185200000,0.4735,0.4807,0.473,0.4807,99780
1667188800000,0.4804,0.4807,0.4783,0.4792,34095.2
1667192400000,0.4785,0.4785,0.4737,0.474,68414.9
1667196000000,0.474,0.4751,0.471,0.4732,142181.8
1667199600000,0.4732,0.4737,0.471,0.4736,57085.3
1667203200000,0.4739,0.4762,0.471,0.4742,124911.8
1667206800000,0.4737,0.4818,0.4725,0.4802,117140
1667210400000,0.4802,0.4824,0.4789,0.4803,140819.7
1667214000000,0.4806,0.4823,0.4801,0.4808,137620.4
1667217600000,0.4809,0.4839,0.4789,0.4823,155824.9
1667221200000,0.483,0.4919,0.4798,0.48,590918.2
1667224800000,0.48,0.4813,0.4714,0.4746,461957
1667228400000,0.4746,0.4788,0.4736,0.4751,88257
1667232000000,0.4756,0.4791,0.4726,0.4744,71146.6
1667235600000,0.4745,0.4795,0.4739,0.4764,43897.3
1667239200000,0.4765,0.4801,0.4759,0.4794,27760.2
1667242800000,0.4791,0.4809,0.4746,0.4782,84506.4
1667246400000,0.4785,0.4807,0.4745,0.4778,56330.2
1667250000000,0.4776,0.4789,0.4756,0.4772,36092.4
1667253600000,0.4775,0.4817,0.4773,0.4778,112507.1
1667257200000,0.4778,0.4828,0.4739,0.4766,337821.3
1667260800000,0.4769,0.4791,0.4759,0.4762,47574.9
1667264400000,0.4762,0.4794,0.4762,0.4778,38704.7
1667268000000,0.4779,0.481,0.476,0.481,41671.5
1667271600000,0.4809,0.483,0.478,0.481,114926.8
1667275200000,0.481,0.4879,0.4798,0.4858,215544
1667278800000,0.4858,0.4864,0.483,0.4852,113696.6
1667282400000,0.4852,0.4928,0.4842,0.4918,160423.7
1667286000000,0.492,0.4922,0.488,0.4897,70532.2
1667289600000,0.4898,0.4914,0.479,0.4807,294370.4
1667293200000,0.4804,0.4852,0.48,0.4847,148509.4
1667296800000,0.4845,0.4847,0.483,0.4841,52553.4
1667300400000,0.484,0.4846,0.4784,0.4786,162867.6
1667304000000,0.4795,0.4799,0.4765,0.4794,149664.3
1667307600000,0.4794,0.4797,0.4742,0.4748,208583.5
1667311200000,0.4752,0.4754,0.473,0.4742,325289
1667314800000,0.4742,0.4755,0.4709,0.4727,163686.7
1667318400000,0.4728,0.4741,0.47,0.4737,189584.3
1667322000000,0.4737,0.4794,0.4726,0.4785,169968.5
1667325600000,0.4779,0.4786,0.476,0.4775,57303.2
1667329200000,0.4775,0.4777,0.4745,0.4748,61722.8
1667332800000,0.4749,0.4749,0.472,0.474,69189.2
1667336400000,0.4741,0.4797,0.4741,0.4783,133403.6
1667340000000,0.4783,0.4872,0.4781,0.4859,329869.9
1667343600000,0.4861,0.4888,0.4842,0.4861,230602.5
1667347200000,0.4868,0.49,0.481,0.4866,148239.6
1667350800000,0.4872,0.4876,0.4836,0.4841,49347.1
1667354400000,0.4843,0.4843,0.4815,0.4821,61955.6
1667358000000,0.4826,0.4845,0.4812,0.4819,75381.7
1667361600000,0.4818,0.4859,0.4799,0.483,142865.2
1667365200000,0.4831,0.4867,0.4819,0.4819,51182
1667368800000,0.4825,0.4825,0.4778,0.4793,146185.2
1667372400000,0.478,0.4794,0.4748,0.4768,114955.3
1667376000000,0.4774,0.4813,0.4766,0.4811,104572.2
1667379600000,0.4809,0.4841,0.4766,0.4767,156049.2
1667383200000,0.477,0.4772,0.473,0.4755,186523.3
1667386800000,0.4762,0.4776,0.4726,0.4726,63645
1667390400000,0.4732,0.4734,0.4702,0.4708,115668.6
1667394000000,0.4707,0.4745,0.4702,0.4738,144426.2
1667397600000,0.4738,0.4776,0.4724,0.4749,75825.6
1667401200000,0.4754,0.4756,0.4715,0.4726,77417.3
1667404800000,0.4726,0.4774,0.4717,0.4772,78875.7
1667408400000,0.4774,0.4793,0.4737,0.4781,116518.2
1667412000000,0.4772,0.488,0.4719,0.479,722544.2
1667415600000,0.4787,0.4862,0.4734,0.4748,432827.7
1667419200000,0.4738,0.4752,0.4692,0.4712,286632
1667422800000,0.4712,0.4753,0.4708,0.4744,106561.9
1667426400000,0.4753,0.4755,0.468,0.4695,120904.1
1667430000000,0.4699,0.4742,0.4682,0.4718,77427.4
1667433600000,0.4722,0.4823,0.4716,0.4787,325361.9
1667437200000,0.4794,0.4829,0.4792,0.4819,105894.9
1667440800000,0.4826,0.4852,0.4819,0.4844,102088.6
1667444400000,0.4847,0.4877,0.4836,0.486,158812.2
1667448000000,0.4865,0.495,0.486,0.4909,354184.1
1667451600000,0.4917,0.4945,0.4898,0.4935,192691.8
1667455200000,0.4931,0.4938,0.4901,0.4929,258097.2
1667458800000,0.4929,0.4945,0.4873,0.4895,221942.3
1667462400000,0.4897,0.4962,0.4885,0.496,205894.1
1667466000000,0.496,0.5099,0.4931,0.5016,562877.6
1667469600000,0.5015,0.5052,0.4955,0.4959,579320.2
1667473200000,0.4956,0.4994,0.4848,0.4896,338377.1
1667476800000,0.49,0.4925,0.4815,0.4835,346515.3
1667480400000,0.4838,0.4882,0.4827,0.4827,148546.1
1667484000000,0.4837,0.4958,0.4826,0.4935,218489.3
1667487600000,0.4943,0.4958,0.487,0.4905,179146.8
1667491200000,0.4905,0.495,0.4903,0.4943,98041.8
1667494800000,0.4942,0.4995,0.4928,0.4937,199684
1667498400000,0.4938,0.4992,0.491,0.498,94162.6
1667502000000,0.4987,0.4992,0.4927,0.4963,111022.2
1667505600000,0.4964,0.502,0.495,0.5001,157299.9
1667509200000,0.5002,0.5031,0.4957,0.4992,170988.2
1667512800000,0.499,0.4992,0.492,0.4961,177496
1667516400000,0.4961,0.4991,0.4928,0.4936,61282.7
1667520000000,0.4941,0.502,0.4913,0.5008,137327.1
1667523600000,0.5006,0.5046,0.494,0.4958,259739.8
1667527200000,0.4958,0.5072,0.4953,0.5036,239954.6
1667530800000,0.5031,0.5091,0.4955,0.5079,665685.9
1667534400000,0.5072,0.5094,0.5026,0.5068,242272.4
1667538000000,0.5067,0.5072,0.5039,0.5055,103743.2
1667541600000,0.5063,0.5176,0.5054,0.5105,434402.8
1667545200000,0.5109,0.5229,0.51,0.5119,488608.7
1667548800000,0.512,0.5222,0.5114,0.5153,251971.8
1667552400000,0.5152,0.5196,0.5086,0.5092,392103.2
1667556000000,0.5102,0.5136,0.5072,0.5121,319683.3
1667559600000,0.5122,0.5134,0.5069,0.5072,137060.3
1667563200000,0.5069,0.5198,0.5052,0.5197,268524.5
1667566800000,0.5198,0.5217,0.5151,0.519,222767.5
1667570400000,0.519,0.5315,0.5189,0.5217,715203.4
1667574000000,0.5219,0.5227,0.509,0.5096,331888.8
1667577600000,0.5096,0.5153,0.508,0.5116,278828.6
1667581200000,0.5124,0.513,0.5088,0.5126,80268.9
1667584800000,0.5127,0.5182,0.5106,0.5179,156750.8
1667588400000,0.518,0.542,0.5177,0.5402,1082323.4
1667592000000,0.5403,0.5405,0.5283,0.5333,328421
1667595600000,0.534,0.5345,0.5277,0.5286,122170.5
1667599200000,0.5288,0.534,0.5277,0.5323,94422
1667602800000,0.5322,0.5337,0.5299,0.5308,77960.5
1667606400000,0.531,0.534,0.5283,0.534,294043.3
1667610000000,0.534,0.539,0.5329,0.538,159424.4
1667613600000,0.5383,0.541,0.5324,0.5347,216463.8
1667617200000,0.5347,0.537,0.53,0.5311,111269.3
1667620800000,0.5313,0.532,0.5265,0.5269,221351.4
1667624400000,0.5267,0.5282,0.5203,0.5245,275454
1667628000000,0.5245,0.5276,0.5232,0.5276,93064
1667631600000,0.5279,0.5298,0.5268,0.5293,118121.9
1667635200000,0.5293,0.5301,0.5218,0.5242,189775.6
1667638800000,0.5246,0.532,0.5233,0.5275,174744.7
1667642400000,0.5276,0.5362,0.5269,0.5345,335365.3
1667646000000,0.535,0.5439,0.5334,0.535,247989.1
1667649600000,0.5349,0.5361,0.5264,0.5288,258075.5
1667653200000,0.5289,0.5294,0.5252,0.5272,114209.3
1667656800000,0.5273,0.5289,0.5218,0.5243,193815.6
1667660400000,0.5246,0.5352,0.5226,0.5297,225704.2
1667664000000,0.5297,0.5394,0.528,0.5382,477864.2
1667667600000,0.5382,0.5387,0.5329,0.5367,334563.9
1667671200000,0.5371,0.5378,0.5318,0.532,70324.9
1667674800000,0.5325,0.5339,0.5306,0.5325,78606
1667678400000,0.5326,0.542,0.5326,0.54,305859
1667682000000,0.5395,0.545,0.5322,0.5387,689905.3
1667685600000,0.5387,0.5476,0.5377,0.5391,212744.9
1667689200000,0.5392,0.5398,0.5281,0.5312,339633.7
1667692800000,0.5319,0.5387,0.5287,0.537,91949.2
1667696400000,0.5372,0.538,0.5307,0.5313,71393.5
1667700000000,0.5314,0.533,0.53,0.5312,38155.3
1667703600000,0.5312,0.5355,0.53,0.5329,34911.9
1667707200000,0.5333,0.5358,0.5298,0.53,210002.9
1667710800000,0.5299,0.53,0.5262,0.5276,115224.2
1667714400000,0.5274,0.5276,0.5222,0.5236,229330.9
1667718000000,0.5237,0.5255,0.522,0.525,223207.2
1667721600000,0.5249,0.5286,0.522,0.5271,142148.8
1667725200000,0.5273,0.5309,0.5256,0.5264,111139.1
1667728800000,0.5264,0.5276,0.5243,0.526,90013.8
1667732400000,0.5263,0.5264,0.522,0.5248,84755.2
