date,open,high,low,close,volume
1667005200000,0.5228,0.5246,0.52,0.5224,817162.9
1667008800000,0.5224,0.5297,0.5205,0.5243,1510716.5
1667012400000,0.5243,0.5462,0.5242,0.5329,3799021.7
1667016000000,0.5328,0.5432,0.5327,0.5414,2459001
1667019600000,0.5415,0.5458,0.5328,0.5361,2917665.9
1667023200000,0.5362,0.538,0.5333,0.5338,1217606.2
1667026800000,0.5339,0.535,0.5274,0.5308,1820528.6
1667030400000,0.5307,0.536,0.5285,0.5338,1813081.4
1667034000000,0.5339,0.5342,0.5298,0.5318,941968.6
1667037600000,0.5317,0.5326,0.5225,0.5234,1904035.6
1667041200000,0.5236,0.5244,0.5173,0.5178,1174913.5
1667044800000,0.5178,0.5249,0.5166,0.5246,666479.7
1667048400000,0.5245,0.5253,0.5169,0.5242,982744.5
1667052000000,0.5241,0.5279,0.5187,0.5205,1359920.1
1667055600000,0.5203,0.5283,0.5194,0.524,1368918.6
1667059200000,0.5241,0.5315,0.5216,0.5289,2143610.2
1667062800000,0.5289,0.5344,0.516,0.5175,2530637.8
1667066400000,0.5177,0.5211,0.5127,0.5173,1825307.2
1667070000000,0.5173,0.5179,0.5049,0.5101,1468014.5
1667073600000,0.5103,0.5155,0.5096,0.5138,972364.1
1667077200000,0.5137,0.5166,0.5131,0.5153,311549.4
1667080800000,0.5153,0.5161,0.5057,0.5093,796691.8
1667084400000,0.5094,0.5175,0.5072,0.5173,769082.7
1667088000000,0.5174,0.5189,0.5122,0.5152,969336.8
1667091600000,0.5152,0.5248,0.5115,0.5219,1181831.5
1667095200000,0.5219,0.526,0.5174,0.5258,790477.8
1667098800000,0.5258,0.5331,0.5239,0.5248,1127209.1
1667102400000,0.5249,0.5279,0.5215,0.5235,638424
1667106000000,0.5235,0.54,0.5235,0.5295,2193745
1667109600000,0.5296,0.5316,0.5238,0.5278,1342477.8
1667113200000,0.5278,0.5742,0.5251,0.5677,9643151.6
1667116800000,0.5672,0.585,0.5437,0.5526,8201939.9
1667120400000,0.5526,0.5626,0.5399,0.5468,4648990.3
1667124000000,0.5467,0.5532,0.5444,0.5458,1909884.1
1667127600000,0.5458,0.5573,0.5454,0.5526,1675383.1
1667131200000,0.5526,0.5599,0.5492,0.5578,1631737.6
1667134800000,0.5577,0.5651,0.5504,0.5542,3184580.8
1667138400000,0.554,0.5649,0.5501,0.5635,1971746.3
1667142000000,0.5635,0.5718,0.5452,0.5487,3938515.5
1667145600000,0.5487,0.5593,0.5461,0.5511,1887384.3
1667149200000,0.5507,0.5522,0.5445,0.5465,1207376.3
1667152800000,0.5466,0.5473,0.5406,0.5418,954501.2
1667156400000,0.5418,0.5436,0.5389,0.5395,849763.2
1667160000000,0.5396,0.5423,0.5376,0.5406,572893.5
1667163600000,0.5406,0.5443,0.54,0.544,580573
1667167200000,0.5438,0.5441,0.5255,0.5351,1795012.7
1667170800000,0.5348,0.5371,0.5308,0.5319,1153355.4
1667174400000,0.5318,0.546,0.5318,0.5443,2299013.8
1667178000000,0.5441,0.5472,0.5288,0.5332,1686305.6
1667181600000,0.5331,0.5343,0.5215,0.5256,1445091.8
1667185200000,0.5256,0.5346,0.5237,0.5331,1041973
