date,open,high,low,close,volume
1667005200000,42.33,42.43,42.15,42.18,1048.816
1667008800000,42.19,42.56,42.15,42.49,1795.126
1667012400000,42.5,44,42.47,43.36,5616.632
1667016000000,43.39,43.52,42.39,42.63,3210.5
1667019600000,42.64,43.03,42.63,42.94,2856.515
1667023200000,42.97,43.3,42.85,43.24,2817.334
1667026800000,43.24,43.28,43.06,43.1,1718.742
1667030400000,43.08,44.07,42.97,43.87,6769.224
1667034000000,43.89,44.24,43.44,43.65,6391.101
1667037600000,43.65,45.63,43.48,44.5,15135.685
1667041200000,44.5,46.77,42.84,43.17,13066.762
1667044800000,43.18,43.66,43,43.62,3720.16
1667048400000,43.62,43.65,42.87,43.2,5745.875
1667052000000,43.13,43.6,43.02,43.53,5601.323
1667055600000,43.54,46,43.39,45.63,11175.441
1667059200000,45.63,45.79,44.42,44.66,7370.458
1667062800000,44.62,45.1,43.88,43.96,6538.62
1667066400000,43.91,44,43.6,43.68,3368.126
1667070000000,43.71,43.84,43.4,43.62,2157.497
1667073600000,43.57,44,43.52,43.86,1563.486
1667077200000,43.9,44.56,43.87,44.2,6742.193
1667080800000,44.23,44.3,43.62,43.71,1297.788
1667084400000,43.68,43.69,43.18,43.47,1344.054
1667088000000,43.46,43.61,41.8,41.98,18039.52
1667091600000,42,42.87,41.81,42.74,11198.648
1667095200000,42.67,42.73,42.17,42.57,2384.354
1667098800000,42.58,42.99,42.53,42.86,1856.363
1667102400000,42.86,42.9,42.6,42.74,1741.131
1667106000000,42.73,42.77,42,42.4,3266.755
1667109600000,42.41,42.72,42.31,42.65,4720.829
1667113200000,42.68,42.92,42.58,42.84,2173.605
1667116800000,42.81,43.05,42.24,42.5,6438.89
1667120400000,42.53,42.73,41.75,41.8,5581.11
1667124000000,41.77,42.14,41.73,42.09,4344.871
1667127600000,42.1,42.12,41.88,41.93,1242.499
1667131200000,41.93,42.17,41.88,41.99,1697.672
1667134800000,42.02,42.09,41.5,41.51,3395.62
1667138400000,41.5,41.69,41.2,41.66,6764.806
1667142000000,41.63,41.68,40.7,40.87,5217.755
1667145600000,40.84,41.38,40.67,41.04,3289.187
1667149200000,41.03,41.28,40.83,41.23,3209.377
1667152800000,41.22,41.41,41.13,41.4,3534.245
1667156400000,41.38,41.44,41.26,41.31,1732.844
1667160000000,41.34,41.68,41.29,41.63,1359.494
1667163600000,41.63,41.9,41.6,41.85,2035.651
