date,open,high,low,close,volume
1667005200000,128,128.1,127.7,127.7,0.968
1667008800000,127.5,128,127.5,127.9,3.087
1667012400000,128.5,129.8,128.3,129.3,38.891
1667016000000,129.3,129.6,128.6,128.9,3.528
1667019600000,128.7,131.1,128.5,129.3,172.221
1667023200000,129.5,129.5,128.1,128.4,31.976
1667026800000,129.1,129.5,128.8,129.3,28.675
1667030400000,129.4,133.8,129.4,131.4,303.997
1667034000000,131.4,132.3,130.8,131.3,65.511
1667037600000,131.5,134.9,131,131.6,119.004
1667041200000,131.9,131.9,130.8,130.8,8.99
1667044800000,131.1,131.7,131,131.5,5.922
1667048400000,131.1,133,130.6,131.5,189.258
1667052000000,131.5,132.5,131.5,131.6,38.461
1667055600000,131.4,132.9,131.4,132.9,23.172
1667059200000,132.6,133,132.5,133,32.165
1667062800000,132.9,133,131.3,131.5,116.894
1667066400000,131.6,132.1,131.2,131.5,42.443
1667070000000,131.5,131.7,130.3,130.7,57.539
1667073600000,130.7,131.4,130.7,131,2.128
1667077200000,131.1,131.4,131,131.1,2.863
1667080800000,131.4,131.4,130.1,130.3,22.071
1667084400000,130.4,130.7,130.1,130.7,2.282
1667088000000,130.6,130.8,130.3,130.4,22.94
1667091600000,130.3,130.9,130.3,130.9,3.929
1667095200000,130.9,131.2,130,130.7,39.835
1667098800000,130.8,131,130.8,131,1.739
1667102400000,131.2,131.3,131,131.1,1.937
1667106000000,131,131.3,131,131.3,2.57
1667109600000,131.5,132,131.3,132,22.822
1667113200000,131.9,132.6,131,132.5,117.945
1667116800000,132.2,132.2,130.2,130.2,49.949
1667120400000,130.2,130.9,129.2,129.6,13.604
1667124000000,129.6,129.7,129.5,129.5,2.565
1667127600000,129.7,129.9,129.6,129.9,2.817
1667131200000,129.7,129.9,128.9,129.5,9.485
1667134800000,129.2,129.4,128.2,128.3,42.071
1667138400000,128.2,130.1,128.2,130.1,77.437
1667142000000,130.1,130.2,127.8,128.2,71.991
1667145600000,128,129.2,128,128.3,42.151
1667149200000,128.8,128.8,128.4,128.5,9.138
1667152800000,128.6,128.6,128.5,128.5,0.89
1667156400000,128.6,128.8,128.6,128.7,25.264
1667160000000,128.7,129.3,128.5,129,29.952
1667163600000,129.2,130.4,129.1,130,22.545
1667167200000,130,130,127.3,128.1,53.108
1667170800000,128.5,128.7,128.5,128.6,2.906
1667174400000,128.9,129.1,128.2,128.2,8.197
1667178000000,128.5,128.8,127.6,128,13.553
1667181600000,127.7,127.8,127.4,127.8,6.195
1667185200000,128.1,128.1,127.7,127.9,1.045
1667188800000,128.4,128.4,127.8,128.2,134.143
1667192400000,128.2,128.6,128,128,16.954
1667196000000,128,128,127.2,127.6,19.433
1667199600000,127.9,128,127.5,128,2.28
1667203200000,128.1,128.1,127.2,127.2,3.844
1667206800000,127.7,131.5,127.2,130.2,111.147
1667210400000,130.5,131.5,129.4,130.1,76.256
