date,open,high,low,close,volume
1667005200000,0.0829,0.0831,0.0826,0.0827,993039
1667008800000,0.0828,0.0831,0.0823,0.083,1427174
1667012400000,0.0829,0.0843,0.0829,0.0838,7837247
1667016000000,0.0838,0.0839,0.0829,0.0831,2752370
1667019600000,0.083,0.0836,0.0829,0.0833,1314710
1667023200000,0.0833,0.0843,0.0832,0.0843,4135432
1667026800000,0.0843,0.0857,0.0843,0.0856,10058345
1667030400000,0.0856,0.0856,0.0847,0.0852,5685769
1667034000000,0.0853,0.0854,0.0843,0.0853,4724968
1667037600000,0.0854,0.0855,0.0834,0.0838,5229925
1667041200000,0.0838,0.0841,0.0829,0.0835,2976213
1667044800000,0.0834,0.0842,0.0831,0.0841,2672576
1667048400000,0.084,0.0841,0.0827,0.0836,3785858
1667052000000,0.0835,0.084,0.0829,0.0832,3183716
1667055600000,0.0833,0.0839,0.083,0.0836,5287311
1667059200000,0.0837,0.0855,0.0833,0.085,8897240
1667062800000,0.085,0.0865,0.0838,0.0839,9795299
1667066400000,0.0839,0.0851,0.0835,0.0846,6574854
1667070000000,0.0846,0.0847,0.0833,0.0841,3803571
1667073600000,0.0841,0.0846,0.0838,0.0844,1893514
1667077200000,0.0843,0.085,0.0842,0.0846,1971452
1667080800000,0.0845,0.0847,0.0831,0.0835,3865197
1667084400000,0.0834,0.0842,0.0831,0.0841,2152134
1667088000000,0.0841,0.0845,0.0835,0.0839,1864037
1667091600000,0.0839,0.0849,0.0836,0.0849,1942980
1667095200000,0.0849,0.085,0.0843,0.0844,2081839
1667098800000,0.0845,0.0849,0.0844,0.0848,1360461
1667102400000,0.0849,0.0849,0.0836,0.0839,5265507
1667106000000,0.0839,0.0851,0.0839,0.0845,3148916
1667109600000,0.0845,0.0853,0.0841,0.0851,4036263
1667113200000,0.0851,0.0876,0.0849,0.0873,13303865
1667116800000,0.0873,0.0877,0.0848,0.087,9495219
1667120400000,0.0869,0.0869,0.0841,0.0848,8785674
1667124000000,0.0847,0.0854,0.0846,0.0851,2487092
1667127600000,0.085,0.0859,0.085,0.0853,2679666
1667131200000,0.0853,0.0853,0.0842,0.085,3873075
1667134800000,0.0851,0.0851,0.0833,0.0838,4094903
1667138400000,0.0838,0.0847,0.0836,0.0845,2492404
1667142000000,0.0845,0.0847,0.082,0.0829,5205752
1667145600000,0.0829,0.0841,0.0826,0.0831,2541958
1667149200000,0.0832,0.0837,0.0825,0.0836,2984796
1667152800000,0.0837,0.0839,0.0831,0.0838,1763068
1667156400000,0.0838,0.0845,0.0837,0.084,2462972
1667160000000,0.084,0.0849,0.0839,0.0844,2754659
1667163600000,0.0844,0.0847,0.0839,0.0843,2697520
1667167200000,0.0843,0.0843,0.0824,0.0835,3533226
1667170800000,0.0835,0.0837,0.0831,0.0836,1761874
1667174400000,0.0836,0.0842,0.0832,0.0833,2824398
1667178000000,0.0833,0.0839,0.0825,0.083,3020653
1667181600000,0.083,0.0831,0.082,0.0826,2155334
1667185200000,0.0826,0.0837,0.0826,0.0837,1042676
1667188800000,0.0837,0.0838,0.0832,0.0835,991316
1667192400000,0.0834,0.0838,0.0829,0.0831,828848
1667196000000,0.0831,0.0832,0.0821,0.0826,2053462
1667199600000,0.0826,0.0829,0.0821,0.0829,1015959
1667203200000,0.0828,0.0828,0.0815,0.0818,2534989
1667206800000,0.0817,0.0836,0.0816,0.0834,1811360
1667210400000,0.0834,0.0839,0.083,0.0837,3258291
1667214000000,0.0838,0.0841,0.0835,0.0838,1766110
1667217600000,0.0839,0.0842,0.0832,0.0836,2310935
1667221200000,0.0836,0.0848,0.0817,0.0817,4988929
1667224800000,0.0817,0.083,0.0815,0.0822,5330529
1667228400000,0.0822,0.0835,0.0816,0.0829,8472368
1667232000000,0.0829,0.0837,0.0822,0.083,2805536
1667235600000,0.0829,0.0843,0.0829,0.0842,5064387
1667239200000,0.0842,0.0863,0.0841,0.0859,6613826
1667242800000,0.086,0.0865,0.0853,0.0856,4866205
1667246400000,0.0856,0.0856,0.0844,0.0845,4185435
1667250000000,0.0845,0.0847,0.0839,0.0844,1953405
1667253600000,0.0844,0.0851,0.0839,0.0845,2078949
1667257200000,0.0846,0.0848,0.0841,0.0843,1169332
1667260800000,0.0843,0.0852,0.0841,0.0846,1960231
1667264400000,0.0846,0.0857,0.0845,0.0855,4122990
1667268000000,0.0855,0.0863,0.0853,0.086,1601008
1667271600000,0.0859,0.0866,0.0857,0.0864,5984514
1667275200000,0.0864,0.0875,0.086,0.0864,5149742
1667278800000,0.0863,0.0866,0.0859,0.0859,2976140
1667282400000,0.0859,0.0868,0.0858,0.0865,2971395
1667286000000,0.0865,0.0868,0.0861,0.0864,2331509
1667289600000,0.0863,0.0866,0.0859,0.0862,1994974
1667293200000,0.0862,0.0871,0.086,0.0866,3381122
1667296800000,0.0866,0.0867,0.0858,0.0862,3426686
1667300400000,0.0862,0.0863,0.0846,0.085,4602981
1667304000000,0.085,0.0852,0.0845,0.0851,1551990
1667307600000,0.0851,0.0851,0.0831,0.0841,3864082
1667311200000,0.0841,0.0843,0.0834,0.0838,1897814
1667314800000,0.0839,0.0844,0.0836,0.0841,1269213
1667318400000,0.0841,0.0843,0.0831,0.0832,2545243
1667322000000,0.0832,0.0836,0.0829,0.0831,1794304
1667325600000,0.0831,0.0831,0.0825,0.083,2039996
1667329200000,0.0829,0.0831,0.0826,0.0828,1422547
1667332800000,0.0827,0.0831,0.0825,0.083,904690
1667336400000,0.0829,0.083,0.0827,0.0828,1335802
1667340000000,0.0827,0.0829,0.082,0.0823,6666082
1667343600000,0.0823,0.0825,0.0821,0.0822,676027
1667347200000,0.0822,0.0825,0.0814,0.0824,2694814
1667350800000,0.0825,0.0827,0.0824,0.0826,991134
1667354400000,0.0825,0.0826,0.0818,0.0824,969509
1667358000000,0.0823,0.0829,0.0821,0.0826,1635264
1667361600000,0.0827,0.0828,0.0823,0.0823,1295985
1667365200000,0.0824,0.0828,0.0823,0.0826,2153093
1667368800000,0.0826,0.0829,0.0822,0.0825,1672013
1667372400000,0.0824,0.0826,0.0807,0.0818,4150010
1667376000000,0.0818,0.0827,0.0814,0.0827,2554468
1667379600000,0.0827,0.0828,0.0808,0.0809,3324725
1667383200000,0.081,0.0814,0.0802,0.0813,3967513
1667386800000,0.0812,0.0819,0.0812,0.0814,3192701
1667390400000,0.0815,0.0815,0.0808,0.0809,1483558
1667394000000,0.0809,0.0816,0.0807,0.0812,1517691
1667397600000,0.0813,0.082,0.0811,0.0815,1307536
1667401200000,0.0815,0.0816,0.0813,0.0814,449632
1667404800000,0.0813,0.0821,0.0808,0.082,1700654
1667408400000,0.0821,0.0821,0.0805,0.081,2043382
1667412000000,0.0809,0.0847,0.0806,0.0822,14312179
1667415600000,0.0822,0.0835,0.0806,0.0811,4708324
1667419200000,0.0811,0.0816,0.079,0.0802,5324862
1667422800000,0.0801,0.0811,0.0801,0.081,1253876
1667426400000,0.081,0.0811,0.0802,0.0805,2587172
1667430000000,0.0804,0.0815,0.0804,0.0815,2019103
1667433600000,0.0814,0.083,0.081,0.0827,2848381
1667437200000,0.0828,0.0852,0.0826,0.0845,4939170
1667440800000,0.0846,0.0863,0.0843,0.086,10297184
1667444400000,0.086,0.0882,0.0859,0.087,10046606
1667448000000,0.087,0.0888,0.0869,0.0886,8217069
1667451600000,0.0886,0.0905,0.0885,0.0894,16880195
1667455200000,0.0894,0.0975,0.0894,0.0913,63203227
1667458800000,0.0913,0.0925,0.0895,0.0896,11990041
1667462400000,0.0896,0.0915,0.0892,0.0893,10706413
1667466000000,0.0892,0.0914,0.0892,0.0911,6116482
1667469600000,0.0913,0.0932,0.0902,0.0902,11504836
1667473200000,0.0903,0.0907,0.0884,0.0894,11070843
1667476800000,0.0895,0.0904,0.0868,0.0885,9177256
1667480400000,0.0885,0.0891,0.0874,0.0875,4436353
1667484000000,0.0876,0.0897,0.0876,0.0893,4016266
1667487600000,0.0893,0.0894,0.0882,0.0886,2264219
1667491200000,0.0887,0.0896,0.0879,0.0895,3677176
1667494800000,0.0895,0.0907,0.0888,0.09,10111871
1667498400000,0.09,0.0903,0.0889,0.0895,6156301
1667502000000,0.0895,0.0902,0.0884,0.0885,5490675
1667505600000,0.0885,0.0887,0.0878,0.0883,3018816
1667509200000,0.0883,0.0886,0.0876,0.0876,2533271
1667512800000,0.0876,0.0877,0.0857,0.0858,6153972
1667516400000,0.0859,0.0872,0.0857,0.087,3247946
1667520000000,0.087,0.0875,0.0854,0.0874,6064739
1667523600000,0.0873,0.0891,0.0871,0.088,10630663
1667527200000,0.0881,0.0911,0.088,0.09,10739415
1667530800000,0.09,0.0987,0.0895,0.0937,55787995
1667534400000,0.0937,0.0938,0.0917,0.0918,16788178
1667538000000,0.0918,0.0925,0.0903,0.0913,10737272
1667541600000,0.0914,0.0934,0.0914,0.0926,4922655
1667545200000,0.0927,0.0965,0.0927,0.0947,22207007
1667548800000,0.0947,0.0963,0.0937,0.0944,14999778
1667552400000,0.0944,0.0949,0.0934,0.0941,4140685
1667556000000,0.0942,0.0953,0.0937,0.095,3484581
1667559600000,0.095,0.0972,0.0945,0.0952,8892201
1667563200000,0.0952,0.0967,0.0931,0.0962,10481874
1667566800000,0.0963,0.0977,0.0952,0.0974,6132165
1667570400000,0.0975,0.098,0.0962,0.0968,11190851
1667574000000,0.0968,0.0968,0.0936,0.0938,11073557
1667577600000,0.0939,0.0947,0.0932,0.0946,4785005
1667581200000,0.0946,0.0963,0.094,0.0951,11037044
1667584800000,0.0951,0.0951,0.0936,0.0936,4522295
1667588400000,0.0936,0.0945,0.0935,0.0945,1959193
1667592000000,0.0945,0.0951,0.0944,0.095,2604866
1667595600000,0.095,0.0954,0.0946,0.0953,1143557
1667599200000,0.0953,0.0957,0.0948,0.095,2557431
1667602800000,0.095,0.0951,0.0943,0.0949,1474892
1667606400000,0.0948,0.0974,0.0948,0.0972,9641472
1667610000000,0.0971,0.0997,0.0965,0.0977,10742291
1667613600000,0.0977,0.0977,0.0961,0.0971,2104528
1667617200000,0.0971,0.0974,0.0954,0.0966,2226782
1667620800000,0.0966,0.0967,0.0952,0.0955,4205688
1667624400000,0.0955,0.0963,0.0953,0.0962,1209800
1667628000000,0.0963,0.0972,0.0962,0.0972,1381142
1667631600000,0.0972,0.0991,0.0964,0.098,6149998
1667635200000,0.098,0.0991,0.0961,0.0971,7033483
1667638800000,0.0972,0.0973,0.0948,0.0959,5230309
1667642400000,0.096,0.0979,0.096,0.0975,4326374
1667646000000,0.0975,0.1007,0.0973,0.1002,26689479
1667649600000,0.1002,0.1008,0.0979,0.0995,14368595
1667653200000,0.0995,0.1014,0.098,0.1005,13785401
1667656800000,0.1004,0.1032,0.0994,0.1002,17769001
1667660400000,0.1002,0.1037,0.0997,0.103,9480713
1667664000000,0.103,0.1045,0.1021,0.1025,14864865
1667667600000,0.1025,0.1027,0.1007,0.1009,5651967
1667671200000,0.1008,0.1017,0.0996,0.0999,5032535
1667674800000,0.0999,0.1003,0.0994,0.1002,3225983
1667678400000,0.1,0.1014,0.1,0.1004,2675779
1667682000000,0.1006,0.1008,0.0993,0.0996,3437244
1667685600000,0.0996,0.1009,0.0996,0.1,2904863
1667689200000,0.1,0.1001,0.0962,0.0984,21467349
1667692800000,0.0984,0.1,0.0974,0.0988,7654693
1667696400000,0.0988,0.0995,0.0966,0.0967,5105019
1667700000000,0.0967,0.0983,0.096,0.0964,5386376
1667703600000,0.0965,0.098,0.0965,0.0979,1705395
1667707200000,0.0978,0.0985,0.0976,0.0985,2112892
1667710800000,0.0984,0.0984,0.0967,0.0971,4898699
1667714400000,0.0971,0.0974,0.0966,0.0968,2517381
1667718000000,0.0968,0.0972,0.0967,0.097,2669446
1667721600000,0.0969,0.0975,0.0961,0.097,2345671
1667725200000,0.0971,0.0975,0.0969,0.0969,2365066
1667728800000,0.0971,0.0972,0.0966,0.097,1408516
1667732400000,0.097,0.097,0.0958,0.0962,4041367
1667736000000,0.0962,0.0964,0.0952,0.0953,2697063
1667739600000,0.0954,0.0956,0.0943,0.0951,7976546
1667743200000,0.095,0.0961,0.0946,0.096,3212888
1667746800000,0.0959,0.0969,0.0957,0.0957,3094381
1667750400000,0.0957,0.0959,0.0936,0.095,8690075
1667754000000,0.095,0.095,0.0941,0.0946,4153446
1667757600000,0.0947,0.0947,0.0931,0.094,3376940
