date,open,high,low,close,volume
1667005200000,1.888,1.895,1.867,1.874,81410.8
1667008800000,1.874,1.966,1.873,1.945,397179.3
1667012400000,1.946,2.071,1.938,2.02,1503232.4
1667016000000,2.02,2.158,1.981,2.105,1269948.2
1667019600000,2.106,2.124,2.052,2.124,722311.2
1667023200000,2.123,2.239,2.068,2.122,1463169.3
1667026800000,2.119,2.157,2.071,2.084,686956.7
1667030400000,2.083,2.138,2.066,2.103,577255.1
1667034000000,2.105,2.169,2.105,2.145,414866.7
1667037600000,2.146,2.187,2.03,2.042,521477.9
1667041200000,2.042,2.054,2.007,2.012,217784.1
1667044800000,2.012,2.055,2.004,2.051,192147.9
1667048400000,2.052,2.057,1.968,1.999,307481.3
1667052000000,1.997,2.015,1.956,1.973,288419.1
1667055600000,1.973,1.99,1.906,1.907,406089
1667059200000,1.91,1.937,1.896,1.898,190646.7
1667062800000,1.898,2.04,1.893,1.949,944762.6
1667066400000,1.948,1.976,1.92,1.942,239511.9
1667070000000,1.94,1.951,1.866,1.908,654657.8
1667073600000,1.908,1.928,1.904,1.928,142263.5
1667077200000,1.928,1.933,1.91,1.916,100147.3
1667080800000,1.917,1.928,1.898,1.905,96800.6
1667084400000,1.903,1.957,1.9,1.951,213906.7
1667088000000,1.952,1.952,1.897,1.91,250610.5
1667091600000,1.91,1.956,1.91,1.947,166806.7
1667095200000,1.95,2.007,1.947,1.989,343716.3
1667098800000,1.991,2.021,1.987,1.997,143805.3
1667102400000,1.999,2.058,1.999,2.057,207377.8
1667106000000,2.057,2.106,1.99,2.036,614658
1667109600000,2.037,2.042,1.997,2.004,164383.6
1667113200000,2.006,2.026,1.974,1.989,172667.1
1667116800000,1.991,2.005,1.943,1.967,136543
1667120400000,1.968,1.998,1.93,1.947,171992.7
1667124000000,1.946,1.969,1.941,1.96,70497.5
1667127600000,1.96,1.979,1.951,1.977,53955.3
1667131200000,1.975,1.989,1.953,1.971,50016.4
1667134800000,1.972,1.979,1.937,1.95,89744.3
1667138400000,1.95,2.046,1.945,2.021,184945.6
1667142000000,2.02,2.02,1.932,1.944,146117.9
1667145600000,1.944,2.002,1.926,1.94,157221.8
1667149200000,1.94,1.966,1.935,1.963,41266.5
1667152800000,1.962,1.99,1.957,1.978,62104.5
1667156400000,1.978,2.007,1.971,1.976,56589.3
1667160000000,1.977,1.991,1.971,1.977,26025.8
