date,open,high,low,close,volume
1667005200000,0.2073,0.2073,0.2069,0.2072,11460
1667008800000,0.2069,0.2075,0.2067,0.2073,43356
1667012400000,0.2074,0.2087,0.2073,0.2085,60023
1667016000000,0.2085,0.2107,0.2075,0.2077,155723
1667019600000,0.2077,0.2077,0.2067,0.2072,51512
1667023200000,0.2073,0.2087,0.2073,0.2085,48442
1667026800000,0.2084,0.2101,0.2082,0.2101,146204
1667030400000,0.2101,0.2106,0.209,0.2101,157017
1667034000000,0.21,0.2106,0.209,0.2105,180281
1667037600000,0.2103,0.211,0.209,0.2091,198425
1667041200000,0.2091,0.2093,0.2069,0.207,128244
1667044800000,0.2071,0.2081,0.207,0.2078,41480
1667048400000,0.2078,0.2079,0.207,0.2076,45132
1667052000000,0.2076,0.2093,0.2075,0.2079,125220
1667055600000,0.2079,0.208,0.2068,0.2068,135247
1667059200000,0.2068,0.2085,0.2065,0.2084,202368
1667062800000,0.2084,0.2089,0.2071,0.2076,188617
1667066400000,0.2077,0.2077,0.2066,0.2072,69795
1667070000000,0.2073,0.2074,0.2067,0.2072,70694
1667073600000,0.207,0.2083,0.2065,0.2078,133902
1667077200000,0.2077,0.2082,0.2069,0.2074,79953
1667080800000,0.2076,0.2079,0.2068,0.2073,95363
1667084400000,0.2072,0.2079,0.207,0.2079,47139
1667088000000,0.2077,0.2079,0.2072,0.2076,70549
1667091600000,0.2076,0.2082,0.2074,0.2081,42213
1667095200000,0.2081,0.2083,0.208,0.2083,33262
1667098800000,0.2083,0.2089,0.2083,0.2088,17785
1667102400000,0.2088,0.2088,0.2083,0.2086,29000
1667106000000,0.2087,0.2088,0.2082,0.2087,105070
1667109600000,0.2086,0.2095,0.2086,0.2093,124948
1667113200000,0.2092,0.21,0.2089,0.2096,243872
1667116800000,0.2095,0.2114,0.2072,0.2083,364514
1667120400000,0.2083,0.2085,0.2074,0.2074,73610
1667124000000,0.2075,0.2078,0.2068,0.2069,91506
1667127600000,0.2069,0.2072,0.2063,0.2072,70743
1667131200000,0.207,0.2072,0.2063,0.2067,34511
1667134800000,0.2068,0.2071,0.2064,0.207,107862
1667138400000,0.2068,0.2077,0.2067,0.2076,68050
1667142000000,0.2078,0.2081,0.2064,0.2066,79969
1667145600000,0.2065,0.2077,0.2063,0.2072,67910
1667149200000,0.2072,0.2073,0.2064,0.2073,50146
1667152800000,0.2073,0.2075,0.2068,0.2068,32844
1667156400000,0.2069,0.2071,0.2065,0.2065,26380
1667160000000,0.2068,0.2076,0.2066,0.2068,76603
1667163600000,0.207,0.2071,0.2066,0.2069,34993
1667167200000,0.2068,0.2068,0.2047,0.2054,111380
1667170800000,0.2054,0.2055,0.2045,0.2055,32760
1667174400000,0.2055,0.2073,0.205,0.2053,86906
1667178000000,0.2054,0.2058,0.2047,0.2049,35616
1667181600000,0.2048,0.2051,0.2044,0.2051,22064
1667185200000,0.2048,0.206,0.2048,0.2059,19915
1667188800000,0.2058,0.2059,0.2056,0.2057,14820
1667192400000,0.2056,0.2058,0.2052,0.2054,29624
1667196000000,0.2054,0.2059,0.205,0.2055,44057
1667199600000,0.2057,0.2057,0.2047,0.205,67467
1667203200000,0.2049,0.2051,0.2038,0.2042,47146
1667206800000,0.2042,0.2062,0.2038,0.206,143341
1667210400000,0.2061,0.2066,0.2056,0.2061,48746
1667214000000,0.2062,0.2071,0.2062,0.2063,46236
1667217600000,0.2062,0.207,0.2058,0.2059,62681
1667221200000,0.2059,0.2065,0.2041,0.2041,214917
1667224800000,0.2043,0.2043,0.204,0.204,366186
1667228400000,0.204,0.2052,0.204,0.2046,58989
1667232000000,0.2048,0.2053,0.2045,0.205,30226
1667235600000,0.2048,0.2051,0.2045,0.2045,67045
1667239200000,0.2045,0.2051,0.2045,0.2048,15909
1667242800000,0.2047,0.2069,0.2045,0.2054,137576
1667246400000,0.2052,0.2078,0.2052,0.2062,195655
1667250000000,0.2062,0.2064,0.2059,0.2064,23597
1667253600000,0.2061,0.2066,0.206,0.2063,4690
