date,open,high,low,close,volume
1667005200000,0.0604,0.0605,0.0599,0.0599,4591299
1667008800000,0.06,0.0603,0.0599,0.0603,3351279
1667012400000,0.0602,0.0609,0.0601,0.0606,8828499
1667016000000,0.0606,0.0608,0.0601,0.0603,3190590
1667019600000,0.0602,0.0604,0.06,0.0601,4067335
1667023200000,0.0602,0.0605,0.0601,0.0603,2158788
1667026800000,0.0604,0.0607,0.0603,0.0604,2316209
1667030400000,0.0603,0.0607,0.0602,0.0606,4089312
1667034000000,0.0606,0.0611,0.0605,0.061,5230795
1667037600000,0.061,0.0611,0.0599,0.0601,7191075
1667041200000,0.0601,0.0606,0.0598,0.0601,4208279
1667044800000,0.0601,0.0605,0.06,0.0605,3579442
1667048400000,0.0604,0.0608,0.06,0.0605,4424082
1667052000000,0.0604,0.0608,0.0601,0.0602,3722409
1667055600000,0.0602,0.061,0.0602,0.0608,4037490
1667059200000,0.0608,0.0617,0.0605,0.0616,7807114
1667062800000,0.0615,0.0618,0.0604,0.0608,6281629
1667066400000,0.0608,0.0613,0.0602,0.0612,7940290
1667070000000,0.0612,0.0613,0.0605,0.0609,4909698
1667073600000,0.061,0.0614,0.0607,0.0612,4783301
1667077200000,0.0612,0.0616,0.0611,0.0614,1759189
1667080800000,0.0614,0.0621,0.0608,0.0611,14237546
1667084400000,0.0611,0.0614,0.0606,0.0613,1782005
1667088000000,0.0613,0.0614,0.0607,0.0612,4908202
1667091600000,0.0612,0.0617,0.061,0.0616,2407321
1667095200000,0.0617,0.0618,0.0615,0.0616,1433542
1667098800000,0.0617,0.0618,0.0615,0.0616,1851478
1667102400000,0.0616,0.0617,0.0613,0.0615,1667285
1667106000000,0.0614,0.0618,0.0614,0.0614,1370205
1667109600000,0.0614,0.062,0.0611,0.0617,4942620
1667113200000,0.0617,0.0628,0.0616,0.0627,6627857
1667116800000,0.0627,0.0628,0.0615,0.0622,6780093
1667120400000,0.0621,0.0626,0.0611,0.0615,4626108
1667124000000,0.0614,0.062,0.0614,0.0617,3931900
1667127600000,0.0617,0.0619,0.0612,0.0617,3030855
1667131200000,0.0617,0.0619,0.0611,0.0615,3787518
1667134800000,0.0615,0.0615,0.0606,0.0609,4016878
1667138400000,0.0609,0.0619,0.0607,0.0617,7975237
1667142000000,0.0617,0.0622,0.0609,0.0611,7873306
1667145600000,0.0611,0.0617,0.061,0.0611,5294184
1667149200000,0.0611,0.0614,0.0608,0.0611,5500082
1667152800000,0.0612,0.0617,0.0611,0.0616,3293785
1667156400000,0.0616,0.0617,0.0612,0.0613,1499217
1667160000000,0.0612,0.0617,0.0612,0.0614,1507144
1667163600000,0.0615,0.0616,0.061,0.0613,2406156
1667167200000,0.0613,0.0613,0.0598,0.0606,4639894
1667170800000,0.0606,0.0608,0.0604,0.0606,3819403
1667174400000,0.0606,0.0612,0.0604,0.0605,3256543
1667178000000,0.0605,0.0608,0.06,0.0602,2963685
1667181600000,0.0602,0.0603,0.0597,0.0601,4237635
1667185200000,0.0601,0.0609,0.06,0.0606,4081805
1667188800000,0.0606,0.0609,0.0604,0.0607,1846569
1667192400000,0.0607,0.0609,0.0604,0.0605,1712449
1667196000000,0.0605,0.0607,0.06,0.0603,2950534
1667199600000,0.0604,0.0605,0.0601,0.0605,1770310
1667203200000,0.0604,0.0605,0.0598,0.0598,3026555
1667206800000,0.0598,0.0609,0.0597,0.0607,3837380
1667210400000,0.0608,0.061,0.0605,0.0609,5918800
1667214000000,0.061,0.0612,0.0608,0.0609,4095442
1667217600000,0.061,0.0614,0.0606,0.0611,6210748
1667221200000,0.0611,0.0615,0.0598,0.0598,6078759
1667224800000,0.0598,0.0605,0.0597,0.06,6826085
1667228400000,0.0601,0.0605,0.0599,0.0601,2917518
1667232000000,0.0601,0.0605,0.0596,0.0601,4499956
1667235600000,0.06,0.0603,0.0598,0.0599,4206080
1667239200000,0.0598,0.06,0.0597,0.0598,4878451
1667242800000,0.0597,0.0598,0.0592,0.0592,3940484
1667246400000,0.0593,0.0595,0.059,0.0592,2395281
1667250000000,0.0592,0.0594,0.0591,0.0592,1849237
1667253600000,0.0591,0.0597,0.059,0.0595,3836486
1667257200000,0.0595,0.0597,0.0593,0.0595,4509018
1667260800000,0.0595,0.06,0.0595,0.0597,3511369
1667264400000,0.0597,0.06,0.0596,0.0597,2338468
1667268000000,0.0597,0.06,0.0596,0.0599,1557503
1667271600000,0.0599,0.0601,0.0596,0.0598,1789604
1667275200000,0.0597,0.0599,0.0594,0.0595,1626254
1667278800000,0.0595,0.0597,0.0594,0.0595,1520108
1667282400000,0.0595,0.06,0.0595,0.0597,2598270
1667286000000,0.0598,0.0599,0.0596,0.0596,1534604
1667289600000,0.0596,0.0598,0.0596,0.0596,1913149
1667293200000,0.0597,0.0601,0.0595,0.0599,5213442
1667296800000,0.0598,0.0602,0.0597,0.0601,2295846
1667300400000,0.0602,0.0602,0.0594,0.0596,3708355
1667304000000,0.0596,0.0598,0.0592,0.0596,2310247
1667307600000,0.0596,0.0597,0.0588,0.059,3610369
1667311200000,0.059,0.0592,0.0588,0.0589,2731535
1667314800000,0.059,0.0591,0.0588,0.0589,2685138
1667318400000,0.0589,0.059,0.0584,0.0584,3954052
1667322000000,0.0585,0.0588,0.0584,0.0586,1511509
1667325600000,0.0586,0.0587,0.0584,0.0587,993636
1667329200000,0.0587,0.0587,0.0584,0.0584,1346992
1667332800000,0.0584,0.0585,0.0582,0.0583,1561168
1667336400000,0.0583,0.0585,0.0582,0.0583,1881069
1667340000000,0.0584,0.0584,0.0582,0.0582,1295162
1667343600000,0.0583,0.0585,0.0582,0.0583,1834033
1667347200000,0.0582,0.0584,0.0576,0.0582,6128884
1667350800000,0.0583,0.0584,0.0581,0.0583,2630639
1667354400000,0.0582,0.0583,0.0578,0.0581,1415701
1667358000000,0.0581,0.0583,0.058,0.0581,2663747
1667361600000,0.0582,0.0586,0.058,0.0584,6971505
1667365200000,0.0585,0.0593,0.0583,0.0591,14921447
1667368800000,0.0591,0.0593,0.059,0.0592,2381774
1667372400000,0.0593,0.0594,0.0584,0.0591,4149480
1667376000000,0.0592,0.0598,0.0589,0.0598,2827025
1667379600000,0.0597,0.0599,0.059,0.059,4249924
1667383200000,0.059,0.0593,0.0585,0.0592,3307813
1667386800000,0.0593,0.0594,0.0589,0.0591,3629934
1667390400000,0.059,0.0592,0.0587,0.0588,1645269
1667394000000,0.0588,0.0592,0.0587,0.059,1448073
1667397600000,0.059,0.0598,0.0589,0.0594,4611516
1667401200000,0.0594,0.0596,0.0592,0.0592,1665162
1667404800000,0.0592,0.0593,0.0586,0.0592,5246290
1667408400000,0.0592,0.0592,0.0582,0.0586,3693972
1667412000000,0.0587,0.0601,0.0583,0.0589,21260467
1667415600000,0.0588,0.0595,0.0578,0.0583,10709992
1667419200000,0.0582,0.0585,0.0572,0.058,6187017
1667422800000,0.0579,0.0587,0.0578,0.0587,3090070
1667426400000,0.0587,0.0588,0.0581,0.0583,3804222
1667430000000,0.0583,0.059,0.0582,0.0587,2408562
1667433600000,0.0587,0.0592,0.0586,0.059,3510352
1667437200000,0.059,0.0594,0.0589,0.0593,3271380
1667440800000,0.0593,0.0594,0.0588,0.0592,3964743
1667444400000,0.0592,0.0594,0.0591,0.0591,1689876
1667448000000,0.0592,0.0596,0.0591,0.0594,2171148
1667451600000,0.0594,0.06,0.0592,0.06,4040140
1667455200000,0.06,0.0601,0.0596,0.0601,4282616
1667458800000,0.0601,0.0604,0.0597,0.0598,6301075
1667462400000,0.0597,0.0604,0.0596,0.0603,3420088
1667466000000,0.0603,0.0615,0.06,0.0603,21091425
1667469600000,0.0604,0.061,0.0601,0.0601,8010151
1667473200000,0.0601,0.0604,0.0591,0.0598,6410397
1667476800000,0.0598,0.0601,0.0589,0.0593,5187525
1667480400000,0.0593,0.0597,0.0589,0.059,6048113
1667484000000,0.059,0.0601,0.0589,0.0599,5676340
1667487600000,0.0599,0.0603,0.0595,0.0601,6747265
1667491200000,0.0601,0.0605,0.06,0.0605,2863929
1667494800000,0.0604,0.0605,0.06,0.06,3158393
1667498400000,0.0601,0.0605,0.06,0.0603,4701254
1667502000000,0.0604,0.0604,0.0601,0.0603,1986753
1667505600000,0.0602,0.0608,0.0601,0.0604,7566580
1667509200000,0.0603,0.0606,0.0601,0.0602,4484662
1667512800000,0.0602,0.0603,0.0594,0.0599,15604753
1667516400000,0.0599,0.0603,0.0596,0.0598,8232254
1667520000000,0.0597,0.0602,0.0592,0.0599,7295951
1667523600000,0.06,0.0602,0.0591,0.0593,13863006
1667527200000,0.0593,0.0599,0.0592,0.0597,5117210
1667530800000,0.0596,0.0603,0.0596,0.0603,2484974
1667534400000,0.0602,0.0605,0.0601,0.0604,3774815
1667538000000,0.0603,0.0608,0.06,0.0602,7905226
1667541600000,0.0602,0.0612,0.0602,0.0611,3878345
1667545200000,0.0612,0.0617,0.0608,0.0617,5275143
1667548800000,0.0617,0.0629,0.0615,0.0618,18080632
1667552400000,0.0619,0.0628,0.0613,0.0623,14766116
1667556000000,0.0624,0.0632,0.0619,0.0629,12370854
1667559600000,0.0628,0.063,0.0617,0.0618,6959672
1667563200000,0.0619,0.0627,0.061,0.0626,15583187
1667566800000,0.0626,0.063,0.0616,0.062,9185468
1667570400000,0.0621,0.0631,0.0619,0.0627,11137342
1667574000000,0.0627,0.0628,0.0615,0.0616,9904325
1667577600000,0.0616,0.0623,0.0614,0.0621,6765008
1667581200000,0.062,0.0623,0.0617,0.0621,3381561
1667584800000,0.0622,0.0629,0.062,0.0628,4637994
1667588400000,0.0628,0.063,0.0625,0.0629,7030755
1667592000000,0.0629,0.0637,0.0628,0.0636,13162517
1667595600000,0.0636,0.0638,0.0631,0.0632,5734312
1667599200000,0.0632,0.0635,0.063,0.0635,3685457
1667602800000,0.0634,0.0636,0.0631,0.0634,2985477
1667606400000,0.0634,0.0638,0.063,0.0637,9908007
1667610000000,0.0636,0.064,0.0635,0.0639,5928526
1667613600000,0.0639,0.064,0.0633,0.0636,3042298
1667617200000,0.0637,0.0641,0.0631,0.0637,5790490
1667620800000,0.0637,0.0639,0.0631,0.0632,4060697
1667624400000,0.0632,0.0634,0.0626,0.0631,4246097
1667628000000,0.0631,0.0637,0.0631,0.0632,3591837
1667631600000,0.0633,0.0634,0.0631,0.0634,1378222
1667635200000,0.0633,0.0634,0.0622,0.0626,8561812
1667638800000,0.0626,0.0628,0.062,0.0624,5530357
1667642400000,0.0625,0.0629,0.0623,0.0627,2202101
1667646000000,0.0628,0.0636,0.0627,0.0634,6822693
1667649600000,0.0633,0.0634,0.0628,0.063,5193359
1667653200000,0.063,0.0631,0.0626,0.0629,3252587
1667656800000,0.0629,0.0635,0.0624,0.0629,4654084
1667660400000,0.0628,0.0634,0.0627,0.0632,5344876
1667664000000,0.0631,0.064,0.0631,0.0639,6597118
1667667600000,0.0639,0.064,0.0632,0.0638,4268506
1667671200000,0.0637,0.0638,0.0624,0.0626,6435459
1667674800000,0.0626,0.0628,0.0624,0.0626,5398683
1667678400000,0.0626,0.0628,0.0625,0.0627,3234957
1667682000000,0.0627,0.0627,0.0624,0.0626,2248610
1667685600000,0.0627,0.063,0.0626,0.0629,2999392
1667689200000,0.0629,0.063,0.0611,0.0622,14515307
1667692800000,0.0622,0.0628,0.0617,0.0623,7063815
1667696400000,0.0623,0.0625,0.0616,0.0617,5223499
1667700000000,0.0618,0.0623,0.0615,0.0619,3366913
1667703600000,0.062,0.0625,0.0619,0.0625,2440246
1667707200000,0.0624,0.0626,0.0622,0.0624,1401624
1667710800000,0.0624,0.0626,0.0615,0.0617,2917943
1667714400000,0.0618,0.062,0.0615,0.0615,2502434
1667718000000,0.0615,0.0618,0.0615,0.0617,1200107
1667721600000,0.0617,0.0621,0.0614,0.0619,3393965
1667725200000,0.0619,0.0622,0.0618,0.0619,2913542
1667728800000,0.0619,0.062,0.0617,0.062,3155946
1667732400000,0.0619,0.062,0.0615,0.0618,3887866
1667736000000,0.0619,0.0619,0.0615,0.0617,1643341
1667739600000,0.0616,0.0622,0.0616,0.0619,1872461
1667743200000,0.0619,0.0621,0.0616,0.062,2465283
1667746800000,0.0621,0.0626,0.062,0.062,4110942
1667750400000,0.0621,0.0621,0.061,0.0615,10246715
1667754000000,0.0616,0.0618,0.0614,0.0617,4482889
1667757600000,0.0617,0.0618,0.0611,0.0614,3268166
1667761200000,0.0613,0.0615,0.0608,0.061,4726744
1667764800000,0.061,0.0611,0.0606,0.0609,4521163
1667768400000,0.061,0.061,0.0604,0.0605,3654297
1667772000000,0.0605,0.0608,0.0598,0.0601,6556872
1667775600000,0.06,0.0601,0.0587,0.0591,13245077
1667779200000,0.0591,0.0596,0.0589,0.0591,7875485
1667782800000,0.0591,0.06,0.0589,0.0599,6216458
1667786400000,0.0598,0.0603,0.0597,0.0602,2899545
1667790000000,0.0603,0.0603,0.0598,0.0601,2847464
1667793600000,0.0601,0.0601,0.0595,0.0599,1951599
1667797200000,0.0599,0.0604,0.0598,0.0601,5752703
1667800800000,0.0601,0.0603,0.0597,0.0599,3532761
1667804400000,0.0599,0.0599,0.0583,0.0584,7215338
1667808000000,0.0585,0.0594,0.0583,0.0593,3568531
1667811600000,0.0593,0.0596,0.0591,0.0592,2852209
1667815200000,0.0592,0.0597,0.0592,0.0593,3406254
1667818800000,0.0593,0.0596,0.0593,0.0594,2262790
1667822400000,0.0594,0.0597,0.0592,0.0597,4218592
1667826000000,0.0597,0.0598,0.0589,0.0591,13628956
1667829600000,0.059,0.0594,0.0585,0.0589,5500215
1667833200000,0.0589,0.0597,0.0589,0.0596,6566949
1667836800000,0.0596,0.0597,0.0589,0.059,4918418
1667840400000,0.0589,0.0594,0.0589,0.0594,4070327
1667844000000,0.0593,0.0597,0.0592,0.0595,3009575
1667847600000,0.0595,0.0602,0.0594,0.0601,4047477
1667851200000,0.0601,0.0602,0.0597,0.0599,3426055
1667854800000,0.0599,0.0601,0.059,0.0594,5853102
1667858400000,0.0595,0.0595,0.0581,0.0588,7240377
1667862000000,0.0589,0.0593,0.0587,0.0591,3965583
1667865600000,0.0591,0.0594,0.0587,0.0588,7762180
1667869200000,0.0588,0.0596,0.0587,0.0593,5981784
1667872800000,0.0593,0.0595,0.0579,0.058,8434762
1667876400000,0.058,0.0583,0.056,0.0563,22800894
1667880000000,0.0562,0.0567,0.0526,0.0547,40839405.6
1667883600000,0.0547,0.0551,0.0529,0.0543,17413284
1667887200000,0.0542,0.0556,0.0539,0.0554,10855007
1667890800000,0.0554,0.0561,0.0552,0.0559,9246263
1667894400000,0.0558,0.0559,0.0552,0.0555,6887035
1667898000000,0.0556,0.0562,0.0554,0.0558,8271896
1667901600000,0.0558,0.056,0.0551,0.0553,9335770
1667905200000,0.0552,0.0557,0.0549,0.0552,7781044
1667908800000,0.0552,0.0556,0.0549,0.0554,6740383
1667912400000,0.0555,0.0556,0.0545,0.0547,6814923
1667916000000,0.0547,0.0552,0.0538,0.0546,9547739
1667919600000,0.0545,0.0552,0.054,0.0552,9611362
1667923200000,0.0551,0.0578,0.055,0.0566,22988632
1667926800000,0.0566,0.0571,0.0539,0.054,13615932
1667930400000,0.0539,0.0545,0.049,0.0517,44862167
1667934000000,0.0516,0.0521,0.0439,0.0502,55485743
1667937600000,0.0502,0.051,0.049,0.0505,27875247
1667941200000,0.0505,0.0515,0.05,0.0514,14048133
1667944800000,0.0514,0.0514,0.0504,0.0511,8370190
1667948400000,0.0511,0.0526,0.0509,0.0521,9723654
1667952000000,0.0521,0.0524,0.051,0.051,10748554
1667955600000,0.051,0.0518,0.0508,0.0509,10524596
1667959200000,0.0509,0.0514,0.0495,0.0496,23623605
1667962800000,0.0495,0.0506,0.0491,0.0504,15964241
1667966400000,0.0504,0.0507,0.0498,0.0504,13340443
1667970000000,0.0504,0.0513,0.0496,0.0502,20238291
1667973600000,0.0502,0.0511,0.05,0.0502,14374469
