date,open,high,low,close,volume
1667826000000,0.15,35,0.15,1.3284,62441079.6
1667829600000,1.3284,1.4126,1.0548,1.176,46125446.3
1667833200000,1.1758,1.2675,1.09,1.1882,20194324.6
1667836800000,1.1878,1.2056,1.1,1.1277,13565935.4
1667840400000,1.1275,1.134,1.0139,1.0299,14505841.7
1667844000000,1.0295,1.04,0.9482,1.0141,15933646.2
1667847600000,1.0141,1.056,0.9958,1.0298,8163443.5
1667851200000,1.031,1.0893,1.025,1.0401,7264782
1667854800000,1.0401,1.07,0.9814,1.0193,4385409.2
1667858400000,1.0191,1.07,0.9969,1.0675,5320175.4
1667862000000,1.0675,1.0808,1.0188,1.0307,4281251
1667865600000,1.0303,1.1627,1.0256,1.0709,8227400.2
1667869200000,1.0709,1.1368,1.0601,1.0795,5695518.8
1667872800000,1.0794,1.0975,1.01,1.0128,4580678.1
1667876400000,1.0138,1.0366,0.9589,0.9643,6742817.6
1667880000000,0.9631,0.9915,0.8522,0.8754,9120848.5
1667883600000,0.8753,0.92,0.8401,0.906,8846883.3
1667887200000,0.9053,0.9872,0.8901,0.9376,6489809.8
1667890800000,0.9366,0.9571,0.9068,0.9269,3266607
1667894400000,0.9276,0.9365,0.8827,0.916,3615804.6
1667898000000,0.9159,0.9506,0.906,0.9368,3068475.9
1667901600000,0.9368,0.9551,0.9224,0.925,2478091.2
1667905200000,0.925,0.9283,0.8814,0.9039,4777871.7
1667908800000,0.9039,0.9463,0.9,0.9268,2860840.2
1667912400000,0.9268,0.9277,0.8623,0.8715,2857795.7
1667916000000,0.8703,0.8919,0.8101,0.8166,7483514.4
1667919600000,0.8174,0.835,0.78,0.8202,7331579.1
1667923200000,0.82,0.985,0.8098,0.9088,12821394.9
1667926800000,0.9104,0.9313,0.8333,0.8488,5515880.5
1667930400000,0.8473,0.8501,0.7774,0.78,4993986.8
1667934000000,0.7794,0.8122,0.6644,0.7114,7099041.4
1667937600000,0.7113,0.7621,0.69,0.739,3532288.2
1667941200000,0.7391,0.7738,0.732,0.7655,1726371.8
1667944800000,0.767,0.7749,0.6916,0.6979,2703316.6
1667948400000,0.6979,0.734,0.6,0.6283,11801217.4
1667952000000,0.627,0.6513,0.602,0.6339,4776665.2
1667955600000,0.6334,0.6779,0.61,0.638,3687542.6
1667959200000,0.638,0.687,0.6164,0.6224,2386045.5
1667962800000,0.6224,0.6508,0.59,0.6501,3608884.5
1667966400000,0.6497,0.679,0.6199,0.6201,2864424.9
1667970000000,0.6199,0.65,0.6104,0.6219,2495947
1667973600000,0.622,0.6794,0.618,0.6626,2506392.1
1667977200000,0.6627,0.6658,0.621,0.6253,2129393
1667980800000,0.6244,0.6345,0.5819,0.603,3727920.3
1667984400000,0.6025,0.603,0.5304,0.5551,5520767.6
1667988000000,0.5557,0.5799,0.5321,0.5731,4032873.7
1667991600000,0.5726,0.623,0.5558,0.6128,2592837.6
1667995200000,0.6127,0.6542,0.5905,0.6035,4450616.7
1667998800000,0.6038,0.63,0.5722,0.6151,2384952.3
1668002400000,0.615,0.6332,0.5837,0.6246,2252922.4
1668006000000,0.6248,0.6379,0.5643,0.5717,3396081.6
1668009600000,0.571,0.598,0.547,0.5733,2817654.7
