date,open,high,low,close,volume
1667005200000,1.504,1.504,1.497,1.499,7800.462
1667008800000,1.499,1.506,1.498,1.501,19478.438
1667012400000,1.502,1.518,1.502,1.513,31391.632
1667016000000,1.514,1.55,1.512,1.518,124699.288
1667019600000,1.518,1.534,1.518,1.523,19192.573
1667023200000,1.523,1.531,1.517,1.53,21800.599
1667026800000,1.53,1.534,1.525,1.532,40000.973
1667030400000,1.533,1.552,1.532,1.55,33078.519
1667034000000,1.551,1.551,1.528,1.533,120448.935
1667037600000,1.533,1.542,1.524,1.524,30833.866
1667041200000,1.524,1.528,1.518,1.523,15158.731
1667044800000,1.52,1.527,1.52,1.524,16846.26
1667048400000,1.523,1.523,1.513,1.52,8481.33
1667052000000,1.52,1.524,1.504,1.507,56962.335
1667055600000,1.507,1.512,1.499,1.5,37844.044
1667059200000,1.5,1.513,1.492,1.512,58542.849
1667062800000,1.512,1.529,1.507,1.509,64338.791
1667066400000,1.507,1.541,1.495,1.537,93861.686
1667070000000,1.537,1.552,1.52,1.541,136681.193
1667073600000,1.541,1.555,1.539,1.553,10080.261
1667077200000,1.556,1.576,1.55,1.569,64744.825
1667080800000,1.566,1.588,1.535,1.552,286501.216
1667084400000,1.552,1.552,1.53,1.541,52365.87
1667088000000,1.541,1.543,1.523,1.529,58549.352
1667091600000,1.529,1.533,1.528,1.531,10810.674
1667095200000,1.532,1.535,1.528,1.535,22207.829
1667098800000,1.531,1.54,1.529,1.532,22019.78
1667102400000,1.532,1.537,1.53,1.53,10266.51
1667106000000,1.531,1.545,1.531,1.54,30822.456
1667109600000,1.54,1.584,1.538,1.559,99362.298
1667113200000,1.56,1.586,1.545,1.574,148897.399
1667116800000,1.574,1.629,1.555,1.58,405189.652
1667120400000,1.58,1.595,1.558,1.559,129877.09
1667124000000,1.559,1.566,1.552,1.558,39885.071
1667127600000,1.558,1.561,1.539,1.544,95103.6
1667131200000,1.544,1.559,1.532,1.553,84793.134
1667134800000,1.551,1.555,1.531,1.534,36565.636
1667138400000,1.535,1.543,1.529,1.537,31523.105
1667142000000,1.538,1.546,1.514,1.52,77013.293
1667145600000,1.52,1.58,1.512,1.56,332722.245
1667149200000,1.559,1.559,1.508,1.53,202822.697
1667152800000,1.529,1.535,1.526,1.53,4390.317
1667156400000,1.531,1.548,1.523,1.538,47914.119
1667160000000,1.538,1.575,1.528,1.536,143296.744
1667163600000,1.539,1.541,1.528,1.53,22477.006
1667167200000,1.532,1.532,1.51,1.519,33112.681
1667170800000,1.519,1.524,1.514,1.521,9972.798
1667174400000,1.518,1.523,1.508,1.51,26967.928
1667178000000,1.511,1.514,1.494,1.497,44234.168
1667181600000,1.497,1.497,1.489,1.493,19731.055
1667185200000,1.493,1.511,1.483,1.511,39076.638
1667188800000,1.508,1.519,1.5,1.518,31669.116
1667192400000,1.517,1.542,1.515,1.518,74551.187
1667196000000,1.518,1.521,1.508,1.513,31320.935
1667199600000,1.513,1.517,1.506,1.511,12551.263
1667203200000,1.509,1.509,1.494,1.503,21427.728
1667206800000,1.503,1.524,1.501,1.522,38727.489
1667210400000,1.521,1.524,1.513,1.517,46719.565
1667214000000,1.517,1.524,1.512,1.522,25153.636
1667217600000,1.522,1.522,1.51,1.516,27242.828
1667221200000,1.516,1.52,1.481,1.487,75277.561
1667224800000,1.48,1.501,1.479,1.488,51832.306
1667228400000,1.489,1.503,1.485,1.493,13163.876
1667232000000,1.495,1.503,1.491,1.493,12795.239
1667235600000,1.493,1.52,1.485,1.493,130939.71
1667239200000,1.492,1.496,1.489,1.492,8067.042
1667242800000,1.492,1.501,1.479,1.483,76949.706
1667246400000,1.483,1.488,1.479,1.485,11451.052
1667250000000,1.485,1.486,1.472,1.476,31707.854
1667253600000,1.477,1.487,1.477,1.482,11774.925
1667257200000,1.482,1.487,1.467,1.478,46735.334
1667260800000,1.479,1.484,1.475,1.476,20552.303
1667264400000,1.477,1.482,1.47,1.475,19276.926
1667268000000,1.475,1.483,1.47,1.477,35946.699
1667271600000,1.477,1.485,1.464,1.47,38708.561
1667275200000,1.47,1.472,1.462,1.469,24631.995
1667278800000,1.468,1.476,1.466,1.472,21474.792
1667282400000,1.472,1.488,1.467,1.48,29292.163
1667286000000,1.479,1.487,1.478,1.481,26122.072
1667289600000,1.481,1.488,1.46,1.471,42331.774
1667293200000,1.471,1.477,1.466,1.473,26254.261
1667296800000,1.473,1.475,1.468,1.473,12232.669
1667300400000,1.473,1.474,1.437,1.454,140567.972
1667304000000,1.453,1.461,1.445,1.452,65297.822
1667307600000,1.453,1.454,1.436,1.438,40077.235
1667311200000,1.436,1.451,1.434,1.437,43340.617
1667314800000,1.44,1.442,1.433,1.437,30024.936
1667318400000,1.436,1.44,1.421,1.426,43155.57
1667322000000,1.423,1.437,1.421,1.433,26592.945
1667325600000,1.436,1.479,1.421,1.446,338678.867
1667329200000,1.444,1.449,1.435,1.436,33254.696
1667332800000,1.436,1.469,1.432,1.453,96057.559
1667336400000,1.454,1.461,1.444,1.452,15786.189
1667340000000,1.455,1.456,1.447,1.449,7437.865
1667343600000,1.449,1.456,1.437,1.442,40318.112
1667347200000,1.442,1.45,1.436,1.446,8967.954
1667350800000,1.443,1.456,1.44,1.441,27163.899
1667354400000,1.441,1.443,1.434,1.438,7990.838
1667358000000,1.44,1.454,1.44,1.445,5592.683
1667361600000,1.445,1.446,1.433,1.435,20363.694
1667365200000,1.435,1.449,1.435,1.441,34761.443
1667368800000,1.443,1.454,1.441,1.45,14539.622
1667372400000,1.45,1.455,1.42,1.43,55921.953
1667376000000,1.43,1.439,1.425,1.435,22425.627
1667379600000,1.436,1.442,1.416,1.417,41405.928
1667383200000,1.417,1.418,1.407,1.407,44967.676
1667386800000,1.408,1.412,1.407,1.41,31739.09
1667390400000,1.41,1.411,1.403,1.405,18152.238
1667394000000,1.405,1.411,1.403,1.408,12593.807
1667397600000,1.406,1.409,1.401,1.406,35674.607
1667401200000,1.405,1.406,1.4,1.402,18058.712
1667404800000,1.402,1.433,1.4,1.42,48746.73
1667408400000,1.418,1.43,1.407,1.411,23744.907
1667412000000,1.409,1.459,1.405,1.424,137709.85
1667415600000,1.424,1.469,1.424,1.424,58056.476
1667419200000,1.424,1.425,1.399,1.407,46892.15
1667422800000,1.407,1.417,1.403,1.415,11714.783
1667426400000,1.415,1.419,1.411,1.412,5616.198
1667430000000,1.41,1.428,1.41,1.424,4790.606
1667433600000,1.427,1.441,1.423,1.435,13813.441
1667437200000,1.436,1.446,1.432,1.445,16236.077
1667440800000,1.445,1.495,1.445,1.482,299922.733
1667444400000,1.479,1.494,1.471,1.49,48714.032
1667448000000,1.491,1.536,1.48,1.51,198379.184
1667451600000,1.511,1.536,1.497,1.529,60994.709
1667455200000,1.53,1.531,1.502,1.505,60203.831
1667458800000,1.505,1.523,1.493,1.497,76231.768
1667462400000,1.495,1.496,1.469,1.479,103647.809
1667466000000,1.478,1.527,1.478,1.526,114526.489
1667469600000,1.526,1.53,1.504,1.507,80197.236
1667473200000,1.507,1.513,1.48,1.498,59110.383
1667476800000,1.498,1.52,1.494,1.501,48697.768
1667480400000,1.497,1.509,1.493,1.493,35859.886
1667484000000,1.493,1.518,1.492,1.511,40347.268
1667487600000,1.51,1.513,1.492,1.498,41959.834
1667491200000,1.497,1.511,1.497,1.511,28732.527
1667494800000,1.509,1.534,1.503,1.523,68105.649
1667498400000,1.522,1.541,1.5,1.519,184801.159
1667502000000,1.519,1.583,1.513,1.554,351988.87
1667505600000,1.552,1.559,1.535,1.535,41806.269
1667509200000,1.54,1.559,1.535,1.543,37354.931
1667512800000,1.546,1.546,1.516,1.524,56842.047
1667516400000,1.524,1.53,1.509,1.525,33943.808
1667520000000,1.525,1.549,1.518,1.546,47911.104
1667523600000,1.546,1.58,1.537,1.572,89635.576
1667527200000,1.573,1.588,1.556,1.56,40934.428
1667530800000,1.562,1.609,1.558,1.602,95853.453
1667534400000,1.602,1.64,1.568,1.568,247766.295
1667538000000,1.57,1.573,1.556,1.57,75254.537
1667541600000,1.57,1.604,1.57,1.597,73858.237
1667545200000,1.598,1.602,1.574,1.579,54335.757
1667548800000,1.58,1.59,1.572,1.578,40989.944
