date,open,high,low,close,volume
1667005200000,0.4784,0.4786,0.4763,0.4763,9711
1667008800000,0.4763,0.479,0.476,0.4789,25368
1667012400000,0.4777,0.4803,0.4775,0.4792,27510
1667016000000,0.4797,0.4797,0.4767,0.478,23436
1667019600000,0.4774,0.4788,0.4766,0.4773,18643
1667023200000,0.4773,0.4782,0.4768,0.4773,14880
1667026800000,0.4772,0.4813,0.4762,0.48,43414
1667030400000,0.4798,0.4833,0.4792,0.4813,50917
1667034000000,0.4817,0.4824,0.4792,0.4808,39840
1667037600000,0.481,0.4821,0.4778,0.4778,55329
1667041200000,0.4781,0.4785,0.4759,0.476,25019
1667044800000,0.476,0.4773,0.4754,0.4762,23884
1667048400000,0.4762,0.4773,0.4733,0.4752,75231
1667052000000,0.4758,0.4769,0.474,0.4751,47622
1667055600000,0.4751,0.4771,0.4741,0.4747,50374
1667059200000,0.4758,0.4798,0.4751,0.479,37898
1667062800000,0.4792,0.4821,0.476,0.476,165466
1667066400000,0.4766,0.479,0.4755,0.4774,51183
1667070000000,0.4785,0.4785,0.4745,0.4777,25059
1667073600000,0.4778,0.4785,0.4763,0.4774,16997
1667077200000,0.4776,0.4781,0.4761,0.4764,12503
1667080800000,0.4761,0.4768,0.4753,0.4757,26277
1667084400000,0.4756,0.4789,0.4751,0.4782,32839
1667088000000,0.4775,0.4832,0.4747,0.4789,113171
1667091600000,0.4789,0.4789,0.4756,0.4769,57099
1667095200000,0.4769,0.4774,0.4751,0.4761,37742
1667098800000,0.4759,0.4764,0.4753,0.4762,24512
1667102400000,0.4762,0.4763,0.475,0.4753,98937
1667106000000,0.4751,0.4755,0.4735,0.4752,54687
1667109600000,0.4752,0.476,0.4738,0.4756,31783
1667113200000,0.4757,0.48,0.4745,0.4787,82838
1667116800000,0.479,0.4802,0.4771,0.4779,74323
1667120400000,0.478,0.4795,0.4739,0.475,52301
1667124000000,0.4754,0.4771,0.4748,0.4757,44148
1667127600000,0.4759,0.4779,0.4748,0.4774,18456
1667131200000,0.4778,0.4803,0.4751,0.4756,25145
1667134800000,0.4763,0.4763,0.4732,0.4732,23040
1667138400000,0.4731,0.476,0.4727,0.4749,15837
1667142000000,0.4758,0.4758,0.4731,0.4739,50296
1667145600000,0.4734,0.4766,0.4724,0.4748,77035
1667149200000,0.4753,0.4759,0.4732,0.4753,26148
1667152800000,0.475,0.4765,0.4742,0.4755,21857
1667156400000,0.4763,0.4769,0.4755,0.4755,18078
1667160000000,0.4756,0.4774,0.475,0.4764,26003
1667163600000,0.4764,0.4776,0.4753,0.476,21123
1667167200000,0.476,0.476,0.4728,0.4737,40908
1667170800000,0.475,0.4766,0.4748,0.4764,39241
1667174400000,0.4758,0.4774,0.473,0.474,45816
1667178000000,0.4744,0.4746,0.4713,0.4725,26357
1667181600000,0.4725,0.4725,0.4701,0.4714,8537
1667185200000,0.4714,0.4725,0.4704,0.4725,43436
1667188800000,0.4725,0.4728,0.4711,0.4721,41266
1667192400000,0.4713,0.4741,0.4712,0.4734,34982
1667196000000,0.4742,0.4791,0.4742,0.4765,148308
1667199600000,0.4764,0.4778,0.4757,0.4778,58737
1667203200000,0.478,0.478,0.4759,0.4761,49271
1667206800000,0.4759,0.4788,0.4746,0.4782,93381
1667210400000,0.4782,0.4815,0.4769,0.4787,154428
1667214000000,0.4783,0.4802,0.478,0.478,9566
1667217600000,0.4777,0.4838,0.4765,0.4802,88130
1667221200000,0.4804,0.5044,0.4757,0.4761,949222
1667224800000,0.4768,0.4835,0.4746,0.4777,265296
1667228400000,0.4786,0.4825,0.4773,0.4808,88231
