date,open,high,low,close,volume
1667005200000,5.2,5.24,5.19,5.23,37936.8
1667008800000,5.23,5.34,5.22,5.31,140375.12
1667012400000,5.32,5.36,5.29,5.32,99795.29
1667016000000,5.32,5.34,5.25,5.27,57255.92
1667019600000,5.26,5.29,5.24,5.26,25646.07
1667023200000,5.26,5.31,5.26,5.29,30639.63
1667026800000,5.3,5.33,5.29,5.31,39681.72
1667030400000,5.3,5.35,5.3,5.31,58904.2
1667034000000,5.31,5.32,5.3,5.32,43853.66
1667037600000,5.31,5.33,5.19,5.22,102631.37
1667041200000,5.23,5.23,5.2,5.23,72497.86
1667044800000,5.22,5.25,5.21,5.24,29469.46
1667048400000,5.24,5.25,5.18,5.22,30299.88
1667052000000,5.21,5.25,5.18,5.22,57981.96
1667055600000,5.22,5.26,5.2,5.21,42190.6
1667059200000,5.22,5.49,5.21,5.46,190370.85
1667062800000,5.45,5.51,5.35,5.38,196737.79
1667066400000,5.38,5.42,5.31,5.4,117707.49
1667070000000,5.41,5.51,5.39,5.44,117224.97
1667073600000,5.45,5.48,5.38,5.41,117810.93
1667077200000,5.41,5.41,5.35,5.36,46829.65
1667080800000,5.36,5.38,5.32,5.34,43719.52
1667084400000,5.33,5.52,5.32,5.41,159864.57
1667088000000,5.4,5.46,5.34,5.36,49534.21
1667091600000,5.36,5.39,5.34,5.39,32566.8
1667095200000,5.39,5.43,5.36,5.42,17642.99
1667098800000,5.43,5.43,5.39,5.42,34679.98
1667102400000,5.42,5.44,5.4,5.41,20562.31
1667106000000,5.41,5.49,5.4,5.48,82232.1
1667109600000,5.48,5.49,5.41,5.45,37905.06
1667113200000,5.45,5.52,5.42,5.52,105685.1
1667116800000,5.52,5.52,5.36,5.44,83345.27
1667120400000,5.43,5.46,5.33,5.37,77706.69
1667124000000,5.37,5.38,5.34,5.37,63747.65
1667127600000,5.36,5.39,5.34,5.37,43317.21
1667131200000,5.37,5.39,5.32,5.34,36634.4
1667134800000,5.33,5.34,5.22,5.27,94887.21
1667138400000,5.28,5.31,5.24,5.31,61886.28
1667142000000,5.3,5.32,5.2,5.23,76382.78
1667145600000,5.22,5.26,5.2,5.21,44683.35
1667149200000,5.21,5.26,5.2,5.26,35210.15
1667152800000,5.26,5.34,5.24,5.3,61558.25
1667156400000,5.29,5.3,5.26,5.27,35095.25
1667160000000,5.27,5.31,5.27,5.31,23333.16
1667163600000,5.31,5.33,5.29,5.3,18652.9
1667167200000,5.3,5.32,5.28,5.31,56628.28
1667170800000,5.32,5.34,5.29,5.32,23497.4
1667174400000,5.31,5.33,5.29,5.3,37405.18
1667178000000,5.3,5.31,5.18,5.21,200666.98
1667181600000,5.22,5.23,5.13,5.18,80988.95
1667185200000,5.18,5.22,5.18,5.22,24216.77
1667188800000,5.22,5.25,5.2,5.22,28514.79
1667192400000,5.22,5.25,5.19,5.2,25118.72
1667196000000,5.2,5.21,5.16,5.2,61964.43
1667199600000,5.2,5.21,5.17,5.19,13230.83
1667203200000,5.19,5.21,5.12,5.18,49920.9
1667206800000,5.18,5.29,5.15,5.28,60983.12
1667210400000,5.29,5.43,5.28,5.4,170044.15
1667214000000,5.4,5.45,5.35,5.37,109061.7
1667217600000,5.37,5.38,5.33,5.35,76244.16
1667221200000,5.34,5.4,5.22,5.23,84920.57
1667224800000,5.22,5.27,5.19,5.25,115285.72
1667228400000,5.26,5.32,5.24,5.27,55907.84
1667232000000,5.28,5.31,5.22,5.27,25799.74
1667235600000,5.26,5.29,5.25,5.26,20352.78
1667239200000,5.27,5.33,5.26,5.3,56840.59
1667242800000,5.29,5.3,5.27,5.28,23759.98
1667246400000,5.28,5.3,5.26,5.27,17880.37
1667250000000,5.28,5.28,5.23,5.27,18567.1
1667253600000,5.26,5.3,5.23,5.29,28080.92
1667257200000,5.29,5.3,5.26,5.29,23679.86
1667260800000,5.28,5.3,5.24,5.28,64578.05
1667264400000,5.27,5.3,5.27,5.3,21759.44
1667268000000,5.29,5.34,5.28,5.32,21840.75
1667271600000,5.33,5.33,5.28,5.29,17336.94
1667275200000,5.29,5.32,5.26,5.29,50853.9
1667278800000,5.29,5.32,5.26,5.27,43485.1
1667282400000,5.27,5.31,5.26,5.29,55784.09
1667286000000,5.29,5.39,5.28,5.33,141236.58
1667289600000,5.32,5.34,5.3,5.32,34666.44
1667293200000,5.32,5.34,5.29,5.31,43225.8
1667296800000,5.31,5.33,5.28,5.32,29562.37
1667300400000,5.33,5.34,5.27,5.3,95457.96
1667304000000,5.3,5.31,5.27,5.31,32696.27
1667307600000,5.3,5.3,5.19,5.21,85835.12
1667311200000,5.21,5.25,5.18,5.22,78871.53
1667314800000,5.22,5.25,5.21,5.22,24981.99
1667318400000,5.23,5.25,5.18,5.21,46520.04
1667322000000,5.21,5.26,5.2,5.25,32837.02
1667325600000,5.26,5.26,5.23,5.25,8693.38
1667329200000,5.25,5.26,5.2,5.21,34805.47
1667332800000,5.21,5.23,5.2,5.21,17545.86
1667336400000,5.21,5.23,5.2,5.21,7623.88
1667340000000,5.2,5.22,5.19,5.21,11912.23
1667343600000,5.2,5.22,5.16,5.18,25937.57
1667347200000,5.18,5.19,5.13,5.18,41177.32
1667350800000,5.19,5.21,5.17,5.17,12297.28
1667354400000,5.17,5.17,5.1,5.15,41585.59
1667358000000,5.16,5.19,5.15,5.17,21312.78
1667361600000,5.17,5.22,5.15,5.22,40452.92
1667365200000,5.23,5.23,5.18,5.18,23858.4
1667368800000,5.18,5.18,5.15,5.17,25337.26
1667372400000,5.17,5.18,5.1,5.14,38672.96
1667376000000,5.13,5.16,5.11,5.15,24550.55
1667379600000,5.16,5.16,5.05,5.06,88000.36
1667383200000,5.05,5.05,5.01,5.04,91564.92
1667386800000,5.04,5.07,5.03,5.03,21086.27
1667390400000,5.03,5.07,5.02,5.06,50357.77
1667394000000,5.06,5.09,5.03,5.06,40674.02
1667397600000,5.05,5.09,5.04,5.05,50903.42
1667401200000,5.05,5.06,5.03,5.04,14635.72
