date,open,high,low,close,volume
1667005200000,66.6,66.8,66.5,66.7,438.945
1667008800000,66.6,67.7,66.6,67.6,799.936
1667012400000,67.6,68.7,67.4,68.4,1325.641
1667016000000,68.4,68.9,68,68.2,1568.407
1667019600000,68.2,73.4,68.2,69.5,11539.988
1667023200000,69.5,72,69.2,70.4,5424.83
1667026800000,70.3,70.7,68.7,69.6,4221.159
1667030400000,69.6,71.7,69.2,71,3540.669
1667034000000,70.9,72.4,70.7,71.7,2484.112
1667037600000,71.6,73,71,71,3825.751
1667041200000,71.1,71.3,70.5,70.7,1856.884
1667044800000,70.7,72.4,70.7,72.3,1867.525
1667048400000,72.3,72.4,70.2,70.6,2077.724
1667052000000,70.5,71.3,69.6,69.8,3383.261
1667055600000,69.7,70.5,69.5,69.9,3782.706
1667059200000,69.9,70.5,69.8,70.1,1498.461
1667062800000,69.9,70.3,68.6,68.7,2951.77
1667066400000,68.8,69.1,68.3,69,1785.45
1667070000000,69,69.4,67.8,68.1,2646.422
1667073600000,68.1,68.3,67.7,68.1,1333.932
1667077200000,67.9,68.3,67.9,68,464.158
1667080800000,68,68,67.3,67.6,595.565
1667084400000,67.6,67.8,67.3,67.6,764.494
1667088000000,67.6,67.7,66.9,67,701.68
1667091600000,67.1,67.2,66.9,67,369.516
1667095200000,67.1,67.2,67,67.2,173.898
1667098800000,67.1,67.7,67.1,67.5,283.593
1667102400000,67.4,67.7,67.4,67.5,455.854
1667106000000,67.5,67.8,67.4,67.5,384.654
1667109600000,67.5,68.6,67.4,68.4,2022.115
1667113200000,68.4,70.3,67.7,68.5,4404.156
1667116800000,68.6,68.8,68.3,68.3,1150.727
1667120400000,68.3,69.2,67.1,67.2,3514.775
1667124000000,67.2,67.5,66.9,67.2,953.306
1667127600000,67.2,67.9,67,67.9,575.635
1667131200000,67.9,68,66.6,67.2,855.4
1667134800000,67.3,67.3,66.5,66.6,869.02
1667138400000,66.6,66.9,66.3,66.9,408.517
1667142000000,66.9,67.6,66.5,66.5,845.249
1667145600000,66.5,66.8,66.2,66.3,635.629
1667149200000,66.3,66.4,66,66.2,800.409
1667152800000,66.3,66.6,66.1,66.4,396.098
1667156400000,66.5,67.3,66.3,66.9,916.199
1667160000000,66.9,67.7,66.8,67.3,634.983
1667163600000,67.3,67.6,66.9,66.9,228.773
1667167200000,67.1,67.1,66.1,66.7,444.875
1667170800000,66.7,66.9,66.4,66.9,170.026
1667174400000,66.9,67.6,66.5,67,768.662
1667178000000,67,67.3,66.1,66.1,654.147
1667181600000,66.2,66.2,65.6,65.9,504.516
1667185200000,66,66.2,65.9,66.2,347.118
1667188800000,66.2,66.8,66.2,66.8,126.114
1667192400000,66.7,66.9,66.3,66.4,523.889
1667196000000,66.5,66.6,65.8,66.5,608.758
1667199600000,66.5,66.8,66,66.5,497.452
1667203200000,66.4,68.2,65.9,66.9,2363.221
1667206800000,66.9,69.2,66.6,68.8,2466.487
1667210400000,68.9,69.9,68.3,69.1,2781.69
1667214000000,69.1,70.1,68.5,68.8,1920.67
1667217600000,68.7,70.2,68.4,68.6,3611.321
1667221200000,68.7,69.1,66.8,67.1,2054.505
1667224800000,66.9,67.6,65.9,66.2,1848.045
1667228400000,66.2,67.1,65.9,66.8,916.998
1667232000000,66.9,67.1,66.3,66.5,799.954
1667235600000,66.5,66.9,66.2,66.3,746.24
1667239200000,66.3,66.5,66,66.5,808.813
1667242800000,66.3,66.6,65.7,65.9,957.812
1667246400000,65.9,66.5,65.7,66.1,703.567
1667250000000,66,66.3,66,66,360.783
1667253600000,66.1,66.3,65.9,66.3,221.223
1667257200000,66.3,66.6,66.2,66.5,103.777
1667260800000,66.3,66.5,66.1,66.3,422.905
1667264400000,66.3,66.7,66.2,66.5,213.052
1667268000000,66.5,67,66.5,66.9,349.352
1667271600000,66.9,67.1,66.4,66.7,371.598
