date,open,high,low,close,volume
1667005200000,0.239,0.24,0.238,0.239,67666.66
1667008800000,0.239,0.241,0.238,0.239,108767.59
1667012400000,0.239,0.243,0.239,0.242,193369.5
1667016000000,0.242,0.244,0.236,0.238,255566.02
1667019600000,0.238,0.242,0.237,0.238,348064.46
1667023200000,0.237,0.237,0.233,0.234,475684.77
1667026800000,0.233,0.236,0.231,0.233,666648.32
1667030400000,0.233,0.238,0.23,0.236,968436.49
1667034000000,0.237,0.237,0.234,0.235,318570.53
1667037600000,0.236,0.236,0.233,0.233,244467.22
1667041200000,0.234,0.234,0.231,0.232,273637.15
1667044800000,0.233,0.234,0.231,0.233,140116.98
1667048400000,0.233,0.234,0.231,0.232,216254.58
1667052000000,0.232,0.233,0.229,0.23,246435.32
1667055600000,0.229,0.23,0.223,0.227,631731.07
1667059200000,0.227,0.231,0.226,0.229,354816.13
1667062800000,0.228,0.23,0.223,0.224,914581.81
1667066400000,0.224,0.228,0.224,0.227,412813.44
1667070000000,0.227,0.228,0.224,0.226,181034.11
1667073600000,0.225,0.228,0.225,0.226,213193.6
1667077200000,0.226,0.229,0.225,0.229,180900.01
1667080800000,0.228,0.229,0.226,0.226,72370.45
1667084400000,0.226,0.227,0.226,0.227,42621.25
1667088000000,0.227,0.228,0.226,0.226,25221.73
1667091600000,0.226,0.227,0.225,0.227,59425.31
1667095200000,0.227,0.227,0.226,0.226,47450.12
1667098800000,0.226,0.227,0.226,0.227,60894.31
1667102400000,0.227,0.227,0.225,0.226,99226.09
1667106000000,0.227,0.228,0.225,0.226,161283.94
1667109600000,0.226,0.227,0.225,0.226,128943.4
1667113200000,0.227,0.229,0.226,0.229,123996.98
1667116800000,0.229,0.231,0.225,0.226,282369.79
1667120400000,0.226,0.228,0.222,0.224,320409.03
1667124000000,0.224,0.226,0.223,0.225,133407.07
1667127600000,0.226,0.226,0.224,0.225,84690.23
1667131200000,0.225,0.226,0.224,0.225,49580.69
1667134800000,0.225,0.226,0.223,0.223,73323.86
1667138400000,0.223,0.224,0.222,0.223,92728.19
1667142000000,0.222,0.223,0.219,0.219,124084.44
1667145600000,0.22,0.22,0.218,0.219,105308.19
1667149200000,0.22,0.22,0.218,0.22,49453.76
1667152800000,0.219,0.222,0.219,0.221,96017.53
1667156400000,0.222,0.222,0.22,0.222,18564.42
1667160000000,0.221,0.222,0.22,0.222,66930.31
1667163600000,0.221,0.222,0.221,0.221,31540.62
1667167200000,0.221,0.222,0.218,0.22,105516.79
1667170800000,0.22,0.221,0.22,0.221,13930.94
1667174400000,0.22,0.223,0.22,0.221,107057.45
1667178000000,0.22,0.222,0.22,0.221,176570.25
1667181600000,0.221,0.223,0.22,0.222,57367.03
1667185200000,0.223,0.223,0.222,0.223,39048.46
1667188800000,0.224,0.225,0.223,0.224,79271.96
1667192400000,0.223,0.225,0.223,0.224,37722.96
1667196000000,0.224,0.225,0.222,0.223,33789.63
1667199600000,0.223,0.223,0.221,0.223,47635.43
1667203200000,0.223,0.223,0.221,0.221,40673.8
1667206800000,0.221,0.225,0.221,0.225,71059.93
1667210400000,0.225,0.229,0.224,0.228,196114.42
1667214000000,0.229,0.231,0.227,0.228,213891.95
1667217600000,0.229,0.231,0.228,0.231,184045.06
1667221200000,0.23,0.233,0.224,0.226,402529.84
1667224800000,0.225,0.227,0.222,0.225,386888.12
1667228400000,0.225,0.226,0.224,0.226,49604.1
1667232000000,0.225,0.227,0.224,0.225,76322.86
1667235600000,0.224,0.225,0.222,0.224,180073.37
1667239200000,0.225,0.225,0.223,0.224,62683.48
1667242800000,0.224,0.224,0.222,0.223,38422.18
1667246400000,0.222,0.223,0.221,0.222,45864.04
1667250000000,0.222,0.223,0.221,0.221,32507.09
1667253600000,0.222,0.223,0.221,0.223,41963.7
1667257200000,0.224,0.225,0.223,0.225,81913.83
1667260800000,0.224,0.225,0.224,0.224,24067.52
1667264400000,0.224,0.225,0.223,0.224,30153.14
1667268000000,0.225,0.225,0.224,0.224,20693
1667271600000,0.225,0.225,0.224,0.224,20934.82
1667275200000,0.223,0.224,0.222,0.223,74234.69
1667278800000,0.223,0.223,0.222,0.223,9387.5
1667282400000,0.222,0.225,0.222,0.224,84045.9
1667286000000,0.224,0.225,0.224,0.225,25744.35
1667289600000,0.225,0.226,0.224,0.224,81526.35
1667293200000,0.224,0.225,0.224,0.225,73979.43
1667296800000,0.225,0.226,0.225,0.225,32990.5
1667300400000,0.225,0.226,0.222,0.223,146314.89
1667304000000,0.223,0.225,0.223,0.224,27293.11
1667307600000,0.225,0.225,0.221,0.222,85120.44
1667311200000,0.221,0.222,0.22,0.222,78029.65
1667314800000,0.221,0.222,0.22,0.221,47043.26
1667318400000,0.221,0.222,0.22,0.221,51060.87
1667322000000,0.22,0.221,0.219,0.22,40594.18
1667325600000,0.219,0.221,0.219,0.22,54305.17
1667329200000,0.22,0.22,0.219,0.219,53032.4
1667332800000,0.219,0.22,0.218,0.219,77310.99
1667336400000,0.219,0.22,0.219,0.22,5562.48
1667340000000,0.219,0.22,0.219,0.219,19954.55
1667343600000,0.22,0.22,0.218,0.219,61305.12
1667347200000,0.218,0.219,0.217,0.219,53110.24
1667350800000,0.219,0.22,0.218,0.218,56200.14
1667354400000,0.219,0.219,0.216,0.217,31616.22
1667358000000,0.218,0.218,0.217,0.218,8928.87
1667361600000,0.218,0.218,0.217,0.217,63775.18
1667365200000,0.218,0.218,0.216,0.217,104125.34
1667368800000,0.217,0.217,0.216,0.216,68939.15
1667372400000,0.216,0.217,0.215,0.216,66247.86
1667376000000,0.216,0.217,0.216,0.217,10555.83
1667379600000,0.217,0.217,0.215,0.215,68634.61
1667383200000,0.215,0.215,0.211,0.214,312227.82
1667386800000,0.214,0.215,0.213,0.214,30856.23
1667390400000,0.215,0.215,0.213,0.213,22841.44
1667394000000,0.214,0.214,0.213,0.213,62196.54
1667397600000,0.214,0.216,0.213,0.215,69634.26
1667401200000,0.216,0.217,0.215,0.216,40085.18
1667404800000,0.216,0.217,0.215,0.217,41709.25
1667408400000,0.217,0.218,0.215,0.215,131580.92
1667412000000,0.216,0.224,0.216,0.218,287813.51
1667415600000,0.217,0.22,0.213,0.215,134490.02
1667419200000,0.215,0.215,0.211,0.211,139364.16
1667422800000,0.211,0.214,0.211,0.214,38793.81
1667426400000,0.213,0.215,0.211,0.212,199875.25
1667430000000,0.212,0.213,0.212,0.212,30474.11
1667433600000,0.213,0.217,0.212,0.216,147758.63
1667437200000,0.216,0.218,0.216,0.218,57464.3
1667440800000,0.217,0.22,0.217,0.219,53449.17
1667444400000,0.219,0.221,0.218,0.221,56482.45
1667448000000,0.221,0.222,0.218,0.22,187033.9
1667451600000,0.219,0.221,0.219,0.221,36721.67
1667455200000,0.22,0.221,0.22,0.221,25530.65
1667458800000,0.221,0.222,0.22,0.22,83332.49
1667462400000,0.22,0.221,0.219,0.22,74965.93
1667466000000,0.221,0.221,0.22,0.221,156977.02
1667469600000,0.22,0.221,0.22,0.22,81656.05
1667473200000,0.22,0.221,0.216,0.217,155308.23
1667476800000,0.217,0.218,0.216,0.217,57288.43
1667480400000,0.216,0.217,0.215,0.216,58073.16
1667484000000,0.215,0.218,0.215,0.218,73539.39
1667487600000,0.217,0.218,0.216,0.217,24358.57
1667491200000,0.217,0.221,0.216,0.22,232762.35
1667494800000,0.22,0.221,0.218,0.219,84857.73
1667498400000,0.22,0.225,0.218,0.223,459140.65
1667502000000,0.223,0.226,0.223,0.225,234000.65
1667505600000,0.224,0.225,0.221,0.223,53569.75
1667509200000,0.222,0.224,0.222,0.224,29222.4
1667512800000,0.223,0.224,0.22,0.22,126956.16
1667516400000,0.22,0.221,0.22,0.22,20235.36
1667520000000,0.221,0.223,0.219,0.221,92844.14
1667523600000,0.222,0.223,0.221,0.222,78776.78
1667527200000,0.221,0.225,0.221,0.225,106350.67
1667530800000,0.225,0.228,0.224,0.227,147859.61
1667534400000,0.228,0.23,0.227,0.229,164628.7
1667538000000,0.229,0.23,0.227,0.229,92688.22
1667541600000,0.229,0.231,0.227,0.229,448021.75
1667545200000,0.229,0.23,0.228,0.23,108103.15
1667548800000,0.23,0.23,0.228,0.23,112182.44
1667552400000,0.23,0.23,0.228,0.229,65038.74
1667556000000,0.229,0.229,0.228,0.229,85796.47
1667559600000,0.228,0.23,0.228,0.229,66944.39
1667563200000,0.229,0.23,0.225,0.23,164224.52
1667566800000,0.229,0.231,0.227,0.228,258280.86
1667570400000,0.228,0.234,0.228,0.231,197115.14
1667574000000,0.232,0.234,0.23,0.23,154256.97
1667577600000,0.231,0.231,0.226,0.229,269639.76
1667581200000,0.229,0.23,0.227,0.229,69077.84
1667584800000,0.229,0.229,0.226,0.228,197130.25
1667588400000,0.228,0.229,0.227,0.229,103244.31
1667592000000,0.229,0.229,0.227,0.228,97285.21
1667595600000,0.229,0.229,0.227,0.229,98841.42
1667599200000,0.229,0.23,0.228,0.229,148953.21
1667602800000,0.229,0.23,0.228,0.23,140150.9
1667606400000,0.23,0.231,0.229,0.231,45876.31
1667610000000,0.231,0.232,0.229,0.231,391241.58
1667613600000,0.231,0.233,0.231,0.233,79597.73
1667617200000,0.233,0.235,0.232,0.233,140982.1
1667620800000,0.233,0.235,0.233,0.233,84321.9
1667624400000,0.233,0.235,0.233,0.234,74247.36
1667628000000,0.235,0.235,0.232,0.234,157494.52
1667631600000,0.233,0.235,0.233,0.235,70410.14
1667635200000,0.234,0.234,0.231,0.232,194978.29
1667638800000,0.232,0.234,0.232,0.233,111314.91
1667642400000,0.233,0.233,0.231,0.232,72785.36
1667646000000,0.232,0.234,0.231,0.233,147362.08
1667649600000,0.233,0.234,0.232,0.233,161858.96
1667653200000,0.233,0.235,0.233,0.234,186332.02
1667656800000,0.235,0.238,0.234,0.236,283635.22
1667660400000,0.236,0.247,0.234,0.242,975255.94
1667664000000,0.242,0.252,0.242,0.244,978181.42
1667667600000,0.244,0.246,0.243,0.245,108446.26
1667671200000,0.245,0.245,0.239,0.24,118559.24
1667674800000,0.24,0.24,0.238,0.24,107426.58
1667678400000,0.24,0.242,0.24,0.241,57277.65
1667682000000,0.24,0.242,0.24,0.241,74548.14
1667685600000,0.241,0.242,0.24,0.24,74767.64
1667689200000,0.24,0.241,0.238,0.239,159955.51
1667692800000,0.239,0.239,0.237,0.239,150666.23
1667696400000,0.239,0.239,0.237,0.237,56439.15
1667700000000,0.237,0.239,0.237,0.237,36808.19
1667703600000,0.237,0.238,0.236,0.237,24203.2
1667707200000,0.238,0.238,0.237,0.238,24885.3
