date,open,high,low,close,volume
1667005200000,1.493,1.497,1.49,1.494,33278.2
1667008800000,1.494,1.498,1.487,1.493,66904.5
1667012400000,1.493,1.514,1.493,1.509,172099.8
1667016000000,1.51,1.511,1.498,1.502,28593.5
1667019600000,1.502,1.508,1.496,1.501,56919.6
1667023200000,1.502,1.511,1.502,1.508,34482
1667026800000,1.509,1.527,1.506,1.522,251883.4
1667030400000,1.522,1.527,1.517,1.522,91758.4
1667034000000,1.522,1.537,1.519,1.534,203701.6
1667037600000,1.534,1.535,1.505,1.508,276824.4
1667041200000,1.509,1.509,1.493,1.499,65919
1667044800000,1.498,1.514,1.495,1.499,565693.6
1667048400000,1.498,1.501,1.476,1.485,193239.8
1667052000000,1.485,1.497,1.479,1.494,249276.8
1667055600000,1.494,1.505,1.49,1.499,125879.6
1667059200000,1.5,1.519,1.494,1.512,101557
1667062800000,1.512,1.522,1.478,1.485,143030
1667066400000,1.483,1.498,1.474,1.49,107524.4
1667070000000,1.491,1.492,1.477,1.49,60643.8
1667073600000,1.49,1.495,1.484,1.493,35937.2
1667077200000,1.492,1.5,1.492,1.496,26231.3
1667080800000,1.496,1.499,1.477,1.483,48233.8
1667084400000,1.482,1.494,1.476,1.493,26505.1
1667088000000,1.493,1.5,1.487,1.492,24541.9
1667091600000,1.492,1.499,1.484,1.499,20967.6
1667095200000,1.498,1.505,1.496,1.501,23209.2
1667098800000,1.503,1.509,1.503,1.509,28136.4
1667102400000,1.509,1.511,1.501,1.503,27336.4
1667106000000,1.504,1.513,1.504,1.506,79719.3
1667109600000,1.506,1.526,1.5,1.524,131623.1
1667113200000,1.523,1.544,1.521,1.535,185991.2
1667116800000,1.535,1.555,1.529,1.543,513314.2
1667120400000,1.543,1.545,1.496,1.505,622319.6
1667124000000,1.504,1.516,1.503,1.51,55089.4
1667127600000,1.51,1.515,1.503,1.511,42505.5
1667131200000,1.51,1.511,1.498,1.507,41998.3
1667134800000,1.508,1.508,1.482,1.484,61244.1
1667138400000,1.485,1.498,1.48,1.495,34736.5
1667142000000,1.494,1.498,1.471,1.473,58331.3
1667145600000,1.473,1.484,1.467,1.47,33628.5
1667149200000,1.47,1.482,1.469,1.482,14311
1667152800000,1.482,1.488,1.476,1.481,22948.5
1667156400000,1.481,1.486,1.478,1.479,46063.5
1667160000000,1.48,1.488,1.478,1.487,41079.6
1667163600000,1.487,1.502,1.479,1.485,377726
1667167200000,1.485,1.485,1.449,1.466,175393.6
1667170800000,1.466,1.471,1.46,1.466,57015.4
1667174400000,1.467,1.479,1.461,1.465,77317.4
1667178000000,1.464,1.475,1.456,1.468,85446.9
1667181600000,1.467,1.47,1.455,1.465,41550.9
1667185200000,1.465,1.483,1.463,1.482,69662.6
1667188800000,1.482,1.487,1.479,1.482,42021.8
1667192400000,1.482,1.486,1.476,1.476,81949.8
1667196000000,1.478,1.481,1.464,1.473,84511.8
1667199600000,1.473,1.486,1.469,1.486,92897.4
1667203200000,1.486,1.486,1.474,1.482,241178
1667206800000,1.482,1.498,1.478,1.498,601216.6
1667210400000,1.498,1.5,1.486,1.494,114100.2
1667214000000,1.494,1.499,1.486,1.489,139736.5
1667217600000,1.489,1.492,1.479,1.484,59299.1
1667221200000,1.484,1.493,1.45,1.451,182779
1667224800000,1.451,1.461,1.442,1.453,177108.1
1667228400000,1.453,1.462,1.45,1.454,63632.5
1667232000000,1.455,1.463,1.443,1.461,253759.7
1667235600000,1.46,1.469,1.459,1.468,68433.2
1667239200000,1.468,1.482,1.466,1.469,464545.7
1667242800000,1.47,1.471,1.458,1.461,86551.4
1667246400000,1.461,1.464,1.453,1.454,39593.9
1667250000000,1.454,1.468,1.453,1.462,344663.1
1667253600000,1.461,1.473,1.457,1.466,399941
1667257200000,1.466,1.466,1.456,1.456,71686.8
1667260800000,1.456,1.473,1.455,1.465,103138.7
1667264400000,1.464,1.473,1.464,1.467,62859.7
1667268000000,1.467,1.472,1.464,1.469,41210.8
1667271600000,1.468,1.473,1.461,1.462,49589.1
1667275200000,1.463,1.467,1.455,1.46,30572
1667278800000,1.459,1.463,1.457,1.459,42513.3
1667282400000,1.459,1.468,1.456,1.464,80694.8
1667286000000,1.464,1.466,1.457,1.459,32909
1667289600000,1.46,1.465,1.454,1.457,441493.2
1667293200000,1.456,1.467,1.455,1.46,115283
1667296800000,1.46,1.472,1.454,1.465,178195
1667300400000,1.465,1.466,1.446,1.448,779884.9
1667304000000,1.448,1.453,1.44,1.451,88560.4
1667307600000,1.451,1.451,1.422,1.425,121166.2
1667311200000,1.425,1.429,1.417,1.42,174492
1667314800000,1.42,1.428,1.418,1.422,32062.4
1667318400000,1.422,1.429,1.41,1.414,66862.3
1667322000000,1.414,1.42,1.411,1.418,41818.6
1667325600000,1.419,1.421,1.414,1.42,18864.9
1667329200000,1.42,1.424,1.417,1.419,27171
1667332800000,1.418,1.419,1.412,1.416,29774.6
1667336400000,1.415,1.419,1.413,1.414,24715.8
1667340000000,1.414,1.416,1.413,1.416,15968.3
1667343600000,1.416,1.42,1.415,1.417,18769.6
1667347200000,1.418,1.418,1.403,1.418,108412.4
1667350800000,1.418,1.423,1.416,1.418,25249.2
1667354400000,1.418,1.418,1.409,1.415,29151.2
1667358000000,1.415,1.424,1.413,1.42,33604
1667361600000,1.418,1.422,1.417,1.417,18503.2
1667365200000,1.418,1.423,1.414,1.415,32777.7
1667368800000,1.415,1.415,1.409,1.411,15284
1667372400000,1.41,1.41,1.385,1.394,139803.8
1667376000000,1.395,1.411,1.391,1.408,60572.6
1667379600000,1.408,1.411,1.382,1.383,102295
1667383200000,1.383,1.389,1.37,1.388,145880.9
1667386800000,1.388,1.394,1.386,1.391,66364.1
1667390400000,1.391,1.395,1.382,1.39,37132.6
1667394000000,1.389,1.398,1.387,1.393,84502
1667397600000,1.393,1.405,1.391,1.4,65178.4
1667401200000,1.4,1.404,1.394,1.397,59927.2
1667404800000,1.398,1.423,1.391,1.411,428176.7
1667408400000,1.41,1.413,1.38,1.39,121740
1667412000000,1.389,1.446,1.384,1.402,1400320.3
1667415600000,1.402,1.422,1.377,1.397,559527.1
1667419200000,1.397,1.401,1.37,1.378,912711.1
1667422800000,1.378,1.393,1.373,1.392,240306.2
1667426400000,1.392,1.397,1.361,1.365,836262.3
1667430000000,1.365,1.377,1.36,1.373,111546.7
1667433600000,1.373,1.398,1.369,1.395,231247.4
1667437200000,1.395,1.396,1.385,1.393,97806.4
1667440800000,1.393,1.407,1.392,1.402,70266
1667444400000,1.401,1.406,1.398,1.401,79843.9
1667448000000,1.402,1.412,1.393,1.397,152732.4
1667451600000,1.398,1.406,1.397,1.406,95627.4
