date,open,high,low,close,volume
1667005200000,1.278,1.29,1.276,1.287,45303
1667008800000,1.287,1.296,1.287,1.296,24826.56
1667012400000,1.294,1.296,1.288,1.292,58878.03
1667016000000,1.292,1.295,1.29,1.293,39523.41
1667019600000,1.293,1.3,1.292,1.298,47950.08
1667023200000,1.298,1.301,1.295,1.3,42415.8
1667026800000,1.3,1.306,1.294,1.306,62451.12
1667030400000,1.304,1.311,1.303,1.305,65836.74
1667034000000,1.304,1.315,1.302,1.31,121743.87
1667037600000,1.31,1.315,1.295,1.299,140953.26
1667041200000,1.299,1.302,1.287,1.291,84067.55
1667044800000,1.292,1.297,1.283,1.292,77801.68
1667048400000,1.291,1.294,1.286,1.289,42147.21
1667052000000,1.289,1.292,1.286,1.289,59559.91
1667055600000,1.291,1.296,1.287,1.291,48460.75
1667059200000,1.29,1.314,1.29,1.308,119346.2
1667062800000,1.308,1.333,1.293,1.295,222360.07
1667066400000,1.295,1.309,1.288,1.309,112386.89
1667070000000,1.308,1.318,1.296,1.303,57424.14
1667073600000,1.303,1.307,1.3,1.304,23521
1667077200000,1.304,1.309,1.304,1.306,11083.82
1667080800000,1.306,1.309,1.301,1.301,19075.84
1667084400000,1.303,1.307,1.299,1.304,24853.55
1667088000000,1.304,1.31,1.301,1.308,30527.24
1667091600000,1.306,1.306,1.279,1.292,148033.96
1667095200000,1.292,1.294,1.289,1.293,44745.63
1667098800000,1.293,1.302,1.292,1.3,53562.98
1667102400000,1.3,1.301,1.295,1.296,13084.05
1667106000000,1.295,1.302,1.295,1.299,18876.53
1667109600000,1.299,1.302,1.295,1.3,20704.94
1667113200000,1.301,1.314,1.299,1.312,66753.57
1667116800000,1.312,1.33,1.306,1.326,124447.84
1667120400000,1.327,1.336,1.315,1.32,129813.23
1667124000000,1.32,1.331,1.311,1.328,75066.53
1667127600000,1.328,1.328,1.311,1.32,44010.57
1667131200000,1.318,1.322,1.307,1.315,75076.22
1667134800000,1.315,1.318,1.3,1.3,49938.88
1667138400000,1.3,1.32,1.298,1.315,47494.05
1667142000000,1.316,1.316,1.295,1.297,68024.93
1667145600000,1.296,1.304,1.287,1.288,51167.18
1667149200000,1.288,1.288,1.279,1.282,69398.9
1667152800000,1.282,1.297,1.282,1.294,58890.65
1667156400000,1.294,1.294,1.286,1.288,22707.38
1667160000000,1.29,1.299,1.29,1.296,34756.42
1667163600000,1.295,1.297,1.291,1.295,15524.58
1667167200000,1.294,1.294,1.275,1.286,67601.38
1667170800000,1.286,1.29,1.28,1.289,20324.04
1667174400000,1.29,1.293,1.278,1.28,46534.58
1667178000000,1.28,1.285,1.27,1.277,19992.93
1667181600000,1.277,1.277,1.261,1.272,44369.55
1667185200000,1.272,1.278,1.27,1.277,22857.9
1667188800000,1.277,1.28,1.276,1.278,26579.99
1667192400000,1.277,1.284,1.277,1.279,26503.8
1667196000000,1.279,1.285,1.273,1.282,41108.38
1667199600000,1.283,1.284,1.279,1.282,15527.32
1667203200000,1.282,1.29,1.274,1.284,30835.98
1667206800000,1.284,1.296,1.281,1.293,35377
1667210400000,1.293,1.299,1.29,1.294,56069.24
1667214000000,1.293,1.3,1.293,1.294,40258.06
1667217600000,1.295,1.3,1.293,1.298,48446.21
1667221200000,1.299,1.31,1.29,1.29,169022.39
1667224800000,1.29,1.29,1.271,1.282,92418.76
1667228400000,1.282,1.295,1.279,1.284,39227.95
1667232000000,1.283,1.306,1.276,1.293,114115.66
1667235600000,1.295,1.308,1.29,1.293,41283.1
1667239200000,1.294,1.31,1.294,1.307,59353.42
1667242800000,1.307,1.42,1.301,1.361,1252690.72
1667246400000,1.361,1.405,1.329,1.358,592981.8
1667250000000,1.357,1.398,1.35,1.367,274770.19
1667253600000,1.365,1.393,1.355,1.384,157066.83
1667257200000,1.384,1.415,1.371,1.394,269240.32
1667260800000,1.393,1.405,1.364,1.373,207229.9
1667264400000,1.373,1.386,1.365,1.366,111441.66
1667268000000,1.366,1.368,1.362,1.366,49450.12
1667271600000,1.365,1.368,1.36,1.362,34319.55
1667275200000,1.363,1.363,1.345,1.349,98990.34
1667278800000,1.348,1.352,1.34,1.341,50324.59
1667282400000,1.341,1.352,1.338,1.346,64781.28
1667286000000,1.346,1.387,1.346,1.361,160561.46
1667289600000,1.361,1.378,1.349,1.351,89156.41
1667293200000,1.35,1.36,1.345,1.35,97856.05
1667296800000,1.35,1.359,1.345,1.347,54850.8
1667300400000,1.35,1.35,1.339,1.344,69546.15
1667304000000,1.344,1.348,1.34,1.344,44045.12
1667307600000,1.344,1.348,1.324,1.329,94320.94
1667311200000,1.327,1.332,1.315,1.315,70381.48
1667314800000,1.315,1.33,1.315,1.327,51851.06
1667318400000,1.325,1.343,1.325,1.333,56808.15
1667322000000,1.333,1.344,1.333,1.335,42144.97
1667325600000,1.335,1.337,1.329,1.331,37271.55
1667329200000,1.331,1.343,1.324,1.327,86733.18
1667332800000,1.325,1.328,1.323,1.324,41147.27
1667336400000,1.324,1.326,1.318,1.319,24419.09
1667340000000,1.318,1.32,1.311,1.316,42836.2
1667343600000,1.316,1.318,1.312,1.313,24584.64
1667347200000,1.312,1.315,1.308,1.31,45135.94
1667350800000,1.309,1.363,1.308,1.329,225170.24
1667354400000,1.33,1.355,1.319,1.322,68898.23
1667358000000,1.32,1.324,1.317,1.321,23511.19
1667361600000,1.319,1.325,1.316,1.316,24841.13
1667365200000,1.316,1.32,1.311,1.311,24480
1667368800000,1.311,1.316,1.309,1.31,29974.9
1667372400000,1.311,1.315,1.297,1.308,69299.89
1667376000000,1.307,1.312,1.302,1.309,52264.12
1667379600000,1.308,1.328,1.293,1.294,123812.44
1667383200000,1.294,1.3,1.286,1.296,65983.39
1667386800000,1.296,1.321,1.291,1.312,94207.59
1667390400000,1.311,1.313,1.302,1.303,37131.77
1667394000000,1.304,1.307,1.3,1.303,45651.55
1667397600000,1.303,1.307,1.301,1.304,24903.44
1667401200000,1.306,1.323,1.306,1.315,74099.01
1667404800000,1.315,1.315,1.299,1.312,55983.74
1667408400000,1.313,1.313,1.297,1.301,51520.44
1667412000000,1.301,1.35,1.293,1.309,428286.43
1667415600000,1.308,1.328,1.281,1.291,149535.34
1667419200000,1.29,1.296,1.265,1.278,128185.76
1667422800000,1.278,1.285,1.263,1.277,134928.39
1667426400000,1.277,1.278,1.265,1.269,64208.32
1667430000000,1.268,1.28,1.267,1.279,39885.93
1667433600000,1.278,1.288,1.275,1.284,44619.56
1667437200000,1.285,1.297,1.283,1.292,54811.88
1667440800000,1.293,1.299,1.291,1.296,35296.7
1667444400000,1.296,1.314,1.296,1.31,49276.06
1667448000000,1.311,1.325,1.306,1.31,83452.08
1667451600000,1.311,1.327,1.31,1.325,58338.15
1667455200000,1.325,1.328,1.308,1.318,91546.74
1667458800000,1.319,1.327,1.307,1.312,52132.83
1667462400000,1.312,1.322,1.307,1.308,85788.46
1667466000000,1.308,1.314,1.303,1.308,65189.2
1667469600000,1.308,1.318,1.308,1.311,51483.14
1667473200000,1.312,1.318,1.295,1.298,124778.52
1667476800000,1.297,1.317,1.296,1.312,99095.43
1667480400000,1.311,1.321,1.303,1.313,60467.25
1667484000000,1.314,1.32,1.295,1.319,100595.98
1667487600000,1.319,1.322,1.312,1.312,40143.8
1667491200000,1.314,1.32,1.309,1.318,45520.66
1667494800000,1.318,1.329,1.315,1.323,97087.42
1667498400000,1.324,1.325,1.316,1.319,46774.26
1667502000000,1.319,1.323,1.316,1.316,60968.83
1667505600000,1.318,1.329,1.313,1.314,95358.08
1667509200000,1.314,1.33,1.314,1.324,44608.06
1667512800000,1.324,1.324,1.307,1.308,48624.9
1667516400000,1.308,1.314,1.3,1.312,65550.67
1667520000000,1.312,1.321,1.305,1.317,61110.64
1667523600000,1.316,1.319,1.31,1.311,53791.05
1667527200000,1.311,1.321,1.311,1.314,36223.27
1667530800000,1.314,1.349,1.313,1.341,112400.66
1667534400000,1.34,1.342,1.328,1.332,89909.26
1667538000000,1.332,1.337,1.328,1.331,45290.12
1667541600000,1.332,1.353,1.331,1.35,120378.37
1667545200000,1.349,1.353,1.341,1.35,52369.4
1667548800000,1.348,1.353,1.337,1.339,107585.64
1667552400000,1.339,1.344,1.334,1.343,75914.87
1667556000000,1.343,1.418,1.34,1.374,223598.99
1667559600000,1.374,1.376,1.351,1.355,111049.38
1667563200000,1.354,1.38,1.346,1.378,152138.57
1667566800000,1.378,1.387,1.359,1.364,100470.67
1667570400000,1.365,1.388,1.365,1.384,145915.61
1667574000000,1.386,1.39,1.362,1.362,161121.61
1667577600000,1.363,1.373,1.346,1.361,132683.5
1667581200000,1.36,1.36,1.351,1.356,64627.97
1667584800000,1.356,1.375,1.353,1.37,72140.01
1667588400000,1.37,1.426,1.368,1.412,412415.06
1667592000000,1.411,1.45,1.395,1.436,253040.91
1667595600000,1.436,1.448,1.41,1.41,100659.28
1667599200000,1.41,1.419,1.405,1.415,56699.79
1667602800000,1.413,1.428,1.41,1.416,63890.71
1667606400000,1.416,1.452,1.4,1.45,200280.95
1667610000000,1.45,1.451,1.406,1.41,141736.23
1667613600000,1.41,1.41,1.389,1.407,154355.55
1667617200000,1.407,1.416,1.402,1.408,34249.65
1667620800000,1.409,1.413,1.405,1.405,42780.46
1667624400000,1.406,1.407,1.399,1.402,30299.69
1667628000000,1.402,1.413,1.399,1.413,54741.99
1667631600000,1.413,1.426,1.411,1.424,57011.7
1667635200000,1.424,1.435,1.401,1.418,149687.93
1667638800000,1.416,1.418,1.403,1.404,33692.17
1667642400000,1.403,1.407,1.394,1.402,59877.18
1667646000000,1.403,1.42,1.401,1.418,54615.24
1667649600000,1.419,1.422,1.402,1.405,51410.65
1667653200000,1.404,1.417,1.401,1.415,118549.86
1667656800000,1.416,1.418,1.388,1.394,104198.18
1667660400000,1.395,1.413,1.392,1.411,56446.92
1667664000000,1.412,1.423,1.408,1.418,107362.52
1667667600000,1.417,1.417,1.401,1.413,54186.2
1667671200000,1.413,1.42,1.381,1.39,234720.26
1667674800000,1.39,1.395,1.386,1.391,36493.17
1667678400000,1.391,1.397,1.387,1.394,41554.59
1667682000000,1.394,1.398,1.394,1.396,71687.45
1667685600000,1.396,1.399,1.395,1.396,27653.86
1667689200000,1.397,1.4,1.378,1.381,100915.68
1667692800000,1.381,1.393,1.376,1.384,47406.08
1667696400000,1.383,1.387,1.356,1.359,82587.03
1667700000000,1.358,1.369,1.355,1.36,50962.89
1667703600000,1.36,1.369,1.359,1.369,14089.17
1667707200000,1.368,1.383,1.368,1.377,79388.35
1667710800000,1.377,1.377,1.364,1.366,32851.43
1667714400000,1.366,1.37,1.362,1.369,37294.42
1667718000000,1.37,1.373,1.363,1.367,33318.06
1667721600000,1.365,1.377,1.354,1.369,100864.66
1667725200000,1.369,1.377,1.361,1.365,116721.28
1667728800000,1.365,1.378,1.361,1.374,36675.01
1667732400000,1.372,1.381,1.367,1.379,73151
1667736000000,1.379,1.38,1.369,1.374,40741.33
1667739600000,1.374,1.383,1.37,1.379,42604.62
1667743200000,1.378,1.38,1.372,1.376,20851.26
1667746800000,1.377,1.397,1.376,1.388,103765.09
1667750400000,1.387,1.391,1.369,1.384,77319.31
1667754000000,1.384,1.385,1.373,1.378,28771.38
1667757600000,1.378,1.378,1.368,1.371,41523.53
