date,open,high,low,close,volume
1667005200000,0.251,0.253,0.2482,0.2494,6751497.5
1667008800000,0.2493,0.2499,0.2459,0.2466,5251447.4
1667012400000,0.2466,0.2488,0.2433,0.2474,3517674
1667016000000,0.2474,0.2474,0.2424,0.2433,2856047.5
1667019600000,0.2433,0.2449,0.242,0.2431,2067141.1
1667023200000,0.2431,0.245,0.2416,0.243,2824179
1667026800000,0.243,0.2473,0.2418,0.2458,3428371.1
1667030400000,0.2459,0.2536,0.2453,0.249,5041522.8
1667034000000,0.2491,0.2491,0.2452,0.2461,2440050.4
1667037600000,0.2462,0.2463,0.2377,0.242,5763119
1667041200000,0.242,0.2455,0.2418,0.2432,2315062.1
1667044800000,0.2432,0.2453,0.2422,0.2451,1489645.4
1667048400000,0.2451,0.2454,0.2397,0.2436,1783118
1667052000000,0.2436,0.2459,0.2413,0.2436,2159622.5
1667055600000,0.2436,0.2835,0.2436,0.2792,25884176.7
1667059200000,0.2792,0.3241,0.2792,0.3106,52700581.2
1667062800000,0.3107,0.3297,0.3072,0.31,30140723.1
1667066400000,0.31,0.3299,0.309,0.3254,21882388.7
1667070000000,0.3252,0.33,0.3161,0.3228,18746993.8
1667073600000,0.3228,0.3391,0.3217,0.3333,16891383.1
1667077200000,0.333,0.3426,0.3227,0.3292,10040853.5
1667080800000,0.3292,0.3363,0.3205,0.322,13421632.1
1667084400000,0.322,0.322,0.3106,0.318,9081576.6
1667088000000,0.3179,0.3209,0.3047,0.3078,7218739.8
1667091600000,0.3078,0.3078,0.3014,0.3041,4921320.2
1667095200000,0.3042,0.3058,0.2981,0.3018,4350944.3
1667098800000,0.3017,0.3059,0.3013,0.3028,5003624.4
1667102400000,0.3026,0.3034,0.297,0.3029,9081266.5
1667106000000,0.3028,0.3091,0.2997,0.309,5267840.2
1667109600000,0.3091,0.3091,0.2921,0.2946,9670162.8
1667113200000,0.2945,0.2955,0.2892,0.2909,6519260.6
1667116800000,0.291,0.291,0.2826,0.2831,5517707.9
1667120400000,0.2829,0.2855,0.2789,0.2802,11234486.2
1667124000000,0.2801,0.2805,0.2751,0.2782,4493579.1
1667127600000,0.278,0.2821,0.2771,0.2804,5320550.5
1667131200000,0.2804,0.2804,0.2758,0.2783,3315001.6
1667134800000,0.2784,0.2786,0.2725,0.2754,5556146.2
1667138400000,0.2753,0.2762,0.2718,0.2725,3655659.8
1667142000000,0.2726,0.2801,0.2691,0.2767,7726368.1
1667145600000,0.2767,0.2811,0.2725,0.2742,6041050
1667149200000,0.2741,0.2753,0.2722,0.2724,1573748.2
1667152800000,0.2724,0.2747,0.2701,0.2737,1585766
1667156400000,0.2736,0.2765,0.273,0.2739,973514.8
1667160000000,0.2739,0.2763,0.2734,0.2738,886246.5
1667163600000,0.274,0.2746,0.2714,0.2739,1001761.8
1667167200000,0.2739,0.2744,0.2659,0.2711,6537148.8
1667170800000,0.2709,0.2716,0.2665,0.2676,1565872.9
1667174400000,0.2675,0.2714,0.2628,0.2666,7123280.4
1667178000000,0.2665,0.2672,0.262,0.2637,3763188.7
1667181600000,0.2636,0.2824,0.2621,0.2812,8319438.7
1667185200000,0.2812,0.2907,0.2709,0.2763,17796932.4
1667188800000,0.2764,0.2813,0.2737,0.2789,5766643.4
1667192400000,0.2791,0.2826,0.2775,0.2784,3793905.2
1667196000000,0.2784,0.2785,0.272,0.2759,4328149.5
1667199600000,0.2759,0.2874,0.2759,0.2851,11379117.7
1667203200000,0.285,0.2854,0.2747,0.276,8798931.3
1667206800000,0.2759,0.2814,0.2738,0.2791,3779484.5
1667210400000,0.279,0.2802,0.2747,0.2773,2652672.1
1667214000000,0.2772,0.2772,0.272,0.274,2937024
1667217600000,0.274,0.2794,0.2696,0.2757,8369794
1667221200000,0.2757,0.2798,0.2715,0.2715,4850419.3
1667224800000,0.2717,0.289,0.2709,0.2825,14916960
1667228400000,0.2825,0.2869,0.2751,0.2776,6369827.6
1667232000000,0.2776,0.2783,0.2714,0.2725,3267276.3
1667235600000,0.2724,0.273,0.2643,0.2652,4604537.5
1667239200000,0.2653,0.2664,0.2627,0.2628,3207930.6
1667242800000,0.2629,0.2633,0.2557,0.2559,8685548.4
1667246400000,0.2559,0.2597,0.2557,0.2572,2090309.1
1667250000000,0.2572,0.2585,0.2543,0.2548,1354384.8
1667253600000,0.2547,0.2588,0.2544,0.2566,1943265.9
1667257200000,0.2566,0.2593,0.2547,0.2586,1991924.7
1667260800000,0.2586,0.261,0.2538,0.2544,4147125.5
1667264400000,0.2544,0.2591,0.2544,0.2582,1993167.9
1667268000000,0.2582,0.259,0.2576,0.2583,1147016.8
1667271600000,0.2583,0.2604,0.2562,0.2595,1791030
1667275200000,0.2594,0.2617,0.2576,0.2592,3022096.1
1667278800000,0.2592,0.2633,0.2582,0.2616,3171774
1667282400000,0.2617,0.2628,0.2602,0.2628,2753260.1
1667286000000,0.2627,0.2627,0.2582,0.2603,2057557.7
1667289600000,0.2604,0.2613,0.2574,0.2576,1747334
1667293200000,0.2576,0.2597,0.2565,0.2585,3823506.6
1667296800000,0.2585,0.2589,0.2559,0.2588,2309160.1
1667300400000,0.2589,0.2689,0.2508,0.2552,7564281.5
1667304000000,0.2552,0.2604,0.2546,0.2588,3349194.9
1667307600000,0.2587,0.2591,0.2537,0.2581,2521068.4
1667311200000,0.2581,0.263,0.2558,0.261,6578093.4
1667314800000,0.261,0.2628,0.2541,0.255,3976335.6
1667318400000,0.2549,0.2549,0.2479,0.2488,5853079.5
1667322000000,0.2486,0.2519,0.248,0.2485,2783525.8
1667325600000,0.2485,0.25,0.2457,0.246,2424244.1
1667329200000,0.2461,0.2468,0.2435,0.2437,2210988.7
1667332800000,0.2435,0.2457,0.2432,0.2443,1558016.9
1667336400000,0.2442,0.2458,0.2438,0.2446,843900.3
1667340000000,0.2446,0.245,0.244,0.2449,559204.7
1667343600000,0.2448,0.2464,0.2436,0.2458,999614
1667347200000,0.2458,0.2498,0.2424,0.2479,4370478.5
1667350800000,0.2478,0.2485,0.246,0.2464,2209714.3
1667354400000,0.2463,0.2508,0.2463,0.2488,5760898.6
1667358000000,0.2488,0.2539,0.2488,0.253,4191045.5
1667361600000,0.2531,0.2557,0.2502,0.2521,3438443.3
1667365200000,0.2522,0.2593,0.2495,0.2581,4889215.4
1667368800000,0.2582,0.2582,0.25,0.2501,4711869.5
1667372400000,0.2502,0.2533,0.2464,0.2512,3851710.3
1667376000000,0.2512,0.2536,0.2492,0.251,2026184.4
1667379600000,0.2512,0.2513,0.2326,0.2334,10119228.5
1667383200000,0.2333,0.2369,0.2321,0.2367,4140363.2
1667386800000,0.2367,0.238,0.236,0.2371,1290197.5
1667390400000,0.2371,0.2371,0.2346,0.235,2002129.7
1667394000000,0.2351,0.2378,0.2344,0.2363,2069383.3
1667397600000,0.2363,0.2416,0.2361,0.2392,2360958.2
1667401200000,0.2393,0.2402,0.2375,0.2386,2080090.3
1667404800000,0.2385,0.2461,0.2378,0.2458,2346752.9
1667408400000,0.2458,0.25,0.2428,0.2466,3686225.2
1667412000000,0.2465,0.2529,0.2407,0.2436,8234136.7
1667415600000,0.2434,0.2484,0.2401,0.2415,4020796.5
1667419200000,0.2415,0.2457,0.2369,0.2437,3214016.6
1667422800000,0.2436,0.2459,0.2409,0.2421,1505435.8
1667426400000,0.2419,0.2419,0.2367,0.2378,2075688.1
1667430000000,0.2379,0.2394,0.2364,0.2373,1079414.4
1667433600000,0.2372,0.2414,0.2372,0.2405,5233743.1
1667437200000,0.2404,0.243,0.2395,0.2428,2498106.3
1667440800000,0.2428,0.2464,0.2428,0.2446,1362815.9
1667444400000,0.2446,0.2561,0.2445,0.2529,6422267.9
1667448000000,0.253,0.2531,0.2475,0.2499,4600921.2
1667451600000,0.2499,0.2531,0.2496,0.2511,1938565.4
1667455200000,0.251,0.2513,0.2464,0.2496,2149265.7
1667458800000,0.2497,0.2504,0.2452,0.2452,2358537.4
1667462400000,0.2452,0.247,0.2445,0.2448,2224981
1667466000000,0.245,0.2464,0.2443,0.2458,1445064.9
1667469600000,0.2459,0.2469,0.2425,0.243,2471761.3
1667473200000,0.243,0.2439,0.2381,0.2402,2151532.8
1667476800000,0.2401,0.2412,0.2368,0.2388,1997293.7
1667480400000,0.2388,0.24,0.2349,0.2359,2842342.1
1667484000000,0.2359,0.2435,0.2359,0.242,2375138
1667487600000,0.242,0.2423,0.2399,0.2405,886909.3
1667491200000,0.2404,0.2407,0.2388,0.2398,1125428.8
1667494800000,0.2398,0.2402,0.2384,0.2389,508935.7
1667498400000,0.2389,0.2408,0.2376,0.2404,611939.2
1667502000000,0.2402,0.2409,0.2387,0.2395,539238.3
1667505600000,0.2396,0.24,0.2373,0.2386,966532.2
1667509200000,0.2385,0.24,0.2383,0.2396,667068.9
1667512800000,0.2396,0.2398,0.2334,0.2338,1613609.3
1667516400000,0.2339,0.235,0.229,0.2336,5089079
1667520000000,0.2336,0.2345,0.2308,0.2313,1927957.5
1667523600000,0.2314,0.233,0.2256,0.2282,3353521.2
1667527200000,0.2283,0.2303,0.2277,0.2292,1639544.8
1667530800000,0.2292,0.2316,0.2285,0.2312,1006863.1
1667534400000,0.2312,0.2315,0.2296,0.2312,1286245.9
1667538000000,0.2312,0.2331,0.2292,0.2318,1296504.6
1667541600000,0.2317,0.2343,0.2316,0.2336,1168017.8
1667545200000,0.2337,0.2358,0.2335,0.2349,1670594.5
1667548800000,0.235,0.2366,0.232,0.2323,2756205.3
1667552400000,0.2325,0.2334,0.2305,0.2312,1543731.6
1667556000000,0.2312,0.2328,0.2305,0.2324,1163441.8
1667559600000,0.2325,0.2399,0.2313,0.2376,4992061.2
1667563200000,0.2375,0.2375,0.2295,0.2367,5413647.2
1667566800000,0.2367,0.2376,0.2335,0.235,1437379.1
