date,open,high,low,close,volume
1667005200000,0.2503,0.2508,0.2501,0.2501,569
1667008800000,0.2506,0.251,0.2503,0.2507,12159
1667012400000,0.2508,0.2525,0.2508,0.2518,18312
1667016000000,0.2523,0.2545,0.2517,0.2519,37405
1667019600000,0.2519,0.2524,0.2511,0.2516,7939
1667023200000,0.2521,0.2529,0.2519,0.2521,27892
1667026800000,0.2521,0.2555,0.2518,0.2555,53284
1667030400000,0.2554,0.256,0.255,0.2559,31902
1667034000000,0.2559,0.2586,0.2548,0.2584,131012
1667037600000,0.258,0.258,0.253,0.2532,57031
1667041200000,0.2542,0.2547,0.2525,0.2527,7215
1667044800000,0.254,0.2542,0.2527,0.2533,21998
1667048400000,0.2533,0.254,0.2514,0.2537,30395
1667052000000,0.2539,0.256,0.252,0.2525,58292
1667055600000,0.2521,0.2535,0.251,0.252,51715
1667059200000,0.2521,0.2557,0.2519,0.2543,57642
1667062800000,0.2542,0.2549,0.2531,0.2532,31009
1667066400000,0.253,0.2531,0.2506,0.2512,68640
1667070000000,0.2512,0.2513,0.2498,0.2504,36728
1667073600000,0.2506,0.2511,0.2503,0.2505,16258
1667077200000,0.2509,0.2553,0.2506,0.2535,124381
1667080800000,0.2531,0.2537,0.2522,0.2524,2043
1667084400000,0.2524,0.2558,0.2519,0.2538,24558
1667088000000,0.2541,0.2617,0.2538,0.2589,273130
1667091600000,0.259,0.2614,0.2551,0.2599,117925
1667095200000,0.2595,0.2602,0.259,0.2599,6956
1667098800000,0.2599,0.26,0.259,0.259,5606
1667102400000,0.2592,0.2592,0.2581,0.2585,26367
1667106000000,0.2589,0.2591,0.258,0.2581,16282
1667109600000,0.2584,0.2584,0.257,0.2584,54775
1667113200000,0.2584,0.2584,0.2571,0.2577,86738
1667116800000,0.2576,0.2583,0.2552,0.2552,157496
1667120400000,0.2553,0.2573,0.2544,0.2552,33368
1667124000000,0.2551,0.2554,0.2538,0.2545,24048
1667127600000,0.2541,0.2559,0.254,0.2559,23525
1667131200000,0.2558,0.2558,0.2539,0.2541,21286
1667134800000,0.2541,0.2548,0.2521,0.2525,30310
1667138400000,0.2521,0.256,0.252,0.2545,45399
1667142000000,0.2548,0.2576,0.2534,0.2571,80286
1667145600000,0.2575,0.2584,0.2555,0.256,39404
1667149200000,0.2566,0.2574,0.2554,0.2562,19999
1667152800000,0.2554,0.2576,0.2542,0.2568,31860
1667156400000,0.2568,0.2597,0.256,0.2585,76417
1667160000000,0.2588,0.2599,0.253,0.2541,104317
1667163600000,0.2541,0.2546,0.2537,0.254,11011
1667167200000,0.2538,0.2538,0.2503,0.2523,52740
1667170800000,0.2517,0.2528,0.2511,0.2519,16988
1667174400000,0.2515,0.2532,0.2507,0.2512,10318
1667178000000,0.2514,0.2518,0.2502,0.2507,9584
1667181600000,0.2504,0.2511,0.2502,0.2511,27527
1667185200000,0.2512,0.2525,0.2502,0.2525,12059
1667188800000,0.2522,0.2527,0.2512,0.2514,7282
1667192400000,0.2515,0.2515,0.2504,0.2509,15987
1667196000000,0.2509,0.2513,0.2459,0.2488,160972
1667199600000,0.2489,0.2495,0.2487,0.2494,12532
1667203200000,0.2494,0.2494,0.2475,0.2484,30590
1667206800000,0.2485,0.251,0.2479,0.2506,29617
1667210400000,0.2507,0.2519,0.2507,0.2513,36789
1667214000000,0.2519,0.252,0.2501,0.251,56672
1667217600000,0.251,0.2524,0.2502,0.251,29862
1667221200000,0.2513,0.2518,0.2479,0.2479,40444
1667224800000,0.2479,0.2501,0.2465,0.2494,153759
1667228400000,0.2495,0.2503,0.2487,0.2495,12144
1667232000000,0.249,0.25,0.2485,0.2493,27970
1667235600000,0.2498,0.2498,0.2493,0.2493,10216
1667239200000,0.2494,0.2496,0.2493,0.2493,7704
1667242800000,0.2494,0.25,0.249,0.2497,11028
1667246400000,0.2492,0.2499,0.249,0.2499,10736
1667250000000,0.2492,0.2501,0.249,0.2501,4037
1667253600000,0.2496,0.2503,0.2488,0.25,5540
1667257200000,0.2502,0.2504,0.2484,0.2504,37129
1667260800000,0.2494,0.2508,0.2494,0.2499,20339
1667264400000,0.2499,0.2508,0.2499,0.25,2269
1667268000000,0.2507,0.2531,0.2507,0.2518,34363
1667271600000,0.252,0.252,0.2506,0.2507,876
1667275200000,0.2505,0.2508,0.2493,0.2494,57231
1667278800000,0.25,0.2504,0.2494,0.2501,14167
1667282400000,0.2497,0.2532,0.2493,0.2518,77121
1667286000000,0.252,0.252,0.2493,0.2495,65321
1667289600000,0.2494,0.2502,0.2489,0.2493,64824
1667293200000,0.2493,0.251,0.2493,0.2496,8676
1667296800000,0.2497,0.2506,0.2493,0.25,20641
1667300400000,0.2495,0.2497,0.2477,0.2483,13445
1667304000000,0.2477,0.2488,0.247,0.2482,19120
1667307600000,0.2487,0.2487,0.2457,0.2464,19047
1667311200000,0.246,0.2499,0.2459,0.2477,99932
1667314800000,0.248,0.2482,0.247,0.2471,3235
1667318400000,0.2478,0.2481,0.2466,0.2472,40557
1667322000000,0.2476,0.2481,0.2467,0.2467,17753
1667325600000,0.2477,0.248,0.2467,0.2477,7172
1667329200000,0.2479,0.2479,0.2468,0.2468,6380
1667332800000,0.2468,0.2479,0.2467,0.2479,12235
1667336400000,0.2479,0.2507,0.247,0.2493,41552
1667340000000,0.2495,0.2521,0.2472,0.2493,114244
1667343600000,0.2498,0.2501,0.2491,0.2491,2696
1667347200000,0.249,0.2504,0.2486,0.2501,6595
1667350800000,0.2502,0.2517,0.2492,0.2506,21848
1667354400000,0.251,0.2517,0.2502,0.2514,4126
1667358000000,0.2514,0.2517,0.2502,0.2504,19214
1667361600000,0.2509,0.2525,0.2503,0.2511,9472
1667365200000,0.2515,0.253,0.2506,0.2517,16423
1667368800000,0.2517,0.2537,0.2512,0.2526,28292
1667372400000,0.253,0.2541,0.2482,0.2502,62405
1667376000000,0.2508,0.2539,0.25,0.2522,62297
1667379600000,0.2519,0.2523,0.2498,0.2505,10694
1667383200000,0.2498,0.25,0.2475,0.2484,26426
1667386800000,0.2482,0.2496,0.2479,0.2482,28627
