date,open,high,low,close,volume
1667005200000,0.918,0.918,0.909,0.909,54546.5
1667008800000,0.909,0.914,0.906,0.912,71759.7
1667012400000,0.913,0.927,0.911,0.921,281564.8
1667016000000,0.921,0.928,0.917,0.919,88647.7
1667019600000,0.92,0.922,0.916,0.921,102067.3
1667023200000,0.92,0.924,0.919,0.921,104214.1
1667026800000,0.921,0.928,0.92,0.924,113748
1667030400000,0.923,0.93,0.921,0.927,128764.1
1667034000000,0.927,0.93,0.925,0.929,82008.4
1667037600000,0.928,0.931,0.911,0.914,226059.5
1667041200000,0.915,0.916,0.904,0.909,97010.7
1667044800000,0.908,0.916,0.908,0.916,95330.5
1667048400000,0.916,0.917,0.907,0.916,64743
1667052000000,0.916,0.918,0.908,0.91,95040.1
1667055600000,0.91,0.917,0.909,0.914,154198.7
1667059200000,0.913,0.936,0.913,0.935,250203.7
1667062800000,0.934,0.942,0.915,0.917,278740
1667066400000,0.917,0.929,0.911,0.919,212943.8
1667070000000,0.92,0.92,0.907,0.915,190267.5
1667073600000,0.915,0.918,0.912,0.916,75427.8
1667077200000,0.916,0.92,0.914,0.919,35783.7
1667080800000,0.919,0.919,0.907,0.91,94084.5
1667084400000,0.91,0.919,0.905,0.918,85566.4
1667088000000,0.919,0.955,0.918,0.931,595699.7
1667091600000,0.93,0.943,0.929,0.941,275197.8
1667095200000,0.941,0.944,0.933,0.941,147126.6
1667098800000,0.941,0.965,0.938,0.963,328413.8
1667102400000,0.963,0.966,0.946,0.962,464442.8
1667106000000,0.962,0.97,0.953,0.959,402646.1
1667109600000,0.958,0.972,0.951,0.97,299370.2
1667113200000,0.971,0.979,0.959,0.974,635106.2
1667116800000,0.973,0.973,0.953,0.954,243823.7
1667120400000,0.954,0.96,0.935,0.94,225089.4
1667124000000,0.939,0.946,0.937,0.944,110326.5
1667127600000,0.944,0.948,0.939,0.947,97563.7
1667131200000,0.947,0.947,0.929,0.937,243570.7
1667134800000,0.937,0.939,0.925,0.927,122684.1
1667138400000,0.927,0.933,0.924,0.933,55984.7
1667142000000,0.933,0.935,0.918,0.924,64921.7
1667145600000,0.922,0.927,0.915,0.918,80482.2
1667149200000,0.919,0.92,0.911,0.919,49340.7
1667152800000,0.919,0.927,0.919,0.925,65186.3
1667156400000,0.925,0.934,0.923,0.93,87118.8
1667160000000,0.929,0.934,0.928,0.931,41709.8
1667163600000,0.931,0.934,0.93,0.932,30430.8
1667167200000,0.933,0.933,0.909,0.92,166416.7
