date,open,high,low,close,volume
1667005200000,97.6,98.2,97.38,97.52,125.02
1667008800000,97.66,97.78,97.29,97.67,76.65
1667012400000,97.63,98.5,97.63,98.34,275.67
1667016000000,98.34,98.51,97.61,98.51,311.45
1667019600000,98.39,98.7,98.01,98.18,169.39
1667023200000,98.13,98.48,97.49,98.01,342.89
1667026800000,98.01,98.59,97.92,98.5,248.05
1667030400000,98.5,99.74,98.21,99.59,724.47
1667034000000,99.6,100,99.02,99.29,519.69
1667037600000,99.09,100,98.61,99.05,610.33
1667041200000,99.02,99.46,98.47,98.78,352.65
1667044800000,98.85,99.12,98.16,98.66,185.17
1667048400000,98.66,98.66,97.4,97.65,362.51
1667052000000,97.86,98.59,97.5,97.63,328.06
1667055600000,97.6,99.17,97.41,98.71,566.62
1667059200000,98.71,99.7,98.48,99.09,398.25
1667062800000,99.05,99.34,97.22,97.55,775.8
1667066400000,97.53,98.43,97.37,98.09,498.59
1667070000000,98.11,98.37,97.07,97.64,285.68
1667073600000,97.6,98.08,97.36,97.78,109.48
1667077200000,97.88,98.44,97.75,98.35,185.11
1667080800000,98.23,98.53,97,97.12,220.39
1667084400000,97.13,97.98,97.13,97.84,84.57
1667088000000,97.99,98.21,97.35,97.59,214.43
1667091600000,97.39,98.04,97.36,97.64,140.1
1667095200000,97.78,98.03,97.65,98.03,33.04
1667098800000,98,98.41,98,98.09,182.87
1667102400000,98.14,98.61,97.82,98.13,80.68
1667106000000,98.24,98.8,97.65,98.19,146.3
1667109600000,98.21,98.46,97.79,97.99,387.15
1667113200000,97.98,98.78,97.82,98.72,409.23
1667116800000,98.83,99.45,98.12,98.19,814.79
1667120400000,98.27,98.5,97.5,97.75,317.29
1667124000000,97.68,97.82,97.41,97.68,117.02
1667127600000,97.47,97.96,97.27,97.92,149.99
1667131200000,97.91,97.93,97.02,97.59,90.63
1667134800000,97.66,97.66,97.1,97.16,175.52
1667138400000,97.16,97.55,97,97.49,177.52
1667142000000,97.49,97.75,96.77,97,173.24
1667145600000,97,97.49,96.89,97.44,216.89
1667149200000,97.23,97.4,96.33,96.79,269.06
1667152800000,96.92,97.01,96.49,96.78,55.14
1667156400000,96.89,97.04,96.75,96.75,36.01
1667160000000,96.92,97.2,96.6,96.93,164.92
1667163600000,96.93,97.15,96.71,96.86,52.89
1667167200000,96.83,96.83,96.5,96.63,193.31
1667170800000,96.76,97.06,96.7,96.95,39.48
1667174400000,97.07,97.35,96.55,96.77,95.91
1667178000000,96.77,96.85,95.34,95.71,565.49
1667181600000,95.72,95.72,95.2,95.3,150
1667185200000,95.29,96,95.29,95.99,84.07
1667188800000,95.99,96.05,95.76,95.76,119.53
1667192400000,95.77,96.44,95.77,96.44,265.23
1667196000000,96.45,96.73,96.09,96.59,338.97
1667199600000,96.65,97.35,96.51,97,322.8
1667203200000,97.21,97.21,96.5,96.77,124.21
1667206800000,96.6,98.51,96.5,97.83,416.49
1667210400000,97.98,98.49,97.56,98.22,219.05
1667214000000,98.24,98.74,97.65,97.83,357
1667217600000,98.03,100.85,97.5,98.24,2086.69
1667221200000,98.24,99.8,96.5,96.65,830.18
1667224800000,96.53,96.92,95.4,96.36,1082.96
1667228400000,96.36,96.79,96.17,96.53,238.65
1667232000000,96.51,97.35,96.03,96.31,293.47
1667235600000,96.49,96.74,96.25,96.44,52
1667239200000,96.6,97.13,96.17,96.68,272.43
1667242800000,96.37,96.37,95.81,96.25,282.73
1667246400000,96.32,97.95,95.99,97.06,718.42
1667250000000,97.1,97.25,96.51,97.11,156.66
1667253600000,97.11,97.5,96.71,97.33,112.55
1667257200000,97.3,97.42,97.2,97.42,53.19
1667260800000,97.26,97.98,97.21,97.43,83.87
1667264400000,97.49,98,97.49,97.86,191.01
1667268000000,97.98,98.26,97.8,98.24,217.13
1667271600000,98.22,98.41,97.85,97.96,170.83
1667275200000,97.96,98.05,97.09,97.2,274.71
1667278800000,97.4,98.11,97.31,97.69,165.43
1667282400000,97.81,98,97.68,97.94,100.71
1667286000000,97.92,97.97,97.51,97.51,99.61
1667289600000,97.54,97.8,97.44,97.47,163.44
1667293200000,97.52,98.09,97,97.35,405.92
1667296800000,97.37,98.2,97.17,97.42,495.67
1667300400000,97.58,97.58,96.51,96.75,163.7
1667304000000,96.75,97.08,96.3,96.57,283.94
1667307600000,96.58,97.01,96,96.08,364.69
1667311200000,96.08,96.21,95.9,96.06,209.1
1667314800000,96.01,96.2,95.95,95.98,100.2
1667318400000,96,96.21,95.91,95.98,170.21
1667322000000,95.97,96.21,95.97,96.08,126.81
1667325600000,96.02,97.09,95.53,96.28,439.19
1667329200000,96.35,96.69,95.83,95.95,94.57
1667332800000,95.95,96.05,95.68,95.74,77.67
1667336400000,95.9,96,95.75,95.97,29.87
1667340000000,95.78,96.06,95.77,95.85,102.73
1667343600000,95.86,96.37,95.85,96.16,80.26
1667347200000,96.32,96.58,95.75,96.42,106.1
1667350800000,96.51,96.83,96.37,96.65,35.26
1667354400000,96.65,96.65,96.15,96.34,96.99
1667358000000,96.53,96.65,96.34,96.34,133.46
1667361600000,96.34,96.6,96.04,96.23,98.3
1667365200000,96.25,96.48,96.24,96.4,50.31
1667368800000,96.41,96.73,95.79,96.14,241.54
1667372400000,96.16,96.16,95.39,95.39,157.38
1667376000000,95.4,95.55,95,95.48,104.1
1667379600000,95.5,96.5,95,95,380.53
1667383200000,95.01,95.08,93.9,94.85,458.76
1667386800000,94.91,95.16,94.81,95.01,65.44
1667390400000,95.04,95.15,94.58,94.58,77.29
1667394000000,94.54,94.89,94.09,94.53,255.47
1667397600000,94.54,95.18,94.42,94.61,156.97
1667401200000,94.61,94.68,94.19,94.44,158.37
1667404800000,94.44,95.74,93.6,94.99,1084.7
1667408400000,94.99,95.19,94.4,94.74,426.37
1667412000000,94.72,97.75,94.48,95.39,1340.82
1667415600000,95.42,96.39,94.12,94.59,445.95
1667419200000,94.38,94.79,93.5,93.78,471.8
1667422800000,93.78,94.17,93.37,94.15,196.27
1667426400000,94.17,94.37,93.9,93.94,69.55
1667430000000,93.94,94.26,93.56,94.18,823.14
1667433600000,94.11,94.88,93.78,94.88,423.08
1667437200000,94.72,95.28,94.51,95.09,210.87
1667440800000,95.21,96,95.04,95.47,539.07
1667444400000,95.42,96.34,95.37,96.05,292.03
1667448000000,96.11,96.58,95.86,95.99,406.56
1667451600000,95.94,96.99,95.77,96.83,500.54
1667455200000,96.97,97.1,96.2,96.92,686.82
1667458800000,96.92,98,96.09,96.31,492.34
1667462400000,96.35,97.19,96,96.45,191.35
1667466000000,96.45,97.68,96.45,97.68,429.22
1667469600000,97.61,118.91,97.42,114.21,33398.98
1667473200000,114.23,119.5,103.78,103.78,31880.21
1667476800000,103.78,105.87,100.16,101.12,7737.38
1667480400000,101.28,103.84,100.04,101.56,3874.24
1667484000000,101.5,104.38,100,101.69,4694.33
1667487600000,101.7,101.73,99.38,99.91,3383.62
1667491200000,99.9,100.78,98.86,100.14,1239.23
1667494800000,100.23,100.35,97.94,98.32,1868.63
1667498400000,98.31,98.64,97.5,98.25,949.57
1667502000000,98.23,99.88,98,98.95,896.39
1667505600000,99.03,99.45,98.28,98.61,629.8
1667509200000,98.52,100,98.5,98.62,944.17
1667512800000,98.51,98.55,96.5,98.34,2206.96
1667516400000,98.34,98.48,96.37,97.07,1465.01
1667520000000,97.07,98.61,96.89,97.85,1273.24
1667523600000,97.91,98.6,97.27,97.58,864.8
1667527200000,97.58,98.27,97.21,97.51,474.4
1667530800000,97.52,98.36,97.25,98.2,1153.36
1667534400000,98.23,100.63,98,99.74,2858.74
1667538000000,99.8,99.8,97.63,98.63,1715.56
1667541600000,98.63,101.75,98.58,101.18,1678.59
1667545200000,101.16,101.25,100.2,100.58,497.3
1667548800000,100.62,104.62,100.46,100.46,5182.46
1667552400000,100.53,102.13,100.49,101.82,909.28
1667556000000,102.07,103.7,100.89,103.06,2527.69
1667559600000,103.12,103.12,100.33,100.5,1444.71
1667563200000,100.54,102.77,99.4,102.28,1557.18
1667566800000,102.32,102.74,101.39,101.61,1280.24
1667570400000,101.61,105,101.58,104.41,1645.74
1667574000000,104.53,104.53,101.32,101.39,1147.98
1667577600000,101.42,102.19,100.73,101.89,704.74
1667581200000,101.89,102.32,101.33,101.88,363.23
1667584800000,101.88,102.33,100.71,102.02,709.38
1667588400000,102.02,102.69,101.7,102.24,983.66
1667592000000,102.37,102.64,101.83,102.3,543.29
1667595600000,102.32,103.8,101.59,103.09,912.07
1667599200000,103.07,103.07,102.01,102.93,971.85
1667602800000,102.94,102.94,101.82,102.45,456
1667606400000,102.57,103.63,102.3,103.51,691.45
1667610000000,103.6,103.9,102.99,103.79,620.12
1667613600000,103.68,103.98,102.77,102.79,250.12
1667617200000,102.78,103.49,101.23,102.32,1065.92
1667620800000,102.21,103.12,102.1,102.25,628.12
1667624400000,102.22,103.5,102.22,102.55,842.76
1667628000000,102.5,102.78,102.01,102.36,490.15
