date,open,high,low,close,volume
1667005200000,35.65,35.79,35.6,35.65,845.53
1667008800000,35.66,35.82,35.55,35.76,1331.587
1667012400000,35.76,36.15,35.72,36.08,3834.848
1667016000000,36.09,36.21,35.8,35.83,1036.465
1667019600000,35.86,36.02,35.71,35.85,5215.217
1667023200000,35.86,36.13,35.86,36.02,3150.556
1667026800000,36.02,36.3,35.99,36.27,2617.646
1667030400000,36.27,36.64,36.25,36.58,6393.578
1667034000000,36.58,36.64,36.43,36.56,1741.084
1667037600000,36.54,36.71,36,36.09,3509.862
1667041200000,36.09,37.74,35.82,35.96,15757.033
1667044800000,35.95,36.16,35.84,36.15,4496.507
1667048400000,36.14,36.2,35.55,35.89,3369.349
1667052000000,35.86,36.12,35.44,35.48,3561.433
1667055600000,35.48,35.75,35.36,35.59,2578.506
1667059200000,35.58,36.47,35.46,36.23,5661.389
1667062800000,36.25,36.67,35.7,35.83,5872.534
1667066400000,35.82,36.21,35.67,36.08,6391.295
1667070000000,36.09,36.15,35.71,35.99,5118.428
1667073600000,35.98,36.16,35.91,36.04,1878.064
1667077200000,36.04,36.2,35.99,36.1,1408.351
1667080800000,36.1,36.18,35.53,35.68,5193.05
1667084400000,35.66,35.95,35.58,35.95,625.61
1667088000000,35.95,36.06,35.69,35.69,1509.412
1667091600000,35.68,36.07,35.62,36.02,2005.246
1667095200000,36.02,36.07,35.79,35.98,3166.044
1667098800000,35.99,36.22,35.99,36.15,1571.64
1667102400000,36.16,36.22,35.92,36.03,840.287
1667106000000,36.04,36.49,36.04,36.26,4028.544
1667109600000,36.26,36.56,36.11,36.33,3520.114
1667113200000,36.34,37,36.27,36.92,6018.304
1667116800000,36.92,37,36.04,36.54,5686.159
1667120400000,36.52,36.8,35.84,36.15,4219.803
1667124000000,36.15,36.42,35.97,36.25,3964.796
1667127600000,36.27,36.51,36.14,36.43,2802.043
1667131200000,36.43,36.69,36.13,36.62,4814.181
1667134800000,36.62,36.66,36.16,36.49,8385.369
1667138400000,36.47,37.21,36.35,36.98,7861.351
1667142000000,36.97,37.06,36.11,36.18,13103.43
1667145600000,36.18,36.7,35.93,36.17,4366.11
1667149200000,36.17,36.67,36.03,36.61,2063.095
1667152800000,36.6,36.63,36.42,36.48,1643.655
1667156400000,36.48,36.62,36.38,36.41,1334.682
1667160000000,36.45,36.78,36.31,36.68,1469.348
1667163600000,36.71,37,36.71,36.92,2931.054
1667167200000,36.91,36.91,36.05,36.46,5254.397
1667170800000,36.5,36.59,36.33,36.53,1404.119
1667174400000,36.57,36.69,36.12,36.16,3971.86
1667178000000,36.16,36.31,35.69,35.85,3534.468
1667181600000,35.82,35.89,35.51,35.76,1769.555
1667185200000,35.75,36.28,35.73,36.28,3942.211
1667188800000,36.28,36.34,36.12,36.13,1258.933
1667192400000,36.13,36.25,35.94,36.03,2043.398
1667196000000,36.04,36.07,35.74,36.01,2016.892
1667199600000,36.01,36.2,35.85,36.19,1881.439
1667203200000,36.2,36.21,35.6,35.72,2722.088
1667206800000,35.72,36.4,35.62,36.37,3624.407
1667210400000,36.35,36.52,36.08,36.28,2953.198
1667214000000,36.3,36.67,36.21,36.39,5472.457
1667217600000,36.39,36.67,36.25,36.43,2370.512
1667221200000,36.42,37.21,35.65,35.7,21572.42
1667224800000,35.65,36.06,35.21,35.66,18925.279
1667228400000,35.7,35.99,35.49,35.78,2559.657
1667232000000,35.78,36.15,35.52,35.77,10513.856
1667235600000,35.77,35.92,35.06,35.26,25935.71
1667239200000,35.25,35.49,35.15,35.36,4782.494
1667242800000,35.38,35.44,35.18,35.3,3203.054
1667246400000,35.3,35.49,35.19,35.21,2493.034
1667250000000,35.21,35.24,33.9,34.87,29149.938
1667253600000,34.87,35.14,34.74,35.04,2946.613
1667257200000,35.03,35.07,34.84,34.92,3904.272
1667260800000,34.92,35.18,34.42,34.82,9056.689
1667264400000,34.83,35,34.82,34.94,3454.036
1667268000000,34.92,35.02,34.79,34.93,3073.538
1667271600000,34.95,35.03,34.62,34.74,2220.059
1667275200000,34.73,35.53,34.24,34.62,15560.476
1667278800000,34.61,34.78,34.55,34.72,3786.51
1667282400000,34.71,34.95,34.62,34.89,3564.622
1667286000000,34.88,35,34.73,34.8,3209.803
1667289600000,34.8,35.09,34.79,35.01,5015.495
1667293200000,35.02,35.34,34.95,35.07,7314.666
1667296800000,35.11,35.2,34.92,35.13,5653.341
1667300400000,35.13,35.14,34.5,34.76,13941.507
1667304000000,34.76,34.84,34.55,34.77,6449.391
1667307600000,34.77,34.79,34.02,34.33,5627.112
1667311200000,34.33,34.45,34.06,34.34,6456.073
1667314800000,34.34,34.5,34.15,34.3,5793.646
1667318400000,34.31,34.36,33.82,33.97,7955.406
1667322000000,33.95,34.15,33.89,34.12,4785.051
1667325600000,34.12,34.18,33.94,34.1,12786.056
1667329200000,34.08,34.13,33.85,33.87,8441.136
