date,open,high,low,close,volume
1667005200000,4.1952,4.1985,4.182,4.1899,4492.46
1667008800000,4.1899,4.1943,4.182,4.1854,7159.67
1667012400000,4.1849,4.22,4.1823,4.2019,23316.2
1667016000000,4.2,4.219,4.1314,4.1457,24041.02
1667019600000,4.1467,4.1649,4.1393,4.1399,24015.12
1667023200000,4.14,4.1891,4.1399,4.1799,14502.14
1667026800000,4.1883,4.2323,4.1658,4.201,42670.38
1667030400000,4.1939,4.2539,4.1855,4.208,35438.63
1667034000000,4.2095,4.251,4.2082,4.2326,22405.56
1667037600000,4.2361,4.239,4.1603,4.1774,29332.51
1667041200000,4.1774,4.1774,4.0877,4.1217,38155.52
1667044800000,4.1227,4.1423,4.1102,4.1339,9753.3
1667048400000,4.1339,4.1396,4.0982,4.1344,21116.84
1667052000000,4.1289,4.1625,4.099,4.1103,27199.49
1667055600000,4.1114,4.1689,4.0618,4.0882,60387.75
1667059200000,4.0872,4.1071,4.0668,4.0918,33177.86
1667062800000,4.0918,4.1229,4.018,4.0292,43117.1
1667066400000,4.0428,4.0847,4.0235,4.0668,26027.7
1667070000000,4.07,4.2,4.0464,4.0963,27074.32
1667073600000,4.0907,4.0966,4.0537,4.0821,13028.78
1667077200000,4.0769,4.0973,4.06,4.0879,10934.54
1667080800000,4.0895,4.097,4.048,4.05,4991.02
1667084400000,4.05,4.1032,4.0466,4.0994,8417.73
1667088000000,4.0994,4.15,4.0901,4.0926,19293.09
1667091600000,4.0993,4.1254,4.0907,4.1034,6802.17
1667095200000,4.1108,4.1452,4.0981,4.1085,10630.55
1667098800000,4.1085,4.1561,4.1085,4.1561,12822.3
1667102400000,4.1562,4.1598,4.1128,4.1236,24713.16
1667106000000,4.1219,4.1484,4.1102,4.12,13513.6
1667109600000,4.1199,4.126,4.08,4.1147,17605.57
1667113200000,4.1147,4.1147,4.0852,4.0972,11050.03
1667116800000,4.0972,4.1639,4.0899,4.154,47585.42
1667120400000,4.1499,4.1919,4.1009,4.1122,32646.46
1667124000000,4.1046,4.1259,4.0785,4.1035,23411.31
1667127600000,4.1033,4.14,4.1032,4.1301,23606.39
1667131200000,4.1301,4.2478,4.101,4.2277,70232.15
1667134800000,4.2278,4.45,4.187,4.398,257030.2
1667138400000,4.4015,5.9,4.39,5.3968,2132576.84
1667142000000,5.4048,5.7552,5.0201,5.0517,967943.13
1667145600000,5.0504,5.6325,4.9101,5.373,845368.68
1667149200000,5.3741,5.4288,5.0745,5.2041,386519.29
1667152800000,5.2041,5.2865,5,5.0476,194125.41
1667156400000,5.0532,5.275,5.0276,5.048,267986.41
1667160000000,5.048,5.2222,4.95,5.0375,244137.07
1667163600000,5.0448,5.183,4.9974,5.1369,108620.06
1667167200000,5.1369,5.5748,5.0556,5.5051,328652.16
1667170800000,5.5118,5.5119,5.17,5.2328,274575.88
1667174400000,5.2245,5.4,5.003,5.17,228541.42
1667178000000,5.1613,5.4187,5.1408,5.2284,275540.16
1667181600000,5.2284,5.41,5.1005,5.3972,241845.61
1667185200000,5.394,5.5,4.77,5.3096,571129.68
1667188800000,5.3086,5.3595,5.1257,5.1941,162194.63
1667192400000,5.1941,5.216,5.0785,5.1038,118066.23
1667196000000,5.104,5.3199,5.0494,5.2255,241666.61
1667199600000,5.2269,5.2767,5.1105,5.1898,102194.25
1667203200000,5.1891,5.2415,5.1,5.1774,121573.45
1667206800000,5.1708,5.2174,5.0501,5.094,224121.15
1667210400000,5.0845,5.1109,4.9035,4.9513,206782.72
1667214000000,4.95,5.0428,4.8902,4.9671,154279.31
1667217600000,4.965,5.062,4.8468,4.8804,149279.88
1667221200000,4.8865,4.8911,4.6607,4.6607,254847
1667224800000,4.6608,4.8251,4.5992,4.688,266515.4
1667228400000,4.6842,4.7467,4.6276,4.6546,94675.15
1667232000000,4.6517,4.7579,4.6403,4.7148,108714.59
1667235600000,4.7148,4.7555,4.6861,4.7112,35903.97
1667239200000,4.7112,4.7254,4.6793,4.7035,36528.32
1667242800000,4.7064,4.8232,4.679,4.7622,51293.39
1667246400000,4.7624,4.7863,4.7189,4.741,82504.92
1667250000000,4.7431,4.7557,4.7204,4.7477,10963.38
1667253600000,4.7491,4.7752,4.7279,4.7519,22986.7
1667257200000,4.7528,4.7886,4.7464,4.7735,29257.57
1667260800000,4.7696,4.8457,4.7519,4.7798,62585.69
1667264400000,4.7798,4.8711,4.7677,4.8006,48387.56
1667268000000,4.8072,4.8564,4.7801,4.8378,35937.67
1667271600000,4.8309,4.8477,4.7465,4.7644,42756.77
1667275200000,4.7751,4.7935,4.6174,4.6475,105599.74
1667278800000,4.6475,4.6923,4.5538,4.602,121318.29
1667282400000,4.6014,4.6427,4.5885,4.642,44254.5
1667286000000,4.642,4.6865,4.6234,4.6794,64347.49
1667289600000,4.6863,4.75,4.6774,4.7126,64802.35
1667293200000,4.7042,4.7299,4.585,4.6309,163406.07
1667296800000,4.6307,4.6735,4.6298,4.6728,40150.92
1667300400000,4.6736,4.6736,4.55,4.5887,113653.65
1667304000000,4.5887,5.2525,4.579,5.0282,847324.82
1667307600000,5.0413,5.3,4.8882,4.9699,422017.92
1667311200000,4.97,5.1611,4.8856,4.8856,162636.89
1667314800000,4.8888,4.9839,4.7954,4.861,125530.23
1667318400000,4.861,4.9017,4.7471,4.7581,80188.89
1667322000000,4.7582,4.7772,4.7265,4.7383,38381.55
1667325600000,4.7359,4.8864,4.7165,4.8377,87368.37
1667329200000,4.8377,4.8377,4.7503,4.7911,34413.15
1667332800000,4.7933,4.84,4.7763,4.8306,23620.05
1667336400000,4.835,4.835,4.775,4.7969,17545.2
1667340000000,4.7969,4.8507,4.7911,4.8214,27565.06
1667343600000,4.8275,4.8827,4.7951,4.8152,27872.9
1667347200000,4.82,4.93,4.8025,4.8919,49994.17
1667350800000,4.8912,4.9014,4.8041,4.815,48657.08
1667354400000,4.8235,4.8285,4.7622,4.7961,24308.58
1667358000000,4.7961,4.8006,4.7341,4.7594,45502.76
1667361600000,4.7602,5.094,4.675,4.8962,237078.59
1667365200000,4.895,5.1549,4.8414,4.9934,256876.94
1667368800000,4.992,5.17,4.9681,5.0031,184741.45
1667372400000,5.0026,5.0799,4.9012,5.0016,129827.24
1667376000000,5.0033,5.0664,4.9747,4.9803,70157.76
1667379600000,4.9743,5.0259,4.85,5.0081,115753.56
1667383200000,5.0075,5.0499,4.8619,4.9207,101517.48
1667386800000,4.9229,4.9929,4.8912,4.9109,61236.91
1667390400000,4.9116,4.9345,4.8134,4.8211,62020.32
1667394000000,4.8214,4.8271,4.7092,4.7568,120877.92
1667397600000,4.7568,4.8594,4.7568,4.8033,60048.66
1667401200000,4.8032,4.8367,4.7292,4.823,43790.85
1667404800000,4.8313,5.05,4.8234,4.9254,160320.1
1667408400000,4.9243,4.9458,4.8143,4.8453,52732.95
1667412000000,4.8323,5.1,4.818,4.9523,163982.39
1667415600000,4.9491,5.1,4.9261,5.0583,148179.44
1667419200000,5.0613,5.0613,4.9315,4.989,56450.87
1667422800000,4.9855,5.0281,4.9656,5.0016,30770.28
1667426400000,4.9968,5.0877,4.9623,5.038,33971.09
1667430000000,5.0382,5.048,4.9568,5.0389,35507.11
1667433600000,5.0349,5.2987,5.0345,5.11,225599.87
1667437200000,5.1144,5.2972,5.1059,5.2261,90097.9
1667440800000,5.2259,5.2627,5.1168,5.1419,75582.21
1667444400000,5.1374,5.2149,5.1121,5.1358,85235.15
1667448000000,5.136,5.1599,5.0342,5.0378,94197.72
1667451600000,5.0419,5.0888,4.9824,5.063,94812.08
1667455200000,5.0621,5.2,5.0374,5.1837,94244.76
1667458800000,5.1738,5.21,5.0894,5.1658,60786.87
1667462400000,5.1659,5.1807,5.1076,5.1103,46027.91
1667466000000,5.1074,5.177,5.0993,5.1241,77427.71
1667469600000,5.1145,5.1773,5.0584,5.0666,275476.31
1667473200000,5.0666,5.0878,4.925,4.971,86415.4
1667476800000,4.9745,5.025,4.9,4.9367,55089.18
1667480400000,4.9453,4.9811,4.9131,4.9269,50264.68
1667484000000,4.9352,5.0371,4.9268,5.0111,42007.87
1667487600000,5.0085,5.1446,5.0033,5.1254,102701.95
1667491200000,5.1314,5.1399,5.0569,5.0672,47960.98
1667494800000,5.0666,5.0721,4.9876,5.0169,36930.21
1667498400000,5.0105,5.0285,4.9825,5.011,19620.52
1667502000000,5.011,5.021,4.9782,4.9805,14958.97
1667505600000,4.9887,4.9887,4.9455,4.9459,13130.62
1667509200000,4.9477,5.0307,4.9423,5.0055,16097.2
1667512800000,5.0017,5.0017,4.8577,4.8652,55107.39
1667516400000,4.8585,4.8713,4.7969,4.8137,56973.4
1667520000000,4.8128,4.8952,4.7903,4.8068,64670.16
1667523600000,4.802,4.831,4.7537,4.8152,56041.81
1667527200000,4.8147,4.8843,4.8147,4.8551,29617.64
1667530800000,4.8575,4.9013,4.8217,4.862,37052.55
1667534400000,4.8603,5.0016,4.8381,4.9761,71479.63
1667538000000,4.9741,5.0599,4.9084,4.946,72654.7
1667541600000,4.95,5.0589,4.9455,5.0363,43134.85
1667545200000,5.0362,5.14,4.975,5.0038,65146.61
1667548800000,5.005,5.058,4.9799,4.9925,34498.97
1667552400000,4.9861,5.0275,4.986,5.0068,23534.65
