date,open,high,low,close,volume
1667005200000,7.146,7.15,7.118,7.118,72340.42
1667008800000,7.118,7.164,7.112,7.144,169029.35
1667012400000,7.143,7.214,7.137,7.2,273771.8
1667016000000,7.202,7.224,7.145,7.152,128602.36
1667019600000,7.15,7.191,7.131,7.147,110677.42
1667023200000,7.147,7.171,7.14,7.141,30774.03
1667026800000,7.142,7.187,7.139,7.185,67215.12
1667030400000,7.186,7.29,7.171,7.256,265318.13
1667034000000,7.256,7.279,7.234,7.276,82343.26
1667037600000,7.276,7.287,7.184,7.201,232082.39
1667041200000,7.203,7.223,7.142,7.156,108353.68
1667044800000,7.157,7.197,7.136,7.191,68069.93
1667048400000,7.192,7.198,7.076,7.137,189628.63
1667052000000,7.136,7.199,7.116,7.139,129944.04
1667055600000,7.139,7.188,7.125,7.182,182974.8
1667059200000,7.181,7.393,7.169,7.332,722267.74
1667062800000,7.333,7.53,7.323,7.409,1009492.94
1667066400000,7.408,7.599,7.38,7.502,741581.02
1667070000000,7.502,7.55,7.455,7.546,211625.78
1667073600000,7.547,7.613,7.526,7.572,282480.93
1667077200000,7.571,7.661,7.57,7.591,323644.15
1667080800000,7.593,7.649,7.494,7.513,256094.13
1667084400000,7.512,7.647,7.484,7.636,168525.12
1667088000000,7.637,7.674,7.553,7.598,257278.71
1667091600000,7.598,7.777,7.58,7.776,395365.68
1667095200000,7.775,7.787,7.678,7.763,384155.06
1667098800000,7.762,7.83,7.744,7.824,212799.45
1667102400000,7.823,7.856,7.71,7.741,213586.82
1667106000000,7.74,7.787,7.705,7.716,181961.27
1667109600000,7.717,7.778,7.694,7.755,117087.3
1667113200000,7.756,7.82,7.73,7.804,196582.25
1667116800000,7.803,7.815,7.625,7.659,274405.1
1667120400000,7.659,7.708,7.542,7.583,216744.63
1667124000000,7.582,7.614,7.542,7.583,238767.3
1667127600000,7.585,7.598,7.52,7.581,137828.72
1667131200000,7.58,7.62,7.48,7.595,322402.91
1667134800000,7.594,7.616,7.521,7.542,228416.6
1667138400000,7.54,7.613,7.526,7.6,160306.07
1667142000000,7.601,7.62,7.508,7.542,320934.88
1667145600000,7.541,7.646,7.518,7.616,264783.52
1667149200000,7.617,7.721,7.588,7.693,264048.42
1667152800000,7.692,7.765,7.653,7.764,395611.01
1667156400000,7.764,7.784,7.726,7.742,128270.86
1667160000000,7.742,7.835,7.729,7.834,192412.01
1667163600000,7.834,7.932,7.81,7.854,485876.36
1667167200000,7.854,7.858,7.701,7.772,318362.92
1667170800000,7.769,7.817,7.713,7.782,369395.44
1667174400000,7.783,7.904,7.73,7.739,301684.8
1667178000000,7.738,7.803,7.702,7.741,307812.19
1667181600000,7.74,7.834,7.664,7.79,202386.83
1667185200000,7.793,7.987,7.788,7.956,493276.03
1667188800000,7.957,7.968,7.843,7.91,339218.71
1667192400000,7.909,8.035,7.883,7.903,356343.67
1667196000000,7.903,7.98,7.858,7.974,360665.25
1667199600000,7.975,7.98,7.9,7.968,183782.21
1667203200000,7.97,7.97,7.838,7.866,220900.86
1667206800000,7.865,8.1,7.862,8.074,365190.4
1667210400000,8.073,8.197,8.05,8.143,553387.38
1667214000000,8.143,8.191,8.064,8.086,447664.64
1667217600000,8.087,8.154,8.02,8.108,371935.64
1667221200000,8.109,8.333,7.916,7.936,1028343.78
1667224800000,7.927,8.123,7.896,7.954,862193.27
1667228400000,7.953,8.069,7.923,8.01,257783.72
1667232000000,8.011,8.065,7.921,7.982,391116.89
1667235600000,7.982,8.047,7.957,7.988,262319.64
1667239200000,7.989,8.009,7.932,7.981,182639.82
1667242800000,7.981,7.991,7.775,7.788,357213
1667246400000,7.789,7.861,7.767,7.769,183067.19
1667250000000,7.769,7.791,7.731,7.741,153363.19
1667253600000,7.741,7.853,7.719,7.82,159877.98
1667257200000,7.819,7.886,7.796,7.857,134421.88
1667260800000,7.854,7.888,7.789,7.822,181487.36
1667264400000,7.819,7.872,7.808,7.861,73543.34
1667268000000,7.863,7.923,7.834,7.901,96599.58
1667271600000,7.901,7.916,7.81,7.822,336097.89
1667275200000,7.823,7.833,7.736,7.741,213312.71
1667278800000,7.741,7.781,7.729,7.768,127891.61
1667282400000,7.767,7.858,7.746,7.825,148894.43
1667286000000,7.824,7.862,7.791,7.825,122842.84
1667289600000,7.827,7.85,7.789,7.789,103152.23
1667293200000,7.79,7.857,7.779,7.825,224928.18
1667296800000,7.825,7.89,7.798,7.837,221032.19
1667300400000,7.841,7.846,7.7,7.745,233362.83
1667304000000,7.745,7.799,7.707,7.779,186154.31
1667307600000,7.779,7.781,7.637,7.7,303765.73
