date,open,high,low,close,volume
1667005200000,0.844,0.85,0.836,0.841,401902.3
1667008800000,0.841,0.845,0.829,0.831,169017.5
1667012400000,0.831,0.855,0.828,0.855,414837.6
1667016000000,0.855,0.88,0.843,0.872,1038752
1667019600000,0.87,0.888,0.861,0.877,909043.5
1667023200000,0.877,0.894,0.867,0.88,684495.9
1667026800000,0.88,0.884,0.857,0.86,638663.7
1667030400000,0.86,0.866,0.844,0.852,590334.3
1667034000000,0.852,0.864,0.851,0.859,331653.2
1667037600000,0.859,0.924,0.846,0.918,3013824.2
1667041200000,0.918,0.94,0.886,0.903,4031926.7
1667044800000,0.903,0.918,0.893,0.898,633777.8
1667048400000,0.898,0.908,0.89,0.901,659228.6
1667052000000,0.901,0.902,0.87,0.874,634950.9
1667055600000,0.874,0.882,0.858,0.864,484985.8
1667059200000,0.863,0.888,0.86,0.882,666541.6
1667062800000,0.882,0.896,0.864,0.87,801032.9
1667066400000,0.87,0.879,0.854,0.874,481990.1
1667070000000,0.874,0.877,0.855,0.863,130911.1
1667073600000,0.863,0.877,0.861,0.871,177107.3
1667077200000,0.87,0.878,0.87,0.877,137331.4
1667080800000,0.877,0.887,0.863,0.869,274407.1
1667084400000,0.868,0.868,0.86,0.865,111491.3
1667088000000,0.865,0.881,0.865,0.869,160141.3
1667091600000,0.87,0.891,0.868,0.887,197547.6
1667095200000,0.886,0.888,0.875,0.876,159092.1
1667098800000,0.875,0.878,0.859,0.86,267172.3
1667102400000,0.86,0.863,0.848,0.852,197293.8
1667106000000,0.851,0.855,0.847,0.854,141465.1
1667109600000,0.853,0.86,0.847,0.851,244742.3
1667113200000,0.851,0.864,0.847,0.86,554098.8
1667116800000,0.861,0.861,0.812,0.83,944227.9
1667120400000,0.83,0.839,0.819,0.824,546078.9
1667124000000,0.824,0.832,0.821,0.83,189986.6
1667127600000,0.829,0.833,0.825,0.828,202725.2
1667131200000,0.829,0.832,0.821,0.83,194219.2
1667134800000,0.83,0.831,0.814,0.821,292491.3
1667138400000,0.821,0.83,0.817,0.825,216824.6
1667142000000,0.825,0.826,0.798,0.805,402421.9
1667145600000,0.805,0.818,0.804,0.813,367113.9
1667149200000,0.813,0.825,0.81,0.823,364924.1
