date,open,high,low,close,volume
1667005200000,0.4609,0.4616,0.4599,0.4599,18146.6
1667008800000,0.4599,0.4683,0.4599,0.4682,106222.2
1667012400000,0.4682,0.4682,0.4645,0.4675,58238.1
1667016000000,0.4677,0.4725,0.4665,0.4712,90075.9
1667019600000,0.4713,0.4715,0.4692,0.4703,69475.3
1667023200000,0.4702,0.4747,0.4688,0.4742,69967.8
1667026800000,0.4741,0.4871,0.4735,0.4863,218905.9
1667030400000,0.4862,0.4862,0.4736,0.4768,157607.3
1667034000000,0.4773,0.483,0.4757,0.4783,182552.3
1667037600000,0.4777,0.4787,0.4737,0.4738,88049.6
1667041200000,0.4737,0.4751,0.4721,0.4735,35863.7
1667044800000,0.4726,0.4741,0.4718,0.4737,31236.6
1667048400000,0.4738,0.4738,0.4676,0.4688,106772.5
1667052000000,0.4687,0.4715,0.466,0.4673,88958.9
1667055600000,0.4671,0.4712,0.467,0.4688,179821
1667059200000,0.4688,0.4779,0.4688,0.4737,132275.5
1667062800000,0.4738,0.475,0.4668,0.4668,145465.6
1667066400000,0.4668,0.4699,0.4633,0.4671,125882.3
1667070000000,0.4677,0.469,0.4666,0.469,27953.5
1667073600000,0.4692,0.4712,0.4686,0.4698,48362.8
1667077200000,0.4698,0.475,0.4686,0.4706,91037.9
1667080800000,0.4707,0.4744,0.4698,0.4704,26876.3
1667084400000,0.4704,0.474,0.47,0.4736,13957.7
1667088000000,0.4737,0.4743,0.4728,0.4733,19116.7
1667091600000,0.473,0.477,0.473,0.4765,32301.4
1667095200000,0.4766,0.4794,0.476,0.4765,49607.9
1667098800000,0.4761,0.4768,0.4752,0.4764,9653.2
1667102400000,0.4763,0.4773,0.4748,0.4752,39839.5
1667106000000,0.4754,0.48,0.4736,0.4797,87963.5
1667109600000,0.4799,0.4844,0.4781,0.4835,105421
1667113200000,0.4835,0.5037,0.4814,0.4986,813299.4
1667116800000,0.4977,0.5118,0.4764,0.489,1274914.3
1667120400000,0.489,0.4963,0.48,0.484,704055.7
1667124000000,0.4843,0.4858,0.4809,0.4843,203833
1667127600000,0.4841,0.4863,0.481,0.484,121060.5
1667131200000,0.484,0.4843,0.4782,0.4788,93999.6
1667134800000,0.4788,0.4797,0.4728,0.4752,159185.2
1667138400000,0.4752,0.477,0.4751,0.4763,64259.8
1667142000000,0.4766,0.487,0.4752,0.4785,275341.6
1667145600000,0.4789,0.4801,0.4741,0.4785,135319.1
1667149200000,0.479,0.4862,0.4782,0.4839,164506.5
1667152800000,0.4846,0.4857,0.4804,0.4837,72182.2
1667156400000,0.4837,0.4845,0.4815,0.4815,24662.7
1667160000000,0.4816,0.4908,0.4803,0.4808,320793.7
1667163600000,0.4809,0.4823,0.4788,0.4804,133130.1
1667167200000,0.4798,0.4798,0.4702,0.4738,209971
1667170800000,0.4738,0.4754,0.4707,0.4725,80471.4
1667174400000,0.4728,0.4772,0.4704,0.4709,97743.2
1667178000000,0.4708,0.475,0.4645,0.4661,256303.3
1667181600000,0.466,0.466,0.4573,0.4602,145184.4
1667185200000,0.4598,0.4621,0.4592,0.4621,31188.5
1667188800000,0.4615,0.463,0.4601,0.4613,30557.4
1667192400000,0.4607,0.4614,0.4577,0.458,67377.3
1667196000000,0.4579,0.4584,0.4524,0.4561,96207.2
1667199600000,0.4556,0.4586,0.4551,0.4584,32727.9
1667203200000,0.4585,0.4586,0.4555,0.4569,43202
1667206800000,0.4567,0.4651,0.4563,0.4627,167436.4
1667210400000,0.4628,0.4653,0.4601,0.4635,184830.1
1667214000000,0.4639,0.4676,0.4638,0.4676,106242
1667217600000,0.4676,0.4688,0.4628,0.4649,141111.1
1667221200000,0.4649,0.4649,0.453,0.4539,153609.5
1667224800000,0.4535,0.4562,0.449,0.4542,285261.7
1667228400000,0.4541,0.4572,0.4524,0.4551,67744.7
1667232000000,0.4551,0.4582,0.4539,0.4568,102954.4
1667235600000,0.4563,0.4578,0.4546,0.4548,61058.9
1667239200000,0.4548,0.4579,0.4548,0.4573,30030.9
1667242800000,0.457,0.4571,0.4546,0.4558,15688.4
1667246400000,0.4557,0.4569,0.4548,0.4562,37321.7
1667250000000,0.4562,0.4566,0.4548,0.4565,21973.6
1667253600000,0.4564,0.4581,0.4547,0.4577,33577.4
1667257200000,0.4575,0.4575,0.4548,0.456,41633.2
1667260800000,0.4558,0.458,0.4554,0.4563,31541.7
1667264400000,0.4567,0.459,0.4567,0.4585,21081.6
1667268000000,0.4582,0.4595,0.4569,0.459,37530.4
1667271600000,0.4591,0.4595,0.4582,0.4583,33473.2
1667275200000,0.4583,0.4588,0.4554,0.458,83061.7
1667278800000,0.4578,0.4584,0.456,0.4567,23757.7
1667282400000,0.4567,0.4588,0.4564,0.4588,37159.2
1667286000000,0.4584,0.4594,0.4581,0.4592,21311.7
1667289600000,0.4593,0.4606,0.4591,0.4591,24605.8
1667293200000,0.4589,0.4629,0.4575,0.4588,83053.7
1667296800000,0.4591,0.4654,0.4579,0.4612,88593.7
1667300400000,0.4613,0.4625,0.4592,0.4593,34498.7
1667304000000,0.4596,0.46,0.458,0.4592,17639.3
1667307600000,0.4589,0.4595,0.45,0.451,260564.7
1667311200000,0.4512,0.4533,0.4496,0.4512,120406.2
1667314800000,0.4506,0.4537,0.4506,0.4531,59972.7
1667318400000,0.4531,0.4549,0.4516,0.4521,70168.4
