date,open,high,low,close,volume
1667005200000,9.35,9.37,9.33,9.34,820.92
1667008800000,9.35,9.41,9.31,9.37,1495.13
1667012400000,9.37,9.48,9.35,9.43,4412.22
1667016000000,9.45,9.51,9.4,9.43,1423.82
1667019600000,9.44,9.44,9.38,9.43,2160.07
1667023200000,9.42,9.55,9.42,9.5,7619.02
1667026800000,9.5,9.55,9.5,9.54,2882.09
1667030400000,9.54,9.76,9.52,9.65,16704.53
1667034000000,9.64,9.64,9.56,9.6,2755.94
1667037600000,9.6,9.62,9.44,9.46,5909.98
1667041200000,9.46,9.52,9.39,9.46,3198.12
1667044800000,9.45,9.53,9.44,9.53,3139.6
1667048400000,9.53,9.54,9.41,9.49,2450.24
1667052000000,9.47,9.52,9.41,9.44,2525.13
1667055600000,9.44,9.53,9.43,9.5,2632.36
1667059200000,9.53,9.7,9.49,9.65,7040.71
1667062800000,9.65,9.71,9.42,9.49,11301.27
1667066400000,9.49,9.59,9.43,9.51,8421.75
1667070000000,9.52,9.54,9.41,9.49,1960.1
1667073600000,9.5,9.55,9.47,9.5,1186.12
1667077200000,9.5,9.55,9.5,9.52,3947.68
1667080800000,9.52,9.56,9.31,9.34,27712.74
1667084400000,9.35,9.44,9.32,9.44,1736.32
1667088000000,9.44,9.48,9.39,9.42,2026.28
1667091600000,9.41,9.54,9.39,9.53,1487.46
1667095200000,9.54,9.57,9.49,9.55,1244.52
1667098800000,9.56,9.6,9.54,9.58,1163.52
1667102400000,9.58,9.59,9.51,9.51,1807.52
1667106000000,9.53,9.6,9.53,9.57,989.46
1667109600000,9.57,9.65,9.5,9.6,2869.15
1667113200000,9.6,9.78,9.58,9.77,6375.33
1667116800000,9.78,9.79,9.54,9.67,6695.86
1667120400000,9.66,9.73,9.47,9.55,5455.49
1667124000000,9.56,9.62,9.53,9.57,3159.64
1667127600000,9.57,9.62,9.52,9.6,4095.66
1667131200000,9.61,9.61,9.5,9.57,1946.18
1667134800000,9.57,9.57,9.4,9.42,7457.67
1667138400000,9.41,9.48,9.38,9.47,3435.94
1667142000000,9.47,9.48,9.23,9.26,2916.16
1667145600000,9.25,9.38,9.23,9.29,3284.31
1667149200000,9.28,9.34,9.28,9.32,1301.54
1667152800000,9.32,9.35,9.28,9.35,1000.71
1667156400000,9.35,9.39,9.34,9.35,842.01
1667160000000,9.34,9.44,9.33,9.42,1810.02
1667163600000,9.42,9.44,9.38,9.43,825.59
1667167200000,9.39,9.39,9.15,9.29,3284.4
