date,open,high,low,close,volume
1667005200000,0.2737,0.2741,0.2727,0.2733,282063
1667008800000,0.2733,0.2746,0.2712,0.2732,571645
1667012400000,0.2732,0.2771,0.273,0.2757,1129313
1667016000000,0.276,0.277,0.2738,0.2745,503969
1667019600000,0.2743,0.2768,0.2736,0.2751,753763
1667023200000,0.2752,0.2775,0.2749,0.2757,1118640
1667026800000,0.2759,0.2776,0.2754,0.2768,949556
1667030400000,0.2767,0.2796,0.2756,0.2788,1251067
1667034000000,0.2789,0.2811,0.2783,0.2802,1040964
1667037600000,0.2801,0.2814,0.2756,0.2763,1187527
1667041200000,0.2763,0.2775,0.2742,0.2751,827063
1667044800000,0.2751,0.279,0.275,0.2787,808612
1667048400000,0.2785,0.2789,0.2743,0.2776,1042902
1667052000000,0.2778,0.2802,0.2745,0.2754,1683696
1667055600000,0.2754,0.2782,0.2744,0.2769,1067907
1667059200000,0.2769,0.2851,0.2765,0.2841,3542385
1667062800000,0.2842,0.2897,0.2824,0.2832,2854177
1667066400000,0.283,0.2863,0.2799,0.2834,2238142
1667070000000,0.2835,0.284,0.2783,0.2824,1112818
1667073600000,0.2824,0.2844,0.2803,0.2821,1039365
1667077200000,0.282,0.2839,0.2817,0.2828,391075
1667080800000,0.2827,0.2827,0.2773,0.2785,1725845
1667084400000,0.2786,0.2813,0.2767,0.2808,696931
1667088000000,0.2806,0.2816,0.2788,0.2793,402773
1667091600000,0.2793,0.2829,0.279,0.2829,208213
1667095200000,0.283,0.2855,0.2811,0.2826,1409909
1667098800000,0.2828,0.2834,0.2817,0.2825,361354
1667102400000,0.2825,0.2828,0.28,0.2813,587113
1667106000000,0.2812,0.2835,0.2775,0.2778,2262600
1667109600000,0.2778,0.2812,0.277,0.2797,1853978
1667113200000,0.2799,0.2911,0.2794,0.2873,3407060
1667116800000,0.2872,0.2899,0.2795,0.284,1900924
1667120400000,0.2839,0.2863,0.2784,0.2816,1387760
1667124000000,0.2816,0.2861,0.2809,0.2845,1428956
1667127600000,0.2845,0.2858,0.2825,0.2844,565000
1667131200000,0.2844,0.2844,0.2808,0.2834,795157
1667134800000,0.2832,0.2839,0.2797,0.2806,1128044
1667138400000,0.2804,0.2819,0.2787,0.281,842934
1667142000000,0.281,0.281,0.2738,0.2741,1466687
1667145600000,0.2738,0.2779,0.2723,0.2752,858817
1667149200000,0.2753,0.2781,0.2743,0.2779,338639
1667152800000,0.2779,0.2792,0.2761,0.2783,431763
1667156400000,0.2783,0.2801,0.2773,0.2782,485045
1667160000000,0.2781,0.2804,0.278,0.2781,589602
1667163600000,0.2782,0.2803,0.2782,0.2801,292875
1667167200000,0.2801,0.2801,0.2725,0.2765,763563
1667170800000,0.2765,0.2781,0.2762,0.2774,338388
1667174400000,0.2772,0.2805,0.2765,0.2767,679238
1667178000000,0.2769,0.2793,0.2752,0.2777,657572
1667181600000,0.2776,0.2779,0.2744,0.2764,681204
1667185200000,0.2765,0.2817,0.276,0.2805,1066851
1667188800000,0.2804,0.2821,0.2795,0.2805,446305
1667192400000,0.2804,0.281,0.2787,0.2794,419658
1667196000000,0.2795,0.2796,0.2747,0.2771,679995
1667199600000,0.2771,0.2772,0.2747,0.277,457092
1667203200000,0.2772,0.2772,0.2719,0.2727,615276
1667206800000,0.2725,0.2788,0.272,0.2781,643507
1667210400000,0.2783,0.2795,0.276,0.278,555353
1667214000000,0.2781,0.2807,0.2778,0.2786,618531
1667217600000,0.279,0.2798,0.2765,0.2783,442581
1667221200000,0.2783,0.2802,0.27,0.2702,801306
1667224800000,0.27,0.2737,0.2696,0.2725,1601433
1667228400000,0.2725,0.2755,0.2716,0.2738,378434
1667232000000,0.2737,0.2764,0.2712,0.2737,1523954
1667235600000,0.2737,0.2753,0.2726,0.2733,601655
1667239200000,0.2733,0.2755,0.2733,0.2746,437059
1667242800000,0.2746,0.2746,0.2725,0.2726,294187
1667246400000,0.2728,0.2746,0.2721,0.2732,421238
1667250000000,0.2729,0.2737,0.2725,0.2734,114989
1667253600000,0.273,0.2758,0.2718,0.2751,570292
1667257200000,0.275,0.276,0.2738,0.2738,337925
1667260800000,0.2738,0.2805,0.2735,0.2761,1652679
1667264400000,0.2761,0.2776,0.2753,0.2756,324640
1667268000000,0.2754,0.2767,0.2742,0.2752,272670
1667271600000,0.2758,0.2767,0.2734,0.274,194472
1667275200000,0.2739,0.2749,0.2714,0.2714,669815
1667278800000,0.2715,0.273,0.2711,0.2725,424517
1667282400000,0.2724,0.2755,0.2721,0.2752,439196
1667286000000,0.2753,0.2758,0.274,0.2749,233919
1667289600000,0.2748,0.2762,0.2746,0.2756,429075
1667293200000,0.2757,0.2786,0.2755,0.2765,759171
1667296800000,0.2766,0.2773,0.2755,0.277,356847
1667300400000,0.2771,0.2771,0.2726,0.2745,761315
1667304000000,0.2745,0.2752,0.2726,0.275,246189
1667307600000,0.2753,0.2753,0.269,0.2704,664029
1667311200000,0.2704,0.2708,0.2691,0.2696,609535
1667314800000,0.2695,0.2712,0.2694,0.2704,524042
1667318400000,0.2701,0.271,0.2675,0.2678,761444
1667322000000,0.2679,0.2685,0.2672,0.268,575610
1667325600000,0.2681,0.2689,0.2668,0.2679,1496266
1667329200000,0.2679,0.2679,0.2669,0.2671,901785
1667332800000,0.2671,0.2673,0.2656,0.2671,323359
1667336400000,0.2673,0.2673,0.2665,0.2667,137018
1667340000000,0.2667,0.2674,0.2664,0.2668,224872
1667343600000,0.2667,0.2672,0.266,0.266,207001
1667347200000,0.2661,0.2661,0.2627,0.2655,1238765
1667350800000,0.2653,0.266,0.2647,0.265,223320
1667354400000,0.2649,0.2649,0.263,0.2641,367759
1667358000000,0.2641,0.266,0.2639,0.2651,256593
1667361600000,0.265,0.2657,0.2646,0.2651,233595
1667365200000,0.265,0.2661,0.2638,0.2638,504432
1667368800000,0.264,0.264,0.2619,0.2623,619524
1667372400000,0.2625,0.2627,0.2584,0.2604,1769706
1667376000000,0.2604,0.2627,0.2588,0.2616,1333567
1667379600000,0.2617,0.2629,0.2558,0.2562,914372
1667383200000,0.2561,0.2584,0.254,0.2582,1713622
1667386800000,0.2583,0.2584,0.2571,0.2573,451723
1667390400000,0.2571,0.2571,0.255,0.2556,653889
1667394000000,0.2556,0.2573,0.2546,0.2557,628949
1667397600000,0.2558,0.2578,0.2555,0.2563,529379
1667401200000,0.2564,0.2573,0.256,0.2563,258862
1667404800000,0.2561,0.2583,0.2544,0.2581,849222
1667408400000,0.2583,0.2583,0.2544,0.256,328086
1667412000000,0.256,0.2673,0.2545,0.26,3188881
1667415600000,0.26,0.2641,0.2551,0.2567,822247
1667419200000,0.2566,0.2575,0.25,0.2538,1399676
1667422800000,0.2537,0.2556,0.2531,0.2554,294000
1667426400000,0.2552,0.2553,0.2527,0.2535,562376
1667430000000,0.2536,0.2553,0.2533,0.255,522971
1667433600000,0.2548,0.2592,0.2537,0.2584,442933
1667437200000,0.2587,0.2609,0.2587,0.2605,668650
1667440800000,0.2606,0.2638,0.2603,0.2625,420093
1667444400000,0.2627,0.265,0.2625,0.2644,510449
1667448000000,0.2648,0.2669,0.2644,0.2665,573385
1667451600000,0.2665,0.2729,0.2665,0.2728,1423273
1667455200000,0.2727,0.2737,0.2694,0.2727,1424256
1667458800000,0.2724,0.2784,0.2691,0.2705,2640389
1667462400000,0.2706,0.2743,0.269,0.2724,1299735
1667466000000,0.2724,0.2757,0.272,0.2744,1181574
1667469600000,0.2747,0.2781,0.273,0.2734,1515114
1667473200000,0.2737,0.2739,0.267,0.2699,1622542
1667476800000,0.2701,0.2721,0.2662,0.2689,669226
1667480400000,0.2688,0.2716,0.2682,0.2682,579511
1667484000000,0.2683,0.2742,0.2682,0.2738,732821
1667487600000,0.2735,0.2742,0.27,0.2703,529672
1667491200000,0.2703,0.273,0.2702,0.2728,374208
1667494800000,0.2727,0.2755,0.2716,0.274,949132
1667498400000,0.2744,0.2758,0.2724,0.2748,913819
1667502000000,0.2751,0.2848,0.2733,0.2778,4246053
1667505600000,0.2778,0.2798,0.2758,0.2764,983142
1667509200000,0.2763,0.2793,0.2759,0.2772,616124
1667512800000,0.2773,0.2774,0.2719,0.2724,927102
1667516400000,0.2722,0.2756,0.2714,0.2755,551689
1667520000000,0.2754,0.2773,0.2723,0.2763,692993
1667523600000,0.2761,0.2822,0.2742,0.2754,1679420
1667527200000,0.2754,0.279,0.2749,0.2763,571101
1667530800000,0.2763,0.2902,0.2758,0.29,2906362
1667534400000,0.29,0.342,0.2899,0.3185,27933569
1667538000000,0.3186,0.3416,0.3105,0.3272,17422308
1667541600000,0.3279,0.3299,0.3128,0.3165,7578715
1667545200000,0.3166,0.321,0.3126,0.317,3423144
1667548800000,0.3168,0.322,0.3087,0.3128,6453033
1667552400000,0.3127,0.3178,0.3096,0.3164,3581436
1667556000000,0.3165,0.38,0.3145,0.3748,30474884
1667559600000,0.3747,0.405,0.362,0.3796,45547053
1667563200000,0.3798,0.3894,0.3621,0.3761,19135625
1667566800000,0.3759,0.4122,0.3627,0.412,24958366
1667570400000,0.412,0.4262,0.3936,0.396,29757965
1667574000000,0.3955,0.4012,0.3813,0.3839,13415911
1667577600000,0.384,0.4199,0.3813,0.4187,16703620
1667581200000,0.4182,0.4241,0.3947,0.4083,17925576
1667584800000,0.4082,0.4276,0.3937,0.4055,18590487
1667588400000,0.4059,0.4061,0.3868,0.3896,9249709
1667592000000,0.3897,0.405,0.3837,0.3879,8859212
1667595600000,0.3879,0.3973,0.3816,0.3837,5517601
1667599200000,0.3837,0.3898,0.3704,0.3753,7751366
1667602800000,0.3756,0.3773,0.3668,0.3684,4675616
1667606400000,0.3682,0.3799,0.3639,0.3739,8845526
1667610000000,0.374,0.3868,0.3715,0.3741,8906218
1667613600000,0.3742,0.3834,0.3721,0.3832,4354892
1667617200000,0.3832,0.3832,0.3689,0.3737,3846962
1667620800000,0.3738,0.375,0.3659,0.3685,4048025
1667624400000,0.3685,0.3722,0.3601,0.3632,5838690
1667628000000,0.3632,0.3719,0.3629,0.369,5123917
1667631600000,0.3691,0.3701,0.3617,0.3668,4217308
1667635200000,0.3668,0.3713,0.3566,0.3596,7798613
1667638800000,0.3596,0.3619,0.3529,0.3541,3049823
1667642400000,0.3541,0.3576,0.353,0.3547,3040061
1667646000000,0.3547,0.359,0.3543,0.3561,2472856
1667649600000,0.3564,0.3618,0.3508,0.3596,5455789
1667653200000,0.3595,0.3608,0.3545,0.3586,3630302
1667656800000,0.3585,0.3611,0.3542,0.3592,2922702
1667660400000,0.3592,0.3682,0.3578,0.3595,4335959
1667664000000,0.3595,0.3674,0.3584,0.365,2933288
1667667600000,0.365,0.3684,0.3605,0.3672,2365800
1667671200000,0.3672,0.3672,0.3608,0.3627,2600839
1667674800000,0.3628,0.365,0.3588,0.3647,1991761
1667678400000,0.3648,0.3652,0.3611,0.3635,1077061
1667682000000,0.3637,0.3642,0.3603,0.3633,840349
1667685600000,0.3632,0.367,0.3615,0.3642,1513101
1667689200000,0.3642,0.3677,0.3516,0.3665,5288280
1667692800000,0.3665,0.3758,0.3577,0.3694,5532464
1667696400000,0.3696,0.3697,0.3536,0.3537,2699006
1667700000000,0.3539,0.3614,0.3539,0.3602,1415226
1667703600000,0.3603,0.3695,0.3602,0.3677,3241937
1667707200000,0.3676,0.3862,0.3657,0.3704,8756826
1667710800000,0.3704,0.3723,0.3608,0.3617,2475916
1667714400000,0.3618,0.3641,0.3584,0.361,1274751
1667718000000,0.361,0.3653,0.3596,0.3612,2119786
1667721600000,0.3612,0.3618,0.355,0.3579,2100086
1667725200000,0.3581,0.362,0.3571,0.3579,1165969
1667728800000,0.3582,0.3603,0.3564,0.3602,790512
1667732400000,0.3599,0.3599,0.3526,0.3574,1342748
1667736000000,0.3574,0.3577,0.3545,0.355,709523
1667739600000,0.355,0.365,0.355,0.3642,2351220
1667743200000,0.364,0.3749,0.3606,0.3674,4502163
1667746800000,0.3674,0.3689,0.3623,0.3625,2154476
1667750400000,0.3623,0.3668,0.3542,0.3618,2777783
1667754000000,0.3618,0.363,0.36,0.3627,901091
1667757600000,0.3626,0.363,0.3587,0.3601,782152
1667761200000,0.3601,0.3619,0.356,0.3591,1072241
1667764800000,0.3592,0.3606,0.3543,0.3563,1003777
1667768400000,0.3562,0.3565,0.3501,0.3524,1428250
1667772000000,0.3524,0.3552,0.3432,0.3447,2755303
1667775600000,0.3444,0.3452,0.3317,0.3338,4525059
1667779200000,0.3336,0.342,0.3332,0.3384,1641648
1667782800000,0.3382,0.3423,0.3349,0.3406,1856497
1667786400000,0.3405,0.343,0.3395,0.3426,1422240
1667790000000,0.3424,0.343,0.3397,0.3409,694823
1667793600000,0.3406,0.3487,0.3348,0.3381,6126247
1667797200000,0.338,0.3408,0.3376,0.338,631194
1667800800000,0.338,0.3387,0.3352,0.336,626675
1667804400000,0.3359,0.3359,0.3196,0.3209,4421355
1667808000000,0.3208,0.3274,0.3207,0.3254,1317302
1667811600000,0.3255,0.327,0.3239,0.3245,678377
1667815200000,0.3244,0.33,0.3242,0.326,843259
1667818800000,0.3259,0.3272,0.3251,0.3254,619588
1667822400000,0.3252,0.3281,0.3245,0.3278,826030
1667826000000,0.3282,0.3283,0.324,0.3248,692555
1667829600000,0.3248,0.326,0.3201,0.3224,1399767
1667833200000,0.3227,0.3322,0.3225,0.3308,2275192
1667836800000,0.3308,0.334,0.3269,0.327,2543964
1667840400000,0.3268,0.3303,0.3268,0.3298,651817
1667844000000,0.33,0.334,0.3297,0.3309,1046476
1667847600000,0.3309,0.3349,0.3299,0.333,1046902
1667851200000,0.3334,0.3342,0.3293,0.3303,803280
1667854800000,0.3303,0.3309,0.3241,0.3253,1609224
1667858400000,0.3255,0.3261,0.3141,0.3203,1953832
1667862000000,0.3206,0.3245,0.3206,0.323,1086716
1667865600000,0.3233,0.3296,0.3229,0.3277,2431593
1667869200000,0.3274,0.332,0.3261,0.3285,1904037
1667872800000,0.3284,0.3313,0.3182,0.3184,1579903
1667876400000,0.3183,0.3221,0.305,0.3064,6062607
1667880000000,0.3063,0.3101,0.2951,0.2978,5866665
1667883600000,0.2977,0.3001,0.2876,0.293,3388972
1667887200000,0.2929,0.2993,0.2903,0.2978,1751826
1667890800000,0.2979,0.3031,0.2967,0.3001,2054840
1667894400000,0.3,0.3012,0.2973,0.2982,1079699
1667898000000,0.2982,0.3025,0.2981,0.3001,1159327
1667901600000,0.3004,0.3014,0.2978,0.299,1225978
1667905200000,0.299,0.3004,0.2953,0.2964,1293010
1667908800000,0.2965,0.2984,0.2944,0.298,1532796
1667912400000,0.298,0.2986,0.2945,0.2949,754512
1667916000000,0.2948,0.2977,0.2892,0.2951,2763479
1667919600000,0.2953,0.2982,0.2903,0.2982,853911
1667923200000,0.2982,0.3187,0.2972,0.31,7105424
1667926800000,0.3099,0.3127,0.2915,0.2921,2804613
1667930400000,0.2923,0.2953,0.2686,0.2706,9860614
1667934000000,0.2704,0.2731,0.2211,0.2591,13728674
1667937600000,0.2593,0.2635,0.2516,0.258,4428477
1667941200000,0.2577,0.2621,0.255,0.2602,2249428
1667944800000,0.26,0.2602,0.2546,0.2563,1524777
1667948400000,0.256,0.264,0.2543,0.2602,1663029
1667952000000,0.2599,0.2656,0.2561,0.2564,2970058
1667955600000,0.2563,0.2608,0.2546,0.2556,3206868
1667959200000,0.2554,0.2598,0.2492,0.2498,2558886
1667962800000,0.2497,0.2568,0.2477,0.2557,2253063
1667966400000,0.2556,0.2565,0.252,0.2549,2382605
1667970000000,0.2552,0.2592,0.2485,0.2528,3362229
1667973600000,0.2528,0.2583,0.2517,0.2524,2110942
1667977200000,0.2525,0.2565,0.2515,0.2524,2165878
1667980800000,0.2523,0.2532,0.2433,0.2491,2848235
1667984400000,0.249,0.2499,0.2376,0.2415,3647261
1667988000000,0.2416,0.2441,0.2336,0.2402,3133724
1667991600000,0.2403,0.2476,0.2392,0.2473,1679310
1667995200000,0.2473,0.2511,0.2444,0.2483,1814729
1667998800000,0.2482,0.2494,0.2428,0.2454,1612460
1668002400000,0.2449,0.2505,0.2401,0.246,1857130
1668006000000,0.2461,0.2498,0.2362,0.2387,3963483
1668009600000,0.2386,0.2445,0.2347,0.239,1586068
1668013200000,0.239,0.242,0.2347,0.2361,827336
1668016800000,0.2358,0.236,0.2255,0.2294,1594119
1668020400000,0.2297,0.236,0.2282,0.2321,1279644
1668024000000,0.2318,0.238,0.2264,0.2313,1366906
1668027600000,0.2313,0.2315,0.2094,0.2125,3171658
1668031200000,0.2122,0.217,0.2103,0.2131,1615712
1668034800000,0.2131,0.2166,0.2069,0.2144,3515562
1668038400000,0.2143,0.2269,0.2108,0.2268,4746594
1668042000000,0.2263,0.233,0.2256,0.232,3803411
1668045600000,0.2316,0.2387,0.2302,0.2372,2124246
1668049200000,0.2374,0.2489,0.2369,0.244,3573982
1668052800000,0.244,0.249,0.2421,0.2481,2538110
1668056400000,0.2482,0.2509,0.2438,0.2485,4988015
1668060000000,0.2482,0.2684,0.2466,0.2646,5237207
1668063600000,0.2644,0.3,0.2569,0.2928,11497177
1668067200000,0.2927,0.312,0.266,0.2823,15631555
1668070800000,0.2824,0.2829,0.2664,0.2678,7544464
1668074400000,0.2679,0.2709,0.2499,0.2521,7150447
1668078000000,0.2524,0.2674,0.2502,0.2627,4864243
1668081600000,0.2626,0.2689,0.2561,0.2621,4425526
1668085200000,0.2621,0.2807,0.2607,0.275,7546924
1668088800000,0.2751,0.2766,0.2678,0.2755,3329859
1668092400000,0.2754,0.2822,0.2682,0.2726,6295716
1668096000000,0.2725,0.2826,0.271,0.2732,3134705
1668099600000,0.2729,0.2746,0.2623,0.266,2681951
1668103200000,0.2659,0.2714,0.2652,0.2702,1208913
1668106800000,0.2698,0.2734,0.2673,0.2717,1132932
1668110400000,0.2716,0.2781,0.2697,0.276,2323564
1668114000000,0.2761,0.2777,0.2715,0.2727,1470105
1668117600000,0.2725,0.274,0.2718,0.272,781549
1668121200000,0.2721,0.2738,0.2686,0.2713,1323880
1668124800000,0.2711,0.2764,0.2673,0.2754,2912039
1668128400000,0.2755,0.2782,0.2655,0.2671,2961315
1668132000000,0.2673,0.2689,0.2623,0.2659,1347313
1668135600000,0.2658,0.2665,0.2583,0.263,1475579
1668139200000,0.2629,0.2641,0.26,0.2613,702791
1668142800000,0.2613,0.2676,0.2608,0.2668,1026322
1668146400000,0.2667,0.2679,0.2628,0.2642,736694
1668150000000,0.2644,0.2691,0.2624,0.2688,910363
1668153600000,0.2689,0.2732,0.2669,0.2709,1399104
1668157200000,0.2709,0.2737,0.2671,0.2728,1052435
1668160800000,0.2726,0.2779,0.2686,0.2726,4134557
1668164400000,0.2726,0.2759,0.2702,0.2716,1051215
1668168000000,0.2717,0.2749,0.2699,0.2739,1025790
1668171600000,0.2735,0.2793,0.2718,0.2785,1649329
1668175200000,0.2785,0.2786,0.2475,0.2602,9560008
1668178800000,0.2601,0.2639,0.2567,0.2594,1803274
1668182400000,0.2597,0.2606,0.2512,0.2561,1465576
1668186000000,0.256,0.2582,0.2538,0.2571,1532021
1668189600000,0.2569,0.26,0.2565,0.2571,927283
1668193200000,0.2573,0.2583,0.2547,0.2575,549392
1668196800000,0.2572,0.2575,0.2512,0.2535,521695
1668200400000,0.2539,0.2578,0.2538,0.2569,838886
1668204000000,0.2569,0.2605,0.2569,0.2602,392209
1668207600000,0.2601,0.2638,0.2574,0.2635,491620
1668211200000,0.2634,0.2643,0.2582,0.2597,500587
1668214800000,0.2597,0.2597,0.2556,0.257,420460
1668218400000,0.257,0.2599,0.2553,0.2553,420943
1668222000000,0.2554,0.2564,0.2517,0.2527,703716
1668225600000,0.2527,0.2541,0.2426,0.2435,1685071
1668229200000,0.2438,0.2439,0.2393,0.2432,2213988
1668232800000,0.2431,0.2485,0.2419,0.2472,1389512
1668236400000,0.2472,0.253,0.2472,0.2498,1178557
1668240000000,0.2498,0.2512,0.247,0.2487,798452
1668243600000,0.2485,0.2496,0.247,0.2485,369225
1668247200000,0.2485,0.2524,0.2468,0.2479,1060151
1668250800000,0.2479,0.2498,0.2464,0.2498,374163
