date,open,high,low,close,volume
1667005200000,0.975,0.975,0.972,0.974,2664.4
1667008800000,0.973,0.976,0.972,0.976,3361.2
1667012400000,0.977,0.982,0.977,0.982,2392.6
1667016000000,0.982,0.982,0.975,0.976,5170.7
1667019600000,0.976,0.978,0.973,0.976,2087.9
1667023200000,0.977,0.978,0.974,0.978,3830.9
1667026800000,0.978,0.98,0.974,0.979,1404.5
1667030400000,0.979,0.985,0.976,0.983,21688.8
1667034000000,0.982,0.985,0.981,0.984,6099
1667037600000,0.985,0.986,0.977,0.977,4632.7
1667041200000,0.977,0.978,0.974,0.976,5760
1667044800000,0.975,0.979,0.974,0.978,2315.6
1667048400000,0.978,0.978,0.973,0.976,1412.9
1667052000000,0.974,0.986,0.974,0.976,10317.3
1667055600000,0.98,0.98,0.973,0.974,7536.3
1667059200000,0.975,0.984,0.975,0.983,5460.8
1667062800000,0.982,0.987,0.98,0.98,12398.4
1667066400000,0.98,0.982,0.977,0.98,1134.5
1667070000000,0.98,0.98,0.977,0.98,456.3
1667073600000,0.977,0.985,0.977,0.982,15830.5
1667077200000,0.979,0.982,0.978,0.979,1370.4
1667080800000,0.982,0.982,0.978,0.978,439
1667084400000,0.978,0.981,0.978,0.981,488.5
1667088000000,0.979,0.99,0.978,0.984,37791.6
1667091600000,0.98,0.984,0.98,0.984,7156.9
1667095200000,0.984,0.984,0.98,0.984,1893.4
1667098800000,0.984,0.984,0.982,0.984,2323.5
1667102400000,0.984,0.999,0.982,0.992,45136
1667106000000,0.995,1.013,0.993,1.007,51710.6
1667109600000,1.003,1.007,0.993,0.996,15946.4
1667113200000,0.995,1.007,0.995,1.006,24491.3
1667116800000,1.006,1.007,0.99,0.995,9692.6
1667120400000,0.995,0.998,0.986,0.988,6805.1
1667124000000,0.987,0.989,0.983,0.988,5390
1667127600000,0.988,0.988,0.983,0.988,4915.5
1667131200000,0.987,0.988,0.982,0.985,4220.4
1667134800000,0.982,0.983,0.977,0.977,4376.8
1667138400000,0.979,0.982,0.975,0.982,2925.1
1667142000000,0.979,0.982,0.976,0.976,5688.3
1667145600000,0.979,0.982,0.972,0.972,10862.4
1667149200000,0.976,0.978,0.972,0.977,7676.9
1667152800000,0.977,0.979,0.974,0.978,920.1
1667156400000,0.979,0.979,0.975,0.975,2149.5
1667160000000,0.978,0.982,0.976,0.982,3056.5
1667163600000,0.982,0.985,0.98,0.981,4080.4
1667167200000,0.983,0.984,0.973,0.979,2297.1
1667170800000,0.977,0.982,0.976,0.978,6491.8
1667174400000,0.978,0.983,0.975,0.975,3007.7
1667178000000,0.978,0.978,0.967,0.968,12708.7
1667181600000,0.97,0.97,0.964,0.966,3625.3
1667185200000,0.965,0.971,0.962,0.971,9115.3
1667188800000,0.972,0.972,0.968,0.971,1322.1
1667192400000,0.967,0.977,0.967,0.977,14987
1667196000000,0.978,0.98,0.974,0.978,11842.2
1667199600000,0.978,0.979,0.973,0.979,10909.7
1667203200000,0.977,0.984,0.974,0.979,12687.9
1667206800000,0.979,0.988,0.979,0.985,30909.7
1667210400000,0.986,0.99,0.985,0.988,7434.7
1667214000000,0.988,0.99,0.986,0.986,2893.2
1667217600000,0.987,0.99,0.983,0.989,7102.4
1667221200000,0.987,1.011,0.98,0.981,70737.9
1667224800000,0.982,0.985,0.974,0.98,19135.6
1667228400000,0.983,0.985,0.98,0.981,9568.1
1667232000000,0.982,0.982,0.975,0.975,9603
1667235600000,0.978,0.983,0.978,0.98,3075.3
1667239200000,0.98,0.982,0.975,0.979,3764.6
1667242800000,0.978,0.981,0.975,0.978,5026.5
1667246400000,0.978,0.981,0.977,0.981,907.4
1667250000000,0.981,0.982,0.977,0.978,603.3
1667253600000,0.978,0.985,0.978,0.985,1245.7
1667257200000,0.985,0.995,0.985,0.988,7914.2
1667260800000,0.989,0.997,0.986,0.995,48239.1
1667264400000,0.996,1.01,0.995,1.009,38978.6
1667268000000,1.011,1.032,1.005,1.022,80474.1
1667271600000,1.019,1.02,1.008,1.012,4848.4
1667275200000,1.015,1.018,1.001,1.005,15476.1
1667278800000,1.007,1.011,1,1.002,17358.6
1667282400000,1.003,1.006,0.999,1.001,11538.2
1667286000000,1.001,1.005,0.998,1.004,6793.1
1667289600000,1.005,1.006,1.001,1.001,2207.3
1667293200000,1.001,1.006,1,1.006,1314.1
1667296800000,1.006,1.011,1.004,1.011,2346.3
1667300400000,1.008,1.011,0.997,0.997,8643.2
1667304000000,0.997,1.001,0.994,1.001,5307.7
1667307600000,0.998,0.999,0.987,0.988,19813.6
1667311200000,0.987,0.992,0.986,0.989,7154.3
1667314800000,0.989,0.991,0.987,0.988,920.7
1667318400000,0.99,0.992,0.988,0.989,684.2
1667322000000,0.988,0.989,0.986,0.989,1803.1
1667325600000,0.987,0.991,0.986,0.99,1039.9
1667329200000,0.991,0.994,0.99,0.991,7686.7
1667332800000,0.993,0.999,0.99,0.999,6585.3
1667336400000,0.998,1.002,0.994,0.994,8079.9
1667340000000,0.995,0.996,0.991,0.993,5406.7
1667343600000,0.993,0.994,0.99,0.993,1803.5
1667347200000,0.99,0.99,0.984,0.985,17503.2
1667350800000,0.988,0.989,0.984,0.985,8348.1
1667354400000,0.985,0.986,0.98,0.985,9578.9
1667358000000,0.982,0.987,0.982,0.986,6138.2
1667361600000,0.983,0.987,0.983,0.985,1870.7
1667365200000,0.985,0.99,0.983,0.985,18120.9
1667368800000,0.984,0.985,0.979,0.982,7469.4
1667372400000,0.982,0.982,0.97,0.974,6829.4
1667376000000,0.974,0.977,0.971,0.977,3106.2
1667379600000,0.977,0.978,0.97,0.97,5285.9
1667383200000,0.97,0.97,0.959,0.962,23542.8
1667386800000,0.962,0.964,0.962,0.963,3478.1
1667390400000,0.963,0.963,0.957,0.957,6430.9
1667394000000,0.958,0.96,0.956,0.959,8319.6
1667397600000,0.957,0.966,0.957,0.963,7568.8
1667401200000,0.963,0.963,0.957,0.959,1963.1
1667404800000,0.96,0.969,0.956,0.965,94254.8
1667408400000,0.966,0.966,0.957,0.961,8139.4
1667412000000,0.959,1.03,0.956,0.963,124470.2
1667415600000,0.963,0.972,0.953,0.954,22839.8
1667419200000,0.955,0.957,0.945,0.951,12224.7
1667422800000,0.95,0.953,0.949,0.952,5060.1
1667426400000,0.953,0.954,0.949,0.952,3758.5
1667430000000,0.95,0.956,0.95,0.955,981
1667433600000,0.956,0.963,0.954,0.963,5791.4
1667437200000,0.962,0.968,0.962,0.966,3516.4
1667440800000,0.968,0.972,0.965,0.97,26640.2
1667444400000,0.971,0.972,0.967,0.971,6934.2
1667448000000,0.972,0.976,0.971,0.973,9102.6
1667451600000,0.975,0.978,0.973,0.978,1979.8
1667455200000,0.978,0.978,0.975,0.977,7174.8
1667458800000,0.976,0.979,0.975,0.976,3258.7
1667462400000,0.975,0.977,0.973,0.974,6811
1667466000000,0.974,0.978,0.973,0.978,14970.6
1667469600000,0.977,0.983,0.977,0.977,8706.1
1667473200000,0.977,0.982,0.966,0.966,26598.3
1667476800000,0.967,0.971,0.964,0.968,12057.9
1667480400000,0.967,0.973,0.965,0.968,4749.7
1667484000000,0.969,0.98,0.968,0.977,5737.2
1667487600000,0.977,0.978,0.975,0.976,1369.4
1667491200000,0.977,0.979,0.976,0.979,2693.6
1667494800000,0.979,0.979,0.976,0.979,1804
1667498400000,0.979,0.979,0.976,0.979,1220
1667502000000,0.978,0.979,0.976,0.976,1681
1667505600000,0.978,0.978,0.975,0.975,3642.3
1667509200000,0.976,0.977,0.974,0.977,2572.4
1667512800000,0.977,0.977,0.968,0.969,14211.3
1667516400000,0.971,0.975,0.968,0.973,9810.9
1667520000000,0.973,0.977,0.971,0.975,4740.4
1667523600000,0.976,0.99,0.972,0.975,65930.8
1667527200000,0.974,0.983,0.974,0.982,13492
1667530800000,0.982,0.986,0.98,0.986,8974.9
1667534400000,0.984,0.988,0.984,0.986,6252.1
1667538000000,0.985,0.989,0.985,0.988,4857.7
1667541600000,0.988,0.997,0.987,0.995,8405.2
1667545200000,0.994,0.996,0.991,0.995,10842.3
1667548800000,0.995,1.003,0.992,1,43009.5
1667552400000,1,1,0.995,0.999,9246.1
1667556000000,0.997,1.003,0.995,1.003,16548.2
1667559600000,1.001,1.003,0.994,0.997,8724.2
1667563200000,0.997,1.002,0.988,1,26184.4
1667566800000,1,1.009,1,1.002,40296.3
1667570400000,1.002,1.018,1.002,1.017,58136.8
1667574000000,1.016,1.017,1.005,1.005,12903.1
1667577600000,1.005,1.01,1,1.005,8920.8
1667581200000,1.005,1.009,1.003,1.006,2872.9
1667584800000,1.006,1.018,1.005,1.014,10522.5
1667588400000,1.014,1.023,1.013,1.022,59493.8
1667592000000,1.023,1.026,1.02,1.026,19935.4
1667595600000,1.025,1.028,1.02,1.026,22650.1
1667599200000,1.026,1.029,1.024,1.027,3365.1
1667602800000,1.027,1.03,1.017,1.027,87897.3
1667606400000,1.027,1.03,1.021,1.028,23489.9
1667610000000,1.028,1.029,1.022,1.027,35397.8
1667613600000,1.027,1.032,1.026,1.03,27443.7
1667617200000,1.03,1.031,1.027,1.029,5671.1
1667620800000,1.029,1.035,1.026,1.026,17178.2
1667624400000,1.028,1.029,1.026,1.029,791.1
1667628000000,1.029,1.035,1.029,1.032,6538.2
1667631600000,1.029,1.031,1.028,1.031,1768.3
1667635200000,1.031,1.031,1.022,1.025,6016.6
1667638800000,1.023,1.025,1.017,1.018,10022.2
1667642400000,1.019,1.021,1.017,1.02,8906.3
1667646000000,1.02,1.029,1.018,1.027,11280.9
1667649600000,1.029,1.031,1.02,1.022,8254.5
1667653200000,1.02,1.022,1.015,1.015,9395.6
1667656800000,1.018,1.021,1.016,1.018,18677.7
1667660400000,1.018,1.024,1.017,1.023,11568.2
1667664000000,1.023,1.025,1.021,1.025,3200.8
1667667600000,1.024,1.027,1.022,1.026,2941.1
1667671200000,1.023,1.088,1.004,1.007,584168.8
1667674800000,1.008,1.013,1.007,1.012,15633.2
1667678400000,1.012,1.016,1.012,1.016,21721.5
1667682000000,1.015,1.017,1.014,1.016,16099.3
1667685600000,1.017,1.018,1.015,1.018,7502.6
1667689200000,1.016,1.016,1.01,1.014,12066.1
1667692800000,1.015,1.015,1.006,1.009,44295.1
1667696400000,1.007,1.009,1,1.001,13856.8
1667700000000,1.002,1.003,1,1.002,1875.3
1667703600000,1.001,1.025,0.998,1.007,155854.6
1667707200000,1.007,1.008,1.006,1.007,1089.4
1667710800000,1.007,1.007,1.002,1.002,4718.3
1667714400000,1.002,1.002,1.001,1.002,10311.7
1667718000000,1.002,1.003,0.999,1.003,7694.2
1667721600000,1.002,1.005,1.001,1.005,2465
1667725200000,1.005,1.008,1.004,1.007,9865.2
1667728800000,1.008,1.008,1.003,1.006,4967.5
1667732400000,1.007,1.008,1.005,1.006,3984.2
1667736000000,1.007,1.01,1.005,1.007,13527.2
1667739600000,1.007,1.01,1.007,1.008,2400.2
1667743200000,1.008,1.012,1.005,1.009,22257.1
1667746800000,1.011,1.013,1.009,1.009,2468.2
1667750400000,1.008,1.011,1.002,1.01,23168.4
1667754000000,1.01,1.01,1.007,1.01,1963.3
1667757600000,1.01,1.01,1.005,1.007,2567.2
1667761200000,1.007,1.008,1.004,1.006,2995.6
1667764800000,1.004,1.009,1.003,1.006,29136.5
1667768400000,1.006,1.008,1.004,1.004,5423.4
1667772000000,1.004,1.004,0.999,0.999,15214.9
1667775600000,0.999,1,0.985,0.985,32266.8
