date,open,high,low,close,volume
1667005200000,54.99,55.01,54.64,54.79,11881.251
1667008800000,54.79,55.23,54.73,55.16,16070.004
1667012400000,55.17,55.52,55.12,55.51,15170.851
1667016000000,55.52,55.72,54.97,55.05,16600.218
1667019600000,55.05,55.29,54.91,54.98,15164.12
1667023200000,54.97,55.14,54.95,55.09,6959.031
1667026800000,55.08,55.46,55.04,55.44,10995.801
1667030400000,55.42,56.74,55.3,56.17,58695.019
1667034000000,56.17,56.46,56,56.17,28939.475
1667037600000,56.18,56.56,55.5,55.61,41308.295
1667041200000,55.62,55.72,55.29,55.55,19871.588
1667044800000,55.56,55.71,55.5,55.69,12356.097
1667048400000,55.68,55.72,55.1,55.64,17769.559
1667052000000,55.64,55.97,55.55,55.81,23986.43
1667055600000,55.8,56.6,55.8,56.23,44661.103
1667059200000,56.23,57.61,56.17,56.92,87615.364
1667062800000,56.92,57.26,56.17,56.44,29537.616
1667066400000,56.44,56.65,56.04,56.43,24082.279
1667070000000,56.43,56.57,56.19,56.5,12476.245
1667073600000,56.51,56.93,56.41,56.82,13667.454
1667077200000,56.81,56.96,56.54,56.58,11920.552
1667080800000,56.58,56.71,56.16,56.34,13284.616
1667084400000,56.32,56.62,56.15,56.6,10208.324
1667088000000,56.59,56.71,55.77,55.95,19428.619
1667091600000,55.94,57.47,55.89,57.45,20631.918
1667095200000,57.44,57.5,56.56,56.64,27412.505
1667098800000,56.64,56.94,56.59,56.64,13860.351
1667102400000,56.64,56.66,56.32,56.38,14371.489
1667106000000,56.38,56.6,56.25,56.41,29930.947
1667109600000,56.4,56.84,56.11,56.78,18945.901
1667113200000,56.77,57.31,56.63,57.22,17674.763
1667116800000,57.21,57.25,56.16,56.53,19547.338
1667120400000,56.52,56.73,55.71,56.05,16038.802
1667124000000,56.06,56.35,55.88,56.3,11198.137
1667127600000,56.29,56.42,55.89,56.25,14485.737
1667131200000,56.24,56.33,55.57,55.89,18782.72
1667134800000,55.89,55.98,55.15,55.28,26527.477
1667138400000,55.28,55.75,55.25,55.74,13890.179
1667142000000,55.74,55.82,55.24,55.5,10381.879
1667145600000,55.5,55.7,55.16,55.32,14895.764
1667149200000,55.31,55.43,55.15,55.34,7804.383
1667152800000,55.34,55.66,55.32,55.6,6665.681
1667156400000,55.61,55.83,55.56,55.71,5420.794
1667160000000,55.72,55.99,55.71,55.76,6948.822
1667163600000,55.77,55.82,55.58,55.7,6782.456
1667167200000,55.7,55.72,54.72,55.29,23763.839
1667170800000,55.28,55.49,55.13,55.35,10280.256
1667174400000,55.36,55.68,54.89,54.91,12152.227
1667178000000,54.9,55.11,54.41,54.6,13962.221
1667181600000,54.59,54.85,54.19,54.8,22060.589
1667185200000,54.81,55.41,54.65,55.38,12606.181
1667188800000,55.37,55.48,55.16,55.26,6914.506
1667192400000,55.26,55.53,55.07,55.15,11646.215
1667196000000,55.15,55.21,54.76,55.03,9123.051
1667199600000,55.06,55.16,54.76,55.16,10342.62
1667203200000,55.16,55.17,54.68,54.84,10860.376
1667206800000,54.84,56.02,54.75,55.9,25492.713
1667210400000,55.9,56.24,55.64,56.17,30544.002
1667214000000,56.18,56.42,55.95,55.99,31184.432
1667217600000,56,56.25,55.74,55.85,34679.206
1667221200000,55.83,56.17,54.41,54.42,49252.792
1667224800000,54.41,54.73,54,54.27,52679.124
1667228400000,54.27,54.75,54.21,54.46,30373.749
1667232000000,54.47,54.78,54.12,54.24,23293.053
1667235600000,54.24,54.6,54.19,54.45,11965.193
1667239200000,54.44,54.72,54.41,54.59,9091.803
1667242800000,54.61,55.06,54.34,54.94,16552.367
1667246400000,54.94,54.97,54.72,54.8,10595.87
1667250000000,54.77,54.92,54.71,54.79,10794.39
1667253600000,54.8,55.29,54.74,55.07,18847.377
1667257200000,55.09,55.24,55.01,55.01,9517.736
1667260800000,55.02,55.37,54.95,54.97,15914.454
1667264400000,54.96,55.28,54.93,55.13,11717.329
1667268000000,55.15,55.25,55.01,55.22,8723.981
1667271600000,55.21,55.28,54.91,54.97,6491.478
1667275200000,54.96,55.04,54.79,54.84,11169.941
1667278800000,54.83,55.15,54.79,54.99,20517.15
1667282400000,54.98,55.64,54.98,55.63,23625.225
1667286000000,55.61,55.76,55.34,55.6,20126.502
1667289600000,55.6,55.8,55.4,55.51,14948.041
1667293200000,55.5,55.93,55.46,55.64,20688.06
1667296800000,55.65,55.91,55.5,55.76,14791.509
1667300400000,55.74,55.77,55.26,55.49,15570.217
1667304000000,55.5,55.58,55.12,55.41,13090.019
1667307600000,55.41,55.44,54.5,54.86,25512.855
1667311200000,54.87,54.94,54.5,54.69,34385.26
1667314800000,54.68,54.91,54.63,54.85,12906.221
1667318400000,54.85,54.95,54.67,54.8,15209.001
1667322000000,54.8,55.14,54.77,55.13,10684.618
1667325600000,55.13,55.38,55.13,55.35,9855.232
1667329200000,55.36,55.45,55.1,55.16,10347.619
1667332800000,55.16,55.17,55,55.1,8641.495
1667336400000,55.1,55.12,54.94,54.97,7538.063
1667340000000,54.97,55.16,54.94,55.16,9927.782
1667343600000,55.15,55.23,55.08,55.1,8200.892
1667347200000,55.1,55.23,54.71,55.1,13884.475
1667350800000,55.11,55.24,55.02,55.05,8075.547
1667354400000,55.06,55.23,54.83,55.21,9309.799
1667358000000,55.2,55.74,55.14,55.4,19937.972
1667361600000,55.38,55.51,55.08,55.16,19882.205
1667365200000,55.16,55.34,55,55,12869.817
1667368800000,55.01,55.09,54.9,55.03,19259.41
1667372400000,55.03,55.14,54.7,55.13,53942.198
1667376000000,55.12,61.61,54.91,61.42,280113.149
1667379600000,61.43,62.55,58.6,58.88,385862.045
1667383200000,58.9,59.21,57.8,58.71,135098.08
1667386800000,58.71,59.66,58.66,59.19,57602.239
1667390400000,59.18,60.14,58.85,59.89,55288.069
1667394000000,59.87,62.24,59.6,60.93,233263.618
1667397600000,60.93,62.94,60.7,60.95,146151.785
1667401200000,60.95,61.32,60.35,60.87,67975.178
1667404800000,60.87,61.27,60.01,61.05,58949.131
1667408400000,61.05,61.09,60.25,60.65,33477.622
1667412000000,60.66,62,60.2,60.7,140141.575
1667415600000,60.68,61.31,59.25,59.52,106815.731
1667419200000,59.51,59.67,58.51,59.14,90369.985
1667422800000,59.13,60.47,59.08,60.26,70243.064
