date,open,high,low,close,volume
1667005200000,0.0989,0.0994,0.0985,0.0994,310179
1667008800000,0.0993,0.0993,0.0963,0.0967,1401151
1667012400000,0.0967,0.0973,0.0961,0.0964,904578
1667016000000,0.0963,0.0965,0.095,0.0957,722736
1667019600000,0.0957,0.0962,0.095,0.0955,700171
1667023200000,0.0955,0.0958,0.0943,0.0943,1008856
1667026800000,0.0945,0.0953,0.094,0.0942,994860
1667030400000,0.0942,0.0953,0.0937,0.0953,1196191
1667034000000,0.0953,0.0966,0.095,0.096,1343210
1667037600000,0.0962,0.0963,0.0954,0.0956,1019388
1667041200000,0.0958,0.0959,0.0948,0.0952,688017
1667044800000,0.0952,0.0979,0.0949,0.0971,1871347
1667048400000,0.0971,0.0972,0.0952,0.0952,635886
1667052000000,0.0953,0.0956,0.0944,0.0947,1064993
1667055600000,0.0945,0.0947,0.0927,0.0934,2482269
1667059200000,0.0934,0.0955,0.0928,0.0952,2008288
1667062800000,0.0951,0.0951,0.0931,0.0933,2566982
1667066400000,0.0933,0.0937,0.0929,0.0934,1021867
1667070000000,0.0934,0.0939,0.0931,0.0933,957730
1667073600000,0.0933,0.0934,0.0929,0.0932,449377
1667077200000,0.0932,0.0932,0.0926,0.0927,381538
1667080800000,0.0927,0.0931,0.0918,0.0926,812463
1667084400000,0.0925,0.0936,0.0922,0.0931,473805
1667088000000,0.0931,0.0932,0.0925,0.0925,389202
1667091600000,0.0925,0.0934,0.0923,0.0929,316240
1667095200000,0.0929,0.0936,0.0928,0.0933,414905
1667098800000,0.0932,0.0932,0.0927,0.0927,307795
1667102400000,0.0928,0.0929,0.0924,0.0927,239841
1667106000000,0.0927,0.0928,0.0919,0.0922,517017
1667109600000,0.0922,0.0923,0.0913,0.0921,514219
1667113200000,0.092,0.0926,0.0918,0.0924,631622
1667116800000,0.0925,0.0932,0.0913,0.0915,1242844
1667120400000,0.0915,0.0916,0.091,0.0911,567067
1667124000000,0.091,0.0912,0.0903,0.0905,719493
1667127600000,0.0905,0.0912,0.0902,0.0911,440633
1667131200000,0.091,0.0916,0.0904,0.091,1649243
1667134800000,0.091,0.0915,0.0905,0.091,1353192
1667138400000,0.0912,0.0912,0.0901,0.0905,601261
1667142000000,0.0903,0.0911,0.0901,0.0911,518575
1667145600000,0.0911,0.0917,0.0906,0.091,677246
1667149200000,0.0909,0.0918,0.0909,0.0916,91265
1667152800000,0.0918,0.0931,0.0916,0.092,1734238
1667156400000,0.0922,0.0925,0.0914,0.0918,695957
1667160000000,0.0918,0.0923,0.0916,0.0921,375578
1667163600000,0.0922,0.0922,0.0916,0.0917,167293
1667167200000,0.0918,0.0918,0.091,0.0916,400205
1667170800000,0.0915,0.0916,0.0909,0.0912,123889
1667174400000,0.0911,0.0921,0.0911,0.0913,219587
1667178000000,0.0913,0.0916,0.0912,0.0912,77992
1667181600000,0.0912,0.0914,0.0908,0.0913,457468
1667185200000,0.0913,0.0915,0.091,0.0915,163379
1667188800000,0.0915,0.0923,0.0914,0.0922,492198
1667192400000,0.0922,0.0925,0.0911,0.0916,543990
1667196000000,0.0915,0.0934,0.0911,0.0929,1924263
1667199600000,0.0931,0.0942,0.0922,0.0937,1891562
1667203200000,0.0938,0.0938,0.0922,0.093,817757
1667206800000,0.093,0.0953,0.0927,0.0945,1399944
1667210400000,0.0945,0.0958,0.094,0.0944,1742718
1667214000000,0.0944,0.0962,0.0942,0.0948,1469901
1667217600000,0.0945,0.0962,0.0942,0.0947,1546126
1667221200000,0.0949,0.0949,0.0924,0.0924,1346931
1667224800000,0.0924,0.0928,0.0915,0.0924,893984
1667228400000,0.0923,0.0925,0.0912,0.0917,982219
1667232000000,0.0917,0.0919,0.091,0.0913,535033
1667235600000,0.0913,0.0917,0.0911,0.0916,251187
1667239200000,0.0914,0.092,0.0913,0.0918,501680
1667242800000,0.0919,0.0919,0.0912,0.0912,456697
1667246400000,0.0914,0.0946,0.0914,0.0924,4256834
1667250000000,0.0924,0.0924,0.0916,0.0916,311165
1667253600000,0.0916,0.092,0.0916,0.0918,257184
